	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3872	20023	johanssonsoundsymbolic-Bambassi	bamb1262		back	1291	BACK		tin	t i n
4983	21134	johanssonsoundsymbolic-Bambassi	bamb1262		bad	1292	BAD		tʼsʼege	tsʼ e g e
8825	24976	johanssonsoundsymbolic-Bambassi	bamb1262		bark	1204	BARK		iinskʼokʼiʃe	iː n s kʼ o kʼ i ʃ e
12965	29116	johanssonsoundsymbolic-Bambassi	bamb1262		bealive	1422	BE ALIVE		kob	k o b
15729	31880	johanssonsoundsymbolic-Bambassi	bamb1262		beautiful	1427	BEAUTIFUL		geetʼsʼ	g eː tsʼ
16302	32453	johanssonsoundsymbolic-Bambassi	bamb1262		because	1157	BECAUSE		are	a r e
19219	35370	johanssonsoundsymbolic-Bambassi	bamb1262		before	1882	BEFORE		ʃene	ʃ e n e
20454	36605	johanssonsoundsymbolic-Bambassi	bamb1262		behind	1686	BEHIND		tine	t i n e
22857	39008	johanssonsoundsymbolic-Bambassi	bamb1262		belly	1251	BELLY		til	t i l
24513	40664	johanssonsoundsymbolic-Bambassi	bamb1262		beloworunder	1485	BELOW OR UNDER		ʃupe	ʃ u p e
25737	41888	johanssonsoundsymbolic-Bambassi	bamb1262		beside	1816	BESIDE		gaabeta	g aː b e t a
27897	44048	johanssonsoundsymbolic-Bambassi	bamb1262		big	1202	BIG		kema	k e m a
30290	46441	johanssonsoundsymbolic-Bambassi	bamb1262		bird	937	BIRD		kape	k a p e
32638	48789	johanssonsoundsymbolic-Bambassi	bamb1262		bite	1403	BITE		tasa	t a s a
33783	49934	johanssonsoundsymbolic-Bambassi	bamb1262		bitter	887	BITTER		kaakʼa	k aː kʼ a
35248	51399	johanssonsoundsymbolic-Bambassi	bamb1262		black	163	BLACK		tʼiʃin	tʼ i ʃ i n
38660	54811	johanssonsoundsymbolic-Bambassi	bamb1262		blood	946	BLOOD		hande	h a n d e
40886	57037	johanssonsoundsymbolic-Bambassi	bamb1262		blowofwind	175	BLOW (OF WIND)		ʃiwa	ʃ i w a
42055	58206	johanssonsoundsymbolic-Bambassi	bamb1262		blue	837	BLUE		twakim	t w a k i m
44551	60702	johanssonsoundsymbolic-Bambassi	bamb1262		body	1480	BODY		kʼele	kʼ e l e
46889	63040	johanssonsoundsymbolic-Bambassi	bamb1262		bone	1394	BONE		maaltʼ	m aː l tʼ
51474	67625	johanssonsoundsymbolic-Bambassi	bamb1262		boy	1366	BOY		entʼpʼiʃ	e n tʼ pʼ i ʃ
52880	69031	johanssonsoundsymbolic-Bambassi	bamb1262		brain	1583	BRAIN		tookkwiintʼe	t oː kː w iː n tʼ e
56976	73129	johanssonsoundsymbolic-Bambassi	bamb1262		breast	1402	BREAST		are	a r e
58915	75068	johanssonsoundsymbolic-Bambassi	bamb1262		breathe	1407	BREATHE		kosa	k o s a
64452	80605	johanssonsoundsymbolic-Bambassi	bamb1262		burn	2102	BURN		kʼeetʼsʼa	kʼ eː tsʼ a
67766	83919	johanssonsoundsymbolic-Bambassi	bamb1262		buttocks	834	BUTTOCKS		kʼuuloʃke	kʼ uː l o ʃ k e
91590	107743	johanssonsoundsymbolic-Bambassi	bamb1262		cloud	1489	CLOUD		ʃeele	ʃ eː l e
95165	111318	johanssonsoundsymbolic-Bambassi	bamb1262		cold	1287	COLD		kjakim	k j a k i m
98829	114982	johanssonsoundsymbolic-Bambassi	bamb1262		come	1446	COME		ki	k i
104899	121052	johanssonsoundsymbolic-Bambassi	bamb1262		correctright	1725	CORRECT (RIGHT)		anasaaje	a n a s aː j e
105963	122116	johanssonsoundsymbolic-Bambassi	bamb1262		cough	879	COUGH		onsa	o n s a
112009	128162	johanssonsoundsymbolic-Bambassi	bamb1262		crush	1520	CRUSH		puura	p uː r a
112935	129088	johanssonsoundsymbolic-Bambassi	bamb1262		cry	1839	CRY		jaap	j aː p
118655	134808	johanssonsoundsymbolic-Bambassi	bamb1262		dark	706	DARK		saaf	s aː f
121773	137928	johanssonsoundsymbolic-Bambassi	bamb1262		daynotnight	1225	DAY (NOT NIGHT)		aw	a w
124222	140377	johanssonsoundsymbolic-Bambassi	bamb1262		deep	1593	DEEP		ʃwiinde	ʃ w iː n d e
127049	143204	johanssonsoundsymbolic-Bambassi	bamb1262		die	1494	DIE		hekʼa	h e kʼ a
134164	150319	johanssonsoundsymbolic-Bambassi	bamb1262		do	813	DO		ina	i n a
135599	151754	johanssonsoundsymbolic-Bambassi	bamb1262		dog	2009	DOG		kane	k a n e
142068	158223	johanssonsoundsymbolic-Bambassi	bamb1262		drink	1401	DRINK		iʃ	i ʃ
145712	161867	johanssonsoundsymbolic-Bambassi	bamb1262		dry	1398	DRY		kaŋgala	k a ŋ g a l a
148697	164852	johanssonsoundsymbolic-Bambassi	bamb1262		dust	2	DUST		pʼukʼe	pʼ u kʼ e
151142	167297	johanssonsoundsymbolic-Bambassi	bamb1262		ear	1247	EAR		waale	w aː l e
154065	170220	johanssonsoundsymbolic-Bambassi	bamb1262		earthsoil	1228	EARTH (SOIL)		kʼets	kʼ e ts
156666	172821	johanssonsoundsymbolic-Bambassi	bamb1262		eat	1336	EAT		mi	m i
158978	175136	johanssonsoundsymbolic-Bambassi	bamb1262		egg	744	EGG		kjale	k j a l e
160737	176895	johanssonsoundsymbolic-Bambassi	bamb1262		eight	1705	EIGHT		kureeze	k u r eː z e
163690	179848	johanssonsoundsymbolic-Bambassi	bamb1262		eleven	1706	ELEVEN		kuusgetiʃki	k uː s g e t i ʃ k i
164878	181036	johanssonsoundsymbolic-Bambassi	bamb1262		empty	1624	EMPTY		duwa	d u w a
169546	185704	johanssonsoundsymbolic-Bambassi	bamb1262		eye	1248	EYE		aap	aː p
173552	189711	johanssonsoundsymbolic-Bambassi	bamb1262		fall	1280	FALL		pek	p e k
175821	191980	johanssonsoundsymbolic-Bambassi	bamb1262		far	1406	FAR		wake	w a k e
176988	193147	johanssonsoundsymbolic-Bambassi	bamb1262		fart	1159	FART		ʃikʼe	ʃ i kʼ e
177412	193571	johanssonsoundsymbolic-Bambassi	bamb1262		fast	1631	FAST		guga	g u g a
184878	201038	johanssonsoundsymbolic-Bambassi	bamb1262		feather	1201	FEATHER		kwapʼe	k w a pʼ e
189907	222560	johanssonsoundsymbolic-Bambassi	bamb1262		flower	239	FLOWER		funde	f u n d e
191231	223884	johanssonsoundsymbolic-Bambassi	bamb1262		flyinsect	1504	FLY (INSECT)		pansa	p a n s a
192836	225489	johanssonsoundsymbolic-Bambassi	bamb1262		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		tʼsʼiŋe	tsʼ i ŋ e
196148	228801	johanssonsoundsymbolic-Bambassi	bamb1262		foot	1301	FOOT		tuge	t u g e
202480	235133	johanssonsoundsymbolic-Bambassi	bamb1262		four	1500	FOUR		metʼsʼe	m e tsʼ e
209258	241911	johanssonsoundsymbolic-Bambassi	bamb1262		full	1429	FULL		tʼsʼone	tsʼ o n e
213259	245912	johanssonsoundsymbolic-Bambassi	bamb1262		girl	1646	GIRL		paaltʼ	p aː l tʼ
214576	247229	johanssonsoundsymbolic-Bambassi	bamb1262		give	1447	GIVE		ta	t a
216931	249584	johanssonsoundsymbolic-Bambassi	bamb1262		go	695	GO		how	h o w
220703	253359	johanssonsoundsymbolic-Bambassi	bamb1262		good	1035	GOOD		nok	n o k
226153	258809	johanssonsoundsymbolic-Bambassi	bamb1262		grass	606	GRASS		maare	m aː r e
231426	264082	johanssonsoundsymbolic-Bambassi	bamb1262		grow	479	GROW		keme	k e m e
234505	267161	johanssonsoundsymbolic-Bambassi	bamb1262		hair	1040	HAIR		tookkwiintʼe	t oː kː w iː n tʼ e
238346	271002	johanssonsoundsymbolic-Bambassi	bamb1262		hand	1277	HAND		kus	k u s
240279	272935	johanssonsoundsymbolic-Bambassi	bamb1262		happy	1495	HAPPY		eeŋmaŋkʼ	eː ŋ m a ŋ kʼ
240639	273295	johanssonsoundsymbolic-Bambassi	bamb1262		hard	1884	HARD		tʼsʼowe	tsʼ o w e
243901	276558	johanssonsoundsymbolic-Bambassi	bamb1262		head	1256	HEAD		took	t oː k
246849	279506	johanssonsoundsymbolic-Bambassi	bamb1262		hear	1408	HEAR		kʼew	kʼ e w
248431	281088	johanssonsoundsymbolic-Bambassi	bamb1262		heart	1223	HEART		eeŋe	eː ŋ e
