	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8909	25060	johanssonsoundsymbolic-Nivacle	niva1238		bark	1204	BARK		ɒxetʃe	ɒ x e tʃ e
9513	25664	wold-Wichi	wich1264		bark	1204	BARK		tolhistek	t o lˠ i s t e k
22952	39103	johanssonsoundsymbolic-Nivacle	niva1238		belly	1251	BELLY		kkʔapoʔ	kː ʔ a p o ʔ
23896	40047	wold-Wichi	wich1264		belly	1251	BELLY		tots’e	t o ts ʔ e
27995	44146	johanssonsoundsymbolic-Nivacle	niva1238		big	1202	BIG		ux	u x
29111	45262	wold-Wichi	wich1264		big	1202	BIG		wefw	w e fʷ
30373	46524	johanssonsoundsymbolic-Nivacle	niva1238		bird	937	BIRD		ɒxɒklɒ	ɒ x ɒ k l ɒ
31472	47623	wold-Wichi	wich1264		bird	937	BIRD		afwenche	a fʷ e n tʃ e
32728	48879	johanssonsoundsymbolic-Nivacle	niva1238		bite	1403	BITE		xuʔx	x u ʔ x
33567	49718	wold-Wichi	wich1264		bite	1403	BITE		yukwaj	y u kʷ a x
35342	51493	johanssonsoundsymbolic-Nivacle	niva1238		black	163	BLACK		jakut	j a k u t
36080	52231	wold-Wichi	wich1264		black	163	BLACK		chalaj	tʃ a l a x
38755	54906	johanssonsoundsymbolic-Nivacle	niva1238		blood	946	BLOOD		wojej	w o j e j
39823	55974	wold-Wichi	wich1264		blood	946	BLOOD		w’uyis	w ʔ u j i s
46979	63130	johanssonsoundsymbolic-Nivacle	niva1238		bone	1394	BONE		nuʔ	n u ʔ
48075	64226	wold-Wichi	wich1264		bone	1394	BONE		lhile	lˠ i l e
57066	73219	johanssonsoundsymbolic-Nivacle	niva1238		breast	1402	BREAST		axte	a x t e
58125	74278	wold-Wichi	wich1264		breast	1402	BREAST		tot’ate	t o t ʔ a t e
64536	80689	johanssonsoundsymbolic-Nivacle	niva1238		burn	2102	BURN		xapʔaɬ	x a p ʔ a ɬ
87369	103522	wold-Wichi	wich1264		claw	72	CLAW		tofwefw	t o fʷ e fʷ
91673	107826	johanssonsoundsymbolic-Nivacle	niva1238		cloud	1489	CLOUD		wɒseʔ	w ɒ s e ʔ
92540	108693	wold-Wichi	wich1264		cloud	1489	CLOUD		pele	p e l e
95257	111410	johanssonsoundsymbolic-Nivacle	niva1238		cold	1287	COLD		kʔujʃi	k ʔ u j ʃ i
96321	112474	wold-Wichi	wich1264		cold	1287	COLD		nitechojche	n i t e tʃ o x tʃ e
96322	112475	wold-Wichi	wich1264		cold	1287	COLD		nitechojhi	n i t e tʃ o xʰ i
96323	112476	wold-Wichi	wich1264		cold	1287	COLD		nitechojlhi	n i t e tʃ o x lˠ i
98920	115073	johanssonsoundsymbolic-Nivacle	niva1238		come	1446	COME		natʃ	n a tʃ
100019	116172	wold-Wichi	wich1264		come	1446	COME		nom	n o m
127143	143298	johanssonsoundsymbolic-Nivacle	niva1238		die	1494	DIE		waf	w a f
128149	144304	wold-Wichi	wich1264		die	1494	DIE		y’ilh	y ʔ i l̥
128150	144305	wold-Wichi	wich1264		die	1494	DIE		ileyej_hunhat	i l e j e x + h u n̥ a t
135692	151847	johanssonsoundsymbolic-Nivacle	niva1238		dog	2009	DOG		nuʔu	n u ʔ u
136806	152961	wold-Wichi	wich1264		dog	2009	DOG		asinoj	a s i n o x
142161	158316	johanssonsoundsymbolic-Nivacle	niva1238		drink	1401	DRINK		jɒʔ	j ɒ ʔ
142861	159016	wold-Wichi	wich1264		drink	1401	DRINK		iyoyej	i j o j e x
145797	161952	johanssonsoundsymbolic-Nivacle	niva1238		dry	1398	DRY		klaxɒx	k l a x ɒ x
146470	162625	wold-Wichi	wich1264		dry	1398	DRY		tamchoy	t a m tʃ o j
151238	167393	johanssonsoundsymbolic-Nivacle	niva1238		ear	1247	EAR		kfeʔ	k f e ʔ
152331	168486	wold-Wichi	wich1264		ear	1247	EAR		toch’ute’	t o tʃ ʔ u t e ʔ
154157	170312	johanssonsoundsymbolic-Nivacle	niva1238		earthsoil	1228	EARTH (SOIL)		kocxaʔt	k o c x a ʔ t
154798	170953	wold-Wichi	wich1264		earthsoil	1228	EARTH (SOIL)		hunhat	h u n̥ a t
156760	172915	johanssonsoundsymbolic-Nivacle	niva1238		eat	1336	EAT		tux	t u x
157725	173883	wold-Wichi	wich1264		eat	1336	EAT		tefw	t e fʷ
159068	175226	johanssonsoundsymbolic-Nivacle	niva1238		egg	744	EGG		ɬʃajkʔu	ɬ ʃ a j k ʔ u
160111	176269	wold-Wichi	wich1264		egg	744	EGG		lhech’e	lˠ e tʃ ʔ e
169641	185799	johanssonsoundsymbolic-Nivacle	niva1238		eye	1248	EYE		tɒsex	t ɒ s e x
170757	186915	wold-Wichi	wich1264		eye	1248	EYE		tottelhu	t o t t e lˠ u
182118	198278	johanssonsoundsymbolic-Nivacle	niva1238		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		ɬapeʔnɒk	ɬ a p e ʔ n ɒ k
182752	198912	wold-Wichi	wich1264		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		tulupe’	t u l u p e ʔ
184963	201123	johanssonsoundsymbolic-Nivacle	niva1238		feather	1201	FEATHER		af	a f
185535	201695	wold-Wichi	wich1264		feather	1201	FEATHER		afwenche_w’ule	a fʷ e n tʃ e + w ʔ u l e
192914	225567	johanssonsoundsymbolic-Nivacle	niva1238		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		ɬafkatax	ɬ a f k a t a x
193584	226237	wold-Wichi	wich1264		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		wiy’o	w i j ʔ o
196239	228892	johanssonsoundsymbolic-Nivacle	niva1238		foot	1301	FOOT		foʔ	f o ʔ
196970	229623	wold-Wichi	wich1264		foot	1301	FOOT		topach’u	t o p a tʃ ʔ u
209330	241983	johanssonsoundsymbolic-Nivacle	niva1238		full	1429	FULL		tapoʔx	t a p o ʔ x
