	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
694	16845	wold-ZinacantanTzotzil	tzot1259		at	1461	AT		ta	t a
937	17088	wold-Qeqchi	kekc1242		attack	722	ATTACK		k'uluk	k ʔ u l u kʰ
1604	17755	wold-Qeqchi	kekc1242		aunt	1272	AUNT		ikan_na’	i k a n + n a ʔ
1605	17756	wold-Qeqchi	kekc1242		aunt	1272	AUNT		na’_eechej	n a ʔ + eː tʃ e x
1624	17775	wold-ZinacantanTzotzil	tzot1259		aunt	1272	AUNT		muk’ta_me7il	m u kʼ t a + m e ʔ i l
1845	17996	wold-Qeqchi	kekc1242		autumn	1276	AUTUMN		otonyo	o t o n j o
2020	18171	wold-Qeqchi	kekc1242		awl	278	AWL		formon	f o ɾ m o n
2567	18718	wold-Qeqchi	kekc1242		axe	677	AXE		maal	m aː l
2582	18733	wold-ZinacantanTzotzil	tzot1259		axe	677	AXE		7ek’el	ʔ e kʼ e l
2672	18823	wold-Qeqchi	kekc1242		axle	1769	AXLE		xb’aalil	ʃ ɓ aː l i l
3023	19174	wold-Qeqchi	kekc1242		baby	1289	BABY		b’ab’ay	ɓ a ɓ a j
3024	19175	wold-Qeqchi	kekc1242		baby	1289	BABY		kach’in	k a tʃʼ i n
3044	19195	wold-ZinacantanTzotzil	tzot1259		baby	1289	BABY		nene7	n e n e ʔ
3045	19196	wold-ZinacantanTzotzil	tzot1259		baby	1289	BABY		7unen	ʔ u n e n
4305	20456	wold-Qeqchi	kekc1242		back	1291	BACK		ix	i ʃ
4306	20457	wold-Qeqchi	kekc1242		back	1291	BACK		xaal_it	ʃ aː l + i tʰ
4321	20472	wold-ZinacantanTzotzil	tzot1259		back	1291	BACK		patil	pʰ a t i l
5678	21829	wold-Qeqchi	kekc1242		bad	1292	BAD		lab'	l a ɓ
5700	21851	wold-ZinacantanTzotzil	tzot1259		bad	1292	BAD		chopol	tʃʰ o p o l
5921	22072	wold-Qeqchi	kekc1242		badluck	56	BAD LUCK		awas	a w a s
5935	22086	wold-ZinacantanTzotzil	tzot1259		badluck	56	BAD LUCK		tzahal_7ora	tsʰ a h a l + ʔ o ɾ a
6839	22990	wold-Qeqchi	kekc1242		bait	2013	BAIT		xwah_kar	ʃ w a h + k a r
6998	23149	wold-ZinacantanTzotzil	tzot1259		bake	183	BAKE		meltzan	m e l tsʰ a n
7040	23191	wold-Qeqchi	kekc1242		bald	1125	BALD		t'uru'_xjolom	tʼ u ɾ u ʔ + ʃ x o l o m
7041	23192	wold-Qeqchi	kekc1242		bald	1125	BALD		t'ojt'o	tʼ o x tʼ o
7042	23193	wold-Qeqchi	kekc1242		bald	1125	BALD		t'uru'	tʼ u ɾ u ʔ
7059	23210	wold-ZinacantanTzotzil	tzot1259		bald	1125	BALD		bochol	ɓ o tʃʰ o l
7060	23211	wold-ZinacantanTzotzil	tzot1259		bald	1125	BALD		kanel	k a n e l
7164	23315	wold-Qeqchi	kekc1242		ball	1845	BALL		b'olotz	ɓ o l o t z
7182	23333	wold-ZinacantanTzotzil	tzot1259		ball	1845	BALL		pelota	pʰ e l o t a
7589	23740	wold-Qeqchi	kekc1242		bamboo	1927	BAMBOO		simb’	s i m ɓ
7603	23754	wold-ZinacantanTzotzil	tzot1259		bamboo	1927	BAMBOO		bish	ɓ i sʰ
7604	23755	wold-ZinacantanTzotzil	tzot1259		bamboo	1927	BAMBOO		7otot	ʔ o t o tʰ
7605	23756	wold-ZinacantanTzotzil	tzot1259		bamboo	1927	BAMBOO		taro	t a ɾ o
8278	24429	wold-Qeqchi	kekc1242		banana	868	BANANA		tul	t u l
8293	24444	wold-ZinacantanTzotzil	tzot1259		banana	868	BANANA		kinya	k i n j a
8294	24445	wold-ZinacantanTzotzil	tzot1259		banana	868	BANANA		lo7bol	l o ʔ ɓ o l
8528	24679	wold-Qeqchi	kekc1242		bank	1284	BANK		k'uuleb'aal	k ʔ uː l e ɓ aː l
8544	24695	wold-ZinacantanTzotzil	tzot1259		bank	1284	BANK		banko	ɓ a n k o
9500	25651	wold-Qeqchi	kekc1242		bark	1204	BARK		rix_che	r i ʃ + tʃ e
9515	25666	wold-ZinacantanTzotzil	tzot1259		bark	1204	BARK		patil	pʰ a t i l
9878	26029	wold-Qeqchi	kekc1242		barley	932	BARLEY		seb’aad	s e ɓ aː d
10277	26428	wold-Qeqchi	kekc1242		basket	1539	BASKET		chakach	tʃ a k a tʃ
10278	26429	wold-Qeqchi	kekc1242		basket	1539	BASKET		almul	a l m u l
10302	26453	wold-ZinacantanTzotzil	tzot1259		basket	1539	BASKET		moch	m o tʃʰ
10869	27020	wold-Qeqchi	kekc1242		bat	1793	BAT		sotz’	s o tsʼ
10885	27036	wold-ZinacantanTzotzil	tzot1259		bat	1793	BAT		sotz’	s o tsʼ
11239	27390	wold-Qeqchi	kekc1242		bathe	138	BATHE		achink	a tʃ i n kʰ
11240	27391	wold-Qeqchi	kekc1242		bathe	138	BATHE		atink	a t i n kʰ
11258	27409	wold-ZinacantanTzotzil	tzot1259		bathe	138	BATHE		7atiltas	ʔ a t i l t a s
11323	27474	wold-Qeqchi	kekc1242		battery	662	BATTERY		b’ateriiy	ɓ a t e ɾ iː j
11339	27490	wold-ZinacantanTzotzil	tzot1259		battery	662	BATTERY		bateria	ɓ a t e ɾ i a
11340	27491	wold-ZinacantanTzotzil	tzot1259		battery	662	BATTERY		bek’_k’ok’	ɓ e kʼ + kʼ o kʼ
11378	27529	wold-Qeqchi	kekc1242		battle	579	BATTLE		pleet	p l eː tʰ
11379	27530	wold-Qeqchi	kekc1242		battle	579	BATTLE		raaxiik’	r aː ʃ iː kʼ
11380	27531	wold-Qeqchi	kekc1242		battle	579	BATTLE		yalok	j a l o kʰ
11398	27549	wold-ZinacantanTzotzil	tzot1259		battle	579	BATTLE		pletu	pʰ l e t u
11399	27550	wold-ZinacantanTzotzil	tzot1259		battle	579	BATTLE		k’op	kʼ o p
11412	27563	wold-Qeqchi	kekc1242		battleaxe	386	BATTLE-AXE		maal	m aː l
11813	27964	wold-Qeqchi	kekc1242		be	1579	BE		wank	w a n kʰ
12138	28289	wold-ZinacantanTzotzil	tzot1259		bead	1860	BEAD		satil	s a t i l
12172	28323	wold-Qeqchi	kekc1242		beak	73	BEAK		ruuch_e	r uː tʃ + e
12189	28340	wold-ZinacantanTzotzil	tzot1259		beak	73	BEAK		ni7	n i ʔ
13535	29686	wold-Qeqchi	kekc1242		bealive	1422	BE ALIVE		yo'yook	j o ʔ j oː kʰ
13552	29703	wold-ZinacantanTzotzil	tzot1259		bealive	1422	BE ALIVE		kushul	k u ʃ u l
13700	29851	wold-Qeqchi	kekc1242		beam	1132	BEAM		tz'amb'a	tsʼ a m ɓ a
13718	29869	wold-ZinacantanTzotzil	tzot1259		beam	1132	BEAM		chantzelav_te7	tʃʰ a n tsʰ e l a v + t e ʔ
14229	30380	wold-Qeqchi	kekc1242		bean	832	BEAN		kenq’	k e n qʼ
14245	30396	wold-ZinacantanTzotzil	tzot1259		bean	832	BEAN		chenek’	tʃʰ e n e kʼ
14817	30968	wold-Qeqchi	kekc1242		bear	1820	BEAR		oos	oː s
14830	30981	wold-ZinacantanTzotzil	tzot1259		bear	1820	BEAR		7osov	ʔ o s o v
15397	31548	wold-Qeqchi	kekc1242		beard	678	BEARD		mach	m a tʃ
15413	31564	wold-ZinacantanTzotzil	tzot1259		beard	678	BEARD		7isimil	ʔ i s i m i l
16046	32197	wold-Qeqchi	kekc1242		beautiful	1427	BEAUTIFUL		xchaq'al_wu'	ʃ tʃ a qʼ a l + w u ʔ
16047	32198	wold-Qeqchi	kekc1242		beautiful	1427	BEAUTIFUL		ch'ina_us	tʃʼ i n a + u s
16066	32217	wold-ZinacantanTzotzil	tzot1259		beautiful	1427	BEAUTIFUL		leklek_ba	l e k l e k + ɓ a
16266	32417	wold-Qeqchi	kekc1242		beborn	1090	BE BORN		siyaak	s i j aː kʰ
16281	32432	wold-ZinacantanTzotzil	tzot1259		beborn	1090	BE BORN		vinkilah	v i n k i l a h
16509	32660	wold-Qeqchi	kekc1242		because	1157	BECAUSE		xb’aan_naq	ʃ ɓ aː n + n a qʰ
16530	32681	wold-ZinacantanTzotzil	tzot1259		because	1157	BECAUSE		k’u_ti	kʼ u + t i
16531	32682	wold-ZinacantanTzotzil	tzot1259		because	1157	BECAUSE		porke	pʰ o ɾ k e
16869	33020	wold-Qeqchi	kekc1242		become	1990	BECOME		tahulaq	t a h u l a qʰ
16870	33021	wold-Qeqchi	kekc1242		become	1990	BECOME		hulak	h u l a kʰ
16884	33035	wold-ZinacantanTzotzil	tzot1259		become	1990	BECOME		pas	pʰ a s
17563	33714	wold-Qeqchi	kekc1242		bed	1663	BED		ch’aat	tʃʼ aː tʰ
17564	33715	wold-Qeqchi	kekc1242		bed	1663	BED		warib'	w a ɾ i ɓ
17582	33733	wold-ZinacantanTzotzil	tzot1259		bed	1663	BED		tem	t e m
17583	33734	wold-ZinacantanTzotzil	tzot1259		bed	1663	BED		vayebal	v a j e ɓ a l
18881	35032	wold-Qeqchi	kekc1242		bee	665	BEE		seer	s eː r
18910	35061	wold-ZinacantanTzotzil	tzot1259		bee	665	BEE		chanul_pom	tʃʰ a n u l + p o m
18911	35062	wold-ZinacantanTzotzil	tzot1259		bee	665	BEE		kachimpa_pom	k a tʃʰ i m p a + p o m
18912	35063	wold-ZinacantanTzotzil	tzot1259		bee	665	BEE		mermeho	m e ɾ m e h o
18913	35064	wold-ZinacantanTzotzil	tzot1259		bee	665	BEE		mishik’_pom	m i ʃ i kʼ + p o m
18914	35065	wold-ZinacantanTzotzil	tzot1259		bee	665	BEE		ton_pom	t o n + p o m
19045	35196	wold-Qeqchi	kekc1242		beehive	88	BEEHIVE		rochoch_kab'	r o tʃ o tʃ + k a ɓ
19046	35197	wold-Qeqchi	kekc1242		beehive	88	BEEHIVE		xche'el_kab'	ʃ tʃ e ʔ e l + k a ɓ
19060	35211	wold-ZinacantanTzotzil	tzot1259		beehive	88	BEEHIVE		na_pom	n a + p o m
19098	35249	wold-Qeqchi	kekc1242		beer	1639	BEER		serwees	s e r w eː s
19117	35268	wold-ZinacantanTzotzil	tzot1259		beer	1639	BEER		servesa	s e ɾ v e s a
19170	35321	wold-Qeqchi	kekc1242		beeswax	1931	BEESWAX		tz’aak	tsʼ aː kʰ
19181	35332	wold-ZinacantanTzotzil	tzot1259		beeswax	1931	BEESWAX		sera_7ahapom	s e ɾ a + ʔ a h a p o m
19616	35767	wold-Qeqchi	kekc1242		before	1882	BEFORE		chi_ru	tʃ i + ɾ u
19617	35768	wold-Qeqchi	kekc1242		before	1882	BEFORE		junxil	x u n ʃ i l
19618	35769	wold-Qeqchi	kekc1242		before	1882	BEFORE		rub’elaj	r u ɓ e l a x
19630	35781	wold-ZinacantanTzotzil	tzot1259		before	1882	BEFORE		ta	t a
19977	36128	wold-Qeqchi	kekc1242		beget	1152	BEGET		k'ajolink	k ʔ a x o l i n kʰ
20018	36169	wold-Qeqchi	kekc1242		beggar	1934	BEGGAR		aj_limoox	a x + l i m oː ʃ
20019	36170	wold-Qeqchi	kekc1242		beggar	1934	BEGGAR		neb’a’	n e ɓ a ʔ
20037	36188	wold-ZinacantanTzotzil	tzot1259		beggar	1934	BEGGAR		hk’anlimushno	h kʼ a n l i m u ʃ n o
20261	36412	wold-Qeqchi	kekc1242		begin	1806	BEGIN		ok	o kʰ
20262	36413	wold-Qeqchi	kekc1242		begin	1806	BEGIN		naqk	n a q kʰ
20263	36414	wold-Qeqchi	kekc1242		begin	1806	BEGIN		tiklaak	t i k l aː kʰ
20280	36431	wold-ZinacantanTzotzil	tzot1259		begin	1806	BEGIN		lik	l i k
20281	36432	wold-ZinacantanTzotzil	tzot1259		begin	1806	BEGIN		tam	t a m
20313	36464	wold-Qeqchi	kekc1242		beginning	1557	BEGINNING		tiklajik	t i k l a x i kʰ
20314	36465	wold-Qeqchi	kekc1242		beginning	1557	BEGINNING		k'ojlajik	k ʔ o x l a x i kʰ
20327	36478	wold-ZinacantanTzotzil	tzot1259		beginning	1557	BEGINNING		7ochel	ʔ o tʃʰ e l
20328	36479	wold-ZinacantanTzotzil	tzot1259		beginning	1557	BEGINNING		likebal	l i k e ɓ a l
20772	36923	wold-Qeqchi	kekc1242		behind	1686	BEHIND		chi_rix	tʃ i + ɾ i ʃ
20790	36941	wold-ZinacantanTzotzil	tzot1259		behind	1686	BEHIND		ta_pat	t a + p a tʰ
21353	37504	wold-Qeqchi	kekc1242		behungry	1533	BE HUNGRY		tz'okaak	tsʼ o k aː kʰ
21370	37521	wold-ZinacantanTzotzil	tzot1259		behungry	1533	BE HUNGRY		ve7	v e ʔ
21371	37522	wold-ZinacantanTzotzil	tzot1259		behungry	1533	BE HUNGRY		vi7nah	v i ʔ n a h
21540	37691	wold-Qeqchi	kekc1242		belate	425	BE LATE		b’ayk	ɓ a j kʰ
21541	37692	wold-Qeqchi	kekc1242		belate	425	BE LATE		najto'k	n a x t o ʔ kʰ
21790	37941	wold-Qeqchi	kekc1242		believe	1890	BELIEVE		paab'ank	p aː ɓ a n kʰ
21805	37956	wold-ZinacantanTzotzil	tzot1259		believe	1890	BELIEVE		ch’un	tʃʼ u n
23880	40031	wold-Qeqchi	kekc1242		belly	1251	BELLY		sa’	s a ʔ
23898	40049	wold-ZinacantanTzotzil	tzot1259		belly	1251	BELLY		tzukut	tsʰ u k u tʰ
24979	41130	wold-Qeqchi	kekc1242		beloworunder	1485	BELOW OR UNDER		rub'el	r u ɓ e l
25195	41346	wold-Qeqchi	kekc1242		belt	772	BELT		nimla_sinch	n i m l a + s i n tʃ
25213	41364	wold-ZinacantanTzotzil	tzot1259		belt	772	BELT		chuk_ch’util	tʃʰ u k + tʃʼ u t i l
25281	41432	wold-Qeqchi	kekc1242		bend	2004	BEND		k'unuk	k ʔ u n u kʰ
25282	41433	wold-Qeqchi	kekc1242		bend	2004	BEND		hutzuk	h u t z u kʰ
25283	41434	wold-Qeqchi	kekc1242		bend	2004	BEND		k'onok	k ʔ o n o kʰ
25284	41435	wold-Qeqchi	kekc1242		bend	2004	BEND		lokok	l o k o kʰ
25285	41436	wold-Qeqchi	kekc1242		bend	2004	BEND		b’asok	ɓ a s o kʰ
25286	41437	wold-Qeqchi	kekc1242		bend	2004	BEND		liq'ok	l i qʼ o kʰ
25307	41458	wold-ZinacantanTzotzil	tzot1259		bend	2004	BEND		lu7	l u ʔ
25878	42029	wold-Qeqchi	kekc1242		beside	1816	BESIDE		sa’_xk’atq	s a ʔ + ʃ kʼ a t qʰ
25958	42109	wold-Qeqchi	kekc1242		besilent	48	BE SILENT		kulku	k u l k u
26334	42485	wold-Qeqchi	kekc1242		bethirsty	3474	BE THIRSTY		chaqi’eel	tʃ a q i ʔ eː l
26350	42501	wold-ZinacantanTzotzil	tzot1259		bethirsty	3474	BE THIRSTY		takih_ti7	t a k i h + t i ʔ
26406	42557	wold-Qeqchi	kekc1242		betray	1902	BETRAY		b’alaq’ink	ɓ a l a qʼ i n kʰ
26801	42952	wold-Qeqchi	kekc1242		beverage	731	BEVERAGE		uk'a'	u kʼ a ʔ
26817	42968	wold-ZinacantanTzotzil	tzot1259		beverage	731	BEVERAGE		7uch'bajel	ʔ u tʃʰ ʔ ɓ a ħ e l
26877	43028	wold-Qeqchi	kekc1242		bicycle	747	BICYCLE		b’isikleet	ɓ i s i k l eː tʰ
26878	43029	wold-Qeqchi	kekc1242		bicycle	747	BICYCLE		b’aqlaq_ch’iich’	ɓ a q l a q + tʃʼ iː tʃʼ
29096	45247	wold-Qeqchi	kekc1242		big	1202	BIG		nim	n i m
29113	45264	wold-ZinacantanTzotzil	tzot1259		big	1202	BIG		muk’	m u kʼ
29262	45413	wold-Qeqchi	kekc1242		bill	1081	BILL		kwenta	gʷ e n t a
31455	47606	wold-Qeqchi	kekc1242		bird	937	BIRD		tz’ik	tsʼ i kʰ
31474	47625	wold-ZinacantanTzotzil	tzot1259		bird	937	BIRD		mut	m u tʰ
31641	47792	wold-Qeqchi	kekc1242		birthcertificate	397	BIRTH CERTIFICATE		papelseya	p a p e l s e j a
31642	47793	wold-Qeqchi	kekc1242		birthcertificate	397	BIRTH CERTIFICATE		retali_xyo’lajik	r e t a l i + ʃ j o ʔ l a x i kʰ
31643	47794	wold-Qeqchi	kekc1242		birthcertificate	397	BIRTH CERTIFICATE		pereera	p e ɾ eː ɾ a
33545	49696	wold-Qeqchi	kekc1242		bite	1403	BITE		qachok	q a tʃ o kʰ
33546	49697	wold-Qeqchi	kekc1242		bite	1403	BITE		qatzok	q a t z o kʰ
33547	49698	wold-Qeqchi	kekc1242		bite	1403	BITE		k'atzok	k ʔ a t z o kʰ
33548	49699	wold-Qeqchi	kekc1242		bite	1403	BITE		jach'ok	x a tʃʼ o kʰ
33549	49700	wold-Qeqchi	kekc1242		bite	1403	BITE		tiwok	t i w o kʰ
33550	49701	wold-Qeqchi	kekc1242		bite	1403	BITE		ti'ok	t i ʔ o kʰ
33551	49702	wold-Qeqchi	kekc1242		bite	1403	BITE		k'apok_chi_e	k ʔ a p o k + tʃ i + e
33552	49703	wold-Qeqchi	kekc1242		bite	1403	BITE		hach'lenk	h a tʃʼ l e n kʰ
33553	49704	wold-Qeqchi	kekc1242		bite	1403	BITE		hach'ok	h a tʃʼ o kʰ
33569	49720	wold-ZinacantanTzotzil	tzot1259		bite	1403	BITE		tzak	tsʰ a k
33570	49721	wold-ZinacantanTzotzil	tzot1259		bite	1403	BITE		ti7	t i ʔ
34226	50377	wold-Qeqchi	kekc1242		bitter	887	BITTER		k'a	k ʔ a
34240	50391	wold-ZinacantanTzotzil	tzot1259		bitter	887	BITTER		ch’a	tʃʼ a
36068	52219	wold-Qeqchi	kekc1242		black	163	BLACK		q'eq	qʼ e qʰ
36082	52233	wold-ZinacantanTzotzil	tzot1259		black	163	BLACK		7ik’	ʔ i kʼ
36582	52733	wold-Qeqchi	kekc1242		blacksmith	1001	BLACKSMITH		ajtenolch’ich’	a x t e n o l tʃʼ i tʃʼ
36599	52750	wold-ZinacantanTzotzil	tzot1259		blacksmith	1001	BLACKSMITH		htentak’in	h t e n t a kʼ i n
36718	52869	wold-Qeqchi	kekc1242		blame	381	BLAME		maak	m aː kʰ
36738	52889	wold-ZinacantanTzotzil	tzot1259		blame	381	BLAME		mulil	m u l i l
36942	53093	wold-Qeqchi	kekc1242		blanket	806	BLANKET		isb’	i s ɓ
36963	53114	wold-ZinacantanTzotzil	tzot1259		blanket	806	BLANKET		chamaroil	tʃʰ a m a ɾ o i l
