	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
442	16593	constenlachibchan-Cacaopera	caca1247		at	1461	AT		m	m
447	16598	constenlachibchan-Mayangna	maya1285		at	1461	AT		kat	k a t
453	16604	constenlachibchan-Ulwa	ulwa1239		at	1461	AT		kat	k a t
3940	20091	johanssonsoundsymbolic-Miskito	misk1235		back	1291	BACK		won_nina	w o n + n i n a
4815	20966	constenlachibchan-Cacaopera	caca1247		bad	1292	BAD		jamua	j a m u a
4820	20971	constenlachibchan-Mayangna	maya1285		bad	1292	BAD		dutni	d u t n i
4826	20977	constenlachibchan-Ulwa	ulwa1239		bad	1292	BAD		dutka	d u t k a
5058	21209	johanssonsoundsymbolic-Miskito	misk1235		bad	1292	BAD		saura	s a u r a
8673	24824	constenlachibchan-Cacaopera	caca1247		bark	1204	BARK		kuta	k u t a
8678	24829	constenlachibchan-Mayangna	maya1285		bark	1204	BARK		utak	u t a k
8684	24835	constenlachibchan-Ulwa	ulwa1239		bark	1204	BARK		utak	u t a k
8893	25044	johanssonsoundsymbolic-Miskito	misk1235		bark	1204	BARK		dus_taya	d u s + t a y a
13034	29185	johanssonsoundsymbolic-Miskito	misk1235		bealive	1422	BE ALIVE		iwaia	i w a i a
15779	31930	johanssonsoundsymbolic-Miskito	misk1235		beautiful	1427	BEAUTIFUL		pranakira	p r a n a k i r a
16348	32499	johanssonsoundsymbolic-Miskito	misk1235		because	1157	BECAUSE		baxamna	b a x a m n a
19281	35432	johanssonsoundsymbolic-Miskito	misk1235		before	1882	BEFORE		mawanra	m a w a n r a
20515	36666	johanssonsoundsymbolic-Miskito	misk1235		behind	1686	BEHIND		ninara	n i n a r a
22934	39085	johanssonsoundsymbolic-Miskito	misk1235		belly	1251	BELLY		won_biara	w o n + b i a r a
24571	40722	johanssonsoundsymbolic-Miskito	misk1235		beloworunder	1485	BELOW OR UNDER		mayara	m a y a r a
25784	41935	johanssonsoundsymbolic-Miskito	misk1235		beside	1816	BESIDE		slumnikara	s l u m n i k a r a
26498	42649	johanssonsoundsymbolic-Miskito	misk1235		between	689	BETWEEN		wol_lilapasra	w o l + l i l a p a s r a
27627	43778	constenlachibchan-Cacaopera	caca1247		big	1202	BIG		bajaka	b a j a k a
27632	43783	constenlachibchan-Mayangna	maya1285		big	1202	BIG		nuhni	n u h n i
27638	43789	constenlachibchan-Ulwa	ulwa1239		big	1202	BIG		sikka	s i k a
27977	44128	johanssonsoundsymbolic-Miskito	misk1235		big	1202	BIG		tara	t a r a
30030	46181	constenlachibchan-Cacaopera	caca1247		bird	937	BIRD		wasiri	w a s i r i
30035	46186	constenlachibchan-Mayangna	maya1285		bird	937	BIRD		uhbin	u h b i n
30041	46192	constenlachibchan-Ulwa	ulwa1239		bird	937	BIRD		di: baka	d iː + b a k a
30359	46510	johanssonsoundsymbolic-Miskito	misk1235		bird	937	BIRD		tnawira	t n a w i r a
32362	48513	constenlachibchan-Cacaopera	caca1247		bite	1403	BITE		api	a p i
32367	48518	constenlachibchan-Mayangna	maya1285		bite	1403	BITE		kas	k a s
32373	48524	constenlachibchan-Ulwa	ulwa1239		bite	1403	BITE		kas	k a s
32710	48861	johanssonsoundsymbolic-Miskito	misk1235		bite	1403	BITE		samaia	s a m a i a
33843	49994	johanssonsoundsymbolic-Miskito	misk1235		bitter	887	BITTER		taxpla	t a x p l a
35014	51165	constenlachibchan-Cacaopera	caca1247		black	163	BLACK		mulka	m u l k a
35019	51170	constenlachibchan-Mayangna	maya1285		black	163	BLACK		sa:ni	s aː n i
35025	51176	constenlachibchan-Ulwa	ulwa1239		black	163	BLACK		baraska	b a r a s k a
35324	51475	johanssonsoundsymbolic-Miskito	misk1235		black	163	BLACK		siksa	s i k s a
38448	54599	constenlachibchan-Cacaopera	caca1247		blood	946	BLOOD		aru	a r u
38453	54604	constenlachibchan-Mayangna	maya1285		blood	946	BLOOD		a:	aː
38459	54610	constenlachibchan-Ulwa	ulwa1239		blood	946	BLOOD		a:was	aː w a s
38737	54888	johanssonsoundsymbolic-Miskito	misk1235		blood	946	BLOOD		baxanak	b a x a n a k
40950	57101	johanssonsoundsymbolic-Miskito	misk1235		blowofwind	175	BLOW (OF WIND)		won_wiŋka_pubaia	w o n + w i ŋ k a + p u b a i a
42110	58261	johanssonsoundsymbolic-Miskito	misk1235		blue	837	BLUE		saŋni	s a ŋ n i
43128	59279	johanssonsoundsymbolic-Miskito	misk1235		blunt	379	BLUNT		tuŋkuu	t u ŋ k uː
