	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3957	20108	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		back	1291	BACK		kɨtʃɨjɨ	k ɨ tʃ ɨ j ɨ
5077	21228	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		bad	1292	BAD		sajje	s a jː e
8911	25062	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		bark	1204	BARK		semmila	s e mː i l a
13053	29204	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		bealive	1422	BE ALIVE		ʔutʃu	ʔ u tʃ u
15791	31942	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		beautiful	1427	BEAUTIFUL		ʔejtʃitʃɨ	ʔ e j tʃ i tʃ ɨ
16359	32510	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		because	1157	BECAUSE		ŋka	ŋ k a
20533	36684	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		behind	1686	BEHIND		ʔetʃtʃa	ʔ e tʃː a
22954	39105	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		belly	1251	BELLY		lot̪o	l o t̪ o
24589	40740	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		beloworunder	1485	BELOW OR UNDER		ʔolowwit̪	ʔ o l o wː i t̪
27997	44148	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		big	1202	BIG		ʔeeʔatti	ʔ eː ʔ a tː i
30375	46526	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		bird	937	BIRD		mitʃeemati	m i tʃ eː m a t i
32730	48881	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		bite	1403	BITE		jɨllɨ	j ɨ lː ɨ
33862	50013	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		bitter	887	BITTER		seksekɨ	s e k s e k ɨ
35344	51495	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		black	163	BLACK		kululli	k u l u lː i
38757	54908	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		blood	946	BLOOD		kitʃtʃawɨ	k i tʃː a w ɨ
40968	57119	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		blowofwind	175	BLOW (OF WIND)		puutʃe	p uː tʃ e
42122	58273	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		blue	837	BLUE		tʃooki	tʃ oː k i
43145	59296	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		blunt	379	BLUNT		nikkiti	n i kː i t i
44639	60790	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		body	1480	BODY		miweejaʔ	m i w eː j a ʔ
46981	63132	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		bone	1394	BONE		kɨtʃtʃɨtʃɨ	k ɨ tʃː ɨ tʃ ɨ
51562	67713	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		boy	1366	BOY		sali	s a l i
52954	69105	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		brain	1583	BRAIN		luppetɨ	l u pː e t ɨ
57068	73221	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		breast	1402	BREAST		muusu	m uː s u
58985	75138	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		breathe	1407	BREATHE		henna	h e nː a
64538	80691	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		burn	2102	BURN		wɨkt̪ɨ	w ɨ k t̪ ɨ
73043	89196	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		carry	700	CARRY		ʔapaat̪ɨ	ʔ a p aː t̪ ɨ
87987	104140	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		clean	704	CLEAN		lekkɨtʃɨ	l e kː ɨ tʃ ɨ
91675	107828	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		cloud	1489	CLOUD		ʔoopa	ʔ oː p a
95259	111412	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		cold	1287	COLD		tuttutu	t u tː u t u
98922	115075	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		come	1446	COME		ʔɨɨnɨ	ʔ ɨː n ɨ
104953	121106	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		correctright	1725	CORRECT (RIGHT)		hɨɨmɨmɨ	h ɨː m ɨ m ɨ
106048	122201	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		cough	879	COUGH		kolle	k o lː e
110513	126666	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		crooked	297	CROOKED		patiiwa	p a t iː w a
112082	128235	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		crush	1520	CRUSH		tʃokka	tʃ o kː a
113027	129180	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		cry	1839	CRY		notʃtʃu	n o tʃː u
118739	134892	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		dark	706	DARK		tʃɨt̪pɨ	tʃ ɨ t̪ p ɨ
121863	138018	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		daynotnight	1225	DAY (NOT NIGHT)		hiʔeema	h i ʔ eː m a
124290	140445	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		deep	1593	DEEP		juŋŋa	j u ŋː a
127145	143300	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		die	1494	DIE		tʃamsɨ	tʃ a m s ɨ
131781	147936	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		dirty	1230	DIRTY		waliitɨ	w a l iː t ɨ
134255	150410	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		do	813	DO		mitʃtʃɨ	m i tʃː ɨ
135694	151849	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		dog	2009	DOG		tʃuku	tʃ u k u
142163	158318	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		drink	1401	DRINK		ʔuhu	ʔ u h u
145799	161954	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		dry	1398	DRY		hewe	h e w e
148776	164931	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		dust	2	DUST		joli	j o l i
151240	167395	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		ear	1247	EAR		toot̪osu	t oː t̪ o s u
154159	170314	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		earthsoil	1228	EARTH (SOIL)		walli	w a lː i
156762	172917	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		eat	1336	EAT		t̪ujju	t̪ u jː u
159070	175228	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		egg	744	EGG		haŋŋɨ	h a ŋː ɨ
160811	176969	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		eight	1705	EIGHT		kawwinta	k a wː i n t a
163754	179912	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		eleven	1706	ELEVEN		lnssakkeenu	l n sː a kː eː n u
164944	181102	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		empty	1624	EMPTY		hallesɨ	h a lː e s ɨ
169643	185801	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		eye	1248	EYE		sɨt̪t̪ɨ	s ɨ t̪ː ɨ
173647	189806	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		fall	1280	FALL		lɨɨmehnɨ	l ɨː m e h n ɨ
175917	192076	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		far	1406	FAR		t̪ot̪t̪oʔ	t̪ o t̪ː o ʔ
177037	193196	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		fart	1159	FART		kɨnsɨ	k ɨ n s ɨ
177491	193650	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		fast	1631	FAST		huuwa	h uː w a
182119	198279	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		mant̪eeka	m a n t̪ eː k a
184965	201125	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		feather	1201	FEATHER		petʃket̪a	p e tʃ k e t̪ a
189997	222650	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		flower	239	FLOWER		loojemma	l oː j e mː a
191313	223966	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		flyinsect	1504	FLY (INSECT)		sɨleet̪ɨ	s ɨ l eː t̪ ɨ
192915	225568	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		homoomajɨ	h o m oː m a j ɨ
196241	228894	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		foot	1301	FOOT		kolo	k o l o
