	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3957	20108	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		back	1291	BACK		kɨtʃɨjɨ	k ɨ tʃ ɨ j ɨ
5077	21228	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		bad	1292	BAD		sajje	s a jː e
8911	25062	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		bark	1204	BARK		semmila	s e mː i l a
13053	29204	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		bealive	1422	BE ALIVE		ʔutʃu	ʔ u tʃ u
16359	32510	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		because	1157	BECAUSE		ŋka	ŋ k a
22954	39105	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		belly	1251	BELLY		lot̪o	l o t̪ o
27997	44148	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		big	1202	BIG		ʔeeʔatti	ʔ eː ʔ a tː i
30375	46526	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		bird	937	BIRD		mitʃeemati	m i tʃ eː m a t i
32730	48881	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		bite	1403	BITE		jɨllɨ	j ɨ lː ɨ
35344	51495	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		black	163	BLACK		kululli	k u l u lː i
38757	54908	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		blood	946	BLOOD		kitʃtʃawɨ	k i tʃː a w ɨ
40968	57119	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		blowofwind	175	BLOW (OF WIND)		puutʃe	p uː tʃ e
43145	59296	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		blunt	379	BLUNT		nikkiti	n i kː i t i
46981	63132	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		bone	1394	BONE		kɨtʃtʃɨtʃɨ	k ɨ tʃː ɨ tʃ ɨ
58985	75138	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		breathe	1407	BREATHE		henna	h e nː a
91675	107828	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		cloud	1489	CLOUD		ʔoopa	ʔ oː p a
98922	115075	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		come	1446	COME		ʔɨɨnɨ	ʔ ɨː n ɨ
104953	121106	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		correctright	1725	CORRECT (RIGHT)		hɨɨmɨmɨ	h ɨː m ɨ m ɨ
121863	138018	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		daynotnight	1225	DAY (NOT NIGHT)		hiʔeema	h i ʔ eː m a
127145	143300	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		die	1494	DIE		tʃamsɨ	tʃ a m s ɨ
131781	147936	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		dirty	1230	DIRTY		waliitɨ	w a l iː t ɨ
135694	151849	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		dog	2009	DOG		tʃuku	tʃ u k u
142163	158318	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		drink	1401	DRINK		ʔuhu	ʔ u h u
145799	161954	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		dry	1398	DRY		hewe	h e w e
148776	164931	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		dust	2	DUST		joli	j o l i
151240	167395	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		ear	1247	EAR		toot̪osu	t oː t̪ o s u
154159	170314	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		earthsoil	1228	EARTH (SOIL)		walli	w a lː i
156762	172917	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		eat	1336	EAT		t̪ujju	t̪ u jː u
159070	175228	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		egg	744	EGG		haŋŋɨ	h a ŋː ɨ
169643	185801	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		eye	1248	EYE		sɨt̪t̪ɨ	s ɨ t̪ː ɨ
173647	189806	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		fall	1280	FALL		lɨɨmehnɨ	l ɨː m e h n ɨ
175917	192076	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		far	1406	FAR		t̪ot̪t̪oʔ	t̪ o t̪ː o ʔ
182119	198279	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		mant̪eeka	m a n t̪ eː k a
184965	201125	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		feather	1201	FEATHER		petʃket̪a	p e tʃ k e t̪ a
189997	222650	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		flower	239	FLOWER		loojemma	l oː j e mː a
192915	225568	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		homoomajɨ	h o m oː m a j ɨ
196241	228894	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		foot	1301	FOOT		kolo	k o l o
202572	235225	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		four	1500	FOUR		ʔojjissa	ʔ o jː i sː a
214670	247323	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		give	1447	GIVE		walka	w a l k a
220801	253457	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		good	1035	GOOD		hɨŋkatʃɨ	h ɨ ŋ k a tʃ ɨ
226237	258893	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		grass	606	GRASS		pootʃa	p oː tʃ a
228587	261243	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		green	1425	GREEN		tʃokokki	tʃ o k o kː i
234602	267258	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		hair	1040	HAIR		hanna	h a nː a
238444	271100	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		hand	1277	HAND		ʔukkusu	ʔ u kː u s u
243998	276655	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		head	1256	HEAD		hanna	h a nː a
246936	279593	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		hear	1408	HEAR		tolooju	t o l oː j u
248526	281183	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		heart	1223	HEART		wɨski	w ɨ s k i
250694	283351	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		heavy	1210	HEAVY		lewtetɨ	l e w t e t ɨ
254520	287179	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		here	136	HERE		hɨjaʔt̪o	h ɨ j a ʔ t̪ o
258776	291436	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		hit	1433	HIT		maʔt̪a	m a ʔ t̪ a
268900	301560	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		how	1239	HOW		mint̪o	m i n t̪ o
274749	307409	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		i	1209	I		kanni	k a nː i
276798	309458	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		if	1459	IF		ka	k a
287590	320250	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		kill	1417	KILL		janna	j a nː a
299072	331732	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		laugh	1355	LAUGH		hɨjaakɨ	h ɨ j aː k ɨ
302227	334887	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		leaf	628	LEAF		t̪at̪t̪a	t̪ a t̪ː a
305333	337993	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		left	244	LEFT		tʃajja	tʃ a jː a
316994	349654	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		liver	1224	LIVER		kɨlla	k ɨ lː a
319888	352548	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		long	1203	LONG		hɨlawwa	h ɨ l a wː a
323530	356190	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		louse	1392	LOUSE		ket̪t̪ɨ	k e t̪ː ɨ
332325	364986	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		many	1198	MANY		ʔaanik	ʔ aː n i k
350967	383631	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		mountain	639	MOUNTAIN		luupajɨ	l uː p a j ɨ
353482	386146	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		mouth	674	MOUTH		ʔawwo	ʔ a wː o
358499	391163	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		name	1405	NAME		ʔojaase	ʔ o j aː s e
360393	393059	johanssonsoundsymbolic-NorthernSierraMiwok	nort2968		narrow	1267	NARROW		tʃutʃtʃupi	tʃ u tʃː u p i
