	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3887	20038	johanssonsoundsymbolic-Copainalazoque	copa1236		back	1291	BACK		tuʔttskuj	t u ʔ tː s k u j
4998	21149	johanssonsoundsymbolic-Copainalazoque	copa1236		bad	1292	BAD		jatsi	j a ts i
8840	24991	johanssonsoundsymbolic-Copainalazoque	copa1236		bark	1204	BARK		kuʔjunaka	k u ʔ j u n a k a
9462	25613	wichmannmixezoquean-LowlandMixe	coat1238		bark	1204	BARK		ak	a k
9463	25614	wichmannmixezoquean-NorthHighlandMixe	toto1305		bark	1204	BARK		kïp ak	k ɨ p + a k
9464	25615	wichmannmixezoquean-SanMiguelChimalapaZoque	chim1300		bark	1204	BARK		kuy naka	k u j + n a k a
9465	25616	wichmannmixezoquean-SayulaPopoluca	sayu1241		bark	1204	BARK		ak	a k
9466	25617	wichmannmixezoquean-SouthHighlandMixe	tlah1239		bark	1204	BARK		ak	a k
9467	25618	wichmannmixezoquean-TexistepecZoque	texi1237		bark	1204	BARK		kuy-daak	k u j + d aː k
12981	29132	johanssonsoundsymbolic-Copainalazoque	copa1236		bealive	1422	BE ALIVE		ixtu	i x t u
15743	31894	johanssonsoundsymbolic-Copainalazoque	copa1236		beautiful	1427	BEAUTIFUL		saʔsa	s a ʔ s a
19230	35381	johanssonsoundsymbolic-Copainalazoque	copa1236		before	1882	BEFORE		wina	w i n a
20469	36620	johanssonsoundsymbolic-Copainalazoque	copa1236		behind	1686	BEHIND		ukaŋgəʔmək	u k a ŋ g ə ʔ m ə k
22872	39023	johanssonsoundsymbolic-Copainalazoque	copa1236		belly	1251	BELLY		tsek	ts e k
23847	39998	wichmannmixezoquean-LowlandMixe	coat1238		belly	1251	BELLY		moʔošak	m o ʔ o ʃ a k
23848	39999	wichmannmixezoquean-NorthHighlandMixe	toto1305		belly	1251	BELLY		tiints	t iː n ts
23849	40000	wichmannmixezoquean-OlutaPopoluca	olut1240		belly	1251	BELLY		puʔpu	p u ʔ p u
23850	40001	wichmannmixezoquean-SanMiguelChimalapaZoque	chim1300		belly	1251	BELLY		tsek	ts e k
23851	40002	wichmannmixezoquean-SayulaPopoluca	sayu1241		belly	1251	BELLY		tin-čay	t i n + tʃ a j
23852	40003	wichmannmixezoquean-SouthHighlandMixe	tlah1239		belly	1251	BELLY		mææts	m æː ts
23853	40004	wichmannmixezoquean-TexistepecZoque	texi1237		belly	1251	BELLY		tsek	ts e k
24526	40677	johanssonsoundsymbolic-Copainalazoque	copa1236		beloworunder	1485	BELOW OR UNDER		kəʔmə	k ə ʔ m ə
25747	41898	johanssonsoundsymbolic-Copainalazoque	copa1236		beside	1816	BESIDE		tseʔŋna	ts e ʔ ŋ n a
