	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
4118	20269	northeuralex-bua	buri1258		back	1291	BACK		njurɡaŋ	n j u r g a ŋ
4156	20307	northeuralex-khk	halh1238		back	1291	BACK		ar	a r
4157	20308	northeuralex-khk	halh1238		back	1291	BACK		nʊrʊ	n ʊ r ʊ
4210	20361	northeuralex-xal	kalm1243		back	1291	BACK		nʊrħɐ̆n	n ʊ r ħ ɐ n
5247	21398	northeuralex-bua	buri1258		bad	1292	BAD		muː	m uː
5289	21440	northeuralex-khk	halh1238		bad	1292	BAD		mʊː	m ʊː
5290	21441	northeuralex-khk	halh1238		bad	1292	BAD		oːtɡui̯	oː t g u i
5355	21506	northeuralex-xal	kalm1243		bad	1292	BAD		mʊ	m ʊ
9111	25262	northeuralex-bua	buri1258		bark	1204	BARK		xɔltɔhɔŋ	x ɔ l t ɔ h ɔ ŋ
9152	25303	northeuralex-khk	halh1238		bark	1204	BARK		xɔɮtʰɔ̆s	x ɔ ɮ tʰ ɔ s
9209	25360	northeuralex-xal	kalm1243		bark	1204	BARK		kœrsn	k œ r s n
13213	29364	northeuralex-bua	buri1258		bealive	1422	BE ALIVE		amidʉ	a m i d ʉ
13214	29365	northeuralex-bua	buri1258		bealive	1422	BE ALIVE		aʒahuːxa	a ʒ a h uː x a
13289	29440	northeuralex-khk	halh1238		bealive	1422	BE ALIVE		amʲt	a mʲ t
13290	29441	northeuralex-khk	halh1238		bealive	1422	BE ALIVE		amʲtʰai̯	a mʲ tʰ a i
13291	29442	northeuralex-khk	halh1238		bealive	1422	BE ALIVE		amʲtrăx	a mʲ t r a x
13395	29546	northeuralex-xal	kalm1243		bealive	1422	BE ALIVE		æmtɛ	æ m t ɛ
13396	29547	northeuralex-xal	kalm1243		bealive	1422	BE ALIVE		pæːx	p æː x
23126	39277	northeuralex-bua	buri1258		belly	1251	BELLY		ɡɛdɛhɛŋ	g ɛ d ɛ h ɛ ŋ
23163	39314	northeuralex-khk	halh1238		belly	1251	BELLY		xew̜ɮʲi	x e w ɮʲ i
23164	39315	northeuralex-khk	halh1238		belly	1251	BELLY		ɡetĕs	g e t e s
23218	39369	northeuralex-xal	kalm1243		belly	1251	BELLY		ɡesɛn	g e s ɛ n
25615	41766	northeuralex-bua	buri1258		berry	904	BERRY		ʒɛmɛs	ʒ ɛ m ɛ s
25652	41803	northeuralex-khk	halh1238		berry	904	BERRY		t͡ʃʲimsɡĕnĕ	tʃʲ i m s g e n e
25705	41856	northeuralex-xal	kalm1243		berry	904	BERRY		pœːɮd͡ʒrħn	p œː ɮ dʒ r ħ n
28276	44427	northeuralex-bua	buri1258		big	1202	BIG		mandaɡar	m a n d a g a r
28314	44465	northeuralex-khk	halh1238		big	1202	BIG		ʲix	j i x
28315	44466	northeuralex-khk	halh1238		big	1202	BIG		tʰɔm	tʰ ɔ m
