	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8814	24965	johanssonsoundsymbolic-Alabama	alab1237		bark	1204	BARK		ittaffaktʃi	i tː a fː a k tʃ i
22844	38995	johanssonsoundsymbolic-Alabama	alab1237		belly	1251	BELLY		ikfi	i k f i
27885	44036	johanssonsoundsymbolic-Alabama	alab1237		big	1202	BIG		tʃoba	tʃ o b a
30278	46429	johanssonsoundsymbolic-Alabama	alab1237		bird	937	BIRD		foosi	f oː s i
32627	48778	johanssonsoundsymbolic-Alabama	alab1237		bite	1403	BITE		katʃaɬɬi	k a tʃ a ɬː i
35235	51386	johanssonsoundsymbolic-Alabama	alab1237		black	163	BLACK		lotʃa	l o tʃ a
38648	54799	johanssonsoundsymbolic-Alabama	alab1237		blood	946	BLOOD		ɬakhani	ɬ a kʰ a n i
46876	63027	johanssonsoundsymbolic-Alabama	alab1237		bone	1394	BONE		tʃofkoni	tʃ o f k o n i
56963	73116	johanssonsoundsymbolic-Alabama	alab1237		breast	1402	BREAST		pisi	p i s i
64442	80595	johanssonsoundsymbolic-Alabama	alab1237		burn	2102	BURN		libatli	l i b a t l i
91580	107733	johanssonsoundsymbolic-Alabama	alab1237		cloud	1489	CLOUD		onoolitʃi	o n oː l i tʃ i
95153	111306	johanssonsoundsymbolic-Alabama	alab1237		cold	1287	COLD		salaaha	s a l aː h a
98817	114970	johanssonsoundsymbolic-Alabama	alab1237		come	1446	COME		minti	m i n t i
127036	143191	johanssonsoundsymbolic-Alabama	alab1237		die	1494	DIE		holitli	h o l i t l i
135586	151741	johanssonsoundsymbolic-Alabama	alab1237		dog	2009	DOG		ifa	i f a
142055	158210	johanssonsoundsymbolic-Alabama	alab1237		drink	1401	DRINK		isko	i s k o
145702	161857	johanssonsoundsymbolic-Alabama	alab1237		dry	1398	DRY		solotka	s o l o t k a
151129	167284	johanssonsoundsymbolic-Alabama	alab1237		ear	1247	EAR		istimilhaalo	i s t i m i l̥ aː l o
154052	170207	johanssonsoundsymbolic-Alabama	alab1237		earthsoil	1228	EARTH (SOIL)		ihaani	i h aː n i
156653	172808	johanssonsoundsymbolic-Alabama	alab1237		eat	1336	EAT		ilpa	i l p a
158966	175124	johanssonsoundsymbolic-Alabama	alab1237		egg	744	EGG		akaakotʃoosi	a k aː k o tʃ oː s i
169534	185692	johanssonsoundsymbolic-Alabama	alab1237		eye	1248	EYE		ittiɬi	i tː i ɬ i
182032	198192	johanssonsoundsymbolic-Alabama	alab1237		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		nikoobihtʃi	n i k oː b i h tʃ i
184867	201027	johanssonsoundsymbolic-Alabama	alab1237		feather	1201	FEATHER		foosiwoksi	f oː s i w o k s i
192827	225480	johanssonsoundsymbolic-Alabama	alab1237		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		tʃokano	tʃ o k a n o
196136	228789	johanssonsoundsymbolic-Alabama	alab1237		foot	1301	FOOT		ijji	i jː i
209246	241899	johanssonsoundsymbolic-Alabama	alab1237		full	1429	FULL		alotka	a l o t k a
214563	247216	johanssonsoundsymbolic-Alabama	alab1237		give	1447	GIVE		inka	i n k a
220690	253346	johanssonsoundsymbolic-Alabama	alab1237		good	1035	GOOD		iskano	i s k a n o
228493	261149	johanssonsoundsymbolic-Alabama	alab1237		green	1425	GREEN		oktʃakko	o k tʃ a kː o
234494	267150	johanssonsoundsymbolic-Alabama	alab1237		hair	1040	HAIR		hissi	h i sː i
238333	270989	johanssonsoundsymbolic-Alabama	alab1237		hand	1277	HAND		ilbi	i l b i
243888	276545	johanssonsoundsymbolic-Alabama	alab1237		head	1256	HEAD		isbakko	i s b a kː o
246836	279493	johanssonsoundsymbolic-Alabama	alab1237		hear	1408	HEAR		istilhaalo	i s t i l̥ aː l o
248419	281076	johanssonsoundsymbolic-Alabama	alab1237		heart	1223	HEART		tʃonoska	tʃ o n o s k a
263311	295971	johanssonsoundsymbolic-Alabama	alab1237		hornanatomy	1393	HORN (ANATOMY)		illapihtʃi	i lː a p i h tʃ i
274640	307300	johanssonsoundsymbolic-Alabama	alab1237		i	1209	I		ana	a n a
287486	320146	johanssonsoundsymbolic-Alabama	alab1237		kill	1417	KILL		ibi	i b i
290168	322828	johanssonsoundsymbolic-Alabama	alab1237		knee	1371	KNEE		ittoɬpa	i tː o ɬ p a
302124	334784	johanssonsoundsymbolic-Alabama	alab1237		leaf	628	LEAF		ittohissi	i tː o h i sː i
316892	349552	johanssonsoundsymbolic-Alabama	alab1237		liver	1224	LIVER		illopi	i lː o p i
319791	352451	johanssonsoundsymbolic-Alabama	alab1237		long	1203	LONG		baski	b a s k i
323440	356100	johanssonsoundsymbolic-Alabama	alab1237		louse	1392	LOUSE		itʃha	i tʃʰ a
330396	363057	johanssonsoundsymbolic-Alabama	alab1237		man	1554	MAN		naani	n aː n i
332219	364880	johanssonsoundsymbolic-Alabama	alab1237		many	1198	MANY		maafiiko	m aː f iː k o
344389	377050	johanssonsoundsymbolic-Alabama	alab1237		moon	1313	MOON		niɬahasi	n i ɬ a h a s i
350866	383530	johanssonsoundsymbolic-Alabama	alab1237		mountain	639	MOUNTAIN		bokkostʃaaha	b o kː o s tʃ aː h a
353374	386038	johanssonsoundsymbolic-Alabama	alab1237		mouth	674	MOUTH		itʃokhalbi	i tʃ o kʰ a l b i
358393	391057	johanssonsoundsymbolic-Alabama	alab1237		name	1405	NAME		holtʃifa	h o l tʃ i f a
364681	397348	johanssonsoundsymbolic-Alabama	alab1237		neck	1333	NECK		nokbi	n o k b i
368743	401410	johanssonsoundsymbolic-Alabama	alab1237		new	1231	NEW		hahpa	h a h p a
371513	404180	johanssonsoundsymbolic-Alabama	alab1237		night	1233	NIGHT		tanka	t a n k a
377330	409997	johanssonsoundsymbolic-Alabama	alab1237		nose	1221	NOSE		ibisaani	i b i s aː n i
378933	411600	johanssonsoundsymbolic-Alabama	alab1237		not	1240	NOT		ankobi	a n k o b i
389625	422292	johanssonsoundsymbolic-Alabama	alab1237		one	1493	ONE		tʃaffaaka	tʃ a fː aː k a
406171	438838	johanssonsoundsymbolic-Alabama	alab1237		person	683	PERSON		aati	aː t i
432425	465093	johanssonsoundsymbolic-Alabama	alab1237		red	156	RED		homma	h o mː a
444381	477050	johanssonsoundsymbolic-Alabama	alab1237		root	670	ROOT		assiktʃi	a sː i k tʃ i
448775	481444	johanssonsoundsymbolic-Alabama	alab1237		round	1395	ROUND		bolokta	b o l o k t a
456327	488996	johanssonsoundsymbolic-Alabama	alab1237		sand	671	SAND		santʃo	s a n tʃ o
459288	491957	johanssonsoundsymbolic-Alabama	alab1237		say	1458	SAY		manka	m a n k a
465034	497704	johanssonsoundsymbolic-Alabama	alab1237		see	1409	SEE		istilhitʃa	i s t i l̥ i tʃ a
466614	499284	johanssonsoundsymbolic-Alabama	alab1237		seed	714	SEED		hiɬiktʃi	h i ɬ i k tʃ i
490479	523151	johanssonsoundsymbolic-Alabama	alab1237		sit	1416	SIT		biniili	b i n iː l i
494595	527267	johanssonsoundsymbolic-Alabama	alab1237		skin	763	SKIN		affaktʃi	a fː a k tʃ i
499228	531900	johanssonsoundsymbolic-Alabama	alab1237		sleep	1585	SLEEP		innotʃi	i nː o tʃ i
502812	535486	johanssonsoundsymbolic-Alabama	alab1237		small	1246	SMALL		tʃinoofa	tʃ i n oː f a
507141	539817	johanssonsoundsymbolic-Alabama	alab1237		smokeexhaust	778	SMOKE (EXHAUST)		sobotli	s o b o t l i
530017	562693	johanssonsoundsymbolic-Alabama	alab1237		stand	1442	STAND		hatʃaali	h a tʃ aː l i
532270	564946	johanssonsoundsymbolic-Alabama	alab1237		star	1430	STAR		hotʃiiɬi	h o tʃ iː ɬ i
538810	571487	johanssonsoundsymbolic-Alabama	alab1237		stone	857	STONE		tali	t a l i
548197	580874	johanssonsoundsymbolic-Alabama	alab1237		sun	1343	SUN		hasi	h a s i
555238	587915	johanssonsoundsymbolic-Alabama	alab1237		swim	1439	SWIM		oohapka	oː h a p k a
557693	590370	johanssonsoundsymbolic-Alabama	alab1237		tail	1220	TAIL		hatʃi	h a tʃ i
567081	599760	johanssonsoundsymbolic-Alabama	alab1237		that	78	THAT		ka	k a
578169	610848	johanssonsoundsymbolic-Alabama	alab1237		this	1214	THIS		ja	j a
580354	613037	johanssonsoundsymbolic-Alabama	alab1237		thou	1215	THOU		isna	i s n a
596251	628938	johanssonsoundsymbolic-Alabama	alab1237		tongue	1205	TONGUE		itʃoolaksi	i tʃ oː l a k s i
598428	631115	johanssonsoundsymbolic-Alabama	alab1237		tooth	1380	TOOTH		nati	n a t i
602835	635522	johanssonsoundsymbolic-Alabama	alab1237		tree	906	TREE		itto	i tː o
611333	644020	johanssonsoundsymbolic-Alabama	alab1237		two	1498	TWO		toklo	t o k l o
627187	679848	johanssonsoundsymbolic-Alabama	alab1237		white	1335	WHITE		hatka	h a t k a
629653	682406	johanssonsoundsymbolic-Alabama	alab1237		who	1235	WHO		naksi	n a k s i
640034	692789	johanssonsoundsymbolic-Alabama	alab1237		woman	962	WOMAN		tajki	t a j k i
