	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
4286	20437	wold-Hup	hupd1244		back	1291	BACK		hupáh	h u p a h
4287	20438	wold-Hup	hupd1244		back	1291	BACK		cĩcĩʔ	c ĩ c ĩ ʔ
5658	21809	wold-Hup	hupd1244		bad	1292	BAD		páy	p a j
9479	25630	wold-Hup	hupd1244		bark	1204	BARK		-b’ɔk	bʼ ɔ k
13515	29666	wold-Hup	hupd1244		bealive	1422	BE ALIVE		ʔɨb’-	ʔ ɨ bʼ
16491	32642	wold-Hup	hupd1244		because	1157	BECAUSE		keyóʔ	k e j o ʔ
23862	40013	wold-Hup	hupd1244		belly	1251	BELLY		tǒk	t o k
29080	45231	wold-Hup	hupd1244		big	1202	BIG		póg	p o g
31437	47588	wold-Hup	hupd1244		bird	937	BIRD		hũtæ̃´h	h ũ t æ̃ h
33527	49678	wold-Hup	hupd1244		bite	1403	BITE		g’ǝç-	gʼ ə ç
36050	52201	wold-Hup	hupd1244		black	163	BLACK		j’á	ɟʼ a
39791	55942	wold-Hup	hupd1244		blood	946	BLOOD		biyǐw	b i j i w
41523	57674	wold-Hup	hupd1244		blowofwind	175	BLOW (OF WIND)		pohow’-	p o h o wʼ
48045	64196	wold-Hup	hupd1244		bone	1394	BONE		g’æ̌g	gʼ æ g
59484	75637	wold-Hup	hupd1244		breathe	1407	BREATHE		haŋcak-	h a ŋ c a k
59485	75638	wold-Hup	hupd1244		breathe	1407	BREATHE		haŋcɔw-	h a ŋ c ɔ w
65331	81484	wold-Hup	hupd1244		burning	1428	BURNING		hɔ̃-	h ɔ̃
83835	99988	wold-Hup	hupd1244		childyounghuman	1304	CHILD (YOUNG HUMAN)		-dóʔ	d o ʔ
92509	108662	wold-Hup	hupd1244		cloud	1489	CLOUD		j’ɨk_kudú	ɟʼ ɨ k + k u d u
99988	116141	wold-Hup	hupd1244		come	1446	COME		næn-	n æ n
105314	121467	wold-Hup	hupd1244		correctright	1725	CORRECT (RIGHT)		dɔʔkěy	d ɔ ʔ k e j
107677	123830	wold-Hup	hupd1244		count	1420	COUNT		dɔʔ-	d ɔ ʔ
115616	131769	wold-Hup	hupd1244		cut	1432	CUT		hɔ̃k-	h ɔ̃ k
122390	138545	wold-Hup	hupd1244		daynotnight	1225	DAY (NOT NIGHT)		wág	w a g
128102	144257	wold-Hup	hupd1244		die	1494	DIE		naʔ-	n a ʔ
130216	146371	wold-Hup	hupd1244		dig	1418	DIG		hat-	h a t
132184	148339	wold-Hup	hupd1244		dirty	1230	DIRTY		titíʔ	t i t i ʔ
132185	148340	wold-Hup	hupd1244		dirty	1230	DIRTY		j’ɔ̌w’	ɟʼ ɔ wʼ
136769	152924	wold-Hup	hupd1244		dog	2009	DOG		yaʔamhóʔ	j a ʔ a m + h o ʔ
142827	158982	wold-Hup	hupd1244		drink	1401	DRINK		ʔǝg-	ʔ ə g
146437	162592	wold-Hup	hupd1244		dry	1398	DRY		hǝb-	h ə b
149209	165364	wold-Hup	hupd1244		dust	2	DUST		mɔy_j’ɨ̌k	m ɔ j + ɟʼ ɨ k
152298	168453	wold-Hup	hupd1244		ear	1247	EAR		bɔtɔ́k	b ɔ t ɔ k
154768	170923	wold-Hup	hupd1244		earthsoil	1228	EARTH (SOIL)		m’ǎj’	mʼ a ɟʼ
157683	173841	wold-Hup	hupd1244		eat	1336	EAT		wæd-	w æ d
160081	176239	wold-Hup	hupd1244		egg	744	EGG		-tip	t i p
170727	186885	wold-Hup	hupd1244		eye	1248	EYE		kǝwə̌g	k ə w ə g
174263	190422	wold-Hup	hupd1244		fall	1280	FALL		nɔh-	n ɔ h
176523	192682	wold-Hup	hupd1244		far	1406	FAR		w’ěh	wʼ e h
180606	196765	wold-Hup	hupd1244		father	1217	FATHER		ʔíp	ʔ i p
182720	198880	wold-Hup	hupd1244		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		náŋ	n a ŋ
185504	201664	wold-Hup	hupd1244		feather	1201	FEATHER		hũtæ̃´h_pã´t	h ũ t æ̃ h + p ã t
187678	220331	wold-Hup	hupd1244		float	1574	FLOAT		popow-	p o p o w
189077	221730	wold-Hup	hupd1244		flow	2003	FLOW		hi-	h i
190410	223063	wold-Hup	hupd1244		flower	239	FLOWER		c’ɔ́	cʼ ɔ
193553	226206	wold-Hup	hupd1244		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		wayd’oʔ-	w a j dʼ o ʔ
194903	227556	wold-Hup	hupd1244		fog	249	FOG		j’ɨ̌k	ɟʼ ɨ k
196935	229588	wold-Hup	hupd1244		foot	1301	FOOT		j’ǐb	ɟʼ i b
200226	232879	wold-Hup	hupd1244		forest	420	FOREST		j’ǔg	ɟʼ u g
200227	232880	wold-Hup	hupd1244		forest	420	FOREST		hǎy	h a j
203368	236021	wold-Hup	hupd1244		four	1500	FOUR		hibab’ní	h i b a bʼ n i
215687	248340	wold-Hup	hupd1244		give	1447	GIVE		nɔʔ-	n ɔ ʔ
221860	254516	wold-Hup	hupd1244		good	1035	GOOD		náw	n a w
226718	259374	wold-Hup	hupd1244		grass	606	GRASS		cǐh	c i h
229284	261940	wold-Hup	hupd1244		green	1425	GREEN		pɔ̃pɔ̃´h	p ɔ̃ p ɔ̃ h
239218	271874	wold-Hup	hupd1244		hand	1277	HAND		d’apũ´h	dʼ a p ũ h
242941	275598	wold-Hup	hupd1244		he	1211	HE		tɨ́h	t ɨ h
245115	277772	wold-Hup	hupd1244		head	1256	HEAD		núh	n u h
247907	280564	wold-Hup	hupd1244		hear	1408	HEAR		wɨʔ-	w ɨ ʔ
249255	281912	wold-Hup	hupd1244		heart	1223	HEART		hã´wɨg	h ã w ɨ g
251396	284053	wold-Hup	hupd1244		heavy	1210	HEAVY		yiwík	j i w i k
255018	287677	wold-Hup	hupd1244		here	136	HERE		nút	n u t
261017	293677	wold-Hup	hupd1244		hold	1448	HOLD		tɔn-	t ɔ n
269280	301940	wold-Hup	hupd1244		how	1239	HOW		hɨ̃p	h ɨ̃ p
271991	304651	wold-Hup	hupd1244		hunt	1435	HUNT		hũ´_mæh-	h ũ + m æ h
271992	304652	wold-Hup	hupd1244		hunt	1435	HUNT		nɔway-	n ɔ w a j
273438	306098	wold-Hup	hupd1244		husband	1200	HUSBAND		tæ̃hʔíp	t æ̃ h ʔ i p
275519	308179	wold-Hup	hupd1244		i	1209	I		ʔãh	ʔ ã h
275925	308585	wold-Hup	hupd1244		ice	617	ICE		cédu	c e d u
275926	308586	wold-Hup	hupd1244		ice	617	ICE		děh_m’ǽ	d e h + mʼ æ
276954	309614	wold-Hup	hupd1244		if	1459	IF		-tæn	t æ n
278320	310980	wold-Hup	hupd1244		in	1460	IN		g’ǒdan	gʼ o d a n
288334	320994	wold-Hup	hupd1244		kill	1417	KILL		m’æh-	mʼ æ h
294871	327531	wold-Hup	hupd1244		knowsomething	1410	KNOW (SOMETHING)		hipãh-	h i p ã h
296474	329134	wold-Hup	hupd1244		lake	624	LAKE		mɔ́h	m ɔ h
299821	332481	wold-Hup	hupd1244		laugh	1355	LAUGH		tæ̃ʔnɔ-	t æ̃ ʔ n ɔ
303206	335866	wold-Hup	hupd1244		leaf	628	LEAF		cug’æ̌t	c u gʼ æ t
305760	338420	wold-Hup	hupd1244		left	244	LEFT		cɔ̃h_cáʔah	c ɔ̃ h + c a ʔ a h
317679	350339	wold-Hup	hupd1244		liver	1224	LIVER		hɔ́	h ɔ
320732	353392	wold-Hup	hupd1244		long	1203	LONG		w’ə̌t	wʼ ə t
332946	365607	wold-Hup	hupd1244		many	1198	MANY		də́b	d ə b
350171	382835	wold-Hup	hupd1244		mother	1216	MOTHER		ʔín	ʔ i n
354512	387176	wold-Hup	hupd1244		mouth	674	MOUTH		nɔg’ǒd	n ɔ gʼ o d
359342	392008	wold-Hup	hupd1244		name	1405	NAME		hǎt	h a t
363643	396309	wold-Hup	hupd1244		near	1942	NEAR		máhyɨʔ	m a h j ɨ ʔ
365787	398454	wold-Hup	hupd1244		neck	1333	NECK		kaʔtɨ́t	k a ʔ t ɨ t
369683	402350	wold-Hup	hupd1244		new	1231	NEW		d’ǝw-	dʼ ə w
369684	402351	wold-Hup	hupd1244		new	1231	NEW		hup	h u p
372627	405294	wold-Hup	hupd1244		night	1233	NIGHT		j’ə́b	ɟʼ ə b
378506	411173	wold-Hup	hupd1244		nose	1221	NOSE		tǒj	t o ɟ
379570	412237	wold-Hup	hupd1244		not	1240	NOT		-nɨh	n ɨ h
383959	416626	wold-Hup	hupd1244		old	1229	OLD		bɨ̌g	b ɨ g
383960	416627	wold-Hup	hupd1244		old	1229	OLD		tɨhwǝhə́d	t ɨ h + w ə h ə d
383961	416628	wold-Hup	hupd1244		old	1229	OLD		tɨhwá	t ɨ h + w a
390775	423442	wold-Hup	hupd1244		one	1493	ONE		ʔayǔp	ʔ a j u p
394034	426701	wold-Hup	hupd1244		other	197	OTHER		j’ã´p	ɟʼ ã p
406916	439583	wold-Hup	hupd1244		person	683	PERSON		húp	h u p
414205	446872	wold-Hup	hupd1244		play	1413	PLAY		mũhũʔ-	m ũ h ũ ʔ
421620	454287	wold-Hup	hupd1244		pull	1455	PULL		kǝk-	k ə k
423288	455956	wold-Hup	hupd1244		push	1452	PUSH		tu-	t u
423289	455957	wold-Hup	hupd1244		push	1452	PUSH		tɨy-	t ɨ j
433341	466009	wold-Hup	hupd1244		red	156	RED		dó	d o
438709	471377	wold-Hup	hupd1244		right	1019	RIGHT		pɨb_cáʔah	p ɨ b + c a ʔ a h
441745	474414	wold-Hup	hupd1244		road	667	ROAD		tiw_pǒg	t i w + p o g
445394	478063	wold-Hup	hupd1244		root	670	ROOT		tǐh	t i h
446985	479654	wold-Hup	hupd1244		rope	1218	ROPE		tɨ́t	t ɨ t
448245	480914	wold-Hup	hupd1244		rotten	1728	ROTTEN		d’ɔhyɨʔ-	dʼ ɔ h j ɨ ʔ
450086	482755	wold-Hup	hupd1244		rub	1449	RUB		yɔyɔp-	j ɔ j ɔ p
454478	487147	wold-Hup	hupd1244		salt	1274	SALT		b’ǒh	bʼ o h
457397	490066	wold-Hup	hupd1244		sand	671	SAND		wæg_yɔ̌h	w æ g + j ɔ h
459981	492650	wold-Hup	hupd1244		say	1458	SAY		nɔ-	n ɔ
462342	495011	wold-Hup	hupd1244		scratch	1436	SCRATCH		kokoj-	k o k o ɟ
466196	498866	wold-Hup	hupd1244		see	1409	SEE		key-	k e j
467332	500002	wold-Hup	hupd1244		seed	714	SEED		-wɨg	w ɨ g
472471	505142	wold-Hup	hupd1244		sew	1457	SEW		hicuh-	h i c u h
475510	508181	wold-Hup	hupd1244		sharp	1396	SHARP		j’ɨ́g	ɟʼ ɨ g
488719	521391	wold-Hup	hupd1244		sing	1261	SING		yamhĩdɔʔ-	j a m + h ĩ d ɔ ʔ
491366	524038	wold-Hup	hupd1244		sit	1416	SIT		pæm-	p æ m
497744	530416	wold-Hup	hupd1244		sky	1732	SKY		pǎç	p a ç
500341	533014	wold-Hup	hupd1244		sleep	1585	SLEEP		ʔɔ̃h-	ʔ ɔ̃ h
503984	536658	wold-Hup	hupd1244		small	1246	SMALL		cĩ´pm’æh	c ĩ p mʼ æ h
505862	538536	wold-Hup	hupd1244		smellperceive	1586	SMELL (PERCEIVE)		cĩhwɨʔ-	c ĩ h + w ɨ ʔ
508242	540918	wold-Hup	hupd1244		smokeexhaust	778	SMOKE (EXHAUST)		j’ɨ̌k	ɟʼ ɨ k
509029	541705	wold-Hup	hupd1244		smooth	1234	SMOOTH		yíb	j i b
510884	543560	wold-Hup	hupd1244		snake	730	SNAKE		m’æ̌h	mʼ æ h
510885	543561	wold-Hup	hupd1244		snake	730	SNAKE		tɨ̃hɨ̃´y	t ɨ̃ h ɨ̃ j
514297	546973	wold-Hup	hupd1244		some	1241	SOME		ʔayup_pɨ́d	ʔ a j u p + p ɨ d
524534	557210	wold-Hup	hupd1244		spit	1440	SPIT		j’ɔç-	ɟʼ ɔ ç
525580	558256	wold-Hup	hupd1244		split	1437	SPLIT		b’ah-	bʼ a h
528014	560690	wold-Hup	hupd1244		squeeze	1414	SQUEEZE		koʔwow’-	k o ʔ w o wʼ
530897	563573	wold-Hup	hupd1244		stand	1442	STAND		g’et-	gʼ e t
533264	565940	wold-Hup	hupd1244		star	1430	STAR		wædhɔm’æ̌h	w æ d + h ɔ mʼ æ h
541866	574543	wold-Hup	hupd1244		straight	1404	STRAIGHT		mɨnɨ́ŋ	m ɨ n ɨ ŋ
541867	574544	wold-Hup	hupd1244		straight	1404	STRAIGHT		yɔ́w	j ɔ w
546564	579241	wold-Hup	hupd1244		suck	1421	SUCK		ʔay’-	ʔ a jʼ
549382	582059	wold-Hup	hupd1244		sun	1343	SUN		wædhɔ́	w æ d + h ɔ
555813	588490	wold-Hup	hupd1244		swim	1439	SWIM		j’ɔmham-	ɟʼ ɔ m + h a m
558698	591375	wold-Hup	hupd1244		tail	1220	TAIL		d’ǔb	dʼ u b
567691	600370	wold-Hup	hupd1244		that	78	THAT		n’íp	nʼ i p
567692	600371	wold-Hup	hupd1244		that	78	THAT		yúp	j u p
569663	602342	wold-Hup	hupd1244		there	1937	THERE		n’ít	nʼ i t
571217	603896	wold-Hup	hupd1244		they	817	THEY		hɨ́d	h ɨ d
572531	605210	wold-Hup	hupd1244		thick	1244	THICK		g’ə́ʔ	gʼ ə ʔ
578776	611456	wold-Hup	hupd1244		this	1214	THIS		núp	n u p
581028	613711	wold-Hup	hupd1244		thou	1215	THOU		ʔám	ʔ a m
584030	616715	wold-Hup	hupd1244		three	492	THREE		mɔtaʔǎp	m ɔ t a ʔ a p
586636	619321	wold-Hup	hupd1244		throw	1456	THROW		b’uy-	bʼ u j
589894	622581	wold-Hup	hupd1244		tie	1917	TIE		j’ɨp-	ɟʼ ɨ p
589895	622582	wold-Hup	hupd1244		tie	1917	TIE		hɔ̃w’-	h ɔ̃ wʼ
597403	630090	wold-Hup	hupd1244		tongue	1205	TONGUE		nɔg’æ̌d	n ɔ gʼ æ d
599585	632272	wold-Hup	hupd1244		tooth	1380	TOOTH		tə́g	t ə g
603983	636670	wold-Hup	hupd1244		tree	906	TREE		tegd’ǔh	t e g dʼ u h
