	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
652	16803	wold-Bezhta	bezh1248		at	1461	AT		-ɣa	ɣ a
703	16854	northeuralex-ava	avar1256		atfirst	2915	AT FIRST		tʼot͡sjebje	tʼ o ts j e b j e
716	16867	northeuralex-che	chec1245		atfirst	2915	AT FIRST		ʜəlxə	ʜ ə l x ə
722	16873	northeuralex-dar	darg1241		atfirst	2915	AT FIRST		halanat͡ʃi	h a l a n a tʃ i
723	16874	northeuralex-dar	darg1241		atfirst	2915	AT FIRST		hala-hala	h a l a h a l a
724	16875	northeuralex-ddo	dido1241		atfirst	2915	AT FIRST		sossi	s o s s i
768	16919	northeuralex-lbe	lakk1252		atfirst	2915	AT FIRST		bakʼraj	b a kʼ r a j
769	16920	northeuralex-lbe	lakk1252		atfirst	2915	AT FIRST		t͡sʼu_butʼuj	tsʼ u + b u tʼ u j
770	16921	northeuralex-lez	lezg1247		atfirst	2915	AT FIRST		sifte	s i f t e
916	17067	wold-Archi	arch1244		attack	722	ATTACK		hužum_abas	h u ʒ u m + a b a s
978	17129	northeuralex-ava	avar1256		atthattime	2922	AT THAT TIME		hjebmjeχaɬ	h j e b m j e χ a ɬ
979	17130	northeuralex-ava	avar1256		atthattime	2922	AT THAT TIME		hjebmjeχalda	h j e b m j e χ a l d a
992	17143	northeuralex-che	chec1245		atthattime	2922	AT THAT TIME		hetəʜʲ	h e t ə ʜʲ
999	17150	northeuralex-dar	darg1241		atthattime	2922	AT THAT TIME		itħeli	i t ħ e l i
1000	17151	northeuralex-dar	darg1241		atthattime	2922	AT THAT TIME		it_zamana	i t + z a m a n a
1001	17152	northeuralex-ddo	dido1241		atthattime	2922	AT THAT TIME		neɬaq͡χuɬ	n e ɬ a qχ u ɬ
1045	17196	northeuralex-lbe	lakk1252		atthattime	2922	AT THAT TIME		ta_t͡ʃʼumal	t a + tʃʼ u m a l
1046	17197	northeuralex-lez	lezg1247		atthattime	2922	AT THAT TIME		a_t͡ʃʼawuz	a + tʃʼ a w u z
1270	17421	northeuralex-ava	avar1256		august	2851	AUGUST		awɡust	a w g u s t
1281	17432	northeuralex-che	chec1245		august	2851	AUGUST		əvɡu͡ʊst	ə v g uʊ s t
1286	17437	northeuralex-dar	darg1241		august	2851	AUGUST		awɡust	a w g u s t
1287	17438	northeuralex-ddo	dido1241		august	2851	AUGUST		awɡust	a w g u s t
1326	17477	northeuralex-lbe	lakk1252		august	2851	AUGUST		mjajlt͡ʃinmur_barz	m j a j l tʃ i n m u r + b a r z
1327	17478	northeuralex-lez	lezg1247		august	2851	AUGUST		awɡust	a w g u s t
1437	17588	northeuralex-ava	avar1256		aunt	1272	AUNT		ada	a d a
1449	17600	northeuralex-che	chec1245		aunt	1272	AUNT		dejɪʃə	d e j ɪ ʃ ə
1454	17605	northeuralex-dar	darg1241		aunt	1272	AUNT		dudeʃla_ja_neʃla_ruzi	d u d e ʃ l a + j a + n e ʃ l a + r u z i
