	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
652	16803	wold-Bezhta	bezh1248		at	1461	AT		-ɣa	ɣ a
4111	20262	northeuralex-ava	avar1256		back	1291	BACK		muʁ	m u ʁ
4123	20274	northeuralex-che	chec1245		back	1291	BACK		bu͡ʊqʼ	b uʊ qʼ
4128	20279	northeuralex-dar	darg1241		back	1291	BACK		ɢaɢ	ɢ a ɢ
4129	20280	northeuralex-ddo	dido1241		back	1291	BACK		ɡuɡu	g u g u
4165	20316	northeuralex-lbe	lakk1252		back	1291	BACK		tːilikʼ	tː i l i kʼ
4166	20317	northeuralex-lez	lezg1247		back	1291	BACK		dalu	d a l u
4277	20428	wold-Archi	arch1244		back	1291	BACK		sːon	sː o n
4278	20429	wold-Bezhta	bezh1248		back	1291	BACK		miqā	m i q aː
5238	21389	northeuralex-ava	avar1256		bad	1292	BAD		q͡χːʼadarab	qχʼː a d a r a b
5251	21402	northeuralex-che	chec1245		bad	1292	BAD		von	v o n
5258	21409	northeuralex-dar	darg1241		bad	1292	BAD		wajsi	w a j s i
5259	21410	northeuralex-ddo	dido1241		bad	1292	BAD		ʒuka	ʒ u k a
5260	21411	northeuralex-ddo	dido1241		bad	1292	BAD		qʼadaraw	qʼ a d a r a w
5299	21450	northeuralex-lbe	lakk1252		bad	1292	BAD		oˤkːisːa	oˤ kː i sː a
5300	21451	northeuralex-lez	lezg1247		bad	1292	BAD		pis	p i s
5648	21799	wold-Archi	arch1244		bad	1292	BAD		χːallut	χː a l l u t
5649	21800	wold-Bezhta	bezh1248		bad	1292	BAD		čikeyo	tʃ i k e j o
9104	25255	northeuralex-ava	avar1256		bark	1204	BARK		maq͡χːʼar	m a qχʼː a r
9115	25266	northeuralex-che	chec1245		bark	1204	BARK		kevstɪɡ	k e v s t ɪ g
9120	25271	northeuralex-dar	darg1241		bark	1204	BARK		ʕjankʼa	ʕ j a n kʼ a
9121	25272	northeuralex-ddo	dido1241		bark	1204	BARK		q͡χal	qχ a l
9160	25311	northeuralex-lbe	lakk1252		bark	1204	BARK		kːamara	kː a m a r a
9161	25312	northeuralex-lez	lezg1247		bark	1204	BARK		t͡ʃkal	tʃ k a l
9468	25619	wold-Archi	arch1244		bark	1204	BARK		paqʼut	p a qʼ u t
9469	25620	wold-Bezhta	bezh1248		bark	1204	BARK		beš	b e ʃ
9470	25621	wold-Bezhta	bezh1248		bark	1204	BARK		yicalo	j i ts a l o
9471	25622	wold-Bezhta	bezh1248		bark	1204	BARK		qal	q a l
13199	29350	northeuralex-ava	avar1256		bealive	1422	BE ALIVE		t͡ʃʼaɡojab	tʃʼ a g o j a b
13200	29351	northeuralex-ava	avar1256		bealive	1422	BE ALIVE		bjetʼjerbaq͡χːizje	b j e tʼ j e r b a qχː i z j e
13221	29372	northeuralex-che	chec1245		bealive	1422	BE ALIVE		dɪɪ̆nə	d ɪ ɪ n ə
13222	29373	northeuralex-che	chec1245		bealive	1422	BE ALIVE		dəxə	d ə x ə
13232	29383	northeuralex-dar	darg1241		bealive	1422	BE ALIVE		mit͡sʼirsi	m i tsʼ i r s i
13233	29384	northeuralex-ddo	dido1241		bealive	1422	BE ALIVE		t͡ʃʼaɡojaw	tʃʼ a g o j a w
13234	29385	northeuralex-ddo	dido1241		bealive	1422	BE ALIVE		bit͡ʃa	b i tʃ a
13306	29457	northeuralex-lbe	lakk1252		bealive	1422	BE ALIVE		utːawasːa	u tː a w a sː a
13307	29458	northeuralex-lbe	lakk1252		bealive	1422	BE ALIVE		jalapar_q͡χanan	j a l a p a r + qχ a n a n
13308	29459	northeuralex-lez	lezg1247		bealive	1422	BE ALIVE		t͡ʃt͡ʃan_alaj	tʃ tʃ a n + a l a j
13309	29460	northeuralex-lez	lezg1247		bealive	1422	BE ALIVE		æʃamiʃ_xun	æ ʃ a m i ʃ + x u n
13506	29657	wold-Archi	arch1244		bealive	1422	BE ALIVE		čʼagu	tʃʼ a g u
13507	29658	wold-Bezhta	bezh1248		bealive	1422	BE ALIVE		ömrö_b-ow-	œ m r œ + b + o w
16482	32633	wold-Archi	arch1244		because	1157	BECAUSE		daki_t’aši	d a k i + tʼ a ʃ i
16483	32634	wold-Bezhta	bezh1248		because	1157	BECAUSE		sudƛo_nisoda	s u d tɬ o + n i s o d a
23119	39270	northeuralex-ava	avar1256		belly	1251	BELLY		t͡ʃjex	tʃ j e x
23130	39281	northeuralex-che	chec1245		belly	1251	BELLY		kiːrə	k iː r ə
23134	39285	northeuralex-dar	darg1241		belly	1251	BELLY		kani	k a n i
23135	39286	northeuralex-ddo	dido1241		belly	1251	BELLY		aχ	a χ
23136	39287	northeuralex-ddo	dido1241		belly	1251	BELLY		ɬara	ɬ a r a
23173	39324	northeuralex-lbe	lakk1252		belly	1251	BELLY		ljaqʼa	l j a qʼ a
23174	39325	northeuralex-lez	lezg1247		belly	1251	BELLY		rufun	r u f u n
23854	40005	wold-Archi	arch1244		belly	1251	BELLY		χˤurχˤu	χˤ u r χˤ u
25619	41770	northeuralex-che	chec1245		berry	904	BERRY		t͡sʼəzəm	tsʼ ə z ə m
25624	41775	northeuralex-dar	darg1241		berry	904	BERRY		qʼarla_t͡sʼedeʃ	qʼ a r l a + tsʼ e d e ʃ
25661	41812	northeuralex-lbe	lakk1252		berry	904	BERRY		ħallil_aq͡χulsːa	ħ a l l i l + a qχ u l sː a
25662	41813	northeuralex-lez	lezg1247		berry	904	BERRY		kyly_emiʃ	k y l y + e m i ʃ
28269	44420	northeuralex-ava	avar1256		big	1202	BIG		kʼudijab	kʼ u d i j a b
28281	44432	northeuralex-che	chec1245		big	1202	BIG		doqːə	d o qː ə
28286	44437	northeuralex-dar	darg1241		big	1202	BIG		χalasi	χ a l a s i
28287	44438	northeuralex-ddo	dido1241		big	1202	BIG		bˤeʒe	bˤ e ʒ e
28324	44475	northeuralex-lbe	lakk1252		big	1202	BIG		buʁarasːa	b u ʁ a r a sː a
28325	44476	northeuralex-lez	lezg1247		big	1202	BIG		eke	e k e
28326	44477	northeuralex-lez	lezg1247		big	1202	BIG		t͡ʃʼeχi	tʃʼ e χ i
29070	45221	wold-Archi	arch1244		big	1202	BIG		doˤzut	d oˤ z u t
29071	45222	wold-Bezhta	bezh1248		big	1202	BIG		-uq’o-	u qʼ o
30606	46757	northeuralex-ava	avar1256		bird	937	BIRD		ħint͡ʃʼ	ħ i n tʃʼ
30620	46771	northeuralex-che	chec1245		bird	937	BIRD		olxəzər	o l x ə z ə r
30626	46777	northeuralex-dar	darg1241		bird	937	BIRD		art͡san	a r ts a n
30627	46778	northeuralex-ddo	dido1241		bird	937	BIRD		aʁi	a ʁ i
30664	46815	northeuralex-lbe	lakk1252		bird	937	BIRD		leluχːi	l e l u χː i
30665	46816	northeuralex-lez	lezg1247		bird	937	BIRD		luwan_nit͡ʃχir	l u w a n + n i tʃ χ i r
31428	47579	wold-Archi	arch1244		bird	937	BIRD		nocʼ	n o tsʼ
31429	47580	wold-Bezhta	bezh1248		bird	937	BIRD		mihna	m i h n a
32942	49093	northeuralex-ava	avar1256		bite	1403	BITE		ħant͡ʃʼizje	ħ a n tʃʼ i z j e
32943	49094	northeuralex-ava	avar1256		bite	1403	BITE		ħant͡ʃʼizabizje	ħ a n tʃʼ i z a b i z j e
32955	49106	northeuralex-che	chec1245		bite	1403	BITE		kətoxə	k ə t o x ə
32962	49113	northeuralex-dar	darg1241		bite	1403	BITE		qʼat͡sʼbilkes	qʼ a tsʼ b i l k e s
32963	49114	northeuralex-dar	darg1241		bite	1403	BITE		durqali_bies	d u r q a l i + b i e s
32964	49115	northeuralex-ddo	dido1241		bite	1403	BITE		ħana	ħ a n a
33004	49155	northeuralex-lbe	lakk1252		bite	1403	BITE		q͡χapa_tʼun	qχ a p a + tʼ u n
33005	49156	northeuralex-lbe	lakk1252		bite	1403	BITE		qʼat͡sʼa_tʼun	qʼ a tsʼ a + tʼ u n
33006	49157	northeuralex-lez	lezg1247		bite	1403	BITE		kʼasun	kʼ a s u n
33518	49669	wold-Archi	arch1244		bite	1403	BITE		haˤnčʼbos	h aˤ n tʃʼ b o s
33519	49670	wold-Bezhta	bezh1248		bite	1403	BITE		sila_gul-	s i l a + g u l
35569	51720	northeuralex-ava	avar1256		black	163	BLACK		t͡ʃʼjeʕjerab	tʃʼ j e ʕ j e r a b
35580	51731	northeuralex-che	chec1245		black	163	BLACK		ʡærʒə	ʡ æ r ʒ ə
35585	51736	northeuralex-dar	darg1241		black	163	BLACK		t͡sʼudara	tsʼ u d a r a
35586	51737	northeuralex-ddo	dido1241		black	163	BLACK		q͡χˤaba	qχˤ a b a
35621	51772	northeuralex-lbe	lakk1252		black	163	BLACK		luħisːa	l u ħ i sː a
35622	51773	northeuralex-lez	lezg1247		black	163	BLACK		t͡ʃʼulaw	tʃʼ u l a w
36041	52192	wold-Archi	arch1244		black	163	BLACK		beχːˤetːut	b e χˤː e tː u t
36042	52193	wold-Bezhta	bezh1248		black	163	BLACK		c’odolo	tsʼ o d o l o
38983	55134	northeuralex-ava	avar1256		blood	946	BLOOD		bi	b i
38995	55146	northeuralex-che	chec1245		blood	946	BLOOD		t͡sʼɪɪ̆	tsʼ ɪ ɪ
39000	55151	northeuralex-dar	darg1241		blood	946	BLOOD		ħi	ħ i
39001	55152	northeuralex-ddo	dido1241		blood	946	BLOOD		e	e
39035	55186	northeuralex-lbe	lakk1252		blood	946	BLOOD		oˤ	oˤ
39036	55187	northeuralex-lez	lezg1247		blood	946	BLOOD		iwi	i w i
39782	55933	wold-Archi	arch1244		blood	946	BLOOD		bi	b i
39783	55934	wold-Bezhta	bezh1248		blood	946	BLOOD		hẽ	h ẽ
41130	57281	northeuralex-ava	avar1256		blowofwind	175	BLOW (OF WIND)		pujzje	p u j z j e
