	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
28027	44178	johanssonsoundsymbolic-SouthernNambikuara	sout2994		big	1202	BIG		kãin	k ã i n
30403	46554	johanssonsoundsymbolic-SouthernNambikuara	sout2994		bird	937	BIRD		ta̰lhitantisu	t a̰ l̥ i t a n t i s u
32759	48910	johanssonsoundsymbolic-SouthernNambikuara	sout2994		bite	1403	BITE		ĩjĩ	ĩ j ĩ
35374	51525	johanssonsoundsymbolic-SouthernNambikuara	sout2994		black	163	BLACK		atuntʔisu	a t u n t ʔ i s u
38787	54938	johanssonsoundsymbolic-SouthernNambikuara	sout2994		blood	946	BLOOD		tihajausʔu	t i h a j a u s ʔ u
47009	63160	johanssonsoundsymbolic-SouthernNambikuara	sout2994		bone	1394	BONE		susu	s u s u
57093	73246	johanssonsoundsymbolic-SouthernNambikuara	sout2994		breast	1402	BREAST		nṵ̃kwa̰ilhu	n ṵ̃ k w a̰ i l̥ u
64563	80716	johanssonsoundsymbolic-SouthernNambikuara	sout2994		burn	2102	BURN		thũkʔa	tʰ ũ k ʔ a
91701	107854	johanssonsoundsymbolic-SouthernNambikuara	sout2994		cloud	1489	CLOUD		ohsĩnsu	o h s ĩ n s u
95287	111440	johanssonsoundsymbolic-SouthernNambikuara	sout2994		cold	1287	COLD		ta̰ita̰in	t a̰ i t a̰ i n
98951	115104	johanssonsoundsymbolic-SouthernNambikuara	sout2994		come	1446	COME		iha_wʔã	i h a + w ʔ ã
127174	143329	johanssonsoundsymbolic-SouthernNambikuara	sout2994		die	1494	DIE		jalu	j a l u
135723	151878	johanssonsoundsymbolic-SouthernNambikuara	sout2994		dog	2009	DOG		waialʔisu	w a i a l ʔ i s u
142192	158347	johanssonsoundsymbolic-SouthernNambikuara	sout2994		drink	1401	DRINK		ĩna	ĩ n a
145827	161982	johanssonsoundsymbolic-SouthernNambikuara	sout2994		dry	1398	DRY		wasisin	w a s i s i n
151269	167424	johanssonsoundsymbolic-SouthernNambikuara	sout2994		ear	1247	EAR		nḛnʔẽnsu	n ḛ n ʔ ẽ n s u
154188	170343	johanssonsoundsymbolic-SouthernNambikuara	sout2994		earthsoil	1228	EARTH (SOIL)		kʔḭ̃hnʔṵ̃sʔu	k ʔ ḭ̃ h n ʔ ṵ̃ s ʔ u
156792	172947	johanssonsoundsymbolic-SouthernNambikuara	sout2994		eat	1336	EAT		ĩsotʃĩ	ĩ s o tʃ ĩ
159096	175254	johanssonsoundsymbolic-SouthernNambikuara	sout2994		egg	744	EGG		nãusu	n ã u s u
169672	185830	johanssonsoundsymbolic-SouthernNambikuara	sout2994		eye	1248	EYE		jekatakisu	j e k a t a k i s u
182143	198303	johanssonsoundsymbolic-SouthernNambikuara	sout2994		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		hanẽtisu	h a n ẽ t i s u
184991	201151	johanssonsoundsymbolic-SouthernNambikuara	sout2994		feather	1201	FEATHER		wekawʔetsu	w e k a w ʔ e ts u
192940	225593	johanssonsoundsymbolic-SouthernNambikuara	sout2994		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		tḛ̃lhʔu	t ḛ̃ l̥ ʔ u
196270	228923	johanssonsoundsymbolic-SouthernNambikuara	sout2994		foot	1301	FOOT		jukisu	j u k i s u
209355	242008	johanssonsoundsymbolic-SouthernNambikuara	sout2994		full	1429	FULL		nekʔih	n e k ʔ i h
214700	247353	johanssonsoundsymbolic-SouthernNambikuara	sout2994		give	1447	GIVE		ũhũ	ũ h ũ
220830	253486	johanssonsoundsymbolic-SouthernNambikuara	sout2994		good	1035	GOOD		wilhin	w i l̥ i n
228611	261267	johanssonsoundsymbolic-SouthernNambikuara	sout2994		green	1425	GREEN		satḛsatḛn	s a t ḛ s a t ḛ n
234629	267285	johanssonsoundsymbolic-SouthernNambikuara	sout2994		hair	1040	HAIR		nekḭ̃sakisu	n e k ḭ̃ s a k i s u
238472	271128	johanssonsoundsymbolic-SouthernNambikuara	sout2994		hand	1277	HAND		hʔikisu	h ʔ i k i s u
