	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
2957	19108	transnewguineaorg-gaikundi	gaik1242		baby	1289	BABY		takweñan	t a k w e ɲ a n
2963	19114	transnewguineaorg-iatmul-tambanam	iatm1242		baby	1289	BABY		mak_ñən	m a k + ɲ ə n
3866	20017	johanssonsoundsymbolic-Ambulas	ambu1247		back	1291	BACK		kuksaknwu	k u k s a k n w u
4975	21126	johanssonsoundsymbolic-Ambulas	ambu1247		bad	1292	BAD		kapɨredi	k a p ɨ r e d i
7474	23625	transnewguineaorg-iatmul-tambanam	iatm1242		bamboo	1927	BAMBOO		kayn	k a j n
8081	24232	transnewguineaorg-gaikundi	gaik1242		banana	868	BANANA		'lapu	l a p u
8098	24249	transnewguineaorg-iatmul-tambanam	iatm1242		banana	868	BANANA		lab̶u	l a bˤ u
8818	24969	johanssonsoundsymbolic-Ambulas	ambu1247		bark	1204	BARK		sɨpɨ	s ɨ p ɨ
9340	25491	transnewguineaorg-gaikundi	gaik1242		bark	1204	BARK		mii_sɨmbɨ	m iː + s ɨ m b ɨ
9348	25499	transnewguineaorg-iatmul-tambanam	iatm1242		bark	1204	BARK		mišɨmpɨ	m i ʂ ɨ m p ɨ
12957	29108	johanssonsoundsymbolic-Ambulas	ambu1247		bealive	1422	BE ALIVE		ra	r a
14117	30268	transnewguineaorg-gaikundi	gaik1242		bean	832	BEAN		maku	m a k u
15723	31874	johanssonsoundsymbolic-Ambulas	ambu1247		beautiful	1427	BEAUTIFUL		jɨknwun	j ɨ k n w u n
16295	32446	johanssonsoundsymbolic-Ambulas	ambu1247		because	1157	BECAUSE		bege	b e g e
19213	35364	johanssonsoundsymbolic-Ambulas	ambu1247		before	1882	BEFORE		dɨkɲɨɲba	d ɨ k ɲ ɨ ɲ b a
22849	39000	johanssonsoundsymbolic-Ambulas	ambu1247		belly	1251	BELLY		bijɑ_ja	b i j ɑ + j a
23607	39758	transnewguineaorg-gaikundi	gaik1242		belly	1251	BELLY		yai	j a i
23628	39779	transnewguineaorg-iatmul-tambanam	iatm1242		belly	1251	BELLY		ya:l	j aː l
26048	42199	transnewguineaorg-iatmul-tambanam	iatm1242		betelnut	217	BETELNUT		mpaŋkaře	m p a ŋ k a r̝ e
27889	44040	johanssonsoundsymbolic-Ambulas	ambu1247		big	1202	BIG		nɨmɑn	n ɨ m ɑ n
