	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3866	20017	johanssonsoundsymbolic-Ambulas	ambu1247		back	1291	BACK		kuksaknwu	k u k s a k n w u
4975	21126	johanssonsoundsymbolic-Ambulas	ambu1247		bad	1292	BAD		kapɨredi	k a p ɨ r e d i
8818	24969	johanssonsoundsymbolic-Ambulas	ambu1247		bark	1204	BARK		sɨpɨ	s ɨ p ɨ
9340	25491	transnewguineaorg-gaikundi	gaik1242		bark	1204	BARK		mii_sɨmbɨ	m iː + s ɨ m b ɨ
9348	25499	transnewguineaorg-iatmul-tambanam	iatm1242		bark	1204	BARK		mišɨmpɨ	m i ʂ ɨ m p ɨ
12957	29108	johanssonsoundsymbolic-Ambulas	ambu1247		bealive	1422	BE ALIVE		ra	r a
16295	32446	johanssonsoundsymbolic-Ambulas	ambu1247		because	1157	BECAUSE		bege	b e g e
22849	39000	johanssonsoundsymbolic-Ambulas	ambu1247		belly	1251	BELLY		bijɑ_ja	b i j ɑ + j a
23607	39758	transnewguineaorg-gaikundi	gaik1242		belly	1251	BELLY		yai	j a i
23628	39779	transnewguineaorg-iatmul-tambanam	iatm1242		belly	1251	BELLY		ya:l	j aː l
27889	44040	johanssonsoundsymbolic-Ambulas	ambu1247		big	1202	BIG		nɨmɑn	n ɨ m ɑ n
28794	44945	transnewguineaorg-gaikundi	gaik1242		big	1202	BIG		nɨmo	n ɨ m o
30282	46433	johanssonsoundsymbolic-Ambulas	ambu1247		bird	937	BIRD		api	a p i
31139	47290	transnewguineaorg-gaikundi	gaik1242		bird	937	BIRD		kɨm	k ɨ m
32631	48782	johanssonsoundsymbolic-Ambulas	ambu1247		bite	1403	BITE		sagul	s a g u l
35240	51391	johanssonsoundsymbolic-Ambulas	ambu1247		black	163	BLACK		gɨlɨ	g ɨ l ɨ
38653	54804	johanssonsoundsymbolic-Ambulas	ambu1247		blood	946	BLOOD		wɨɲ	w ɨ ɲ
