	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3930	20081	johanssonsoundsymbolic-Maasai	masa1300		back	1291	BACK		enkoɾioŋ	e n k o ɾ i o ŋ
5048	21199	johanssonsoundsymbolic-Maasai	masa1300		bad	1292	BAD		tɔɾnɔ	t ɔ ɾ n ɔ
8884	25035	johanssonsoundsymbolic-Maasai	masa1300		bark	1204	BARK		ɛnkaɓoɓoki	ɛ n k a ɓ o ɓ o k i
13026	29177	johanssonsoundsymbolic-Maasai	masa1300		bealive	1422	BE ALIVE		aɓaɾ	a ɓ a ɾ
16341	32492	johanssonsoundsymbolic-Maasai	masa1300		because	1157	BECAUSE		nkaɾakɪ	n k a ɾ a k ɪ
22924	39075	johanssonsoundsymbolic-Maasai	masa1300		belly	1251	BELLY		nkɔtʃɛkɛ	n k ɔ tʃ ɛ k ɛ
27967	44118	johanssonsoundsymbolic-Maasai	masa1300		big	1202	BIG		sapʊk	s a p ʊ k
30351	46502	johanssonsoundsymbolic-Maasai	masa1300		bird	937	BIRD		emotoɲi	e m o t o ɲ i
32701	48852	johanssonsoundsymbolic-Maasai	masa1300		bite	1403	BITE		awɔɲ	a w ɔ ɲ
35315	51466	johanssonsoundsymbolic-Maasai	masa1300		black	163	BLACK		aɾɔk	a ɾ ɔ k
38727	54878	johanssonsoundsymbolic-Maasai	masa1300		blood	946	BLOOD		ɔsaɾɠɛ	ɔ s a ɾ ɠ ɛ
40942	57093	johanssonsoundsymbolic-Maasai	masa1300		blowofwind	175	BLOW (OF WIND)		akʊt	a k ʊ t
43121	59272	johanssonsoundsymbolic-Maasai	masa1300		blunt	379	BLUNT		mɪŋani	m ɪ ŋ a n i
46956	63107	johanssonsoundsymbolic-Maasai	masa1300		bone	1394	BONE		oloito	o l o i t o
58960	75113	johanssonsoundsymbolic-Maasai	masa1300		breathe	1407	BREATHE		ajaŋ	a j a ŋ
91648	107801	johanssonsoundsymbolic-Maasai	masa1300		cloud	1489	CLOUD		enkiɗis	e n k i ɗ i s
98895	115048	johanssonsoundsymbolic-Maasai	masa1300		come	1446	COME		alotu	a l o t u
104932	121085	johanssonsoundsymbolic-Maasai	masa1300		correctright	1725	CORRECT (RIGHT)		aɗeɗe	a ɗ e ɗ e
121837	137992	johanssonsoundsymbolic-Maasai	masa1300		daynotnight	1225	DAY (NOT NIGHT)		mpar	m p a r
127116	143271	johanssonsoundsymbolic-Maasai	masa1300		die	1494	DIE		aitiaɲa	a i t i a ɲ a
131756	147911	johanssonsoundsymbolic-Maasai	masa1300		dirty	1230	DIRTY		aɪkɛɾɛɛk	a ɪ k ɛ ɾ ɛː k
135668	151823	johanssonsoundsymbolic-Maasai	masa1300		dog	2009	DOG		olkuikui	o l k u i k u i
142133	158288	johanssonsoundsymbolic-Maasai	masa1300		drink	1401	DRINK		aok	a o k
145770	161925	johanssonsoundsymbolic-Maasai	masa1300		dry	1398	DRY		kitet	k i t e t
148749	164904	johanssonsoundsymbolic-Maasai	masa1300		dust	2	DUST		enkulupuoni	e n k u l u p u o n i
