	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
5072	21223	johanssonsoundsymbolic-Nimboran	nucl1633		bad	1292	BAD		krapo	k r a p o
19292	35443	johanssonsoundsymbolic-Nimboran	nucl1633		before	1882	BEFORE		min̪ie	m i n̪ i e
22949	39100	johanssonsoundsymbolic-Nimboran	nucl1633		belly	1251	BELLY		t̪eŋgueiŋ	t̪ e ŋ g u e i ŋ
24584	40735	johanssonsoundsymbolic-Nimboran	nucl1633		beloworunder	1485	BELOW OR UNDER		ket̪i	k e t̪ i
27992	44143	johanssonsoundsymbolic-Nimboran	nucl1633		big	1202	BIG		t̪emt̪en̪	t̪ e m t̪ e n̪
30372	46523	johanssonsoundsymbolic-Nimboran	nucl1633		bird	937	BIRD		iɨ	i ɨ
32725	48876	johanssonsoundsymbolic-Nimboran	nucl1633		bite	1403	BITE		ŋgua	ŋ g u a
35339	51490	johanssonsoundsymbolic-Nimboran	nucl1633		black	163	BLACK		d̪ekie	d̪ e k i e
38752	54903	johanssonsoundsymbolic-Nimboran	nucl1633		blood	946	BLOOD		kiŋ	k i ŋ
40963	57114	johanssonsoundsymbolic-Nimboran	nucl1633		blowofwind	175	BLOW (OF WIND)		pou	p o u
43141	59292	johanssonsoundsymbolic-Nimboran	nucl1633		blunt	379	BLUNT		s̪ip	s̪ i p
57063	73216	johanssonsoundsymbolic-Nimboran	nucl1633		breast	1402	BREAST		miŋ	m i ŋ
64533	80686	johanssonsoundsymbolic-Nimboran	nucl1633		burn	2102	BURN		ii	iː
67835	83988	johanssonsoundsymbolic-Nimboran	nucl1633		buttocks	834	BUTTOCKS		iakɨ	i a k ɨ
73039	89192	johanssonsoundsymbolic-Nimboran	nucl1633		carry	700	CARRY		hrao	h r a o
91671	107824	johanssonsoundsymbolic-Nimboran	nucl1633		cloud	1489	CLOUD		meɨ	m e ɨ
95254	111407	johanssonsoundsymbolic-Nimboran	nucl1633		cold	1287	COLD		d̪arib	d̪ a r i b
98917	115070	johanssonsoundsymbolic-Nimboran	nucl1633		come	1446	COME		puŋ	p u ŋ
104948	121101	johanssonsoundsymbolic-Nimboran	nucl1633		correctright	1725	CORRECT (RIGHT)		t̪en̪aŋ	t̪ e n̪ a ŋ
106043	122196	johanssonsoundsymbolic-Nimboran	nucl1633		cough	879	COUGH		t̪ɨm	t̪ ɨ m
110508	126661	johanssonsoundsymbolic-Nimboran	nucl1633		crooked	297	CROOKED		t̪akuem	t̪ a k u e m
112077	128230	johanssonsoundsymbolic-Nimboran	nucl1633		crush	1520	CRUSH		kiŋ	k i ŋ
118734	134887	johanssonsoundsymbolic-Nimboran	nucl1633		dark	706	DARK		s̪eɨ	s̪ e ɨ
121858	138013	johanssonsoundsymbolic-Nimboran	nucl1633		daynotnight	1225	DAY (NOT NIGHT)		ku	k u
124285	140440	johanssonsoundsymbolic-Nimboran	nucl1633		deep	1593	DEEP		s̪kie	s̪ k i e
127140	143295	johanssonsoundsymbolic-Nimboran	nucl1633		die	1494	DIE		kakra	k a k r a
134250	150405	johanssonsoundsymbolic-Nimboran	nucl1633		do	813	DO		muo	m u o
142158	158313	johanssonsoundsymbolic-Nimboran	nucl1633		drink	1401	DRINK		reb	r e b
148771	164926	johanssonsoundsymbolic-Nimboran	nucl1633		dust	2	DUST		s̪uŋ	s̪ u ŋ
154154	170309	johanssonsoundsymbolic-Nimboran	nucl1633		earthsoil	1228	EARTH (SOIL)		mab	m a b
156757	172912	johanssonsoundsymbolic-Nimboran	nucl1633		eat	1336	EAT		d̪am	d̪ a m
160807	176965	johanssonsoundsymbolic-Nimboran	nucl1633		eight	1705	EIGHT		kien̪en̪t̪akuap_kien̪en̪d̪i_n̪amuan̪n̪amuan̪	k i e n̪ e n̪ t̪ a k u a p + k i e n̪ e n̪ d̪ i + n̪ a m u a n̪ː a m u a n̪
163752	179910	johanssonsoundsymbolic-Nimboran	nucl1633		eleven	1706	ELEVEN		kien̪en̪en̪d̪i_mes̪i_n̪e_ten̪d̪u	k i e n̪ e n̪ e n̪ d̪ i + m e s̪ i + n̪ e + t e n̪ d̪ u
173642	189801	johanssonsoundsymbolic-Nimboran	nucl1633		fall	1280	FALL		ŋgɨŋ	ŋ g ɨ ŋ
175912	192071	johanssonsoundsymbolic-Nimboran	nucl1633		far	1406	FAR		ba	b a
177486	193645	johanssonsoundsymbolic-Nimboran	nucl1633		fast	1631	FAST		ken̪d̪o_ken̪d̪o	k e n̪ d̪ o + k e n̪ d̪ o
191308	223961	johanssonsoundsymbolic-Nimboran	nucl1633		flyinsect	1504	FLY (INSECT)		priŋ	p r i ŋ
196236	228889	johanssonsoundsymbolic-Nimboran	nucl1633		foot	1301	FOOT		mes̪i	m e s̪ i
202568	235221	johanssonsoundsymbolic-Nimboran	nucl1633		four	1500	FOUR		kien̪en̪t̪akuap	k i e n̪ e n̪ t̪ a k u a p
214665	247318	johanssonsoundsymbolic-Nimboran	nucl1633		give	1447	GIVE		t̪ei	t̪ e i
217024	249677	johanssonsoundsymbolic-Nimboran	nucl1633		go	695	GO		ki	k i
220796	253452	johanssonsoundsymbolic-Nimboran	nucl1633		good	1035	GOOD		biiab	b iː a b
228582	261238	johanssonsoundsymbolic-Nimboran	nucl1633		green	1425	GREEN		d̪iproki	d̪ i p r o k i
234597	267253	johanssonsoundsymbolic-Nimboran	nucl1633		hair	1040	HAIR		d̪epɨe	d̪ e p ɨ e
236414	269070	johanssonsoundsymbolic-Nimboran	nucl1633		half	816	HALF		n̪ioiam	n̪ i o i a m
238439	271095	johanssonsoundsymbolic-Nimboran	nucl1633		hand	1277	HAND		kie	k i e
240716	273372	johanssonsoundsymbolic-Nimboran	nucl1633		hard	1884	HARD		d̪aɨŋ	d̪ a ɨ ŋ
243993	276650	johanssonsoundsymbolic-Nimboran	nucl1633		head	1256	HEAD		iŋgiambu	i ŋ g i a m b u
246931	279588	johanssonsoundsymbolic-Nimboran	nucl1633		hear	1408	HEAR		t̪ɨ	t̪ ɨ
248521	281178	johanssonsoundsymbolic-Nimboran	nucl1633		heart	1223	HEART		d̪ebɨ	d̪ e b ɨ
253899	286557	johanssonsoundsymbolic-Nimboran	nucl1633		heorsheorit	262	HE OR SHE OR IT		n̪o	n̪ o
255774	288433	johanssonsoundsymbolic-Nimboran	nucl1633		hide	2486	HIDE		kao	k a o
258771	291431	johanssonsoundsymbolic-Nimboran	nucl1633		hit	1433	HIT		kib	k i b
263387	296047	johanssonsoundsymbolic-Nimboran	nucl1633		hornanatomy	1393	HORN (ANATOMY)		hamboŋ	h a m b o ŋ
265238	297898	johanssonsoundsymbolic-Nimboran	nucl1633		hot	1286	HOT		reke	r e k e
267327	299987	johanssonsoundsymbolic-Nimboran	nucl1633		house	1252	HOUSE		iamo	i a m o
274744	307404	johanssonsoundsymbolic-Nimboran	nucl1633		i	1209	I		ŋa	ŋ a
278075	310735	johanssonsoundsymbolic-Nimboran	nucl1633		in	1460	IN		mai	m a i
293347	326007	johanssonsoundsymbolic-Nimboran	nucl1633		know	3626	KNOW		hn̪um	h n̪ u m
299067	331727	johanssonsoundsymbolic-Nimboran	nucl1633		laugh	1355	LAUGH		kat̪u	k a t̪ u
302223	334883	johanssonsoundsymbolic-Nimboran	nucl1633		leaf	628	LEAF		pro	p r o
311536	344196	johanssonsoundsymbolic-Nimboran	nucl1633		lightcolor	250	LIGHT (COLOR)		n̪auoŋ	n̪ a u o ŋ
313703	346363	johanssonsoundsymbolic-Nimboran	nucl1633		lightweight	1052	LIGHT (WEIGHT)		ipo	i p o
316989	349649	johanssonsoundsymbolic-Nimboran	nucl1633		liver	1224	LIVER		ken̪e	k e n̪ e
319883	352543	johanssonsoundsymbolic-Nimboran	nucl1633		long	1203	LONG		uraŋ	u r a ŋ
323525	356185	johanssonsoundsymbolic-Nimboran	nucl1633		louse	1392	LOUSE		hn̪aŋ	h n̪ a ŋ
325794	358455	johanssonsoundsymbolic-Nimboran	nucl1633		lowerleg	447	LOWER LEG		mes̪i	m e s̪ i
330498	363159	johanssonsoundsymbolic-Nimboran	nucl1633		man	1554	MAN		hru	h r u
332320	364981	johanssonsoundsymbolic-Nimboran	nucl1633		many	1198	MANY		ban̪ia	b a n̪ i a
353477	386141	johanssonsoundsymbolic-Nimboran	nucl1633		mouth	674	MOUTH		men̪d̪ɨ	m e n̪ d̪ ɨ
358494	391158	johanssonsoundsymbolic-Nimboran	nucl1633		name	1405	NAME		s̪ɨ	s̪ ɨ
360389	393055	johanssonsoundsymbolic-Nimboran	nucl1633		narrow	1267	NARROW		keikao	k e i k a o
361492	394158	johanssonsoundsymbolic-Nimboran	nucl1633		navel	1838	NAVEL		men̪s̪ɨ	m e n̪ s̪ ɨ
363039	395705	johanssonsoundsymbolic-Nimboran	nucl1633		near	1942	NEAR		d̪aŋgu	d̪ a ŋ g u
364780	397447	johanssonsoundsymbolic-Nimboran	nucl1633		neck	1333	NECK		bes̪i	b e s̪ i
368836	401503	johanssonsoundsymbolic-Nimboran	nucl1633		new	1231	NEW		in̪iim	i n̪ iː m
373293	405960	johanssonsoundsymbolic-Nimboran	nucl1633		nine	1483	NINE		kien̪en̪t̪akuap_kien̪en̪d̪i_n̪amuan̪n̪amuan̪	k i e n̪ e n̪ t̪ a k u a p + k i e n̪ e n̪ d̪ i + n̪ a m u a n̪ː a m u a n̪
377436	410103	johanssonsoundsymbolic-Nimboran	nucl1633		nose	1221	NOSE		men̪s̪ue	m e n̪ s̪ u e
384214	416881	johanssonsoundsymbolic-Nimboran	nucl1633		oldaged	2112	OLD (AGED)		bed̪i	b e d̪ i
385301	417968	johanssonsoundsymbolic-Nimboran	nucl1633		olderbrotherofman	2414	OLDER BROTHER (OF MAN)		n̪en̪s̪kiŋ	n̪ e n̪ s̪ k i ŋ
385495	418162	johanssonsoundsymbolic-Nimboran	nucl1633		olderbrotherofwoman	2415	OLDER BROTHER (OF WOMAN)		n̪en̪s̪kiŋ	n̪ e n̪ s̪ k i ŋ
386748	419415	johanssonsoundsymbolic-Nimboran	nucl1633		oldman	406	OLD MAN		peit̪iua	p e i t̪ i u a
387689	420356	johanssonsoundsymbolic-Nimboran	nucl1633		oldused	2113	OLD (USED)		bed̪i	b e d̪ i
389733	422400	johanssonsoundsymbolic-Nimboran	nucl1633		one	1493	ONE		t̪en̪d̪ɨ	t̪ e n̪ d̪ ɨ
393753	426420	johanssonsoundsymbolic-Nimboran	nucl1633		other	197	OTHER		men̪i	m e n̪ i
394500	427167	johanssonsoundsymbolic-Nimboran	nucl1633		outside	762	OUTSIDE		kait̪ero	k a i t̪ e r o
400905	433572	johanssonsoundsymbolic-Nimboran	nucl1633		path	2252	PATH		t̪ab	t̪ a b
424313	456981	johanssonsoundsymbolic-Nimboran	nucl1633		quiet	1314	QUIET		t̪ebu	t̪ e b u
427101	459769	johanssonsoundsymbolic-Nimboran	nucl1633		rainprecipitation	658	RAIN (PRECIPITATION)		es̪ie	e s̪ i e
430484	463152	johanssonsoundsymbolic-Nimboran	nucl1633		raw	1959	RAW		keki	k e k i
439595	472263	johanssonsoundsymbolic-Nimboran	nucl1633		ripe	178	RIPE		s̪kiŋ	s̪ k i ŋ
446362	479031	johanssonsoundsymbolic-Nimboran	nucl1633		rope	1218	ROPE		t̪aŋgaŋ	t̪ a ŋ g a ŋ
450684	483353	johanssonsoundsymbolic-Nimboran	nucl1633		run	1519	RUN		bekie	b e k i e
454778	487447	johanssonsoundsymbolic-Nimboran	nucl1633		salty	1091	SALTY		beŋgib_d̪ouŋ	b e ŋ g i b + d̪ o u ŋ
459388	492057	johanssonsoundsymbolic-Nimboran	nucl1633		say	1458	SAY		i	i
460381	493050	johanssonsoundsymbolic-Nimboran	nucl1633		scared	3033	SCARED		mat̪eb	m a t̪ e b
463210	495879	johanssonsoundsymbolic-Nimboran	nucl1633		sea	1474	SEA		beŋgib	b e ŋ g i b
465135	497805	johanssonsoundsymbolic-Nimboran	nucl1633		see	1409	SEE		poŋ	p o ŋ
470280	502951	johanssonsoundsymbolic-Nimboran	nucl1633		seven	1704	SEVEN		kien̪en̪t̪akuap_kien̪en̪d̪i_n̪agri	k i e n̪ e n̪ t̪ a k u a p + k i e n̪ e n̪ d̪ i + n̪ a g r i
472770	505441	johanssonsoundsymbolic-Nimboran	nucl1633		shade	1388	SHADE		hrap	h r a p
