	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
22949	39100	johanssonsoundsymbolic-Nimboran	nucl1633		belly	1251	BELLY		t̪eŋgueiŋ	t̪ e ŋ g u e i ŋ
27992	44143	johanssonsoundsymbolic-Nimboran	nucl1633		big	1202	BIG		t̪emt̪en̪	t̪ e m t̪ e n̪
30372	46523	johanssonsoundsymbolic-Nimboran	nucl1633		bird	937	BIRD		iɨ	i ɨ
32725	48876	johanssonsoundsymbolic-Nimboran	nucl1633		bite	1403	BITE		ŋgua	ŋ g u a
35339	51490	johanssonsoundsymbolic-Nimboran	nucl1633		black	163	BLACK		d̪ekie	d̪ e k i e
38752	54903	johanssonsoundsymbolic-Nimboran	nucl1633		blood	946	BLOOD		kiŋ	k i ŋ
57063	73216	johanssonsoundsymbolic-Nimboran	nucl1633		breast	1402	BREAST		miŋ	m i ŋ
64533	80686	johanssonsoundsymbolic-Nimboran	nucl1633		burn	2102	BURN		ii	iː
91671	107824	johanssonsoundsymbolic-Nimboran	nucl1633		cloud	1489	CLOUD		meɨ	m e ɨ
95254	111407	johanssonsoundsymbolic-Nimboran	nucl1633		cold	1287	COLD		d̪arib	d̪ a r i b
98917	115070	johanssonsoundsymbolic-Nimboran	nucl1633		come	1446	COME		puŋ	p u ŋ
127140	143295	johanssonsoundsymbolic-Nimboran	nucl1633		die	1494	DIE		kakra	k a k r a
142158	158313	johanssonsoundsymbolic-Nimboran	nucl1633		drink	1401	DRINK		reb	r e b
154154	170309	johanssonsoundsymbolic-Nimboran	nucl1633		earthsoil	1228	EARTH (SOIL)		mab	m a b
156757	172912	johanssonsoundsymbolic-Nimboran	nucl1633		eat	1336	EAT		d̪am	d̪ a m
196236	228889	johanssonsoundsymbolic-Nimboran	nucl1633		foot	1301	FOOT		mes̪i	m e s̪ i
214665	247318	johanssonsoundsymbolic-Nimboran	nucl1633		give	1447	GIVE		t̪ei	t̪ e i
220796	253452	johanssonsoundsymbolic-Nimboran	nucl1633		good	1035	GOOD		biiab	b iː a b
228582	261238	johanssonsoundsymbolic-Nimboran	nucl1633		green	1425	GREEN		d̪iproki	d̪ i p r o k i
234597	267253	johanssonsoundsymbolic-Nimboran	nucl1633		hair	1040	HAIR		d̪epɨe	d̪ e p ɨ e
238439	271095	johanssonsoundsymbolic-Nimboran	nucl1633		hand	1277	HAND		kie	k i e
243993	276650	johanssonsoundsymbolic-Nimboran	nucl1633		head	1256	HEAD		iŋgiambu	i ŋ g i a m b u
246931	279588	johanssonsoundsymbolic-Nimboran	nucl1633		hear	1408	HEAR		t̪ɨ	t̪ ɨ
248521	281178	johanssonsoundsymbolic-Nimboran	nucl1633		heart	1223	HEART		d̪ebɨ	d̪ e b ɨ
263387	296047	johanssonsoundsymbolic-Nimboran	nucl1633		hornanatomy	1393	HORN (ANATOMY)		hamboŋ	h a m b o ŋ
274744	307404	johanssonsoundsymbolic-Nimboran	nucl1633		i	1209	I		ŋa	ŋ a
302223	334883	johanssonsoundsymbolic-Nimboran	nucl1633		leaf	628	LEAF		pro	p r o
316989	349649	johanssonsoundsymbolic-Nimboran	nucl1633		liver	1224	LIVER		ken̪e	k e n̪ e
319883	352543	johanssonsoundsymbolic-Nimboran	nucl1633		long	1203	LONG		uraŋ	u r a ŋ
323525	356185	johanssonsoundsymbolic-Nimboran	nucl1633		louse	1392	LOUSE		hn̪aŋ	h n̪ a ŋ
330498	363159	johanssonsoundsymbolic-Nimboran	nucl1633		man	1554	MAN		hru	h r u
332320	364981	johanssonsoundsymbolic-Nimboran	nucl1633		many	1198	MANY		ban̪ia	b a n̪ i a
353477	386141	johanssonsoundsymbolic-Nimboran	nucl1633		mouth	674	MOUTH		men̪d̪ɨ	m e n̪ d̪ ɨ
358494	391158	johanssonsoundsymbolic-Nimboran	nucl1633		name	1405	NAME		s̪ɨ	s̪ ɨ
364780	397447	johanssonsoundsymbolic-Nimboran	nucl1633		neck	1333	NECK		bes̪i	b e s̪ i
368836	401503	johanssonsoundsymbolic-Nimboran	nucl1633		new	1231	NEW		in̪iim	i n̪ iː m
377436	410103	johanssonsoundsymbolic-Nimboran	nucl1633		nose	1221	NOSE		men̪s̪ue	m e n̪ s̪ u e
389733	422400	johanssonsoundsymbolic-Nimboran	nucl1633		one	1493	ONE		t̪en̪d̪ɨ	t̪ e n̪ d̪ ɨ
459388	492057	johanssonsoundsymbolic-Nimboran	nucl1633		say	1458	SAY		i	i
465135	497805	johanssonsoundsymbolic-Nimboran	nucl1633		see	1409	SEE		poŋ	p o ŋ
499331	532003	johanssonsoundsymbolic-Nimboran	nucl1633		sleep	1585	SLEEP		rei	r e i
502915	535589	johanssonsoundsymbolic-Nimboran	nucl1633		small	1246	SMALL		d̪ae	d̪ a e
