	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
4178	20329	northeuralex-niv	gily1242		back	1291	BACK		kɨdr̥	k ɨ d r̥
5317	21468	northeuralex-niv	gily1242		bad	1292	BAD		ɨkilæ	ɨ k i l æ
9173	25324	northeuralex-niv	gily1242		bark	1204	BARK		oʁm	o ʁ m
9174	25325	northeuralex-niv	gily1242		bark	1204	BARK		om	o m
13333	29484	northeuralex-niv	gily1242		bealive	1422	BE ALIVE		mor̥qæ	m o r̥ q æ
13334	29485	northeuralex-niv	gily1242		bealive	1422	BE ALIVE		humɟ	h u m ɟ
25675	41826	northeuralex-niv	gily1242		berry	904	BERRY		æls	æ l s
25676	41827	northeuralex-niv	gily1242		berry	904	BERRY		ælr̥	æ l r̥
28339	44490	northeuralex-niv	gily1242		big	1202	BIG		pilæ	p i l æ
30676	46827	northeuralex-niv	gily1242		bird	937	BIRD		puɪŋæ	p u ɪ ŋ æ
35634	51785	northeuralex-niv	gily1242		black	163	BLACK		vɨlvɨlɨ	v ɨ l v ɨ l ɨ
39048	55199	northeuralex-niv	gily1242		blood	946	BLOOD		cʰoχ	cʰ o χ
39049	55200	northeuralex-niv	gily1242		blood	946	BLOOD		ŋær̥	ŋ æ r̥
41196	57347	northeuralex-niv	gily1242		blowofwind	175	BLOW (OF WIND)		tʰɪeʁɟ	tʰ ɪ e ʁ ɟ
47269	63420	northeuralex-niv	gily1242		bone	1394	BONE		ŋɨɲf	ŋ ɨ ɲ f
59172	75325	northeuralex-niv	gily1242		breathe	1407	BREATHE		tʰæɟ	tʰ æ ɟ
91954	108107	northeuralex-niv	gily1242		cloud	1489	CLOUD		læx	l æ x
91955	108108	northeuralex-niv	gily1242		cloud	1489	CLOUD		cʰærŋi	cʰ æ r ŋ i
96597	112750	northeuralex-niv	gily1242		coldofweather	2483	COLD (OF WEATHER)		pur̥pur̥	p u r̥ p u r̥
99218	115371	northeuralex-niv	gily1242		come	1446	COME		pʰr̥ɨd	pʰ r̥ ɨ d
99219	115372	northeuralex-niv	gily1242		come	1446	COME		pʰr̥ɨɟ	pʰ r̥ ɨ ɟ
105181	121334	northeuralex-niv	gily1242		correctright	1725	CORRECT (RIGHT)		mɨkrlæ	m ɨ k r l æ
107502	123655	northeuralex-niv	gily1242		count	1420	COUNT		juruɟ	j u r u ɟ
115338	131491	northeuralex-niv	gily1242		cut	1432	CUT		jæqt	j æ q t
115339	131492	northeuralex-niv	gily1242		cut	1432	CUT		jæqc	j æ q c
122092	138247	northeuralex-niv	gily1242		daynotnight	1225	DAY (NOT NIGHT)		muv	m u v
122093	138248	northeuralex-niv	gily1242		daynotnight	1225	DAY (NOT NIGHT)		muɣv	m u ɣ v
127429	143584	northeuralex-niv	gily1242		die	1494	DIE		muɟ	m u ɟ
129895	146050	northeuralex-niv	gily1242		dig	1418	DIG		xɨznd	x ɨ z n d
132012	148167	northeuralex-niv	gily1242		dirty	1230	DIRTY		ɤʁr̥qæ	ɤ ʁ r̥ q æ
135992	152147	northeuralex-niv	gily1242		dog	2009	DOG		qæn	q æ n
135993	152148	northeuralex-niv	gily1242		dog	2009	DOG		qænŋ	q æ n ŋ
142448	158603	northeuralex-niv	gily1242		drink	1401	DRINK		ræd	r æ d
151533	167688	northeuralex-niv	gily1242		ear	1247	EAR		mlæ	m l æ
154360	170515	northeuralex-niv	gily1242		earthsoil	1228	EARTH (SOIL)		mif	m i f
159349	175507	northeuralex-niv	gily1242		egg	744	EGG		ŋoɪq	ŋ o ɪ q
169933	186091	northeuralex-niv	gily1242		eye	1248	EYE		njæχ	n j æ χ
173954	190113	northeuralex-niv	gily1242		fall	1280	FALL		polɟ	p o l ɟ
179937	196096	northeuralex-niv	gily1242		father	1217	FATHER		ɨtk	ɨ t k
179938	196097	northeuralex-niv	gily1242		father	1217	FATHER		ɨtɨk	ɨ t ɨ k
182304	198464	northeuralex-niv	gily1242		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		tʰom	tʰ o m
183924	200084	northeuralex-niv	gily1242		fearbeafraid	1419	FEAR (BE AFRAID)		hɪeʁæɟ	h ɪ e ʁ æ ɟ
185181	201341	northeuralex-niv	gily1242		feather	1201	FEATHER		tupr̥	t u p r̥
190208	222861	northeuralex-niv	gily1242		flower	239	FLOWER		ɤŋvk	ɤ ŋ v k
190209	222862	northeuralex-niv	gily1242		flower	239	FLOWER		t͡svɪetok	ts v ɪ e t o k
193091	225744	northeuralex-niv	gily1242		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		puid	p u i d
193092	225745	northeuralex-niv	gily1242		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		pɨiɟ	p ɨ i ɟ
194656	227309	northeuralex-niv	gily1242		fog	249	FOG		cʰɨlɨ	cʰ ɨ l ɨ
196475	229128	northeuralex-niv	gily1242		foot	1301	FOOT		ŋæcx	ŋ æ c x
199758	232411	northeuralex-niv	gily1242		forest	420	FOREST		pæl	p æ l
202863	235516	northeuralex-niv	gily1242		four	1500	FOUR		nɨkr̥	n ɨ k r̥
204582	237235	northeuralex-niv	gily1242		freeze	1431	FREEZE		kɨŋɟ	k ɨ ŋ ɟ
221102	253758	northeuralex-niv	gily1242		good	1035	GOOD		urlæ	u r l æ
226517	259173	northeuralex-niv	gily1242		grass	606	GRASS		cʰŋɨr	cʰ ŋ ɨ r
228843	261499	northeuralex-niv	gily1242		green	1425	GREEN		zɪeljonɨɪ	z ɪ e l j o n ɨ ɪ
228844	261500	northeuralex-niv	gily1242		green	1425	GREEN		ɲlæɪsvælæ	ɲ l æ ɪ s v æ l æ
234841	267497	northeuralex-niv	gily1242		hair	1040	HAIR		ŋɨŋɡ	ŋ ɨ ŋ g
238686	271342	northeuralex-niv	gily1242		hand	1277	HAND		tæmk	t æ m k
242884	275541	northeuralex-niv	gily1242		he	1211	HE		if	i f
244296	276953	northeuralex-niv	gily1242		head	1256	HEAD		tjoŋr̥	t j o ŋ r̥
244297	276954	northeuralex-niv	gily1242		head	1256	HEAD		tjoŋɣr̥	t j o ŋ ɣ r̥
248810	281467	northeuralex-niv	gily1242		heart	1223	HEART		ŋif	ŋ i f
254792	287451	northeuralex-niv	gily1242		here	136	HERE		tus	t u s
254793	287452	northeuralex-niv	gily1242		here	136	HERE		tuin	t u i n
260767	293427	northeuralex-niv	gily1242		hold	1448	HOLD		ɤvd	ɤ v d
260768	293428	northeuralex-niv	gily1242		hold	1448	HOLD		ɤvɟ	ɤ v ɟ
269168	301828	northeuralex-niv	gily1242		how	1239	HOW		jæŋɡut	j æ ŋ g u t
269169	301829	northeuralex-niv	gily1242		how	1239	HOW		jæŋɡur̥	j æ ŋ g u r̥
271824	304484	northeuralex-niv	gily1242		hunt	1435	HUNT		ŋɨŋɟ	ŋ ɨ ŋ ɟ
274974	307634	northeuralex-niv	gily1242		i	1209	I		ni	n i
275812	308472	northeuralex-niv	gily1242		ice	617	ICE		lur̥	l u r̥
287885	320545	northeuralex-niv	gily1242		kill	1417	KILL		iɣɟ	i ɣ ɟ
294536	327196	northeuralex-niv	gily1242		knowsomething	1410	KNOW (SOMETHING)		ɪimɟ	ɪ i m ɟ
294537	327197	northeuralex-niv	gily1242		knowsomething	1410	KNOW (SOMETHING)		ɪɨɪmɟ	ɪ ɨ ɪ m ɟ
296297	328957	northeuralex-niv	gily1242		lake	624	LAKE		tu	t u
299284	331944	northeuralex-niv	gily1242		laugh	1355	LAUGH		ɤʁŋævd	ɤ ʁ ŋ æ v d
302518	335178	northeuralex-niv	gily1242		leaf	628	LEAF		tjomr̥	t j o m r̥
305565	338225	northeuralex-niv	gily1242		left	244	LEFT		tʰɨir̥	tʰ ɨ i r̥
306557	339217	northeuralex-niv	gily1242		leg	1297	LEG		ŋæcx	ŋ æ c x
310623	343283	northeuralex-niv	gily1242		lierest	1411	LIE (REST)		xuɟ	x u ɟ
310624	343284	northeuralex-niv	gily1242		lierest	1411	LIE (REST)		porɟ	p o r ɟ
317246	349906	northeuralex-niv	gily1242		liver	1224	LIVER		tivs	t i v s
320181	352841	northeuralex-niv	gily1242		long	1203	LONG		kɨlæ	k ɨ l æ
349468	382129	northeuralex-niv	gily1242		mother	1216	MOTHER		ɨmk	ɨ m k
349469	382130	northeuralex-niv	gily1242		mother	1216	MOTHER		ɨmɨk	ɨ m ɨ k
351252	383916	northeuralex-niv	gily1242		mountain	639	MOUNTAIN		pæl	p æ l
351253	383917	northeuralex-niv	gily1242		mountain	639	MOUNTAIN		cʰir̥	cʰ i r̥
353777	386441	northeuralex-niv	gily1242		mouth	674	MOUTH		ævi	æ v i
358782	391447	northeuralex-niv	gily1242		name	1405	NAME		qʰæ	qʰ æ
360597	393263	northeuralex-niv	gily1242		narrow	1267	NARROW		noklæ	n o k l æ
365075	397742	northeuralex-niv	gily1242		neck	1333	NECK		qʰos	qʰ o s
369123	401790	northeuralex-niv	gily1242		new	1231	NEW		cʰuz	cʰ u z
371914	404581	northeuralex-niv	gily1242		night	1233	NIGHT		huŋɡuf	h u ŋ g u f
371915	404582	northeuralex-niv	gily1242		night	1233	NIGHT		qʰof	qʰ o f
377735	410402	northeuralex-niv	gily1242		nose	1221	NOSE		ux	u x
377736	410403	northeuralex-niv	gily1242		nose	1221	NOSE		vix	v i x
379268	411935	northeuralex-niv	gily1242		not	1240	NOT		qʰæuɟ	qʰ æ u ɟ
383606	416273	northeuralex-niv	gily1242		old	1229	OLD		mrolv	m r o l v
390009	422676	northeuralex-niv	gily1242		one	1493	ONE		njæqr̥	n j æ q r̥
406586	439253	northeuralex-niv	gily1242		person	683	PERSON		nivŋ	n i v ŋ
413869	446536	northeuralex-niv	gily1242		play	1413	PLAY		lɪerɟ	l ɪ e r ɟ
413870	446537	northeuralex-niv	gily1242		play	1413	PLAY		læqrɟ	l æ q r ɟ
421351	454018	northeuralex-niv	gily1242		pull	1455	PULL		irlɨd	i r l ɨ d
421352	454019	northeuralex-niv	gily1242		pull	1455	PULL		irlɨɟ	i r l ɨ ɟ
427975	460643	northeuralex-niv	gily1242		rainraining	1253	RAIN (RAINING)		kɨɟ	k ɨ ɟ
432814	465482	northeuralex-niv	gily1242		red	156	RED		pæʁlæ	p æ ʁ l æ
438511	471179	northeuralex-niv	gily1242		right	1019	RIGHT		nɨir	n ɨ i r
441057	473725	northeuralex-niv	gily1242		river	666	RIVER		ɤri	ɤ r i
441606	474275	northeuralex-niv	gily1242		road	667	ROAD		tif	t i f
444693	477362	northeuralex-niv	gily1242		root	670	ROOT		vizlɨx	v i z l ɨ x
449949	482618	northeuralex-niv	gily1242		rub	1449	RUB		xɪedrd	x ɪ e d r d
449950	482619	northeuralex-niv	gily1242		rub	1449	RUB		xɪedrɟ	x ɪ e d r ɟ
453966	486635	northeuralex-niv	gily1242		salt	1274	SALT		tæfc	t æ f c
453967	486636	northeuralex-niv	gily1242		salt	1274	SALT		tæftiŋ	t æ f t i ŋ
456702	489371	northeuralex-niv	gily1242		sand	671	SAND		mæχ	m æ χ
456703	489372	northeuralex-niv	gily1242		sand	671	SAND		qomr̥	q o m r̥
459633	492302	northeuralex-niv	gily1242		say	1458	SAY		itnd	i t n d
459634	492303	northeuralex-niv	gily1242		say	1458	SAY		xɪezɟ	x ɪ e z ɟ
463393	496062	northeuralex-niv	gily1242		sea	1474	SEA		qɪer̥q	q ɪ e r̥ q
463394	496063	northeuralex-niv	gily1242		sea	1474	SEA		qɪer̥qŋ	q ɪ e r̥ q ŋ
465437	498107	northeuralex-niv	gily1242		see	1409	SEE		idɨɪd	i d ɨ ɪ d
472304	504975	northeuralex-niv	gily1242		sew	1457	SEW		jotc	j o t c
475196	507867	northeuralex-niv	gily1242		sharp	1396	SHARP		tʰuɲ	tʰ u ɲ
481870	514542	northeuralex-niv	gily1242		short	1645	SHORT		pʰχæklæ	pʰ χ æ k l æ
488518	521190	northeuralex-niv	gily1242		sing	1261	SING		lud	l u d
488519	521191	northeuralex-niv	gily1242		sing	1261	SING		luɟ	l u ɟ
490869	523541	northeuralex-niv	gily1242		sit	1416	SIT		ir̥pc	i r̥ p c
497424	530096	northeuralex-niv	gily1242		sky	1732	SKY		tlɨ	t l ɨ
499635	532308	northeuralex-niv	gily1242		sleep	1585	SLEEP		qʰod	qʰ o d
499636	532309	northeuralex-niv	gily1242		sleep	1585	SLEEP		qʰoɟ	qʰ o ɟ
503222	535896	northeuralex-niv	gily1242		small	1246	SMALL		mæcki	m æ c k i
505644	538318	northeuralex-niv	gily1242		smellperceive	1586	SMELL (PERCEIVE)		nuɣnuɣɟ	n u ɣ n u ɣ ɟ
507498	540174	northeuralex-niv	gily1242		smokeexhaust	778	SMOKE (EXHAUST)		tʰuf	tʰ u f
510207	542883	northeuralex-niv	gily1242		snake	730	SNAKE		kɨlæŋæ	k ɨ l æ ŋ æ
510208	542884	northeuralex-niv	gily1242		snake	730	SNAKE		kɨlɡɪerŋ	k ɨ l g ɪ e r ŋ
512350	545026	northeuralex-niv	gily1242		snow	784	SNOW		ŋæqr̥	ŋ æ q r̥
530334	563010	northeuralex-niv	gily1242		stand	1442	STAND		kæprd	k æ p r d
530335	563011	northeuralex-niv	gily1242		stand	1442	STAND		kɨprɟ	k ɨ p r ɟ
532672	565348	northeuralex-niv	gily1242		star	1430	STAR		uɲɣr̥	u ɲ ɣ r̥
532673	565349	northeuralex-niv	gily1242		star	1430	STAR		uɲɣur̥	u ɲ ɣ u r̥
539207	571884	northeuralex-niv	gily1242		stone	857	STONE		pæχ	p æ χ
548594	581271	northeuralex-niv	gily1242		sun	1343	SUN		kʰɪeŋ	kʰ ɪ e ŋ
555537	588214	northeuralex-niv	gily1242		swim	1439	SWIM		r̥ɨmd	r̥ ɨ m d
555538	588215	northeuralex-niv	gily1242		swim	1439	SWIM		r̥ɨmɟ	r̥ ɨ m ɟ
558079	590756	northeuralex-niv	gily1242		tail	1220	TAIL		ŋɨki	ŋ ɨ k i
569537	602216	northeuralex-niv	gily1242		there	1937	THERE		æɡ	æ g
569538	602217	northeuralex-niv	gily1242		there	1937	THERE		ɤʁs	ɤ ʁ s
570953	603632	northeuralex-niv	gily1242		they	817	THEY		in	i n
570954	603633	northeuralex-niv	gily1242		they	817	THEY		imŋ	i m ŋ
572324	605003	northeuralex-niv	gily1242		thick	1244	THICK		tolæ	t o l æ
572325	605004	northeuralex-niv	gily1242		thick	1244	THICK		vir̥kɨrlæ	v i r̥ k ɨ r l æ
578570	611250	northeuralex-niv	gily1242		this	1214	THIS		tɨɟ	t ɨ ɟ
580682	613365	northeuralex-niv	gily1242		thou	1215	THOU		cʰi	cʰ i
583493	616178	northeuralex-niv	gily1242		three	492	THREE		tjæqr̥	t j æ q r̥
589592	622279	northeuralex-niv	gily1242		tie	1917	TIE		jupc	j u p c
596647	629334	northeuralex-niv	gily1242		tongue	1205	TONGUE		hilx	h i l x
598819	631506	northeuralex-niv	gily1242		tooth	1380	TOOTH		ŋɨɣs	ŋ ɨ ɣ s
603244	635931	northeuralex-niv	gily1242		tree	906	TREE		cʰχær̥	cʰ χ æ r̥
611719	644406	northeuralex-niv	gily1242		two	1498	TWO		mɪeqr̥	m ɪ e q r̥
625225	677886	northeuralex-niv	gily1242		where	1237	WHERE		tʰæs	tʰ æ s
625226	677887	northeuralex-niv	gily1242		where	1237	WHERE		r̥ær̥	r̥ æ r̥
627591	680252	northeuralex-niv	gily1242		white	1335	WHITE		qʰonu	qʰ o n u
630051	682804	northeuralex-niv	gily1242		who	1235	WHO		æŋ	æ ŋ
630052	682805	northeuralex-niv	gily1242		who	1235	WHO		nud	n u d
630053	682806	northeuralex-niv	gily1242		who	1235	WHO		siɟ	s i ɟ
631766	684520	northeuralex-niv	gily1242		wide	1243	WIDE		vɪerlæ	v ɪ e r l æ
633119	685873	northeuralex-niv	gily1242		wife	1199	WIFE		umɡu	u m g u
633120	685874	northeuralex-niv	gily1242		wife	1199	WIFE		r̥æŋɢ	r̥ æ ŋ ɢ
635405	688159	northeuralex-niv	gily1242		wind	960	WIND		læ	l æ
637527	690281	northeuralex-niv	gily1242		wing	1257	WING		ŋɨrɣɨr̥	ŋ ɨ r ɣ ɨ r̥
638502	691256	northeuralex-niv	gily1242		wipe	1454	WIPE		ŋɪevɟ	ŋ ɪ e v ɟ
640436	693191	northeuralex-niv	gily1242		woman	962	WOMAN		umɡu	u m g u
640437	693192	northeuralex-niv	gily1242		woman	962	WOMAN		r̥æŋɢ	r̥ æ ŋ ɢ
648144	700899	northeuralex-niv	gily1242		year	1226	YEAR		æɲ	æ ɲ
651984	705824	northeuralex-niv	gily1242		you	1213	YOU		cʰɨŋ	cʰ ɨ ŋ
651985	705825	northeuralex-niv	gily1242		you	1213	YOU		cʰin	cʰ i n
