	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
642	16793	transnewguineaorg-sahu	sahu1245		at	1461	AT		toma	t o m a
643	16794	transnewguineaorg-sahu	sahu1245		at	1461	AT		ra	r a
646	16797	transnewguineaorg-tidore	tido1248		at	1461	AT		toma	t o m a
648	16799	transnewguineaorg-west-makian	west2600		at	1461	AT		tV	t ə
23728	39879	transnewguineaorg-sahu	sahu1245		belly	1251	BELLY		soara	s o a r a
23762	39913	transnewguineaorg-tidore	tido1248		belly	1251	BELLY		oru	o r u
23786	39937	transnewguineaorg-west-makian	west2600		belly	1251	BELLY		bodo	b o d o
24934	41085	transnewguineaorg-sahu	sahu1245		beloworunder	1485	BELOW OR UNDER		dau	d a u
24937	41088	transnewguineaorg-tidore	tido1248		beloworunder	1485	BELOW OR UNDER		alu	a l u
28933	45084	transnewguineaorg-sahu	sahu1245		big	1202	BIG		pako	p a k o
28934	45085	transnewguineaorg-sahu	sahu1245		big	1202	BIG		lamo'o	l a m o o
28971	45122	transnewguineaorg-tidore	tido1248		big	1202	BIG		lamo	l a m o
29000	45151	transnewguineaorg-west-makian	west2600		big	1202	BIG		lamo	l a m o
29001	45152	transnewguineaorg-west-makian	west2600		big	1202	BIG		magol	m a g o l
31285	47436	transnewguineaorg-sahu	sahu1245		bird	937	BIRD		namo	n a m o
31323	47474	transnewguineaorg-tidore	tido1248		bird	937	BIRD		namo	n a m o
31358	47509	transnewguineaorg-west-makian	west2600		bird	937	BIRD		haywan	h a j w a n
33391	49542	transnewguineaorg-sahu	sahu1245		bite	1403	BITE		ga'di	g a d i
33392	49543	transnewguineaorg-sahu	sahu1245		bite	1403	BITE		tubu'u	t u b u u
33426	49577	transnewguineaorg-tidore	tido1248		bite	1403	BITE		goli	g o l i
33455	49606	transnewguineaorg-west-makian	west2600		bite	1403	BITE		kiki	k i k i
39645	55796	transnewguineaorg-sahu	sahu1245		blood	946	BLOOD		ngaunu	n g a u n u
39681	55832	transnewguineaorg-tidore	tido1248		blood	946	BLOOD		au	a u
39713	55864	transnewguineaorg-west-makian	west2600		blood	946	BLOOD		uni	u n i
41462	57613	transnewguineaorg-sahu	sahu1245		blowofwind	175	BLOW (OF WIND)		fiufiu	f i u f i u
41463	57614	transnewguineaorg-sahu	sahu1245		blowofwind	175	BLOW (OF WIND)		dusu'u	d u s u u
41464	57615	transnewguineaorg-sahu	sahu1245		blowofwind	175	BLOW (OF WIND)		wusu	w u s u
41465	57616	transnewguineaorg-sahu	sahu1245		blowofwind	175	BLOW (OF WIND)		hoa	h o a
41485	57636	transnewguineaorg-tidore	tido1248		blowofwind	175	BLOW (OF WIND)		iru	i r u
41501	57652	transnewguineaorg-west-makian	west2600		blowofwind	175	BLOW (OF WIND)		udu	u d u
47885	64036	transnewguineaorg-sahu	sahu1245		bone	1394	BONE		'bero	b e r o
47886	64037	transnewguineaorg-sahu	sahu1245		bone	1394	BONE		'obongo	o b o n g o
47929	64080	transnewguineaorg-tidore	tido1248		bone	1394	BONE		goka	g o k a
