	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8922	25073	johanssonsoundsymbolic-Rotokas	roto1249		bark	1204	BARK		ko̞ɒ	k o̞ ɒ
22967	39118	johanssonsoundsymbolic-Rotokas	roto1249		belly	1251	BELLY		sɒre̞	s ɒ r e̞
28011	44162	johanssonsoundsymbolic-Rotokas	roto1249		big	1202	BIG		tuupuu	t uː p uː
30387	46538	johanssonsoundsymbolic-Rotokas	roto1249		bird	937	BIRD		ko̞kio̞to̞	k o̞ k i o̞ t o̞
32744	48895	johanssonsoundsymbolic-Rotokas	roto1249		bite	1403	BITE		ko̞tu	k o̞ t u
35358	51509	johanssonsoundsymbolic-Rotokas	roto1249		black	163	BLACK		kɒto̞kɒto̞	k ɒ t o̞ k ɒ t o̞
38771	54922	johanssonsoundsymbolic-Rotokas	roto1249		blood	946	BLOOD		re̞βɒsiβɒ	r e̞ β ɒ s i β ɒ
46994	63145	johanssonsoundsymbolic-Rotokas	roto1249		bone	1394	BONE		ke̞ruɒ	k e̞ r u ɒ
57079	73232	johanssonsoundsymbolic-Rotokas	roto1249		breast	1402	BREAST		ro̞ro̞o̞uɒ	r o̞ r o̞ː u ɒ
64549	80702	johanssonsoundsymbolic-Rotokas	roto1249		burn	2102	BURN		kɒsi	k ɒ s i
91687	107840	johanssonsoundsymbolic-Rotokas	roto1249		cloud	1489	CLOUD		rukutɒ	r u k u t ɒ
95271	111424	johanssonsoundsymbolic-Rotokas	roto1249		cold	1287	COLD		ugo̞ro̞	u g o̞ r o̞
98935	115088	johanssonsoundsymbolic-Rotokas	roto1249		come	1446	COME		urio̞	u r i o̞
127159	143314	johanssonsoundsymbolic-Rotokas	roto1249		die	1494	DIE		βo̞βo̞u_βe̞rɒ	β o̞ β o̞ u + β e̞ r ɒ
