	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8950	25101	johanssonsoundsymbolic-Uncunwee	ghul1238		bark	1204	BARK		orŋuuda	o r ŋ uː d a
23001	39152	johanssonsoundsymbolic-Uncunwee	ghul1238		belly	1251	BELLY		tu	t u
28047	44198	johanssonsoundsymbolic-Uncunwee	ghul1238		big	1202	BIG		aɟe	a ɟ e
30420	46571	johanssonsoundsymbolic-Uncunwee	ghul1238		bird	937	BIRD		kanɖe_tunu	k a n ɖ e + t u n u
32778	48929	johanssonsoundsymbolic-Uncunwee	ghul1238		bite	1403	BITE		aʃe	a ʃ e
35393	51544	johanssonsoundsymbolic-Uncunwee	ghul1238		black	163	BLACK		uri	u r i
38807	54958	johanssonsoundsymbolic-Uncunwee	ghul1238		blood	946	BLOOD		ʊr	ʊ r
47026	63177	johanssonsoundsymbolic-Uncunwee	ghul1238		bone	1394	BONE		kwɛt	k w ɛ t
57112	73265	johanssonsoundsymbolic-Uncunwee	ghul1238		breast	1402	BREAST		ɔdu	ɔ d u
64581	80734	johanssonsoundsymbolic-Uncunwee	ghul1238		burn	2102	BURN		ilɛri	i l ɛ r i
91716	107869	johanssonsoundsymbolic-Uncunwee	ghul1238		cloud	1489	CLOUD		duwɛt	d u w ɛ t
95305	111458	johanssonsoundsymbolic-Uncunwee	ghul1238		cold	1287	COLD		ʊrguŋ	ʊ r g u ŋ
98970	115123	johanssonsoundsymbolic-Uncunwee	ghul1238		come	1446	COME		twe	t w e
127194	143349	johanssonsoundsymbolic-Uncunwee	ghul1238		die	1494	DIE		ʈijal	ʈ i j a l
135742	151897	johanssonsoundsymbolic-Uncunwee	ghul1238		dog	2009	DOG		bol	b o l
142211	158366	johanssonsoundsymbolic-Uncunwee	ghul1238		drink	1401	DRINK		ɖijɛ	ɖ i j ɛ
145844	161999	johanssonsoundsymbolic-Uncunwee	ghul1238		dry	1398	DRY		ʃwat	ʃ w a t
151287	167442	johanssonsoundsymbolic-Uncunwee	ghul1238		ear	1247	EAR		ultʃe	u l tʃ e
154205	170360	johanssonsoundsymbolic-Uncunwee	ghul1238		earthsoil	1228	EARTH (SOIL)		weena	w eː n a
156812	172967	johanssonsoundsymbolic-Uncunwee	ghul1238		eat	1336	EAT		kɔli	k ɔ l i
159111	175269	johanssonsoundsymbolic-Uncunwee	ghul1238		egg	744	EGG		koɲultu	k o ɲ u l t u
169692	185850	johanssonsoundsymbolic-Uncunwee	ghul1238		eye	1248	EYE		kaltu	k a l t u
182161	198321	johanssonsoundsymbolic-Uncunwee	ghul1238		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		aɲor	a ɲ o r
185008	201168	johanssonsoundsymbolic-Uncunwee	ghul1238		feather	1201	FEATHER		ʈɪltu	ʈ ɪ l t u
192953	225606	johanssonsoundsymbolic-Uncunwee	ghul1238		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		unɛtu	u n ɛ t u
196287	228940	johanssonsoundsymbolic-Uncunwee	ghul1238		foot	1301	FOOT		kuut	k uː t
209370	242023	johanssonsoundsymbolic-Uncunwee	ghul1238		full	1429	FULL		ɪɲat	ɪ ɲ a t
214719	247372	johanssonsoundsymbolic-Uncunwee	ghul1238		give	1447	GIVE		ʈi	ʈ i
220849	253505	johanssonsoundsymbolic-Uncunwee	ghul1238		good	1035	GOOD		kɛŋ	k ɛ ŋ
228627	261283	johanssonsoundsymbolic-Uncunwee	ghul1238		green	1425	GREEN		te	t e
234649	267305	johanssonsoundsymbolic-Uncunwee	ghul1238		hair	1040	HAIR		ʈɪltu	ʈ ɪ l t u
238492	271148	johanssonsoundsymbolic-Uncunwee	ghul1238		hand	1277	HAND		ɔʃi	ɔ ʃ i
244046	276703	johanssonsoundsymbolic-Uncunwee	ghul1238		head	1256	HEAD		ʊr	ʊ r
246977	279634	johanssonsoundsymbolic-Uncunwee	ghul1238		hear	1408	HEAR		kijeri	k i j e r i
248572	281229	johanssonsoundsymbolic-Uncunwee	ghul1238		heart	1223	HEART		alɖo	a l ɖ o
263429	296089	johanssonsoundsymbolic-Uncunwee	ghul1238		hornanatomy	1393	HORN (ANATOMY)		ɖotu	ɖ o t u
274798	307458	johanssonsoundsymbolic-Uncunwee	ghul1238		i	1209	I		jɛ	j ɛ
287637	320297	johanssonsoundsymbolic-Uncunwee	ghul1238		kill	1417	KILL		uɽi	u ɽ i
290313	322973	johanssonsoundsymbolic-Uncunwee	ghul1238		knee	1371	KNEE		kutu	k u t u
302268	334928	johanssonsoundsymbolic-Uncunwee	ghul1238		leaf	628	LEAF		aɽo	a ɽ o
317038	349698	johanssonsoundsymbolic-Uncunwee	ghul1238		liver	1224	LIVER		ɪgɪtʃ	ɪ g ɪ tʃ
319933	352593	johanssonsoundsymbolic-Uncunwee	ghul1238		long	1203	LONG		ɖoɟi	ɖ o ɟ i
323574	356234	johanssonsoundsymbolic-Uncunwee	ghul1238		louse	1392	LOUSE		itu	i t u
330552	363213	johanssonsoundsymbolic-Uncunwee	ghul1238		man	1554	MAN		kortu	k o r t u
332372	365033	johanssonsoundsymbolic-Uncunwee	ghul1238		many	1198	MANY		ɪnɟiri	ɪ n ɟ i r i
344545	377206	johanssonsoundsymbolic-Uncunwee	ghul1238		moon	1313	MOON		nontu	n o n t u
351010	383674	johanssonsoundsymbolic-Uncunwee	ghul1238		mountain	639	MOUNTAIN		kudu	k u d u
353528	386192	johanssonsoundsymbolic-Uncunwee	ghul1238		mouth	674	MOUTH		abul	a b u l
358547	391211	johanssonsoundsymbolic-Uncunwee	ghul1238		name	1405	NAME		or	o r
364831	397498	johanssonsoundsymbolic-Uncunwee	ghul1238		neck	1333	NECK		ɖul	ɖ u l
368883	401550	johanssonsoundsymbolic-Uncunwee	ghul1238		new	1231	NEW		er	e r
371670	404337	johanssonsoundsymbolic-Uncunwee	ghul1238		night	1233	NIGHT		ɪtɛri	ɪ t ɛ r i
377488	410155	johanssonsoundsymbolic-Uncunwee	ghul1238		nose	1221	NOSE		iɲuŋ	i ɲ u ŋ
379071	411738	johanssonsoundsymbolic-Uncunwee	ghul1238		not	1240	NOT		ooŋ	oː ŋ
389788	422455	johanssonsoundsymbolic-Uncunwee	ghul1238		one	1493	ONE		ber	b e r
406290	438957	johanssonsoundsymbolic-Uncunwee	ghul1238		person	683	PERSON		ɪt	ɪ t
432571	465239	johanssonsoundsymbolic-Uncunwee	ghul1238		red	156	RED		kɛle	k ɛ l e
444506	477175	johanssonsoundsymbolic-Uncunwee	ghul1238		root	670	ROOT		ɪrtit	ɪ r t i t
448892	481561	johanssonsoundsymbolic-Uncunwee	ghul1238		round	1395	ROUND		ʈur	ʈ u r
456468	489137	johanssonsoundsymbolic-Uncunwee	ghul1238		sand	671	SAND		kwartu	k w a r t u
459436	492105	johanssonsoundsymbolic-Uncunwee	ghul1238		say	1458	SAY		wej	w e j
465187	497857	johanssonsoundsymbolic-Uncunwee	ghul1238		see	1409	SEE		ŋeli	ŋ e l i
466733	499403	johanssonsoundsymbolic-Uncunwee	ghul1238		seed	714	SEED		terab	t e r a b
490629	523301	johanssonsoundsymbolic-Uncunwee	ghul1238		sit	1416	SIT		aki	a k i
494740	527412	johanssonsoundsymbolic-Uncunwee	ghul1238		skin	763	SKIN		ɖor	ɖ o r
499384	532056	johanssonsoundsymbolic-Uncunwee	ghul1238		sleep	1585	SLEEP		ɟɛl	ɟ ɛ l
502967	535641	johanssonsoundsymbolic-Uncunwee	ghul1238		small	1246	SMALL		wattunu	w a tː u n u
507283	539959	johanssonsoundsymbolic-Uncunwee	ghul1238		smokeexhaust	778	SMOKE (EXHAUST)		kuunu	k uː n u
530164	562840	johanssonsoundsymbolic-Uncunwee	ghul1238		stand	1442	STAND		tɛbi	t ɛ b i
532421	565097	johanssonsoundsymbolic-Uncunwee	ghul1238		star	1430	STAR		onu	o n u
538969	571646	johanssonsoundsymbolic-Uncunwee	ghul1238		stone	857	STONE		kakar	k a k a r
548353	581030	johanssonsoundsymbolic-Uncunwee	ghul1238		sun	1343	SUN		ɪŋŋaltu	ɪ ŋː a l t u
