	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8945	25096	johanssonsoundsymbolic-Toaripi	toar1246		bark	1204	BARK		t̪o̞l̪a_ruru	t̪ o̞ l̪ a + r u r u
22995	39146	johanssonsoundsymbolic-Toaripi	toar1246		belly	1251	BELLY		e̞re̞	e̞ r e̞
28041	44192	johanssonsoundsymbolic-Toaripi	toar1246		big	1202	BIG		ro̞vae̞a	r o̞ v a e̞ a
30416	46567	johanssonsoundsymbolic-Toaripi	toar1246		bird	937	BIRD		o̞ri	o̞ r i
32773	48924	johanssonsoundsymbolic-Toaripi	toar1246		bite	1403	BITE		put̪avai	p u t̪ a v a i
35388	51539	johanssonsoundsymbolic-Toaripi	toar1246		black	163	BLACK		mae̞a_haihiri	m a e̞ a + h a i h i r i
38801	54952	johanssonsoundsymbolic-Toaripi	toar1246		blood	946	BLOOD		o̞vo̞	o̞ v o̞
47020	63171	johanssonsoundsymbolic-Toaripi	toar1246		bone	1394	BONE		ut̪i	u t̪ i
57107	73260	johanssonsoundsymbolic-Toaripi	toar1246		breast	1402	BREAST		ko̞	k o̞
64575	80728	johanssonsoundsymbolic-Toaripi	toar1246		burn	2102	BURN		a_s̪auai	a + s̪ a u a i
91710	107863	johanssonsoundsymbolic-Toaripi	toar1246		cloud	1489	CLOUD		me̞a_e̞	m e̞ a + e̞
95299	111452	johanssonsoundsymbolic-Toaripi	toar1246		cold	1287	COLD		ve̞ve̞ko̞ko̞	v e̞ v e̞ k o̞ k o̞
98965	115118	johanssonsoundsymbolic-Toaripi	toar1246		come	1446	COME		ko̞t̪i	k o̞ t̪ i
127188	143343	johanssonsoundsymbolic-Toaripi	toar1246		die	1494	DIE		o̞pai	o̞ p a i
135737	151892	johanssonsoundsymbolic-Toaripi	toar1246		dog	2009	DOG		ave̞	a v e̞
142205	158360	johanssonsoundsymbolic-Toaripi	toar1246		drink	1401	DRINK		ma_l̪auai	m a + l̪ a u a i
145838	161993	johanssonsoundsymbolic-Toaripi	toar1246		dry	1398	DRY		arara	a r a r a
151281	167436	johanssonsoundsymbolic-Toaripi	toar1246		ear	1247	EAR		kiro̞ri	k i r o̞ r i
154200	170355	johanssonsoundsymbolic-Toaripi	toar1246		earthsoil	1228	EARTH (SOIL)		me̞a	m e̞ a
156806	172961	johanssonsoundsymbolic-Toaripi	toar1246		eat	1336	EAT		l̪auai	l̪ a u a i
159105	175263	johanssonsoundsymbolic-Toaripi	toar1246		egg	744	EGG		o̞ri_ve̞_fare̞	o̞ r i + v e̞ + f a r e̞
169686	185844	johanssonsoundsymbolic-Toaripi	toar1246		eye	1248	EYE		o̞fae̞	o̞ f a e̞
182155	198315	johanssonsoundsymbolic-Toaripi	toar1246		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		t̪apare̞	t̪ a p a r e̞
185003	201163	johanssonsoundsymbolic-Toaripi	toar1246		feather	1201	FEATHER		o̞ri_me̞he̞	o̞ r i + m e̞ h e̞
192949	225602	johanssonsoundsymbolic-Toaripi	toar1246		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		o̞ro̞pe̞a	o̞ r o̞ p e̞ a
196282	228935	johanssonsoundsymbolic-Toaripi	toar1246		foot	1301	FOOT		mo̞ra	m o̞ r a
209365	242018	johanssonsoundsymbolic-Toaripi	toar1246		full	1429	FULL		s̪ao̞uai	s̪ a o̞ u a i
214714	247367	johanssonsoundsymbolic-Toaripi	toar1246		give	1447	GIVE		miarai	m i a r a i
220843	253499	johanssonsoundsymbolic-Toaripi	toar1246		good	1035	GOOD		l̪are̞va	l̪ a r e̞ v a
228621	261277	johanssonsoundsymbolic-Toaripi	toar1246		green	1425	GREEN		mae̞a_po̞po̞ri	m a e̞ a + p o̞ p o̞ r i
234643	267299	johanssonsoundsymbolic-Toaripi	toar1246		hair	1040	HAIR		t̪ui	t̪ u i
238486	271142	johanssonsoundsymbolic-Toaripi	toar1246		hand	1277	HAND		mai	m a i
244042	276699	johanssonsoundsymbolic-Toaripi	toar1246		head	1256	HEAD		haro̞	h a r o̞
246973	279630	johanssonsoundsymbolic-Toaripi	toar1246		hear	1408	HEAR		mapai	m a p a i
248566	281223	johanssonsoundsymbolic-Toaripi	toar1246		heart	1223	HEART		l̪akakare̞	l̪ a k a k a r e̞
263426	296086	johanssonsoundsymbolic-Toaripi	toar1246		hornanatomy	1393	HORN (ANATOMY)		ke̞a	k e̞ a
274792	307452	johanssonsoundsymbolic-Toaripi	toar1246		i	1209	I		ara	a r a
287632	320292	johanssonsoundsymbolic-Toaripi	toar1246		kill	1417	KILL		pae̞ai	p a e̞ a i
290308	322968	johanssonsoundsymbolic-Toaripi	toar1246		knee	1371	KNEE		arihau	a r i h a u
302264	334924	johanssonsoundsymbolic-Toaripi	toar1246		leaf	628	LEAF		t̪o̞l̪o̞	t̪ o̞ l̪ o̞
317032	349692	johanssonsoundsymbolic-Toaripi	toar1246		liver	1224	LIVER		hai	h a i
319927	352587	johanssonsoundsymbolic-Toaripi	toar1246		long	1203	LONG		s̪avo̞ri	s̪ a v o̞ r i
323570	356230	johanssonsoundsymbolic-Toaripi	toar1246		louse	1392	LOUSE		s̪arut̪a	s̪ a r u t̪ a
330547	363208	johanssonsoundsymbolic-Toaripi	toar1246		man	1554	MAN		he̞avit̪a	h e̞ a v i t̪ a
332367	365028	johanssonsoundsymbolic-Toaripi	toar1246		many	1198	MANY		rauapo̞	r a u a p o̞
344540	377201	johanssonsoundsymbolic-Toaripi	toar1246		moon	1313	MOON		papare̞	p a p a r e̞
351005	383669	johanssonsoundsymbolic-Toaripi	toar1246		mountain	639	MOUNTAIN		rae̞pa	r a e̞ p a
353523	386187	johanssonsoundsymbolic-Toaripi	toar1246		mouth	674	MOUTH		ape̞	a p e̞
358541	391205	johanssonsoundsymbolic-Toaripi	toar1246		name	1405	NAME		rare̞	r a r e̞
364825	397492	johanssonsoundsymbolic-Toaripi	toar1246		neck	1333	NECK		kɔvɔre̞	k ɔ v ɔ r e̞
368878	401545	johanssonsoundsymbolic-Toaripi	toar1246		new	1231	NEW		are̞	a r e̞
371665	404332	johanssonsoundsymbolic-Toaripi	toar1246		night	1233	NIGHT		fait̪a	f a i t̪ a
377483	410150	johanssonsoundsymbolic-Toaripi	toar1246		nose	1221	NOSE		e̞ve̞ra	e̞ v e̞ r a
379066	411733	johanssonsoundsymbolic-Toaripi	toar1246		not	1240	NOT		kao̞	k a o̞
389782	422449	johanssonsoundsymbolic-Toaripi	toar1246		one	1493	ONE		farake̞ka	f a r a k e̞ k a
406286	438953	johanssonsoundsymbolic-Toaripi	toar1246		person	683	PERSON		karu	k a r u
432566	465234	johanssonsoundsymbolic-Toaripi	toar1246		red	156	RED		mae̞a_mo̞hari	m a e̞ a + m o̞ h a r i
444501	477170	johanssonsoundsymbolic-Toaripi	toar1246		root	670	ROOT		l̪ikil̪e̞a	l̪ i k i l̪ e̞ a
448888	481557	johanssonsoundsymbolic-Toaripi	toar1246		round	1395	ROUND		mae̞a_ko̞auka	m a e̞ a + k o̞ a u k a
456463	489132	johanssonsoundsymbolic-Toaripi	toar1246		sand	671	SAND		me̞a_t̪e̞t̪e̞re̞	m e̞ a + t̪ e̞ t̪ e̞ r e̞
465181	497851	johanssonsoundsymbolic-Toaripi	toar1246		see	1409	SEE		o̞fae̞_e̞avai	o̞ f a e̞ + e̞ a v a i
466728	499398	johanssonsoundsymbolic-Toaripi	toar1246		seed	714	SEED		mo̞re̞	m o̞ r e̞
490624	523296	johanssonsoundsymbolic-Toaripi	toar1246		sit	1416	SIT		avai	a v a i
494734	527406	johanssonsoundsymbolic-Toaripi	toar1246		skin	763	SKIN		ruru	r u r u
499378	532050	johanssonsoundsymbolic-Toaripi	toar1246		sleep	1585	SLEEP		ivut̪u	i v u t̪ u
502961	535635	johanssonsoundsymbolic-Toaripi	toar1246		small	1246	SMALL		s̪e̞ika	s̪ e̞ i k a
507278	539954	johanssonsoundsymbolic-Toaripi	toar1246		smokeexhaust	778	SMOKE (EXHAUST)		aikae̞ra	a i k a e̞ r a
530159	562835	johanssonsoundsymbolic-Toaripi	toar1246		stand	1442	STAND		it̪o̞i	i t̪ o̞ i
532416	565092	johanssonsoundsymbolic-Toaripi	toar1246		star	1430	STAR		ko̞ru	k o̞ r u
538963	571640	johanssonsoundsymbolic-Toaripi	toar1246		stone	857	STONE		fave̞	f a v e̞
548348	581025	johanssonsoundsymbolic-Toaripi	toar1246		sun	1343	SUN		nume̞ra	n u m e̞ r a
555370	588047	johanssonsoundsymbolic-Toaripi	toar1246		swim	1439	SWIM		arive̞ai	a r i v e̞ a i
557830	590507	johanssonsoundsymbolic-Toaripi	toar1246		tail	1220	TAIL		uke̞	u k e̞
567218	599897	johanssonsoundsymbolic-Toaripi	toar1246		that	78	THAT		l̪e̞a	l̪ e̞ a
578305	610985	johanssonsoundsymbolic-Toaripi	toar1246		this	1214	THIS		me̞a	m e̞ a
