	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3914	20065	johanssonsoundsymbolic-Kaingang	kain1272		back	1291	BACK		pãnĩ	p ã n ĩ
3922	20073	johanssonsoundsymbolic-Krenak	kren1239		back	1291	BACK		jɔjɛk	j ɔ j ɛ k
3937	20088	johanssonsoundsymbolic-Maxakali	maxa1247		back	1291	BACK		çãm	ç ã m
3969	20120	johanssonsoundsymbolic-Rikbaktsa	rikb1245		back	1291	BACK		sukpe	s u k p e
5004	21155	johanssonsoundsymbolic-Djeoromitxi	djeo1235		bad	1292	BAD		medjətõ	m e d j ə t õ
5030	21181	johanssonsoundsymbolic-Kaingang	kain1272		bad	1292	BAD		kɔɾɛŋ	k ɔ ɾ ɛ ŋ
5039	21190	johanssonsoundsymbolic-Krenak	kren1239		bad	1292	BAD		ɔmtʃɔp	ɔ m tʃ ɔ p
5055	21206	johanssonsoundsymbolic-Maxakali	maxa1247		bad	1292	BAD		kɯmmɯk	k ɯ mː ɯ k
5088	21239	johanssonsoundsymbolic-Rikbaktsa	rikb1245		bad	1292	BAD		akhidepɨk	a kʰ i d e p ɨ k
8844	24995	johanssonsoundsymbolic-Djeoromitxi	djeo1235		bark	1204	BARK		kɛ	k ɛ
8869	25020	johanssonsoundsymbolic-Kaingang	kain1272		bark	1204	BARK		ɸʌɾ	ɸ ʌ ɾ
8872	25023	johanssonsoundsymbolic-Karaja	kara1500		bark	1204	BARK		tɨ	t ɨ
8877	25028	johanssonsoundsymbolic-Krenak	kren1239		bark	1204	BARK		kat	k a t
8890	25041	johanssonsoundsymbolic-Maxakali	maxa1247		bark	1204	BARK		çaç	ç a ç
12985	29136	johanssonsoundsymbolic-Djeoromitxi	djeo1235		bealive	1422	BE ALIVE		hõna	h õ n a
13010	29161	johanssonsoundsymbolic-Kaingang	kain1272		bealive	1422	BE ALIVE		ɾĩɾ	ɾ ĩ ɾ
13018	29169	johanssonsoundsymbolic-Krenak	kren1239		bealive	1422	BE ALIVE		tɛmum_ɛm	t ɛ m u m + ɛ m
13032	29183	johanssonsoundsymbolic-Maxakali	maxa1247		bealive	1422	BE ALIVE		hi	h i
13064	29215	johanssonsoundsymbolic-Rikbaktsa	rikb1245		bealive	1422	BE ALIVE		tʃaɾɨ	tʃ a ɾ ɨ
15746	31897	johanssonsoundsymbolic-Djeoromitxi	djeo1235		beautiful	1427	BEAUTIFUL		medjətʃi	m e d j ə tʃ i
15763	31914	johanssonsoundsymbolic-Kaingang	kain1272		beautiful	1427	BEAUTIFUL		sĩ_tãwĩ	s ĩ + t ã w ĩ
15777	31928	johanssonsoundsymbolic-Maxakali	maxa1247		beautiful	1427	BEAUTIFUL		maih	m a i h
15801	31952	johanssonsoundsymbolic-Rikbaktsa	rikb1245		beautiful	1427	BEAUTIFUL		ɽiu	ɽ i u
16331	32482	johanssonsoundsymbolic-Kaingang	kain1272		because	1157	BECAUSE		kʌ	k ʌ
16333	32484	johanssonsoundsymbolic-Karaja	kara1500		because	1157	BECAUSE		doɾi	d o ɾ i
16346	32497	johanssonsoundsymbolic-Maxakali	maxa1247		because	1157	BECAUSE		tɯ	t ɯ
19234	35385	johanssonsoundsymbolic-Djeoromitxi	djeo1235		before	1882	BEFORE		bɛtʃe	b ɛ tʃ e
19258	35409	johanssonsoundsymbolic-Kaingang	kain1272		before	1882	BEFORE		jo	j o
19261	35412	johanssonsoundsymbolic-Karaja	kara1500		before	1882	BEFORE		ko	k o
19266	35417	johanssonsoundsymbolic-Krenak	kren1239		before	1882	BEFORE		ɲɔɛ	ɲ ɔ ɛ
19278	35429	johanssonsoundsymbolic-Maxakali	maxa1247		before	1882	BEFORE		keppa	k e pː a
19304	35455	johanssonsoundsymbolic-Rikbaktsa	rikb1245		before	1882	BEFORE		hõtok	h õ t o k
20472	36623	johanssonsoundsymbolic-Djeoromitxi	djeo1235		behind	1686	BEHIND		hepe	h e p e
20492	36643	johanssonsoundsymbolic-Kaingang	kain1272		behind	1686	BEHIND		nɔn	n ɔ n
20501	36652	johanssonsoundsymbolic-Krenak	kren1239		behind	1686	BEHIND		japɔk	j a p ɔ k
20542	36693	johanssonsoundsymbolic-Rikbaktsa	rikb1245		behind	1686	BEHIND		isukɨɾiki	i s u k ɨ ɾ i k i
22878	39029	johanssonsoundsymbolic-Djeoromitxi	djeo1235		belly	1251	BELLY		pika	p i k a
22905	39056	johanssonsoundsymbolic-Kaingang	kain1272		belly	1251	BELLY		jɛ̃n_ne	j ɛ̃ n + n e
22915	39066	johanssonsoundsymbolic-Krenak	kren1239		belly	1251	BELLY		kuan	k u a n
22931	39082	johanssonsoundsymbolic-Maxakali	maxa1247		belly	1251	BELLY		teçtop	t e ç t o p
22966	39117	johanssonsoundsymbolic-Rikbaktsa	rikb1245		belly	1251	BELLY		sehe	s e h e
24550	40701	johanssonsoundsymbolic-Kaingang	kain1272		beloworunder	1485	BELOW OR UNDER		jakɾɛ̃m	j a k ɾ ɛ̃ m
24558	40709	johanssonsoundsymbolic-Krenak	kren1239		beloworunder	1485	BELOW OR UNDER		aŋɾɔpɔ	a ŋ ɾ ɔ p ɔ
25749	41900	johanssonsoundsymbolic-Djeoromitxi	djeo1235		beside	1816	BESIDE		beɾi	b e ɾ i
25766	41917	johanssonsoundsymbolic-Kaingang	kain1272		beside	1816	BESIDE		jɨ	j ɨ
25768	41919	johanssonsoundsymbolic-Karaja	kara1500		beside	1816	BESIDE		iɨɾe	i ɨ ɾ e
25782	41933	johanssonsoundsymbolic-Maxakali	maxa1247		beside	1816	BESIDE		jĩka	j ĩ k a
25803	41954	johanssonsoundsymbolic-Rikbaktsa	rikb1245		beside	1816	BESIDE		aktaba	a k t a b a
26488	42639	johanssonsoundsymbolic-Krenak	kren1239		between	689	BETWEEN		mɔɾa	m ɔ ɾ a
26510	42661	johanssonsoundsymbolic-Rikbaktsa	rikb1245		between	689	BETWEEN		paku	p a k u
27919	44070	johanssonsoundsymbolic-Djeoromitxi	djeo1235		big	1202	BIG		buɾu	b u ɾ u
27946	44097	johanssonsoundsymbolic-Kaingang	kain1272		big	1202	BIG		ehe	e h e
27950	44101	johanssonsoundsymbolic-Karaja	kara1500		big	1202	BIG		tɘbɨhɨkə̃	t ɘ b ɨ h ɨ k ə̃
27957	44108	johanssonsoundsymbolic-Krenak	kren1239		big	1202	BIG		jipakiʃu	j i p a k i ʃ u
27974	44125	johanssonsoundsymbolic-Maxakali	maxa1247		big	1202	BIG		çeçka	ç e ç k a
28010	44161	johanssonsoundsymbolic-Rikbaktsa	rikb1245		big	1202	BIG		budu	b u d u
30308	46459	johanssonsoundsymbolic-Djeoromitxi	djeo1235		bird	937	BIRD		bitɛ	b i t ɛ
30332	46483	johanssonsoundsymbolic-Kaingang	kain1272		bird	937	BIRD		sɛ̃sĩ	s ɛ̃ s ĩ
30336	46487	johanssonsoundsymbolic-Karaja	kara1500		bird	937	BIRD		nawii	n a w iː
30342	46493	johanssonsoundsymbolic-Krenak	kren1239		bird	937	BIRD		him_bakan	h i m + b a k a n
30356	46507	johanssonsoundsymbolic-Maxakali	maxa1247		bird	937	BIRD		pɯtɯçnãŋ	p ɯ t ɯ ç n ã ŋ
30386	46537	johanssonsoundsymbolic-Rikbaktsa	rikb1245		bird	937	BIRD		tõtõ	t õ t õ
32657	48808	johanssonsoundsymbolic-Djeoromitxi	djeo1235		bite	1403	BITE		wekɛ	w e k ɛ
32681	48832	johanssonsoundsymbolic-Kaingang	kain1272		bite	1403	BITE		pɾa	p ɾ a
32685	48836	johanssonsoundsymbolic-Karaja	kara1500		bite	1403	BITE		ɾua	ɾ u a
32692	48843	johanssonsoundsymbolic-Krenak	kren1239		bite	1403	BITE		kɾɔp	k ɾ ɔ p
32707	48858	johanssonsoundsymbolic-Maxakali	maxa1247		bite	1403	BITE		kanep	k a n e p
32743	48894	johanssonsoundsymbolic-Rikbaktsa	rikb1245		bite	1403	BITE		boɾo	b o ɾ o
