	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
936	17087	wold-Otomi	mezq1235		attack	722	ATTACK		ta̲ki	t̪ ɔ k i
1603	17754	wold-Otomi	mezq1235		aunt	1272	AUNT		zitsí	z i ts i
1844	17995	wold-Otomi	mezq1235		autumn	1276	AUTUMN		nk'ants'i	n kʼ a n tsʼ i
2017	18168	wold-Otomi	mezq1235		awl	278	AWL		hñehe	h ɲ e h e
2018	18169	wold-Otomi	mezq1235		awl	278	AWL		'rangu	ˀr a n g u
2019	18170	wold-Otomi	mezq1235		awl	278	AWL		'ratangu	ˀr a t̪ a n g u
2566	18717	wold-Otomi	mezq1235		axe	677	AXE		t'e̲gi	t̪ʼ æ g i
2670	18821	wold-Otomi	mezq1235		axle	1769	AXLE		tsant'i	ts a n t̪ʼ i
2671	18822	wold-Otomi	mezq1235		axle	1769	AXLE		ehe	e h e
3022	19173	wold-Otomi	mezq1235		baby	1289	BABY		le̲le̲	l æ l æ
3882	20033	johanssonsoundsymbolic-Chatino	zaca1242		back	1291	BACK		tʃũʔ	tʃ ũ ʔ
4304	20455	wold-Otomi	mezq1235		back	1291	BACK		xu̲tha	x u θ a
4993	21144	johanssonsoundsymbolic-Chatino	zaca1242		bad	1292	BAD		kuʃi	k u ʃ i
5674	21825	wold-Otomi	mezq1235		bad	1292	BAD		hingi_za̲	h i n g i + z ɔ
5675	21826	wold-Otomi	mezq1235		bad	1292	BAD		hingar_za̲	h i n g a r + z ɔ
5676	21827	wold-Otomi	mezq1235		bad	1292	BAD		hingi_ho	h i n g i + h o
5677	21828	wold-Otomi	mezq1235		bad	1292	BAD		xi_nts'o	x i + n tsʼ o
5920	22071	wold-Otomi	mezq1235		badluck	56	BAD LUCK		ts’oswerte	ts ʔ o s w e r t̪ e
6838	22989	wold-Otomi	mezq1235		bait	2013	BAIT		xebo	x e b o
6982	23133	wold-Otomi	mezq1235		bake	183	BAKE		hu	h u
6983	23134	wold-Otomi	mezq1235		bake	183	BAKE		ut'i	u t̪ʼ i
7036	23187	wold-Otomi	mezq1235		bald	1125	BALD		ngo̲ñä	n g ə ɲ ɐ
7037	23188	wold-Otomi	mezq1235		bald	1125	BALD		ngo̲xumo	n g ə x u m o
7038	23189	wold-Otomi	mezq1235		bald	1125	BALD		ngo̲ro	n g ə r o
7039	23190	wold-Otomi	mezq1235		bald	1125	BALD		the̲ngu̲ñä	θ æ n g u ɲ ɐ
7159	23310	wold-Otomi	mezq1235		ball	1845	BALL		pelota	p e l o t̪ a
7160	23311	wold-Otomi	mezq1235		ball	1845	BALL		pilota	p i l o t̪ a
7161	23312	wold-Otomi	mezq1235		ball	1845	BALL		nuhni	n u h n i
7162	23313	wold-Otomi	mezq1235		ball	1845	BALL		lobo	l o b o
7163	23314	wold-Otomi	mezq1235		ball	1845	BALL		tsant’i	ts a n t̪ʼ i
7586	23737	wold-Otomi	mezq1235		bamboo	1927	BAMBOO		maazaa	m aː z aː
7587	23738	wold-Otomi	mezq1235		bamboo	1927	BAMBOO		maa_zaa	m aː + z aː
7588	23739	wold-Otomi	mezq1235		bamboo	1927	BAMBOO		bambu	b a m b u
8277	24428	wold-Otomi	mezq1235		banana	868	BANANA		däza	d ɐ z a
8526	24677	wold-Otomi	mezq1235		bank	1284	BANK		njwatu̲bojä	n xʷ a t̪ u b o x ɐ
8527	24678	wold-Otomi	mezq1235		bank	1284	BANK		banko	b a n k o
8835	24986	johanssonsoundsymbolic-Chatino	zaca1242		bark	1204	BARK		n̪d̪ahã_jka	n̪ d̪ a h ã + j k a
