	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3882	20033	johanssonsoundsymbolic-Chatino	zaca1242		back	1291	BACK		tʃũʔ	tʃ ũ ʔ
4304	20455	wold-Otomi	mezq1235		back	1291	BACK		xu̲tha	x u θ a
4993	21144	johanssonsoundsymbolic-Chatino	zaca1242		bad	1292	BAD		kuʃi	k u ʃ i
5674	21825	wold-Otomi	mezq1235		bad	1292	BAD		hingi_za̲	h i n g i + z ɔ
5675	21826	wold-Otomi	mezq1235		bad	1292	BAD		hingar_za̲	h i n g a r + z ɔ
5676	21827	wold-Otomi	mezq1235		bad	1292	BAD		hingi_ho	h i n g i + h o
5677	21828	wold-Otomi	mezq1235		bad	1292	BAD		xi_nts'o	x i + n tsʼ o
8835	24986	johanssonsoundsymbolic-Chatino	zaca1242		bark	1204	BARK		n̪d̪ahã_jka	n̪ d̪ a h ã + j k a
9497	25648	wold-Otomi	mezq1235		bark	1204	BARK		'ma̲ts'i	ˀm ɔ tsʼ i
9498	25649	wold-Otomi	mezq1235		bark	1204	BARK		'ma̲xu̲zaa	ˀm ɔ x u z aː
9499	25650	wold-Otomi	mezq1235		bark	1204	BARK		'ma̲ts'u̲zaa	ˀm ɔ tsʼ u z aː
12975	29126	johanssonsoundsymbolic-Chatino	zaca1242		bealive	1422	BE ALIVE		kuʔu	k u ʔ u
13533	29684	wold-Otomi	mezq1235		bealive	1422	BE ALIVE		‘bui	ˀb u i
13534	29685	wold-Otomi	mezq1235		bealive	1422	BE ALIVE		te	t̪ e
16308	32459	johanssonsoundsymbolic-Chatino	zaca1242		because	1157	BECAUSE		tʃaʔ	tʃ a ʔ
16507	32658	wold-Otomi	mezq1235		because	1157	BECAUSE		ngetho	n g e θ o
16508	32659	wold-Otomi	mezq1235		because	1157	BECAUSE		nge'ä	n g e ʔ ɐ
22867	39018	johanssonsoundsymbolic-Chatino	zaca1242		belly	1251	BELLY		n̪e̞ʔ	n̪ e̞ ʔ
23878	40029	wold-Otomi	mezq1235		belly	1251	BELLY		xefo	x e f o
23879	40030	wold-Otomi	mezq1235		belly	1251	BELLY		mu̲i	m u i
27907	44058	johanssonsoundsymbolic-Chatino	zaca1242		big	1202	BIG		t̪l̪ju	t̪ l̪ j u
29095	45246	wold-Otomi	mezq1235		big	1202	BIG		dätä	d ɐ t̪ ɐ
30297	46448	johanssonsoundsymbolic-Chatino	zaca1242		bird	937	BIRD		kiɲi	k i ɲ i
31454	47605	wold-Otomi	mezq1235		bird	937	BIRD		ts'ints'u̲	ts ʔ i n tsʼ u
32648	48799	johanssonsoundsymbolic-Chatino	zaca1242		bite	1403	BITE		ku	k u
33544	49695	wold-Otomi	mezq1235		bite	1403	BITE		tsa	ts a
35258	51409	johanssonsoundsymbolic-Chatino	zaca1242		black	163	BLACK		n̪gat̪a	n̪ g a t̪ a
36065	52216	wold-Otomi	mezq1235		black	163	BLACK		'bo	ˀb o
36066	52217	wold-Otomi	mezq1235		black	163	BLACK		xi_mpothe	x i + m p o θ e
36067	52218	wold-Otomi	mezq1235		black	163	BLACK		pothe	p o θ e
