	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
915	17066	lindseyende-ende1235	ende1235		attack	722	ATTACK		monam	m o n a m
1381	17532	lindseyende-ende1235	ende1235		aunt	1272	AUNT		nane	n a n e
1701	17852	lindseyende-ende1235	ende1235		autumn	1276	AUTUMN		sis	s i s
2281	18432	lindseyende-ende1235	ende1235		axe	677	AXE		turik	t u r i k
2889	19040	lindseyende-ende1235	ende1235		baby	1289	BABY		llɨg kälsre	ɽ ɪ g + k ə l s r e
4041	20192	lindseyende-ende1235	ende1235		back	1291	BACK		ddäg	ɖʐ ə g
5153	21304	lindseyende-ende1235	ende1235		bad	1292	BAD		gagäll	g a g ə ɽ
6816	22967	lindseyende-ende1235	ende1235		bait	2013	BAIT		budar	b u d a r
6854	23005	lindseyende-ende1235	ende1235		bake	183	BAKE		ugug	u g u g
7008	23159	lindseyende-ende1235	ende1235		bald	1125	BALD		podd	p o ɖʐ
7119	23270	lindseyende-ende1235	ende1235		ball	1845	BALL		käpäl	k ə p ə l
7305	23456	lindseyende-ende1235	ende1235		bamboo	1927	BAMBOO		täl	t ə l
8359	24510	lindseyende-ende1235	ende1235		bananatree	1795	BANANA TREE		up pätt	u p + p ə ʈʂ
8545	24696	lindseyende-ende1235	ende1235		banyan	346	BANYAN		yämak	j ə m a k
9045	25196	lindseyende-ende1235	ende1235		bark	1204	BARK		llo ttoe	ɽ o + ʈʂ oi̯
10128	26279	lindseyende-ende1235	ende1235		basket	1539	BASKET		nyäng	ɲ ə ŋ
10602	26753	lindseyende-ende1235	ende1235		bat	1793	BAT		titi	t i t i
10972	27123	lindseyende-ende1235	ende1235		bathe	138	BATHE		tatu	t a t u
11341	27492	lindseyende-ende1235	ende1235		battle	579	BATTLE		mäk	m ə k
11400	27551	lindseyende-ende1235	ende1235		battleaxe	386	BATTLE-AXE		turik	t u r i k
11418	27569	lindseyende-ende1235	ende1235		bay	663	BAY		källäm	k ə ɽ ə m
12139	28290	lindseyende-ende1235	ende1235		beak	73	BEAK		bod	b o d
13589	29740	lindseyende-ende1235	ende1235		bealiveorlife	3184	BE ALIVE OR LIFE		ttam giddoll	ʈʂ a m + g i ɖʐ o ɽ
13634	29785	lindseyende-ende1235	ende1235		beam	1132	BEAM		pos botta	p o s + b o ʈʂ a
13848	29999	lindseyende-ende1235	ende1235		bean	832	BEAN		tamatama	t a m a t a m a
15213	31364	lindseyende-ende1235	ende1235		beard	678	BEARD		ttatt kom	ʈʂ a ʈʂ + k o m
15840	31991	lindseyende-ende1235	ende1235		beautiful	1427	BEAUTIFUL		mer abal	m e r + a b a l
16113	32264	lindseyende-ende1235	ende1235		beborn	1090	BE BORN		zeg	z e g
16407	32558	lindseyende-ende1235	ende1235		because	1157	BECAUSE		adawatta	a d a w a ʈʂ a
17180	33331	lindseyende-ende1235	ende1235		bed	1663	BED		yunuma	j u n u m a
18334	34485	lindseyende-ende1235	ende1235		bedeadordie	2101	BE DEAD OR DIE		kuddäll	k u ɖʐ ə ɽ
18595	34746	lindseyende-ende1235	ende1235		bee	665	BEE		kaemne	k ai̯ m n e
19072	35223	lindseyende-ende1235	ende1235		beer	1639	BEER		gagäll ine	g a g ə ɽ + i n e
19119	35270	lindseyende-ende1235	ende1235		beeswax	1931	BEESWAX		kaemnema	k ai̯ m n e m a
19953	36104	lindseyende-ende1235	ende1235		beget	1152	BEGET		ngasnges	ŋ a s ŋ e s
19994	36145	lindseyende-ende1235	ende1235		beggar	1934	BEGGAR		waswesang	w a s w e s a ŋ
20330	36481	lindseyende-ende1235	ende1235		beginorstart	3447	BEGIN OR START		kam	k a m
20594	36745	lindseyende-ende1235	ende1235		behind	1686	BEHIND		ddäg alle	ɖʐ ə g + a ɽ e
21505	37656	lindseyende-ende1235	ende1235		belate	425	BE LATE		mällam	m ə ɽ a m
21606	37757	lindseyende-ende1235	ende1235		believe	1890	BELIEVE		imomdae	i m o m d ai̯
24719	40870	lindseyende-ende1235	ende1235		beloworunder	1485	BELOW OR UNDER		käm me	k ə m + m e
25018	41169	lindseyende-ende1235	ende1235		belt	772	BELT		kllän	k ɽ ə n
25248	41399	lindseyende-ende1235	ende1235		bend	2004	BEND		kanyam	k a ɲ a m
25839	41990	lindseyende-ende1235	ende1235		beside	1816	BESIDE		tätän alle	t ə t ə n + a ɽ e
25931	42082	lindseyende-ende1235	ende1235		besilent	48	BE SILENT		känyertto	k ə ɲ e r ʈʂ o
26381	42532	lindseyende-ende1235	ende1235		betray	1902	BETRAY		sänge	s ə ŋ e
26773	42924	lindseyende-ende1235	ende1235		beverage	731	BEVERAGE		ine	i n e
28152	44303	lindseyende-ende1235	ende1235		big	1202	BIG		ulle	u ɽ e
30529	46680	lindseyende-ende1235	ende1235		bird	937	BIRD		pa	p a
32878	49029	lindseyende-ende1235	ende1235		bite	1403	BITE		ddäddäg	ɖʐ ə ɖʐ ə g
33976	50127	lindseyende-ende1235	ende1235		bitter	887	BITTER		koepang	k oi̯ p a ŋ
35496	51647	lindseyende-ende1235	ende1235		black	163	BLACK		bɨtbɨt	b ɪ t b ɪ t
36699	52850	lindseyende-ende1235	ende1235		blame	381	BLAME		malmal	m a l m a l
36795	52946	lindseyende-ende1235	ende1235		blanket	806	BLANKET		blaegudd	b l ai̯ g u ɖʐ
37009	53160	lindseyende-ende1235	ende1235		bless	391	BLESS		mer	m e r
37228	53379	lindseyende-ende1235	ende1235		blind	1653	BLIND		ikop songgorag	i k o p + s o ŋ g o r a g
37704	53855	lindseyende-ende1235	ende1235		blister	1584	BLISTER		piyepiye	p i j e p i j e
38908	55059	lindseyende-ende1235	ende1235		blood	946	BLOOD		mam	m a m
39908	56059	lindseyende-ende1235	ende1235		bloodvessel	525	BLOOD VESSEL		petron	p e t r o n
41100	57251	lindseyende-ende1235	ende1235		blowofwind	175	BLOW (OF WIND)		pädoe	p ə d oi̯
42219	58370	lindseyende-ende1235	ende1235		blue	837	BLUE		kätt ine	k ə ʈʂ + i n e
43204	59355	lindseyende-ende1235	ende1235		blunt	379	BLUNT		llɨngmeny	ɽ ɪ ŋ m e ɲ
43514	59665	lindseyende-ende1235	ende1235		board	1227	BOARD		botta	b o ʈʂ a
43731	59882	lindseyende-ende1235	ende1235		boarmalepig	1348	BOAR (MALE PIG)		sɨmell gullbe	s ɪ m e ɽ + g u ɽ b e
43835	59986	lindseyende-ende1235	ende1235		boast	101	BOAST		ddonddo	ɖʐ o n ɖʐ o
44116	60267	lindseyende-ende1235	ende1235		boat	1844	BOAT		gall	g a ɽ
44761	60912	lindseyende-ende1235	ende1235		body	1480	BODY		pätt	p ə ʈʂ
45321	61472	lindseyende-ende1235	ende1235		boilofliquid	792	BOIL (OF LIQUID)		sespen	s e s p e n
45643	61794	lindseyende-ende1235	ende1235		boilofskin	793	BOIL (OF SKIN)		wän	w ə n
45947	62098	lindseyende-ende1235	ende1235		boltoflightning	2007	BOLT (OF LIGHTNING)		gwara	g w a r a
47135	63286	lindseyende-ende1235	ende1235		bone	1394	BONE		kutt	k u ʈʂ
48207	64358	lindseyende-ende1235	ende1235		book	963	BOOK		buk	b u k
48723	64874	lindseyende-ende1235	ende1235		boot	585	BOOT		nying ttoe	ɲ i ŋ + ʈʂ oi̯
49012	65163	lindseyende-ende1235	ende1235		bore	1501	BORE		täratäre	t ə r a t ə r e
49176	65327	lindseyende-ende1235	ende1235		borrow	1823	BORROW		yuwetyuwet ony	j u w e t j u w e t + o ɲ
49682	65833	lindseyende-ende1235	ende1235		bottom	690	BOTTOM		igi	i g i
49918	66069	lindseyende-ende1235	ende1235		boundary	1010	BOUNDARY		ngän	ŋ ə n
50237	66388	lindseyende-ende1235	ende1235		bow	994	BOW		bägäl	b ə g ə l
50814	66965	lindseyende-ende1235	ende1235		bowl	1530	BOWL		boul	b o u l
51685	67836	lindseyende-ende1235	ende1235		boy	1366	BOY		llɨg	ɽ ɪ g
52420	68571	lindseyende-ende1235	ende1235		bracelet	1754	BRACELET		ttang pitt	ʈʂ a ŋ + p i ʈʂ
52536	68687	lindseyende-ende1235	ende1235		brackish	70	BRACKISH		koepang	k oi̯ p a ŋ
52584	68735	lindseyende-ende1235	ende1235		braid	1043	BRAID		tɨtɨp	t ɪ t ɪ p
52756	68907	lindseyende-ende1235	ende1235		braidverborweavebasket	3294	BRAID (VERB) OR WEAVE (BASKET)		i	i
