	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
9045	25196	lindseyende-ende1235	ende1235		bark	1204	BARK		llo ttoe	ɽ o + ʈʂ oi̯
28152	44303	lindseyende-ende1235	ende1235		big	1202	BIG		ulle	u ɽ e
30529	46680	lindseyende-ende1235	ende1235		bird	937	BIRD		pa	p a
32878	49029	lindseyende-ende1235	ende1235		bite	1403	BITE		ddäddäg	ɖʐ ə ɖʐ ə g
35496	51647	lindseyende-ende1235	ende1235		black	163	BLACK		bɨtbɨt	b ɪ t b ɪ t
38908	55059	lindseyende-ende1235	ende1235		blood	946	BLOOD		mam	m a m
47135	63286	lindseyende-ende1235	ende1235		bone	1394	BONE		kutt	k u ʈʂ
57216	73369	lindseyende-ende1235	ende1235		breast	1402	BREAST		ngam	ŋ a m
86991	103144	lindseyende-ende1235	ende1235		claw	72	CLAW		lläpät	ɽ ə p ə t
91819	107972	lindseyende-ende1235	ende1235		cloud	1489	CLOUD		ddapall käkan	ɖʐ a p a ɽ + k ə k a n
95408	111561	lindseyende-ende1235	ende1235		cold	1287	COLD		kallkäll	k a ɽ k ə ɽ
99071	115224	lindseyende-ende1235	ende1235		come	1446	COME		ibi	i b i
135853	152008	lindseyende-ende1235	ende1235		dog	2009	DOG		däräng	d ə r ə ŋ
142313	158468	lindseyende-ende1235	ende1235		drink	1401	DRINK		nane	n a n e
145887	162042	lindseyende-ende1235	ende1235		dry	1398	DRY		käptang	k ə p t a ŋ
151393	167548	lindseyende-ende1235	ende1235		ear	1247	EAR		llan kollkoll	ɽ a n + k o ɽ k o ɽ
154251	170406	lindseyende-ende1235	ende1235		earthsoil	1228	EARTH (SOIL)		ekaklle	e k a k ɽ e
156926	173081	lindseyende-ende1235	ende1235		eat	1336	EAT		wätät	w ə t ə t
159217	175375	lindseyende-ende1235	ende1235		egg	744	EGG		pakäp	p a k ə p
169799	185957	lindseyende-ende1235	ende1235		eye	1248	EYE		ikop	i k o p
182203	198363	lindseyende-ende1235	ende1235		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		gi	g i
185050	201210	lindseyende-ende1235	ende1235		feather	1201	FEATHER		kom	k o m
192990	225643	lindseyende-ende1235	ende1235		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		paplläg	p a p ɽ ə g
196324	228977	lindseyende-ende1235	ende1235		foot	1301	FOOT		nying	ɲ i ŋ
209404	242057	lindseyende-ende1235	ende1235		full	1429	FULL		bodo	b o d o
214819	247472	lindseyende-ende1235	ende1235		give	1447	GIVE		ttongg	ʈʂ o ŋ g
