	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8811	24962	johanssonsoundsymbolic-Achumawi	achu1247		bark	1204	BARK		ahphlaʔ	a h pʰ l a ʔ
22841	38992	johanssonsoundsymbolic-Achumawi	achu1247		belly	1251	BELLY		piin̪o̞kh	p iː n̪ o̞ kʰ
27882	44033	johanssonsoundsymbolic-Achumawi	achu1247		big	1202	BIG		waʔwa	w a ʔ w a
30275	46426	johanssonsoundsymbolic-Achumawi	achu1247		bird	937	BIRD		dʒe̞n̪aadʒdʒiqa	dʒ e̞ n̪ aː dʒː i q a
32624	48775	johanssonsoundsymbolic-Achumawi	achu1247		bite	1403	BITE		idʒ	i dʒ
35232	51383	johanssonsoundsymbolic-Achumawi	achu1247		black	163	BLACK		hake̞e̞dʒi	h a k e̞ː dʒ i
38645	54796	johanssonsoundsymbolic-Achumawi	achu1247		blood	946	BLOOD		aχti	a χ t i
46873	63024	johanssonsoundsymbolic-Achumawi	achu1247		bone	1394	BONE		dʒo̞dʒe̞	dʒ o̞ dʒ e̞
56960	73113	johanssonsoundsymbolic-Achumawi	achu1247		breast	1402	BREAST		iʔtsit	i ʔ ts i t
64439	80592	johanssonsoundsymbolic-Achumawi	achu1247		burn	2102	BURN		in̪aʔl	i n̪ a ʔ l
91577	107730	johanssonsoundsymbolic-Achumawi	achu1247		cloud	1489	CLOUD		aalu	aː l u
95150	111303	johanssonsoundsymbolic-Achumawi	achu1247		cold	1287	COLD		asdʒe̞	a s dʒ e̞
98814	114967	johanssonsoundsymbolic-Achumawi	achu1247		come	1446	COME		un̪n̪	u n̪ː
127033	143188	johanssonsoundsymbolic-Achumawi	achu1247		die	1494	DIE		iumm	i u mː
135583	151738	johanssonsoundsymbolic-Achumawi	achu1247		dog	2009	DOG		aʔlaʔmo̞ki	a ʔ l a ʔ m o̞ k i
142052	158207	johanssonsoundsymbolic-Achumawi	achu1247		drink	1401	DRINK		iss	i sː
145699	161854	johanssonsoundsymbolic-Achumawi	achu1247		dry	1398	DRY		an̪asuʔs	a n̪ a s u ˀs
151126	167281	johanssonsoundsymbolic-Achumawi	achu1247		ear	1247	EAR		isat	i s a t
154049	170204	johanssonsoundsymbolic-Achumawi	achu1247		earthsoil	1228	EARTH (SOIL)		tiiqaʔte̞	t iː q a ʔ t e̞
156650	172805	johanssonsoundsymbolic-Achumawi	achu1247		eat	1336	EAT		amm	a mː
158963	175121	johanssonsoundsymbolic-Achumawi	achu1247		egg	744	EGG		e̞sa	e̞ s a
169531	185689	johanssonsoundsymbolic-Achumawi	achu1247		eye	1248	EYE		asa	a s a
182029	198189	johanssonsoundsymbolic-Achumawi	achu1247		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		e̞pho̞i	e̞ pʰ o̞ i
184864	201024	johanssonsoundsymbolic-Achumawi	achu1247		feather	1201	FEATHER		to̞χe̞	t o̞ χ e̞
192824	225477	johanssonsoundsymbolic-Achumawi	achu1247		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		dʒilimo̞o̞wa	dʒ i l i m o̞ː w a
196133	228786	johanssonsoundsymbolic-Achumawi	achu1247		foot	1301	FOOT		dʒiko̞χ	dʒ i k o̞ χ
209243	241896	johanssonsoundsymbolic-Achumawi	achu1247		full	1429	FULL		aχtuuki	a χ t uː k i
214561	247214	johanssonsoundsymbolic-Achumawi	achu1247		give	1447	GIVE		aw	a w
220687	253343	johanssonsoundsymbolic-Achumawi	achu1247		good	1035	GOOD		tusʔi	t u s ʔ i
228490	261146	johanssonsoundsymbolic-Achumawi	achu1247		green	1425	GREEN		məsuqati	m ə s u q a t i
234491	267147	johanssonsoundsymbolic-Achumawi	achu1247		hair	1040	HAIR		tiiji	t iː j i
238330	270986	johanssonsoundsymbolic-Achumawi	achu1247		hand	1277	HAND		il	i l
243885	276542	johanssonsoundsymbolic-Achumawi	achu1247		head	1256	HEAD		laχ	l a χ
246833	279490	johanssonsoundsymbolic-Achumawi	achu1247		hear	1408	HEAR		iʔte̞w	i ʔ t e̞ w
248416	281073	johanssonsoundsymbolic-Achumawi	achu1247		heart	1223	HEART		har̪aʔdʒi	h a r̪ a ʔ dʒ i
263308	295968	johanssonsoundsymbolic-Achumawi	achu1247		hornanatomy	1393	HORN (ANATOMY)		puwa	p u w a
274637	307297	johanssonsoundsymbolic-Achumawi	achu1247		i	1209	I		it	i t
287483	320143	johanssonsoundsymbolic-Achumawi	achu1247		kill	1417	KILL		aatw	aː t w
290165	322825	johanssonsoundsymbolic-Achumawi	achu1247		knee	1371	KNEE		qo̞χwaj	q o̞ χʷ a j
302121	334781	johanssonsoundsymbolic-Achumawi	achu1247		leaf	628	LEAF		dʒilaχpe̞	dʒ i l a χ p e̞
316889	349549	johanssonsoundsymbolic-Achumawi	achu1247		liver	1224	LIVER		o̞we̞e̞	o̞ w e̞ː
319788	352448	johanssonsoundsymbolic-Achumawi	achu1247		long	1203	LONG		wataxdʒudʒi	w a t a x dʒ u dʒ i
323437	356097	johanssonsoundsymbolic-Achumawi	achu1247		louse	1392	LOUSE		aʔmidʒ	a ʔ m i dʒ
330393	363054	johanssonsoundsymbolic-Achumawi	achu1247		man	1554	MAN		jalju	j a l j u
332216	364877	johanssonsoundsymbolic-Achumawi	achu1247		many	1198	MANY		qam	q a m
344386	377047	johanssonsoundsymbolic-Achumawi	achu1247		moon	1313	MOON		dʒo̞l	dʒ o̞ l
350863	383527	johanssonsoundsymbolic-Achumawi	achu1247		mountain	639	MOUNTAIN		aqo̞	a q o̞
353371	386035	johanssonsoundsymbolic-Achumawi	achu1247		mouth	674	MOUTH		ap	a p
358390	391054	johanssonsoundsymbolic-Achumawi	achu1247		name	1405	NAME		tiliqaatəke̞	t i l i q aː t ə k e̞
364678	397345	johanssonsoundsymbolic-Achumawi	achu1247		neck	1333	NECK		χallo̞q	χ a lː o̞ q
368740	401407	johanssonsoundsymbolic-Achumawi	achu1247		new	1231	NEW		palawi	p a l a w i
371510	404177	johanssonsoundsymbolic-Achumawi	achu1247		night	1233	NIGHT		maxe̞kʔdʒə	m a x e̞ k ʔ dʒ ə
377327	409994	johanssonsoundsymbolic-Achumawi	achu1247		nose	1221	NOSE		jame̞e̞	j a m e̞ː
378930	411597	johanssonsoundsymbolic-Achumawi	achu1247		not	1240	NOT		dʒe̞	dʒ e̞
389622	422289	johanssonsoundsymbolic-Achumawi	achu1247		one	1493	ONE		hamis	h a m i s
406168	438835	johanssonsoundsymbolic-Achumawi	achu1247		person	683	PERSON		is	i s
432422	465090	johanssonsoundsymbolic-Achumawi	achu1247		red	156	RED		taxtaaqi	t a x t aː q i
444378	477047	johanssonsoundsymbolic-Achumawi	achu1247		root	670	ROOT		waʔtu	w a ʔ t u
448772	481441	johanssonsoundsymbolic-Achumawi	achu1247		round	1395	ROUND		jalo̞lwatʔi	j a l o̞ l w a t ʔ i
456324	488993	johanssonsoundsymbolic-Achumawi	achu1247		sand	671	SAND		taas	t aː s
459285	491954	johanssonsoundsymbolic-Achumawi	achu1247		say	1458	SAY		iss	i sː
465031	497701	johanssonsoundsymbolic-Achumawi	achu1247		see	1409	SEE		in̪imaa	i n̪ i m aː
466611	499281	johanssonsoundsymbolic-Achumawi	achu1247		seed	714	SEED		asswali	a sː w a l i
490476	523148	johanssonsoundsymbolic-Achumawi	achu1247		sit	1416	SIT		aq	a q
