	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
9476	25627	wold-Gurindji	guri1247		bark	1204	BARK		parnnga	p a r n n g a
22387	38538	bowernpny-Adnyamathanha	adny1235		belly	1251	BELLY		warla	w a ɭ a
22388	38539	bowernpny-AghuTharrnggala	aghu1254		belly	1251	BELLY		rom	ɹ o m
22389	38540	bowernpny-Alyawarr	alya1239		belly	1251	BELLY		atna_alta	a t n a + a l t a
22390	38541	bowernpny-Antekerrepenhe	ande1247		belly	1251	BELLY		atnert	a t n e ʈ
22391	38542	bowernpny-Arabana	arab1267		belly	1251	BELLY		kudnardi	k u d n a ɖ i
22392	38543	bowernpny-Awabakal	awab1243		belly	1251	BELLY		barra	b a r a
22393	38544	bowernpny-Badimaya	badi1246		belly	1251	BELLY		wari	w a ɹ i
22394	38545	bowernpny-Badjiri	badj1244		belly	1251	BELLY		bandjurd	b a n d c u ɖ
22395	38546	bowernpny-Batyala	baty1234		belly	1251	BELLY		bandur	b a n d u ɹ
22396	38547	bowernpny-Biri	biri1256		belly	1251	BELLY		bana	b a n a
22397	38548	bowernpny-Bularnu	bula1255		belly	1251	BELLY		wardulu	w a ɖ u l u
22398	38549	bowernpny-Bunganditj	bung1264		belly	1251	BELLY		puli	p u l i
22399	38550	bowernpny-Colac	cola1237		belly	1251	BELLY		woranyenuc_	w o ɹ a ɲ e n u c
22400	38551	bowernpny-Darkinyung	hawk1239		belly	1251	BELLY		bindhi	b i n d̪ i
22401	38552	bowernpny-Dhangu	dhan1270		belly	1251	BELLY		dhulmu	d̪ u l m u
22402	38553	bowernpny-Dharawal	thur1254		belly	1251	BELLY		bindhi	b i n d̪ i
22403	38554	bowernpny-Dharumbal	dhar1248		belly	1251	BELLY		guana	g u a n a
22404	38555	bowernpny-Dhayyi	dayi1244		belly	1251	BELLY		guḻun	g u ɭ u n
22405	38556	bowernpny-Dhudhuroa	dhud1236		belly	1251	BELLY		ianaru	i a n a ɹ u
22406	38557	bowernpny-Dhurga	dhur1239		belly	1251	BELLY		Bin´-dhee	b i n ʔ + d̪ eː
22407	38558	bowernpny-Dhuwal	dhuw1249		belly	1251	BELLY		wuwa'	w u w a ʔ
22408	38559	bowernpny-Diyari	dier1241		belly	1251	BELLY		manda	m a n d a
22409	38560	bowernpny-Djabugay	dyaa1242		belly	1251	BELLY		balgu	b a l g u
22410	38561	bowernpny-Djambarrpuyngu	djam1256		belly	1251	BELLY		dhulmu	d̪ u l m u
22411	38562	bowernpny-Djapu	djap1238		belly	1251	BELLY		dhulmu	d̪ u l m u
22412	38563	bowernpny-Djinang	djin1253		belly	1251	BELLY		budjirri	b u d c i r i
22413	38564	bowernpny-Durubul	yaga1256		belly	1251	BELLY		digari	d i g a ɹ i
22414	38565	bowernpny-Duungidjawu	duun1241		belly	1251	BELLY		mu:	m uː
22415	38566	bowernpny-Dyirbal	dyir1250		belly	1251	BELLY		bamba	b a m b a
22416	38567	bowernpny-Gamilaraay	gami1243		belly	1251	BELLY		mubal	m u b a l
22417	38568	bowernpny-Gangulu	gang1268		belly	1251	BELLY		ŋalgu	ŋ a l g u
22418	38569	bowernpny-Garlali	kala1380		belly	1251	BELLY		kerri	k e r i
22419	38570	bowernpny-GoorengGooreng	gure1255		belly	1251	BELLY		booloo	b oː l oː
22420	38571	bowernpny-Gudjal	gudj1237		belly	1251	BELLY		bindji	b i n d c i
22421	38572	bowernpny-Gumatj	guma1253		belly	1251	BELLY		dhulmu	d̪ u l m u
22422	38573	bowernpny-Gumbaynggir	kumb1268		belly	1251	BELLY		buluuny	b u l uː ɲ
22423	38574	bowernpny-Gundungurra	nort2760		belly	1251	BELLY		bendy	b e n d j
22424	38575	bowernpny-Gunggari	kung1258		belly	1251	BELLY		bandyur	b a n d j u ɹ
22425	38576	bowernpny-Gunya	guny1241		belly	1251	BELLY		banydyurd	b a ɲ d j u ɖ
22426	38577	bowernpny-Gupapuyngu	gupa1247		belly	1251	BELLY		wuwa'	w u w a ʔ
22427	38578	bowernpny-GuuguYimidhirr	gugu1255		belly	1251	BELLY		gippa	g i pː a
22428	38579	bowernpny-Guwa	guwa1242		belly	1251	BELLY		buru	b u ɹ u
22429	38580	bowernpny-Guyani	guya1249		belly	1251	BELLY		kudnangampi	k u d n a ŋ a m p i
22430	38581	bowernpny-Jaru	jaru1254		belly	1251	BELLY		munda	m u n d a
22431	38582	bowernpny-Jiwarli	djiw1241		belly	1251	BELLY		ngarlu	ŋ a ɭ u
22432	38583	bowernpny-Jiwarliny	djuw1238		belly	1251	BELLY		ngaru	ŋ a ɹ u
22433	38584	bowernpny-Kaanju	kanj1260		belly	1251	BELLY		yul7i	j u l ʔ i
22434	38585	bowernpny-Kalkatungu	kalk1246		belly	1251	BELLY		putu	p u t u
