	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3880	20031	johanssonsoundsymbolic-Cavinena	cavi1250		back	1291	BACK		ebebakwa	e b e b a k w a
3961	20112	johanssonsoundsymbolic-PanoanKatukina	pano1254		back	1291	BACK		pɨmana	p ɨ m a n a
4026	20177	joophonosemantic-ShipiboConibo	ship1254		back	1291	BACK		p.ɯ.k.a	p ɯ k a
4991	21142	johanssonsoundsymbolic-Cavinena	cavi1250		bad	1292	BAD		hidama	h i d a m a
5082	21233	johanssonsoundsymbolic-PanoanKatukina	pano1254		bad	1292	BAD		itʃʂapa	i tʃ ʂ a p a
8833	24984	johanssonsoundsymbolic-Cavinena	cavi1250		bark	1204	BARK		ebiti	e b i t i
8915	25066	johanssonsoundsymbolic-PanoanKatukina	pano1254		bark	1204	BARK		hiwi_ʃaka	h i w i + ʃ a k a
12973	29124	johanssonsoundsymbolic-Cavinena	cavi1250		bealive	1422	BE ALIVE		anija	a n i j a
13057	29208	johanssonsoundsymbolic-PanoanKatukina	pano1254		bealive	1422	BE ALIVE		βopiʔama	β o p i ʔ a m a
15736	31887	johanssonsoundsymbolic-Cavinena	cavi1250		beautiful	1427	BEAUTIFUL		hidapihi	h i d a p i h i
15795	31946	johanssonsoundsymbolic-PanoanKatukina	pano1254		beautiful	1427	BEAUTIFUL		ɾoʔapa	ɾ o ʔ a p a
16307	32458	johanssonsoundsymbolic-Cavinena	cavi1250		because	1157	BECAUSE		ehebotʃahoaco	e h e b o tʃ a h o a c o
16362	32513	johanssonsoundsymbolic-PanoanKatukina	pano1254		because	1157	BECAUSE		toʃõ	t o ʃ õ
19224	35375	johanssonsoundsymbolic-Cavinena	cavi1250		before	1882	BEFORE		ikwene	i k w e n e
19301	35452	johanssonsoundsymbolic-PanoanKatukina	pano1254		before	1882	BEFORE		βɨβo	β ɨ β o
20462	36613	johanssonsoundsymbolic-Cavinena	cavi1250		behind	1686	BEHIND		topoho	t o p o h o
20536	36687	johanssonsoundsymbolic-PanoanKatukina	pano1254		behind	1686	BEHIND		ʂipo	ʂ i p o
22865	39016	johanssonsoundsymbolic-Cavinena	cavi1250		belly	1251	BELLY		edomiti	e d o m i t i
22959	39110	johanssonsoundsymbolic-PanoanKatukina	pano1254		belly	1251	BELLY		hato	h a t o
24520	40671	johanssonsoundsymbolic-Cavinena	cavi1250		beloworunder	1485	BELOW OR UNDER		emake	e m a k e
24594	40745	johanssonsoundsymbolic-PanoanKatukina	pano1254		beloworunder	1485	BELOW OR UNDER		wakaʔoɾi	w a k a ʔ o ɾ i
25742	41893	johanssonsoundsymbolic-Cavinena	cavi1250		beside	1816	BESIDE		peke	p e k e
25798	41949	johanssonsoundsymbolic-PanoanKatukina	pano1254		beside	1816	BESIDE		ʔoɾi	ʔ o ɾ i
27905	44056	johanssonsoundsymbolic-Cavinena	cavi1250		big	1202	BIG		aɾida	a ɾ i d a
28002	44153	johanssonsoundsymbolic-PanoanKatukina	pano1254		big	1202	BIG		anipa	a n i p a
28072	44223	joophonosemantic-ShipiboConibo	ship1254		big	1202	BIG		a.n.i	a n i
30295	46446	johanssonsoundsymbolic-Cavinena	cavi1250		bird	937	BIRD		tʃaʔi	tʃ a ʔ i
30379	46530	johanssonsoundsymbolic-PanoanKatukina	pano1254		bird	937	BIRD		tʃai	tʃ a i
30443	46594	joophonosemantic-ShipiboConibo	ship1254		bird	937	BIRD		i.ʂ.a	i ʂ a
32646	48797	johanssonsoundsymbolic-Cavinena	cavi1250		bite	1403	BITE		kaɾoja	k a ɾ o j a
32735	48886	johanssonsoundsymbolic-PanoanKatukina	pano1254		bite	1403	BITE		natʃa	n a tʃ a
32803	48954	joophonosemantic-ShipiboConibo	ship1254		bite	1403	BITE		n.a.t.ɯ.ʂ	n a t ɯ ʂ
33791	49942	johanssonsoundsymbolic-Cavinena	cavi1250		bitter	887	BITTER		paceda	p a c e d a
33866	50017	johanssonsoundsymbolic-PanoanKatukina	pano1254		bitter	887	BITTER		moka	m o k a
33918	50069	joophonosemantic-ShipiboConibo	ship1254		bitter	887	BITTER		m.o.k.a	m o k a
35256	51407	johanssonsoundsymbolic-Cavinena	cavi1250		black	163	BLACK		seweda	s e w e d a
35349	51500	johanssonsoundsymbolic-PanoanKatukina	pano1254		black	163	BLACK		ʂɨʃɨ	ʂ ɨ ʃ ɨ
35417	51568	joophonosemantic-ShipiboConibo	ship1254		black	163	BLACK		tʃ.ɯ.ʂ.ɯ	tʃ ɯ ʂ ɯ
38668	54819	johanssonsoundsymbolic-Cavinena	cavi1250		blood	946	BLOOD		ami	a m i
38762	54913	johanssonsoundsymbolic-PanoanKatukina	pano1254		blood	946	BLOOD		himi	h i m i
38831	54982	joophonosemantic-ShipiboConibo	ship1254		blood	946	BLOOD		h.i.m.i	h i m i
40894	57045	johanssonsoundsymbolic-Cavinena	cavi1250		blowofwind	175	BLOW (OF WIND)		hohaja	h o h a j a
40971	57122	johanssonsoundsymbolic-PanoanKatukina	pano1254		blowofwind	175	BLOW (OF WIND)		ʃõa	ʃ õ a
