	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3880	20031	johanssonsoundsymbolic-Cavinena	cavi1250		back	1291	BACK		ebebakwa	e b e b a k w a
3961	20112	johanssonsoundsymbolic-PanoanKatukina	pano1254		back	1291	BACK		pɨmana	p ɨ m a n a
4026	20177	joophonosemantic-ShipiboConibo	ship1254		back	1291	BACK		p.ɯ.k.a	p ɯ k a
4991	21142	johanssonsoundsymbolic-Cavinena	cavi1250		bad	1292	BAD		hidama	h i d a m a
5082	21233	johanssonsoundsymbolic-PanoanKatukina	pano1254		bad	1292	BAD		itʃʂapa	i tʃ ʂ a p a
8833	24984	johanssonsoundsymbolic-Cavinena	cavi1250		bark	1204	BARK		ebiti	e b i t i
8915	25066	johanssonsoundsymbolic-PanoanKatukina	pano1254		bark	1204	BARK		hiwi_ʃaka	h i w i + ʃ a k a
12973	29124	johanssonsoundsymbolic-Cavinena	cavi1250		bealive	1422	BE ALIVE		anija	a n i j a
13057	29208	johanssonsoundsymbolic-PanoanKatukina	pano1254		bealive	1422	BE ALIVE		βopiʔama	β o p i ʔ a m a
16307	32458	johanssonsoundsymbolic-Cavinena	cavi1250		because	1157	BECAUSE		ehebotʃahoaco	e h e b o tʃ a h o a c o
16362	32513	johanssonsoundsymbolic-PanoanKatukina	pano1254		because	1157	BECAUSE		toʃõ	t o ʃ õ
22865	39016	johanssonsoundsymbolic-Cavinena	cavi1250		belly	1251	BELLY		edomiti	e d o m i t i
22959	39110	johanssonsoundsymbolic-PanoanKatukina	pano1254		belly	1251	BELLY		hato	h a t o
27905	44056	johanssonsoundsymbolic-Cavinena	cavi1250		big	1202	BIG		aɾida	a ɾ i d a
28002	44153	johanssonsoundsymbolic-PanoanKatukina	pano1254		big	1202	BIG		anipa	a n i p a
28072	44223	joophonosemantic-ShipiboConibo	ship1254		big	1202	BIG		a.n.i	a n i
30295	46446	johanssonsoundsymbolic-Cavinena	cavi1250		bird	937	BIRD		tʃaʔi	tʃ a ʔ i
30379	46530	johanssonsoundsymbolic-PanoanKatukina	pano1254		bird	937	BIRD		tʃai	tʃ a i
30443	46594	joophonosemantic-ShipiboConibo	ship1254		bird	937	BIRD		i.ʂ.a	i ʂ a
32646	48797	johanssonsoundsymbolic-Cavinena	cavi1250		bite	1403	BITE		kaɾoja	k a ɾ o j a
32735	48886	johanssonsoundsymbolic-PanoanKatukina	pano1254		bite	1403	BITE		natʃa	n a tʃ a
32803	48954	joophonosemantic-ShipiboConibo	ship1254		bite	1403	BITE		n.a.t.ɯ.ʂ	n a t ɯ ʂ
35256	51407	johanssonsoundsymbolic-Cavinena	cavi1250		black	163	BLACK		seweda	s e w e d a
35349	51500	johanssonsoundsymbolic-PanoanKatukina	pano1254		black	163	BLACK		ʂɨʃɨ	ʂ ɨ ʃ ɨ
35417	51568	joophonosemantic-ShipiboConibo	ship1254		black	163	BLACK		tʃ.ɯ.ʂ.ɯ	tʃ ɯ ʂ ɯ
38668	54819	johanssonsoundsymbolic-Cavinena	cavi1250		blood	946	BLOOD		ami	a m i
38762	54913	johanssonsoundsymbolic-PanoanKatukina	pano1254		blood	946	BLOOD		himi	h i m i
38831	54982	joophonosemantic-ShipiboConibo	ship1254		blood	946	BLOOD		h.i.m.i	h i m i
40894	57045	johanssonsoundsymbolic-Cavinena	cavi1250		blowofwind	175	BLOW (OF WIND)		hohaja	h o h a j a
40971	57122	johanssonsoundsymbolic-PanoanKatukina	pano1254		blowofwind	175	BLOW (OF WIND)		ʃõa	ʃ õ a
41034	57185	joophonosemantic-ShipiboConibo	ship1254		blowofwind	175	BLOW (OF WIND)		p.a.j.a	p a j a
43087	59238	johanssonsoundsymbolic-Cavinena	cavi1250		blunt	379	BLUNT		kweɾodama	k w e ɾ o d a m a
43149	59300	johanssonsoundsymbolic-PanoanKatukina	pano1254		blunt	379	BLUNT		kɨ̃to	k ɨ̃ t o
46897	63048	johanssonsoundsymbolic-Cavinena	cavi1250		bone	1394	BONE		ecaʔo	e c a ʔ o
46985	63136	johanssonsoundsymbolic-PanoanKatukina	pano1254		bone	1394	BONE		ʃao	ʃ a o
47051	63202	joophonosemantic-ShipiboConibo	ship1254		bone	1394	BONE		ʂ.a.o	ʂ a o
58921	75074	johanssonsoundsymbolic-Cavinena	cavi1250		breathe	1407	BREATHE		kanahetija	k a n a h e t i j a
58988	75141	johanssonsoundsymbolic-PanoanKatukina	pano1254		breathe	1407	BREATHE		hoĩ	h o ĩ
65173	81326	joophonosemantic-ShipiboConibo	ship1254		burning	1428	BURNING		m.ɯ.n.o	m ɯ n o
91597	107750	johanssonsoundsymbolic-Cavinena	cavi1250		cloud	1489	CLOUD		wani	w a n i
91679	107832	johanssonsoundsymbolic-PanoanKatukina	pano1254		cloud	1489	CLOUD		nai_koʔĩ	n a i + k o ʔ ĩ
98836	114989	johanssonsoundsymbolic-Cavinena	cavi1250		come	1446	COME		heja	h e j a
98926	115079	johanssonsoundsymbolic-PanoanKatukina	pano1254		come	1446	COME		ho	h o
