	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
23803	39954	transnewguineaorg-zorop	yafi1240		belly	1251	BELLY		jalək	j a l ə k
29019	45170	transnewguineaorg-zorop	yafi1240		big	1202	BIG		kiniai	k i n i a i
31378	47529	transnewguineaorg-zorop	yafi1240		bird	937	BIRD		awe	a w e
31379	47530	transnewguineaorg-zorop	yafi1240		bird	937	BIRD		awe	a w e
39731	55882	transnewguineaorg-zorop	yafi1240		blood	946	BLOOD		mob	m o b
39732	55883	transnewguineaorg-zorop	yafi1240		blood	946	BLOOD		mob	m o b
47984	64135	transnewguineaorg-zorop	yafi1240		bone	1394	BONE		əndai	ə n d a i
47985	64136	transnewguineaorg-zorop	yafi1240		bone	1394	BONE		əndai	ə n d a i
92453	108606	transnewguineaorg-zorop	yafi1240		cloud	1489	CLOUD		kwabi	k w a b i
99913	116066	transnewguineaorg-zorop	yafi1240		come	1446	COME		kolob	k o l o b
99914	116067	transnewguineaorg-zorop	yafi1240		come	1446	COME		kwalopai	k w a l o p a i
128045	144200	transnewguineaorg-zorop	yafi1240		die	1494	DIE		ape	a p e
136708	152863	transnewguineaorg-zorop	yafi1240		dog	2009	DOG		yendru	j e n d r u
136709	152864	transnewguineaorg-zorop	yafi1240		dog	2009	DOG		jendru	j e n d r u
152243	168398	transnewguineaorg-zorop	yafi1240		ear	1247	EAR		waigi	w a i g i
154705	170860	transnewguineaorg-zorop	yafi1240		earthsoil	1228	EARTH (SOIL)		abər	a b ə r
157619	173777	transnewguineaorg-zorop	yafi1240		eat	1336	EAT		fel	f e l
157620	173778	transnewguineaorg-zorop	yafi1240		eat	1336	EAT		fer	f e r
160023	176181	transnewguineaorg-zorop	yafi1240		egg	744	EGG		sen	s e n
160024	176182	transnewguineaorg-zorop	yafi1240		egg	744	EGG		sen	s e n
170666	186824	transnewguineaorg-zorop	yafi1240		eye	1248	EYE		ji	j i
170667	186825	transnewguineaorg-zorop	yafi1240		eye	1248	EYE		dji	d j i
180591	196750	transnewguineaorg-zorop	yafi1240		father	1217	FATHER		ap	a p
182673	198833	transnewguineaorg-zorop	yafi1240		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		weli	w e l i
193489	226142	transnewguineaorg-zorop	yafi1240		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		fuk-	f u k
193490	226143	transnewguineaorg-zorop	yafi1240		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		takwape	t a k w a p e
215622	248275	transnewguineaorg-zorop	yafi1240		give	1447	GIVE		tinaŋ	t i n a ŋ
215623	248276	transnewguineaorg-zorop	yafi1240		give	1447	GIVE		tipi	t i p i
215624	248277	transnewguineaorg-zorop	yafi1240		give	1447	GIVE		tipi	t i p i
221796	254452	transnewguineaorg-zorop	yafi1240		good	1035	GOOD		kiap	k i a p
221797	254453	transnewguineaorg-zorop	yafi1240		good	1035	GOOD		kiap	k i a p
245049	277706	transnewguineaorg-zorop	yafi1240		head	1256	HEAD		məndai	m ə n d a i
245050	277707	transnewguineaorg-zorop	yafi1240		head	1256	HEAD		məndai	m ə n d a i
247851	280508	transnewguineaorg-zorop	yafi1240		hear	1408	HEAR		fau	f a u
275454	308114	transnewguineaorg-zorop	yafi1240		i	1209	I		nam	n a m
275455	308115	transnewguineaorg-zorop	yafi1240		i	1209	I		nam	n a m
288273	320933	transnewguineaorg-zorop	yafi1240		kill	1417	KILL		baba	b a b a
303147	335807	transnewguineaorg-zorop	yafi1240		leaf	628	LEAF		bai	b a i
307078	339738	transnewguineaorg-zorop	yafi1240		leg	1297	LEG		fu	f u
320674	353334	transnewguineaorg-zorop	yafi1240		long	1203	LONG		aligwapo	a l i g w a p o
324299	356959	transnewguineaorg-zorop	yafi1240		louse	1392	LOUSE		yemar	j e m a r
324300	356960	transnewguineaorg-zorop	yafi1240		louse	1392	LOUSE		jemar	j e m a r
332880	365541	transnewguineaorg-zorop	yafi1240		many	1198	MANY		kiniai	k i n i a i
350153	382817	transnewguineaorg-zorop	yafi1240		mother	1216	MOTHER		iam	i a m
351711	384375	transnewguineaorg-zorop	yafi1240		mountain	639	MOUNTAIN		abərumbi	a b ə r u m b i
354456	387120	transnewguineaorg-zorop	yafi1240		mouth	674	MOUTH		duomi	d u o m i
359283	391949	transnewguineaorg-zorop	yafi1240		name	1405	NAME		awei	a w e i
359284	391950	transnewguineaorg-zorop	yafi1240		name	1405	NAME		jei	j e i
359285	391951	transnewguineaorg-zorop	yafi1240		name	1405	NAME		djei	d j e i
369628	402295	transnewguineaorg-zorop	yafi1240		new	1231	NEW		djeki	d j e k i
372567	405234	transnewguineaorg-zorop	yafi1240		night	1233	NIGHT		sukur	s u k u r
372568	405235	transnewguineaorg-zorop	yafi1240		night	1233	NIGHT		sukur	s u k u r
378454	411121	transnewguineaorg-zorop	yafi1240		nose	1221	NOSE		məŋai	m ə ŋ a i
390714	423381	transnewguineaorg-zorop	yafi1240		one	1493	ONE		əŋətəwam	ə ŋ ə t ə w a m
390715	423382	transnewguineaorg-zorop	yafi1240		one	1493	ONE		aŋgətəwam	a ŋ g ə t ə w a m
433282	465950	transnewguineaorg-zorop	yafi1240		red	156	RED		moŋgwai	m o ŋ g w a i
445334	478003	transnewguineaorg-zorop	yafi1240		root	670	ROOT		fiŋgu	f i ŋ g u
446933	479602	transnewguineaorg-zorop	yafi1240		rope	1218	ROPE		draŋ	d r a ŋ
457335	490004	transnewguineaorg-zorop	yafi1240		sand	671	SAND		gərək	g ə r ə k
466127	498797	transnewguineaorg-zorop	yafi1240		see	1409	SEE		netəlane	n e t ə l a n e
466128	498798	transnewguineaorg-zorop	yafi1240		see	1409	SEE		netəlane	n e t ə l a n e
491338	524010	transnewguineaorg-zorop	yafi1240		sit	1416	SIT		raŋk	r a ŋ k
491339	524011	transnewguineaorg-zorop	yafi1240		sit	1416	SIT		raŋk	r a ŋ k
500280	532953	transnewguineaorg-zorop	yafi1240		sleep	1585	SLEEP		amb	a m b
500281	532954	transnewguineaorg-zorop	yafi1240		sleep	1585	SLEEP		amb	a m b
503922	536596	transnewguineaorg-zorop	yafi1240		small	1246	SMALL		kwarəgə-_məlok	k w a r ə g ə + m ə l o k
508189	540865	transnewguineaorg-zorop	yafi1240		smokeexhaust	778	SMOKE (EXHAUST)		tur	t u r
510825	543501	transnewguineaorg-zorop	yafi1240		snake	730	SNAKE		əmbrub	ə m b r u b
530874	563550	transnewguineaorg-zorop	yafi1240		stand	1442	STAND		felp	f e l p
533204	565880	transnewguineaorg-zorop	yafi1240		star	1430	STAR		pururumi	p u r u r u m i
539909	572586	transnewguineaorg-zorop	yafi1240		stone	857	STONE		andrur	a n d r u r
539910	572587	transnewguineaorg-zorop	yafi1240		stone	857	STONE		andrur	a n d r u r
549325	582002	transnewguineaorg-zorop	yafi1240		sun	1343	SUN		jemar	j e m a r
549326	582003	transnewguineaorg-zorop	yafi1240		sun	1343	SUN		djəmar	d j ə m a r
555767	588444	transnewguineaorg-zorop	yafi1240		swim	1439	SWIM		djilk	d j i l k
558644	591321	transnewguineaorg-zorop	yafi1240		tail	1220	TAIL		kweli	k w e l i
558645	591322	transnewguineaorg-zorop	yafi1240		tail	1220	TAIL		kweli	k w e l i
580969	613652	transnewguineaorg-zorop	yafi1240		thou	1215	THOU		nəm	n ə m
580970	613653	transnewguineaorg-zorop	yafi1240		thou	1215	THOU		nem	n e m
597347	630034	transnewguineaorg-zorop	yafi1240		tongue	1205	TONGUE		metaləp	m e t a l ə p
