	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
2960	19111	transnewguineaorg-haruai	haru1245		baby	1289	BABY		hagiyai	h a g i j a i
8090	24241	transnewguineaorg-haruai	haru1245		banana	868	BANANA		haməľə	h a m ə ʎ ə
8186	24337	transnewguineaorg-pinai-hagahai-wakadadap	pina1252		banana	868	BANANA		hɨ'dɨ	h ɨ d ɨ
8187	24338	transnewguineaorg-pinai-hagahai-wakadadap	pina1252		banana	868	BANANA		ɨ'dɨ	ɨ d ɨ
9343	25494	transnewguineaorg-haruai	haru1245		bark	1204	BARK		wəñ	w ə ɲ
14124	30275	transnewguineaorg-haruai	haru1245		bean	832	BEAN		woᵽəl	w o ɸ ə l
23617	39768	transnewguineaorg-haruai	haru1245		belly	1251	BELLY		hambuwamp	h a m b u w a m p
23618	39769	transnewguineaorg-haruai	haru1245		belly	1251	BELLY		wʌtʰ	w ʌ tʰ
23720	39871	transnewguineaorg-pinai-hagahai-wakadadap	pina1252		belly	1251	BELLY		wə'tʰə	w ə tʰ ə
23721	39872	transnewguineaorg-pinai-hagahai-wakadadap	pina1252		belly	1251	BELLY		wə'r̥ə	w ə r̥ ə
28804	44955	transnewguineaorg-haruai	haru1245		big	1202	BIG		dip	d i p
28926	45077	transnewguineaorg-pinai-hagahai-wakadadap	pina1252		big	1202	BIG		'mədə_ɽɩ'gə	m ə d ə + ɽ ɪ g ə
31149	47300	transnewguineaorg-haruai	haru1245		bird	937	BIRD		yawʌř	j a w ʌ r̝
31276	47427	transnewguineaorg-pinai-hagahai-wakadadap	pina1252		bird	937	BIRD		jau'r̥ɷ	j a u r̥ oː
31277	47428	transnewguineaorg-pinai-hagahai-wakadadap	pina1252		bird	937	BIRD		jau'tʰɷ	j a u tʰ oː
33385	49536	transnewguineaorg-pinai-hagahai-wakadadap	pina1252		bite	1403	BITE		ja'ʥ̮I	j a dʑ i
39637	55788	transnewguineaorg-pinai-hagahai-wakadadap	pina1252		blood	946	BLOOD		ge'ja	g e j a
47877	64028	transnewguineaorg-pinai-hagahai-wakadadap	pina1252		bone	1394	BONE		jo'du	j o d u
52132	68283	transnewguineaorg-haruai	haru1245		boy	1366	BOY		hauluľ	h a u l u ʎ
57929	74082	transnewguineaorg-pinai-hagahai-wakadadap	pina1252		breast	1402	BREAST		a'u	a u
61516	77669	transnewguineaorg-haruai	haru1245		brother	1262	BROTHER		nʌmbəhətʰ	n ʌ m b ə h ə tʰ
61556	77709	transnewguineaorg-pinai-hagahai-wakadadap	pina1252		brother	1262	BROTHER		ma'mõ	m a m õ
64982	81135	transnewguineaorg-pinai-hagahai-wakadadap	pina1252		burn	2102	BURN		'ɲɛdə	ɲ ɛ d ə
74602	90755	transnewguineaorg-haruai	haru1245		cassowary	466	CASSOWARY		toiyə	t o i j ə
74688	90841	transnewguineaorg-pinai-hagahai-wakadadap	pina1252		cassowary	466	CASSOWARY		do'd̮ʑa	d o dʑ a
87214	103367	transnewguineaorg-haruai	haru1245		claw	72	CLAW		aŋgaľ	a ŋ g a ʎ
