	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
9344	25495	transnewguineaorg-hiri-motu	hiri1237		bark	1204	BARK		ʌu_kɔpɩnʌ	ʌ u + k ɔ p ɪ n ʌ
23619	39770	transnewguineaorg-hiri-motu	hiri1237		belly	1251	BELLY		bɔgʌnʌ	b ɔ g ʌ n ʌ
28805	44956	transnewguineaorg-hiri-motu	hiri1237		big	1202	BIG		bʌdʌ	b ʌ d ʌ
31150	47301	transnewguineaorg-hiri-motu	hiri1237		bird	937	BIRD		mʌnu	m ʌ n u
33277	49428	transnewguineaorg-hiri-motu	hiri1237		bite	1403	BITE		kɔrɩʌ	k ɔ r ɪ ʌ
39519	55670	transnewguineaorg-hiri-motu	hiri1237		blood	946	BLOOD		rʌrʌ	r ʌ r ʌ
47745	63896	transnewguineaorg-hiri-motu	hiri1237		bone	1394	BONE		turɩʌ	t u r ɪ ʌ
92237	108390	transnewguineaorg-hiri-motu	hiri1237		cloud	1489	CLOUD		ɔrɩ	ɔ r ɪ
99682	115835	transnewguineaorg-hiri-motu	hiri1237		come	1446	COME		mʌɩ	m ʌ ɪ
127874	144029	transnewguineaorg-hiri-motu	hiri1237		die	1494	DIE		mʌsɛ	m ʌ s ɛ
136476	152631	transnewguineaorg-hiri-motu	hiri1237		dog	2009	DOG		sɩsɩʌ	s ɪ s ɪ ʌ
142667	158822	transnewguineaorg-hiri-motu	hiri1237		drink	1401	DRINK		ɩnuʌ	ɪ n u ʌ
152006	168161	transnewguineaorg-hiri-motu	hiri1237		ear	1247	EAR		tʌɩʌ	t ʌ ɪ ʌ
154607	170762	transnewguineaorg-hiri-motu	hiri1237		earthsoil	1228	EARTH (SOIL)		tʌnɔ	t ʌ n ɔ
157368	173525	transnewguineaorg-hiri-motu	hiri1237		eat	1336	EAT		ʌnɩʌ	ʌ n ɪ ʌ
159818	175976	transnewguineaorg-hiri-motu	hiri1237		egg	744	EGG		ḡʌtɔɩ	g ʌ t ɔ ɪ
170415	186573	transnewguineaorg-hiri-motu	hiri1237		eye	1248	EYE		mʌtʌ	m ʌ t ʌ
180369	196528	transnewguineaorg-hiri-motu	hiri1237		father	1217	FATHER		tʌmʌnʌ	t ʌ m ʌ n ʌ
185371	201531	transnewguineaorg-hiri-motu	hiri1237		feather	1201	FEATHER		mʌnu_huɩnʌ	m ʌ n u + h u ɪ n ʌ
193345	225998	transnewguineaorg-hiri-motu	hiri1237		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		rɔhɔ	r ɔ h ɔ
203236	235889	transnewguineaorg-hiri-motu	hiri1237		four	1500	FOUR		hʌnɩ	h ʌ n ɪ
215418	248071	transnewguineaorg-hiri-motu	hiri1237		give	1447	GIVE		hɛnɩgu	h ɛ n ɪ g u
221580	254236	transnewguineaorg-hiri-motu	hiri1237		good	1035	GOOD		nʌmɔ	n ʌ m ɔ
229085	261741	transnewguineaorg-hiri-motu	hiri1237		green	1425	GREEN		gʌdɔkʌ_gʌdɔkʌ	g ʌ d ɔ k ʌ + g ʌ d ɔ k ʌ
244792	277449	transnewguineaorg-hiri-motu	hiri1237		head	1256	HEAD		kwʌřʌ	k w ʌ r̝ ʌ
247663	280320	transnewguineaorg-hiri-motu	hiri1237		hear	1408	HEAR		kʌmɔnʌɩ	k ʌ m ɔ n ʌ ɪ
249061	281718	transnewguineaorg-hiri-motu	hiri1237		heart	1223	HEART		kudɔunʌ	k u d ɔ u n ʌ
251197	283854	transnewguineaorg-hiri-motu	hiri1237		heavy	1210	HEAVY		mɛtʌu	m ɛ t ʌ u
259062	291722	transnewguineaorg-hiri-motu	hiri1237		hit	1433	HIT		bɔtʌɩʌ	b ɔ t ʌ ɪ ʌ
275249	307909	transnewguineaorg-hiri-motu	hiri1237		i	1209	I		lʌu	l ʌ u
288138	320798	transnewguineaorg-hiri-motu	hiri1237		kill	1417	KILL		ʌlʌɩʌ	ʌ l ʌ ɪ ʌ
294721	327381	transnewguineaorg-hiri-motu	hiri1237		knowsomething	1410	KNOW (SOMETHING)		dɩbʌ	d ɪ b ʌ
299675	332335	transnewguineaorg-hiri-motu	hiri1237		laugh	1355	LAUGH		kɩrɩkɩrɩ	k ɪ r ɪ k ɪ r ɪ
