	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3986	20137	johanssonsoundsymbolic-SouthernPomo	sout2984		back	1291	BACK		mɔkɔtʃ	m ɔ k ɔ tʃ
5105	21256	johanssonsoundsymbolic-SouthernPomo	sout2984		bad	1292	BAD		khattɪtʼʃʼaw	kʰ a tː ɪ tʃʼ a w
8936	25087	johanssonsoundsymbolic-SouthernPomo	sout2984		bark	1204	BARK		tʼsʼɪʔda	tsʼ ɪ ʔ d a
13079	29230	johanssonsoundsymbolic-SouthernPomo	sout2984		bealive	1422	BE ALIVE		n̪ɔphphɔ	n̪ ɔ pʰː ɔ
19316	35467	johanssonsoundsymbolic-SouthernPomo	sout2984		before	1882	BEFORE		jal̪l̪abɪɪ	j a l̪ː a b ɪː
20556	36707	johanssonsoundsymbolic-SouthernPomo	sout2984		behind	1686	BEHIND		khamma	kʰ a mː a
22983	39134	johanssonsoundsymbolic-SouthernPomo	sout2984		belly	1251	BELLY		ʊhkhaʔwan̪	ʊ h kʰ a ʔ w a n̪
24612	40763	johanssonsoundsymbolic-SouthernPomo	sout2984		beloworunder	1485	BELOW OR UNDER		maamʊ	m aː m ʊ
25812	41963	johanssonsoundsymbolic-SouthernPomo	sout2984		beside	1816	BESIDE		khaal̪ɛ	kʰ aː l̪ ɛ
28028	44179	johanssonsoundsymbolic-SouthernPomo	sout2984		big	1202	BIG		bahthɛ	b a h tʰ ɛ
30404	46555	johanssonsoundsymbolic-SouthernPomo	sout2984		bird	937	BIRD		tʼsʼɪht̪a	tsʼ ɪ h t̪ a
32760	48911	johanssonsoundsymbolic-SouthernPomo	sout2984		bite	1403	BITE		kaan̪ɛ	k aː n̪ ɛ
35375	51526	johanssonsoundsymbolic-SouthernPomo	sout2984		black	163	BLACK		ʃaʔkʼa	ʃ a ʔ kʼ a
38788	54939	johanssonsoundsymbolic-SouthernPomo	sout2984		blood	946	BLOOD		baal̪aj	b aː l̪ a j
40995	57146	johanssonsoundsymbolic-SouthernPomo	sout2984		blowofwind	175	BLOW (OF WIND)		phʊ	pʰ ʊ
42144	58295	johanssonsoundsymbolic-SouthernPomo	sout2984		blue	837	BLUE		tʼsʼahkɪl̪	tsʼ a h k ɪ l̪
47010	63161	johanssonsoundsymbolic-SouthernPomo	sout2984		bone	1394	BONE		ʔɪjha	ʔ ɪ j̊ a
