	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8936	25087	johanssonsoundsymbolic-SouthernPomo	sout2984		bark	1204	BARK		tʼsʼɪʔda	tsʼ ɪ ʔ d a
22983	39134	johanssonsoundsymbolic-SouthernPomo	sout2984		belly	1251	BELLY		ʊhkhaʔwan̪	ʊ h kʰ a ʔ w a n̪
28028	44179	johanssonsoundsymbolic-SouthernPomo	sout2984		big	1202	BIG		bahthɛ	b a h tʰ ɛ
30404	46555	johanssonsoundsymbolic-SouthernPomo	sout2984		bird	937	BIRD		tʼsʼɪht̪a	tsʼ ɪ h t̪ a
32760	48911	johanssonsoundsymbolic-SouthernPomo	sout2984		bite	1403	BITE		kaan̪ɛ	k aː n̪ ɛ
35375	51526	johanssonsoundsymbolic-SouthernPomo	sout2984		black	163	BLACK		ʃaʔkʼa	ʃ a ʔ kʼ a
38788	54939	johanssonsoundsymbolic-SouthernPomo	sout2984		blood	946	BLOOD		baal̪aj	b aː l̪ a j
47010	63161	johanssonsoundsymbolic-SouthernPomo	sout2984		bone	1394	BONE		ʔɪjha	ʔ ɪ j̊ a
57094	73247	johanssonsoundsymbolic-SouthernPomo	sout2984		breast	1402	BREAST		kʊʊn̪ʊ	k ʊː n̪ ʊ
64564	80717	johanssonsoundsymbolic-SouthernPomo	sout2984		burn	2102	BURN		phʊ	pʰ ʊ
95288	111441	johanssonsoundsymbolic-SouthernPomo	sout2984		cold	1287	COLD		katstsɪ	k a tsː ɪ
98952	115105	johanssonsoundsymbolic-SouthernPomo	sout2984		come	1446	COME		hʊww	h ʊ wː
127175	143330	johanssonsoundsymbolic-SouthernPomo	sout2984		die	1494	DIE		kʼal̪l̪a	kʼ a l̪ː a
135724	151879	johanssonsoundsymbolic-SouthernPomo	sout2984		dog	2009	DOG		hajjʊ	h a jː ʊ
142193	158348	johanssonsoundsymbolic-SouthernPomo	sout2984		drink	1401	DRINK		hɔʔkʼɔj	h ɔ ʔ kʼ ɔ j
145828	161983	johanssonsoundsymbolic-SouthernPomo	sout2984		dry	1398	DRY		mʊkhkhatʼ	m ʊ kʰː a tʼ
154189	170344	johanssonsoundsymbolic-SouthernPomo	sout2984		earthsoil	1228	EARTH (SOIL)		ammawɪ	a mː a w ɪ
156793	172948	johanssonsoundsymbolic-SouthernPomo	sout2984		eat	1336	EAT		tʃʊhhʊ	tʃ ʊ hː ʊ
169673	185831	johanssonsoundsymbolic-SouthernPomo	sout2984		eye	1248	EYE		hʊʔʊkhbɛ	h ʊ ʔ ʊ kʰ b ɛ
182144	198304	johanssonsoundsymbolic-SouthernPomo	sout2984		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		tʃhɪɪl̪an̪phʊj	tʃʰ ɪː l̪ a n̪ pʰ ʊ j
196271	228924	johanssonsoundsymbolic-SouthernPomo	sout2984		foot	1301	FOOT		khaama	kʰ aː m a
214701	247354	johanssonsoundsymbolic-SouthernPomo	sout2984		give	1447	GIVE		dɪhka	d ɪ h k a
220831	253487	johanssonsoundsymbolic-SouthernPomo	sout2984		good	1035	GOOD		kʼɔʔdɪ	kʼ ɔ ʔ d ɪ
228612	261268	johanssonsoundsymbolic-SouthernPomo	sout2984		green	1425	GREEN		tʃaʔtʼsʼa	tʃ a ʔ tsʼ a
234630	267286	johanssonsoundsymbolic-SouthernPomo	sout2984		hair	1040	HAIR		hɛʔʔɛ	h ɛ ʔː ɛ
238473	271129	johanssonsoundsymbolic-SouthernPomo	sout2984		hand	1277	HAND		t̪haan̪a	t̪ʰ aː n̪ a
244029	276686	johanssonsoundsymbolic-SouthernPomo	sout2984		head	1256	HEAD		ʃɪn̪n̪a	ʃ ɪ n̪ː a
246962	279619	johanssonsoundsymbolic-SouthernPomo	sout2984		hear	1408	HEAR		ʃɔɔtʃɪ	ʃ ɔː tʃ ɪ
263417	296077	johanssonsoundsymbolic-SouthernPomo	sout2984		hornanatomy	1393	HORN (ANATOMY)		haʔʔa	h a ʔː a
274779	307439	johanssonsoundsymbolic-SouthernPomo	sout2984		i	1209	I		ʔaaʔa	ʔ aː ʔ a
287620	320280	johanssonsoundsymbolic-SouthernPomo	sout2984		kill	1417	KILL		mɪhjan̪a	m ɪ h j a n̪ a
302254	334914	johanssonsoundsymbolic-SouthernPomo	sout2984		leaf	628	LEAF		kaas̪ɛ	k aː s̪ ɛ
319916	352576	johanssonsoundsymbolic-SouthernPomo	sout2984		long	1203	LONG		mat̪t̪ɪ	m a t̪ː ɪ
323558	356218	johanssonsoundsymbolic-SouthernPomo	sout2984		louse	1392	LOUSE		ʔahtʃɪ	ʔ a h tʃ ɪ
330534	363195	johanssonsoundsymbolic-SouthernPomo	sout2984		man	1554	MAN		ʔatʃtʃaj	ʔ a tʃː a j
344527	377188	johanssonsoundsymbolic-SouthernPomo	sout2984		moon	1313	MOON		ʔal̪l̪aaʃa	ʔ a l̪ː aː ʃ a
350992	383656	johanssonsoundsymbolic-SouthernPomo	sout2984		mountain	639	MOUNTAIN		dɔɔn̪ɔ	d ɔː n̪ ɔ
353510	386174	johanssonsoundsymbolic-SouthernPomo	sout2984		mouth	674	MOUTH		ʔahhakhaan̪ɪ	ʔ a hː a kʰ aː n̪ ɪ
358528	391192	johanssonsoundsymbolic-SouthernPomo	sout2984		name	1405	NAME		ʔaaʃɪ	ʔ aː ʃ ɪ
364813	397480	johanssonsoundsymbolic-SouthernPomo	sout2984		neck	1333	NECK		kʼɔht̪ɔkht̪ɔ	kʼ ɔ h t̪ ɔ kʰ t̪ ɔ
368866	401533	johanssonsoundsymbolic-SouthernPomo	sout2984		new	1231	NEW		tɔn̪hkhaj	t ɔ n̪̥ kʰ a j
371652	404319	johanssonsoundsymbolic-SouthernPomo	sout2984		night	1233	NIGHT		dʊwwɛ	d ʊ wː ɛ
377470	410137	johanssonsoundsymbolic-SouthernPomo	sout2984		nose	1221	NOSE		hɪɪl̪amʔda	h ɪː l̪ a m ʔ d a
379056	411723	johanssonsoundsymbolic-SouthernPomo	sout2984		not	1240	NOT		t̪h	t̪ʰ
389769	422436	johanssonsoundsymbolic-SouthernPomo	sout2984		one	1493	ONE		tʃaaʔa	tʃ aː ʔ a
406277	438944	johanssonsoundsymbolic-SouthernPomo	sout2984		person	683	PERSON		ʔahtʃahtʃɛj	ʔ a h tʃ a h tʃ ɛ j
432553	465221	johanssonsoundsymbolic-SouthernPomo	sout2984		red	156	RED		hatʼtʼa	h a tʼː a
448879	481548	johanssonsoundsymbolic-SouthernPomo	sout2984		round	1395	ROUND		l̪ʊppʊjha	l̪ ʊ pː ʊ j̊ a
459419	492088	johanssonsoundsymbolic-SouthernPomo	sout2984		say	1458	SAY		hn̪ɪ	h n̪ ɪ
465171	497841	johanssonsoundsymbolic-SouthernPomo	sout2984		see	1409	SEE		kaawɪ	k aː w ɪ
490613	523285	johanssonsoundsymbolic-SouthernPomo	sout2984		sit	1416	SIT		bammaw	b a mː a w
494721	527393	johanssonsoundsymbolic-SouthernPomo	sout2984		skin	763	SKIN		tʼtʼɔ	tʼː ɔ
499366	532038	johanssonsoundsymbolic-SouthernPomo	sout2984		sleep	1585	SLEEP		s̪ɪɪma	s̪ ɪː m a
502950	535624	johanssonsoundsymbolic-SouthernPomo	sout2984		small	1246	SMALL		kɪtstsɪdʊ	k ɪ tsː ɪ d ʊ
507269	539945	johanssonsoundsymbolic-SouthernPomo	sout2984		smokeexhaust	778	SMOKE (EXHAUST)		ʔɔhhɔs̪a	ʔ ɔ hː ɔ s̪ a
548335	581012	johanssonsoundsymbolic-SouthernPomo	sout2984		sun	1343	SUN		haʔdawmʊ	h a ʔ d a w m ʊ
557820	590497	johanssonsoundsymbolic-SouthernPomo	sout2984		tail	1220	TAIL		jɔk	j ɔ k
567207	599886	johanssonsoundsymbolic-SouthernPomo	sout2984		that	78	THAT		haʔʊ	h a ʔ ʊ
578294	610974	johanssonsoundsymbolic-SouthernPomo	sout2984		this	1214	THIS		maʔʊ	m a ʔ ʊ
580491	613174	johanssonsoundsymbolic-SouthernPomo	sout2984		thou	1215	THOU		ʔaama	ʔ aː m a
598564	631251	johanssonsoundsymbolic-SouthernPomo	sout2984		tooth	1380	TOOTH		hɔʔʔɔ	h ɔ ʔː ɔ
602965	635652	johanssonsoundsymbolic-SouthernPomo	sout2984		tree	906	TREE		ʃkʼaan̪ɪ	ʃ kʼ aː n̪ ɪ
611475	644162	johanssonsoundsymbolic-SouthernPomo	sout2984		two	1498	TWO		ʔakhkhɔ	ʔ a kʰː ɔ
627324	679985	johanssonsoundsymbolic-SouthernPomo	sout2984		white	1335	WHITE		kahl̪ɛ	k a h l̪ ɛ
629788	682541	johanssonsoundsymbolic-SouthernPomo	sout2984		who	1235	WHO		tʃaʔʔa	tʃ a ʔː a
640173	692928	johanssonsoundsymbolic-SouthernPomo	sout2984		woman	962	WOMAN		baʔʔaj	b a ʔː a j
