	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8767	24918	hubercolumbian-Inga	inga1252		bark	1204	BARK		káspi kára	k a s p i + k a r a
9480	25631	wold-ImbaburaQuechua	imba1240		bark	1204	BARK		kiru_kara	k i ɾ u + k a ɾ a
22571	38722	crossandean-Apuri	apur1253		belly	1251	BELLY		wiksa	w i k s a
22572	38723	crossandean-Apurimac	east2551		belly	1251	BELLY		wiksa	w i k s a
22573	38724	crossandean-Atalla	huan1249		belly	1251	BELLY		wiksa	w i k s a
22574	38725	crossandean-Ayacucho	ayac1239		belly	1251	BELLY		wiksa	w i k s a
22575	38726	crossandean-Azuay	azua1234		belly	1251	BELLY		huigsa	w i χ a
22576	38727	crossandean-Cacra-Hongos	cacr1238		belly	1251	BELLY		wiksa	w i k s a
22577	38728	crossandean-Chachapoyas	chac1250		belly	1251	BELLY		wiksa	w i k s a
22578	38729	crossandean-Chetilla	caja1238		belly	1251	BELLY		paĉa	p a ʈʂ a
22579	38730	crossandean-Curva	apol1241		belly	1251	BELLY		wixsa	w i x s a
22580	38731	crossandean-Curva	apol1241		belly	1251	BELLY		wisa	w i s a
22581	38732	crossandean-Cuzco	cusc1236		belly	1251	BELLY		wixsa	w i x s a
22582	38733	crossandean-Huallaga	hual1241		belly	1251	BELLY		pača	p a tʃ a
22583	38734	crossandean-Huanca	huay1241		belly	1251	BELLY		pata	p a t a
22584	38735	crossandean-Huangascar	azan1238		belly	1251	BELLY		wiksa	w i k s a
22585	38736	crossandean-HuarazHuailas	huai1241		belly	1251	BELLY		pacha	p a tʃ a
22586	38737	crossandean-Inkawasi	lamb1276		belly	1251	BELLY		paĉa	p a ʈʂ a
22588	38739	crossandean-Jauja	jauj1238		belly	1251	BELLY		pata	p a t a
22590	38741	crossandean-Lamas	sanm1289		belly	1251	BELLY		wiksa	w i k s a
22591	38742	crossandean-Laraos	yauy1235		belly	1251	BELLY		wiksa	w i k s a
22592	38743	crossandean-Lincha-Tana	tana1291		belly	1251	BELLY		wiksa	w i k s a
22593	38744	crossandean-Maragua	sout2991		belly	1251	BELLY		wixsa	w i x s a
22594	38745	crossandean-Napo	napo1242		belly	1251	BELLY		huicsa	w i k s a
22595	38746	crossandean-Pacaraos	paca1245		belly	1251	BELLY		patra	p a ʈʂ a
22596	38747	crossandean-Pastaza	sout2990		belly	1251	BELLY		vicsa	w i k s a
22597	38748	crossandean-Pocona	coch1274		belly	1251	BELLY		wisa	w i s a
22598	38749	crossandean-Puno	puno1238		belly	1251	BELLY		wiksa	w i k s a
22599	38750	crossandean-SanPedro	sanp1258		belly	1251	BELLY		wiksa	w i k s a
22600	38751	crossandean-Santiagueno	sant1432		belly	1251	BELLY		wiksa	w i x s a
22601	38752	crossandean-Serena	tena1240		belly	1251	BELLY		iksa	i k s a
22602	38753	crossandean-Tarma	yaru1256		belly	1251	BELLY		paĉa	p a ʈʂ a
22603	38754	crossandean-Troje	nort3351		belly	1251	BELLY		wixsa	w i x s a
22604	38755	crossandean-Yanac	coro1247		belly	1251	BELLY		paĉa	p a ʈʂ a
22754	38905	hubercolumbian-Inga	inga1252		belly	1251	BELLY		wígsa	w i g s a
22755	38906	hubercolumbian-Inga	inga1252		belly	1251	BELLY		wígsa	w i g s a
23863	40014	wold-ImbaburaQuechua	imba1240		belly	1251	BELLY		wiksa	w i k s a
27639	43790	crossandean-Apuri	apur1253		big	1202	BIG		hatun	h a t u n
27640	43791	crossandean-Apurimac	east2551		big	1202	BIG		hatun	h a t u n
