	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
668	16819	wold-Kanuri	cent2050		at	1461	AT		-làn	l a n
4293	20444	wold-Kanuri	cent2050		back	1291	BACK		ngáwò	n g a w o
5439	21590	polyglottaafricana-Kanembu	kane1243		bad	1292	BAD		díbī	d i b iː
5440	21591	polyglottaafricana-Kanembu	kane1243		bad	1292	BAD		díbi	d i b i
5464	21615	polyglottaafricana-Manga	mang1399		bad	1292	BAD		díwi	d i w i
5663	21814	wold-Kanuri	cent2050		bad	1292	BAD		kúttù	k u t t u
9484	25635	wold-Kanuri	cent2050		bark	1204	BARK		kàskàshí	k a s k a ʃ i
13520	29671	wold-Kanuri	cent2050		bealive	1422	BE ALIVE		rôà	r o a
16496	32647	wold-Kanuri	cent2050		because	1157	BECAUSE		nàngàrò	n a ŋ a r o
23307	39458	polyglottaafricana-Kanembu	kane1243		belly	1251	BELLY		dṣúrō	ɖʐ u r oː
23308	39459	polyglottaafricana-Kanembu	kane1243		belly	1251	BELLY		kā́lum	k aː l u m
23309	39460	polyglottaafricana-Kanembu	kane1243		belly	1251	BELLY		tsúrō	t s u r oː
23333	39484	polyglottaafricana-Manga	mang1399		belly	1251	BELLY		kā́lum	k aː l u m
23867	40018	wold-Kanuri	cent2050		belly	1251	BELLY		tìmbí	t i m b i
28466	44617	polyglottaafricana-Kanembu	kane1243		big	1202	BIG		kúrā	k u r aː
28467	44618	polyglottaafricana-Kanembu	kane1243		big	1202	BIG		kúra	k u r a
28494	44645	polyglottaafricana-Manga	mang1399		big	1202	BIG		kúrā	k u r aː
29085	45236	wold-Kanuri	cent2050		big	1202	BIG		kúrà	k u r a
30793	46944	polyglottaafricana-Kanembu	kane1243		bird	937	BIRD		n·gúdō	n g u d oː
30794	46945	polyglottaafricana-Kanembu	kane1243		bird	937	BIRD		n·gúdō	n g u d oː
30817	46968	polyglottaafricana-Manga	mang1399		bird	937	BIRD		n·gúdō	n g u d oː
31443	47594	wold-Kanuri	cent2050		bird	937	BIRD		ngúdò	n g u d o
33533	49684	wold-Kanuri	cent2050		bite	1403	BITE		tímìn_tà	t i m i n + t a
33534	49685	wold-Kanuri	cent2050		bite	1403	BITE		nàndò	n a n d o
35752	51903	polyglottaafricana-Kanembu	kane1243		black	163	BLACK		dṣè́lam	ɖʐ e l a m
35753	51904	polyglottaafricana-Kanembu	kane1243		black	163	BLACK		dṣélam	ɖʐ e l a m
35778	51929	polyglottaafricana-Manga	mang1399		black	163	BLACK		dṣè́lam	ɖʐ e l a m
36055	52206	wold-Kanuri	cent2050		black	163	BLACK		sə́lə́m	s ɨ l ɨ m
39168	55319	polyglottaafricana-Kanembu	kane1243		blood	946	BLOOD		bū	b uː
39169	55320	polyglottaafricana-Kanembu	kane1243		blood	946	BLOOD		bui	b u i
39192	55343	polyglottaafricana-Manga	mang1399		blood	946	BLOOD		bū	b uː
39796	55947	wold-Kanuri	cent2050		blood	946	BLOOD		bû	b u
41528	57679	wold-Kanuri	cent2050		blowofwind	175	BLOW (OF WIND)		fùtə́	f u t ɨ
43436	59587	wold-Kanuri	cent2050		blunt	379	BLUNT		gòrdó	g o r d o
47387	63538	polyglottaafricana-Kanembu	kane1243		bone	1394	BONE		sílā	s i l aː
47388	63539	polyglottaafricana-Kanembu	kane1243		bone	1394	BONE		dṣíla	ɖʐ i l a
47413	63564	polyglottaafricana-Manga	mang1399		bone	1394	BONE		sílā	s i l aː
48050	64201	wold-Kanuri	cent2050		bone	1394	BONE		shíllà	ʃ i l l a
59280	75433	polyglottaafricana-Kanembu	kane1243		breathe	1407	BREATHE		u sugẹ́nèski	u + s u g e˞ n e s k i
59281	75434	polyglottaafricana-Kanembu	kane1243		breathe	1407	BREATHE		sugẹ̄́n·gi	s u g e˞ː n g i
59282	75435	polyglottaafricana-Kanembu	kane1243		breathe	1407	BREATHE		tsū́nèski	t s uː n e s k i
59306	75459	polyglottaafricana-Manga	mang1399		breathe	1407	BREATHE		wu segẹ̄́ski	w u + s e g e˞ː s k i
59491	75644	wold-Kanuri	cent2050		breathe	1407	BREATHE		yìntə́	j i n t ɨ
65336	81489	wold-Kanuri	cent2050		burning	1428	BURNING		máltə́	m a l t ɨ
83840	99993	wold-Kanuri	cent2050		childyounghuman	1304	CHILD (YOUNG HUMAN)		tádà	t a d a
92514	108667	wold-Kanuri	cent2050		cloud	1489	CLOUD		fówó	f o w o
99342	115495	polyglottaafricana-Kanembu	kane1243		come	1446	COME		u ī́sèski	u + iː s e s k i
99343	115496	polyglottaafricana-Kanembu	kane1243		come	1446	COME		ī́seski	iː s e s k i
99367	115520	polyglottaafricana-Manga	mang1399		come	1446	COME		wu isèski	w u + i s e s k i
99993	116146	wold-Kanuri	cent2050		come	1446	COME		ísò	i s o
105320	121473	wold-Kanuri	cent2050		correctright	1725	CORRECT (RIGHT)		kálkál	k a l k a l
107681	123834	wold-Kanuri	cent2050		count	1420	COUNT		kòmtə́	k o m t ɨ
115623	131776	wold-Kanuri	cent2050		cut	1432	CUT		kámtə́	k a m t ɨ
122200	138355	polyglottaafricana-Kanembu	kane1243		daynotnight	1225	DAY (NOT NIGHT)		kau	k a u
122201	138356	polyglottaafricana-Kanembu	kane1243		daynotnight	1225	DAY (NOT NIGHT)		dúnīa kau	d u n iː a + k a u
122202	138357	polyglottaafricana-Kanembu	kane1243		daynotnight	1225	DAY (NOT NIGHT)		kau·	k a u
122226	138381	polyglottaafricana-Manga	mang1399		daynotnight	1225	DAY (NOT NIGHT)		kau	k a u
122396	138551	wold-Kanuri	cent2050		daynotnight	1225	DAY (NOT NIGHT)		yîm	j i m
127556	143711	polyglottaafricana-Kanembu	kane1243		die	1494	DIE		u núskī	u + n u s k iː
127557	143712	polyglottaafricana-Kanembu	kane1243		die	1494	DIE		kánuskō	k a n u s k oː
127582	143737	polyglottaafricana-Manga	mang1399		die	1494	DIE		wu núskī	w u + n u s k iː
128108	144263	wold-Kanuri	cent2050		die	1494	DIE		nò	n o
130221	146376	wold-Kanuri	cent2050		dig	1418	DIG		tàbtə́	t a b t ɨ
132190	148345	wold-Kanuri	cent2050		dirty	1230	DIRTY		kàdágə̀	k a d a g e
136114	152269	polyglottaafricana-Kanembu	kane1243		dog	2009	DOG		kè́rī	k e r iː
136115	152270	polyglottaafricana-Kanembu	kane1243		dog	2009	DOG		kè́rī	k e r iː
136139	152294	polyglottaafricana-Manga	mang1399		dog	2009	DOG		kè́rī	k e r iː
136774	152929	wold-Kanuri	cent2050		dog	2009	DOG		kə́rì	k ɨ r i
142832	158987	wold-Kanuri	cent2050		drink	1401	DRINK		njâ	n dʒ a
146132	162287	polyglottaafricana-Kanembu	kane1243		dry	1398	DRY		n·gámdu	n g a m d u
146133	162288	polyglottaafricana-Kanembu	kane1243		dry	1398	DRY		n·ámdṣi	n a m ɖʐ i
146160	162315	polyglottaafricana-Manga	mang1399		dry	1398	DRY		n·gámdu	n g a m d u
146442	162597	wold-Kanuri	cent2050		dry	1398	DRY		ngámdə́	n g a m d ɨ
149214	165369	wold-Kanuri	cent2050		dust	2	DUST		bə́rbə̀r	b ɨ r b ɨ r
151649	167804	polyglottaafricana-Kanembu	kane1243		ear	1247	EAR		súmō	s u m oː
151650	167805	polyglottaafricana-Kanembu	kane1243		ear	1247	EAR		tsúmō	t s u m oː
151674	167829	polyglottaafricana-Manga	mang1399		ear	1247	EAR		súmō	s u m oː
152304	168459	wold-Kanuri	cent2050		ear	1247	EAR		sə́mò	s ɨ m o
154773	170928	wold-Kanuri	cent2050		earthsoil	1228	EARTH (SOIL)		cídí	tʃ i d i
157690	173848	wold-Kanuri	cent2050		eat	1336	EAT		bù	b u
159466	175624	polyglottaafricana-Kanembu	kane1243		egg	744	EGG		n·gè́wèl	n g e w e l
159467	175625	polyglottaafricana-Kanembu	kane1243		egg	744	EGG		n·gè́bèl	n g e b e l
159491	175649	polyglottaafricana-Manga	mang1399		egg	744	EGG		n·gè́wèl	n g e w e l
160086	176244	wold-Kanuri	cent2050		egg	744	EGG		ngə́wə́l	n g ɨ w ɨ l
170051	186209	polyglottaafricana-Kanembu	kane1243		eye	1248	EYE		sim	s i m
170052	186210	polyglottaafricana-Kanembu	kane1243		eye	1248	EYE		dṣim	ɖʐ i m
170077	186235	polyglottaafricana-Manga	mang1399		eye	1248	EYE		sim	s i m
170732	186890	wold-Kanuri	cent2050		eye	1248	EYE		shîm	ʃ i m
