	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3905	20056	johanssonsoundsymbolic-Halkomelem	halk1245		back	1291	BACK		oqweleç	o qʷ e l e ç
5021	21172	johanssonsoundsymbolic-Halkomelem	halk1245		bad	1292	BAD		æx	æ x
8860	25011	johanssonsoundsymbolic-Halkomelem	halk1245		bark	1204	BARK		pʼɛljiiws	pʼ ɛ l j iː w s
13002	29153	johanssonsoundsymbolic-Halkomelem	halk1245		bealive	1422	BE ALIVE		æjlexw	æ j l e xʷ
16324	32475	johanssonsoundsymbolic-Halkomelem	halk1245		because	1157	BECAUSE		tɬʼakʼwes	t ɬʼ a kʼ w e s
22896	39047	johanssonsoundsymbolic-Halkomelem	halk1245		belly	1251	BELLY		kʼwellɛ	kʼ w e lː ɛ
27937	44088	johanssonsoundsymbolic-Halkomelem	halk1245		big	1202	BIG		hikw	h i kʷ
30323	46474	johanssonsoundsymbolic-Halkomelem	halk1245		bird	937	BIRD		leçʼiws	l e çʼ i w s
32672	48823	johanssonsoundsymbolic-Halkomelem	halk1245		bite	1403	BITE		qʼejkʼweth	qʼ e j kʼ w e tʰ
35288	51439	johanssonsoundsymbolic-Halkomelem	halk1245		black	163	BLACK		çqʼejx	ç qʼ e j x
38698	54849	johanssonsoundsymbolic-Halkomelem	halk1245		blood	946	BLOOD		stʃalexwem	s tʃ a l e xʷ e m
40918	57069	johanssonsoundsymbolic-Halkomelem	halk1245		blowofwind	175	BLOW (OF WIND)		phooth	pʰ oː tʰ
43105	59256	johanssonsoundsymbolic-Halkomelem	halk1245		blunt	379	BLUNT		qheloθ	qʰ e l o θ
46928	63079	johanssonsoundsymbolic-Halkomelem	halk1245		bone	1394	BONE		stθʼoom	s t θʼ oː m
58939	75092	johanssonsoundsymbolic-Halkomelem	halk1245		breathe	1407	BREATHE		phexweɬælem	pʰ e xʷ e ɬ æ l e m
91625	107778	johanssonsoundsymbolic-Halkomelem	halk1245		cloud	1489	CLOUD		ʃxwʔæθthel	ʃ xʷ ʔ æ θ tʰ e l
98865	115018	johanssonsoundsymbolic-Halkomelem	halk1245		come	1446	COME		emii	e m iː
104915	121068	johanssonsoundsymbolic-Halkomelem	halk1245		correctright	1725	CORRECT (RIGHT)		leqʼææɬ	l e qʼ æː ɬ
121810	137965	johanssonsoundsymbolic-Halkomelem	halk1245		daynotnight	1225	DAY (NOT NIGHT)		swæjel	s w æ j e l
127086	143241	johanssonsoundsymbolic-Halkomelem	halk1245		die	1494	DIE		qʼooj	qʼ oː j
131735	147890	johanssonsoundsymbolic-Halkomelem	halk1245		dirty	1230	DIRTY		tʃmitɬʼ	tʃ m i t ɬʼ
135638	151793	johanssonsoundsymbolic-Halkomelem	halk1245		dog	2009	DOG		sqwemææj	s qʷ e m æː j
142106	158261	johanssonsoundsymbolic-Halkomelem	halk1245		drink	1401	DRINK		qhooqheth	qʰ oː qʰ e tʰ
145746	161901	johanssonsoundsymbolic-Halkomelem	halk1245		dry	1398	DRY		çʼijxw	çʼ i j xʷ
148728	164883	johanssonsoundsymbolic-Halkomelem	halk1245		dust	2	DUST		phoolqʼwem	pʰ oː l qʼ w e m
151181	167336	johanssonsoundsymbolic-Halkomelem	halk1245		ear	1247	EAR		qʼool	qʼ oː l
154102	170257	johanssonsoundsymbolic-Halkomelem	halk1245		earthsoil	1228	EARTH (SOIL)		themmexw	tʰ e mː e xʷ
156704	172859	johanssonsoundsymbolic-Halkomelem	halk1245		eat	1336	EAT		æɬthel	æ ɬ tʰ e l
159016	175174	johanssonsoundsymbolic-Halkomelem	halk1245		egg	744	EGG		mæmelehoolɬ	m æ m e l e h oː l ɬ
169586	185744	johanssonsoundsymbolic-Halkomelem	halk1245		eye	1248	EYE		qhelem	qʰ e l e m
173589	189748	johanssonsoundsymbolic-Halkomelem	halk1245		fall	1280	FALL		çelqh	ç e l qʰ
175860	192019	johanssonsoundsymbolic-Halkomelem	halk1245		far	1406	FAR		tʃookw	tʃ oː kʷ
182073	198233	johanssonsoundsymbolic-Halkomelem	halk1245		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		sloos	s l oː s
184912	201072	johanssonsoundsymbolic-Halkomelem	halk1245		feather	1201	FEATHER		ælqhel	æ l qʰ e l
189944	222597	johanssonsoundsymbolic-Halkomelem	halk1245		flower	239	FLOWER		ajes	a j e s
192867	225520	johanssonsoundsymbolic-Halkomelem	halk1245		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		χwijæje	χʷ i j æ j e
196184	228837	johanssonsoundsymbolic-Halkomelem	halk1245		foot	1301	FOOT		qwemqwemxwxel	qʷ e m qʷ e m xʷ x e l
202517	235170	johanssonsoundsymbolic-Halkomelem	halk1245		four	1500	FOUR		χeʔooθel	χ e ʔ oː θ e l
214614	247267	johanssonsoundsymbolic-Halkomelem	halk1245		give	1447	GIVE		ææm	æː m
220741	253397	johanssonsoundsymbolic-Halkomelem	halk1245		good	1035	GOOD		ej	e j
226187	258843	johanssonsoundsymbolic-Halkomelem	halk1245		grass	606	GRASS		sooχwel	s oː χʷ e l
228538	261194	johanssonsoundsymbolic-Halkomelem	halk1245		green	1425	GREEN		çqwææj	ç qʷ æː j
234545	267201	johanssonsoundsymbolic-Halkomelem	halk1245		hair	1040	HAIR		mææqhel	m æː qʰ e l
238384	271040	johanssonsoundsymbolic-Halkomelem	halk1245		hand	1277	HAND		tʃælex	tʃ æ l e x
243939	276596	johanssonsoundsymbolic-Halkomelem	halk1245		head	1256	HEAD		sxejes	s x e j e s
246883	279540	johanssonsoundsymbolic-Halkomelem	halk1245		hear	1408	HEAR		çʼiçʼɬææm	çʼ i çʼ ɬ æː m
248468	281125	johanssonsoundsymbolic-Halkomelem	halk1245		heart	1223	HEART		tθʼæælæ	t θʼ æː l æ
250637	283294	johanssonsoundsymbolic-Halkomelem	halk1245		heavy	1210	HEAVY		xwethes	xʷ e tʰ e s
254470	287129	johanssonsoundsymbolic-Halkomelem	halk1245		here	136	HERE		lo	l o
258717	291377	johanssonsoundsymbolic-Halkomelem	halk1245		hit	1433	HIT		kʼwoqweth	kʼ w o qʷ e tʰ
268852	301512	johanssonsoundsymbolic-Halkomelem	halk1245		how	1239	HOW		stʃækwel	s tʃ æ k w e l
274692	307352	johanssonsoundsymbolic-Halkomelem	halk1245		i	1209	I		thɛʔælθɛ	tʰ ɛ ʔ æ l θ ɛ
