	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3889	20040	johanssonsoundsymbolic-Deraindonesia	dera1245		back	1291	BACK		gihjamu	g i h j a m u
5002	21153	johanssonsoundsymbolic-Deraindonesia	dera1245		bad	1292	BAD		t̪it̪e̞	t̪ i t̪ e̞
8843	24994	johanssonsoundsymbolic-Deraindonesia	dera1245		bark	1204	BARK		hwe̞la	hʷ e̞ l a
12983	29134	johanssonsoundsymbolic-Deraindonesia	dera1245		bealive	1422	BE ALIVE		n̪umu	n̪ u m u
16312	32463	johanssonsoundsymbolic-Deraindonesia	dera1245		because	1157	BECAUSE		hwambo̞	hʷ a m b o̞
19232	35383	johanssonsoundsymbolic-Deraindonesia	dera1245		before	1882	BEFORE		afat̪u	a f a t̪ u
22876	39027	johanssonsoundsymbolic-Deraindonesia	dera1245		belly	1251	BELLY		hambala	h a m b a l a
24529	40680	johanssonsoundsymbolic-Deraindonesia	dera1245		beloworunder	1485	BELOW OR UNDER		re̞wambi	r e̞ w a m b i
27917	44068	johanssonsoundsymbolic-Deraindonesia	dera1245		big	1202	BIG		bukwa	b u k w a
30306	46457	johanssonsoundsymbolic-Deraindonesia	dera1245		bird	937	BIRD		t̪u	t̪ u
32655	48806	johanssonsoundsymbolic-Deraindonesia	dera1245		bite	1403	BITE		kjau	k j a u
35268	51419	johanssonsoundsymbolic-Deraindonesia	dera1245		black	163	BLACK		n̪umbala	n̪ u m b a l a
38679	54830	johanssonsoundsymbolic-Deraindonesia	dera1245		blood	946	BLOOD		hlua	h l u a
40903	57054	johanssonsoundsymbolic-Deraindonesia	dera1245		blowofwind	175	BLOW (OF WIND)		fo̞fo̞	f o̞ f o̞
42072	58223	johanssonsoundsymbolic-Deraindonesia	dera1245		blue	837	BLUE		d̪afuhu	d̪ a f u h u
44569	60720	johanssonsoundsymbolic-Deraindonesia	dera1245		body	1480	BODY		fi	f i
46909	63060	johanssonsoundsymbolic-Deraindonesia	dera1245		bone	1394	BONE		hje̞mla	h j e̞ m l a
51492	67643	johanssonsoundsymbolic-Deraindonesia	dera1245		boy	1366	BOY		jan̪in̪o̞ma	j a n̪ i n̪ o̞ m a
52894	69045	johanssonsoundsymbolic-Deraindonesia	dera1245		brain	1583	BRAIN		e̞fu	e̞ f u
56995	73148	johanssonsoundsymbolic-Deraindonesia	dera1245		breast	1402	BREAST		t̪ut̪u	t̪ u t̪ u
64469	80622	johanssonsoundsymbolic-Deraindonesia	dera1245		burn	2102	BURN		same̞fi	s a m e̞ f i
67779	83932	johanssonsoundsymbolic-Deraindonesia	dera1245		buttocks	834	BUTTOCKS		humbli	h u m b l i
72965	89118	johanssonsoundsymbolic-Deraindonesia	dera1245		carry	700	CARRY		sa	s a
87936	104089	johanssonsoundsymbolic-Deraindonesia	dera1245		clean	704	CLEAN		we̞pi	w e̞ p i
91608	107761	johanssonsoundsymbolic-Deraindonesia	dera1245		cloud	1489	CLOUD		jafle̞i	j a f l e̞ i
95184	111337	johanssonsoundsymbolic-Deraindonesia	dera1245		cold	1287	COLD		gihalfi	g i h a l f i
98847	115000	johanssonsoundsymbolic-Deraindonesia	dera1245		come	1446	COME		ho̞f	h o̞ f
105980	122133	johanssonsoundsymbolic-Deraindonesia	dera1245		cough	879	COUGH		amt̪ali	a m t̪ a l i
112954	129107	johanssonsoundsymbolic-Deraindonesia	dera1245		cry	1839	CRY		aran̪ɨ	a r a n̪ ɨ
118671	134824	johanssonsoundsymbolic-Deraindonesia	dera1245		dark	706	DARK		e̞fifi	e̞ f i f i
121793	137948	johanssonsoundsymbolic-Deraindonesia	dera1245		daynotnight	1225	DAY (NOT NIGHT)		sumban̪i	s u m b a n̪ i
127068	143223	johanssonsoundsymbolic-Deraindonesia	dera1245		die	1494	DIE		n̪umuŋgwa	n̪ u m u ŋ g w a
135619	151774	johanssonsoundsymbolic-Deraindonesia	dera1245		dog	2009	DOG		jafli	j a f l i
142086	158241	johanssonsoundsymbolic-Deraindonesia	dera1245		drink	1401	DRINK		simi	s i m i
154084	170239	johanssonsoundsymbolic-Deraindonesia	dera1245		earthsoil	1228	EARTH (SOIL)		ho̞fo̞	h o̞ f o̞
156686	172841	johanssonsoundsymbolic-Deraindonesia	dera1245		eat	1336	EAT		se̞r	s e̞ r
158998	175156	johanssonsoundsymbolic-Deraindonesia	dera1245		egg	744	EGG		t̪u	t̪ u
160756	176914	johanssonsoundsymbolic-Deraindonesia	dera1245		eight	1705	EIGHT		walalu	w a l a l u
163706	179864	johanssonsoundsymbolic-Deraindonesia	dera1245		eleven	1706	ELEVEN		t̪ut̪u	t̪ u t̪ u
169566	185724	johanssonsoundsymbolic-Deraindonesia	dera1245		eye	1248	EYE		ho̞mbakwala	h o̞ m b a k w a l a
173570	189729	johanssonsoundsymbolic-Deraindonesia	dera1245		fall	1280	FALL		ho̞fahi	h o̞ f a h i
175840	191999	johanssonsoundsymbolic-Deraindonesia	dera1245		far	1406	FAR		t̪ikjawi	t̪ i k j a w i
177428	193587	johanssonsoundsymbolic-Deraindonesia	dera1245		fast	1631	FAST		iŋgin̪ambo̞	i ŋ g i n̪ a m b o̞
182056	198216	johanssonsoundsymbolic-Deraindonesia	dera1245		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		gn̪i	g n̪ i
184895	201055	johanssonsoundsymbolic-Deraindonesia	dera1245		feather	1201	FEATHER		n̪in̪ala	n̪ i n̪ a l a
189925	222578	johanssonsoundsymbolic-Deraindonesia	dera1245		flower	239	FLOWER		bun̪ga	b u n̪ g a
202500	235153	johanssonsoundsymbolic-Deraindonesia	dera1245		four	1500	FOUR		barala	b a r a l a
213274	245927	johanssonsoundsymbolic-Deraindonesia	dera1245		girl	1646	GIRL		hwalfe̞hima	hʷ a l f e̞ h i m a
