	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3978	20129	johanssonsoundsymbolic-Sentani	nucl1632		back	1291	BACK		mokod̪u	m o k o d̪ u
5097	21248	johanssonsoundsymbolic-Sentani	nucl1632		bad	1292	BAD		isan̪kələ	i s a n̪ k ə l ə
8928	25079	johanssonsoundsymbolic-Sentani	nucl1632		bark	1204	BARK		wa	w a
13072	29223	johanssonsoundsymbolic-Sentani	nucl1632		bealive	1422	BE ALIVE		wale	w a l e
16371	32522	johanssonsoundsymbolic-Sentani	nucl1632		because	1157	BECAUSE		maka_n̪ə	m a k a + n̪ ə
20550	36701	johanssonsoundsymbolic-Sentani	nucl1632		behind	1686	BEHIND		moj	m o j
22975	39126	johanssonsoundsymbolic-Sentani	nucl1632		belly	1251	BELLY		jahələ	j a h ə l ə
24606	40757	johanssonsoundsymbolic-Sentani	nucl1632		beloworunder	1485	BELOW OR UNDER		kele_n̪ə	k e l e + n̪ ə
28019	44170	johanssonsoundsymbolic-Sentani	nucl1632		big	1202	BIG		kabam	k a b a m
30395	46546	johanssonsoundsymbolic-Sentani	nucl1632		bird	937	BIRD		aje	a j e
32752	48903	johanssonsoundsymbolic-Sentani	nucl1632		bite	1403	BITE		akə	a k ə
35366	51517	johanssonsoundsymbolic-Sentani	nucl1632		black	163	BLACK		n̪okomom	n̪ o k o m o m
38779	54930	johanssonsoundsymbolic-Sentani	nucl1632		blood	946	BLOOD		oki	o k i
43161	59312	johanssonsoundsymbolic-Sentani	nucl1632		blunt	379	BLUNT		huhu	h u h u
44656	60807	johanssonsoundsymbolic-Sentani	nucl1632		body	1480	BODY		u	u
47002	63153	johanssonsoundsymbolic-Sentani	nucl1632		bone	1394	BONE		bo	b o
57085	73238	johanssonsoundsymbolic-Sentani	nucl1632		breast	1402	BREAST		n̪imə	n̪ i m ə
59002	75155	johanssonsoundsymbolic-Sentani	nucl1632		breathe	1407	BREATHE		n̪o_jeko	n̪ o + j e k o
64556	80709	johanssonsoundsymbolic-Sentani	nucl1632		burn	2102	BURN		hele	h e l e
73065	89218	johanssonsoundsymbolic-Sentani	nucl1632		carry	700	CARRY		a	a
95279	111432	johanssonsoundsymbolic-Sentani	nucl1632		cold	1287	COLD		n̪uku	n̪ u k u
98943	115096	johanssonsoundsymbolic-Sentani	nucl1632		come	1446	COME		mə	m ə
104968	121121	johanssonsoundsymbolic-Sentani	nucl1632		correctright	1725	CORRECT (RIGHT)		hələ	h ə l ə
110529	126682	johanssonsoundsymbolic-Sentani	nucl1632		crooked	297	CROOKED		jəlijəli	j ə l i j ə l i
113048	129201	johanssonsoundsymbolic-Sentani	nucl1632		cry	1839	CRY		kala	k a l a
118758	134911	johanssonsoundsymbolic-Sentani	nucl1632		dark	706	DARK		kika	k i k a
121884	138039	johanssonsoundsymbolic-Sentani	nucl1632		daynotnight	1225	DAY (NOT NIGHT)		ja	j a
124308	140463	johanssonsoundsymbolic-Sentani	nucl1632		deep	1593	DEEP		wawwaw	w a wː a w
127166	143321	johanssonsoundsymbolic-Sentani	nucl1632		die	1494	DIE		həd̪ə	h ə d̪ ə
134276	150431	johanssonsoundsymbolic-Sentani	nucl1632		do	813	DO		ko	k o
135715	151870	johanssonsoundsymbolic-Sentani	nucl1632		dog	2009	DOG		joku	j o k u
142185	158340	johanssonsoundsymbolic-Sentani	nucl1632		drink	1401	DRINK		an̪əhi	a n̪ ə h i
145819	161974	johanssonsoundsymbolic-Sentani	nucl1632		dry	1398	DRY		kalakala	k a l a k a l a
151261	167416	johanssonsoundsymbolic-Sentani	nucl1632		ear	1247	EAR		an̪kɛj	a n̪ k ɛ j
154180	170335	johanssonsoundsymbolic-Sentani	nucl1632		earthsoil	1228	EARTH (SOIL)		kan̪i	k a n̪ i
156784	172939	johanssonsoundsymbolic-Sentani	nucl1632		eat	1336	EAT		an̪ə	a n̪ ə
159088	175246	johanssonsoundsymbolic-Sentani	nucl1632		egg	744	EGG		d̪o	d̪ o
160829	176987	johanssonsoundsymbolic-Sentani	nucl1632		eight	1705	EIGHT		məhin̪ə_n̪amə	m ə h i n̪ ə + n̪ a m ə
163771	179929	johanssonsoundsymbolic-Sentani	nucl1632		eleven	1706	ELEVEN		mə_be_mbai_bələ	m ə + b e + m b a i + b ə l ə
164959	181117	johanssonsoundsymbolic-Sentani	nucl1632		empty	1624	EMPTY		u	u
169664	185822	johanssonsoundsymbolic-Sentani	nucl1632		eye	1248	EYE		id̪oko	i d̪ o k o
