	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8656	24807	castroyi-HedongKuaNsi	sich1238		bark	1204	BARK		sɿ³³ko²¹	s ɿ ³³ + k o ²¹
8662	24813	chindialectsurvey-AshoKokanTan-A-1	asho1236		bark	1204	BARK		tʰiŋ.hoʔ	tʰ i ŋ + h o ʔ
8663	24814	chindialectsurvey-DaaiYet3BuchaungwaYet-A	daai1236		bark	1204	BARK		ʔɑ_hop	ʔ ɑ + h o p
8664	24815	chindialectsurvey-DaituNyaungChaungYwa-D-4	sumt1234		bark	1204	BARK		tʰiŋ.ho	tʰ i ŋ + h o
8665	24816	chindialectsurvey-MroKhimiAreong10KyaGaungvillageMrokhami-A	mroc1235		bark	1204	BARK		tʰiŋ_ʔɑ_kɔk	tʰ i ŋ + ʔ ɑ + k ɔ k
8666	24817	chindialectsurvey-NggaKantthayung-A	munc1235		bark	1204	BARK		tʰiŋ_hɔk	tʰ i ŋ + h ɔ k
8668	24819	chindialectsurvey-UppuKyinDwe-U-5	chin1478		bark	1204	BARK		tʰiŋ.hoʔ	tʰ i ŋ + h o ʔ
8701	24852	halenepal-Chepang	chep1245		bark	1204	BARK		pun	p u n
8702	24853	halenepal-Chepang	chep1245		bark	1204	BARK		pun	p u n
8703	24854	halenepal-Gurung	guru1261		bark	1204	BARK		phi	pʰ i
8704	24855	halenepal-Gurung	guru1261		bark	1204	BARK		phi	pʰ i
8705	24856	halenepal-JirelTibetan	jire1238		bark	1204	BARK		koktenq	k o k t e n q
8706	24857	halenepal-JirelTibetan	jire1238		bark	1204	BARK		koktenq	k o k t e n q
8707	24858	halenepal-Kaike	kaik1246		bark	1204	BARK		swap	s w a p
8708	24859	halenepal-Kaike	kaik1246		bark	1204	BARK		swap	s w a p
8709	24860	halenepal-Khaling	khal1275		bark	1204	BARK		'kā	k aː
8710	24861	halenepal-Khaling	khal1275		bark	1204	BARK		'kā	k aː
8713	24864	halenepal-Newar	newa1246		bark	1204	BARK		si-mā_khwalā	s i + m aː + kʰ w a l aː
8714	24865	halenepal-Newar	newa1246		bark	1204	BARK		si-mā_khwalā	s i + m aː + kʰ w a l aː
8715	24866	halenepal-SahuTamang	west2415		bark	1204	BARK		phi:	pʰ iː
8716	24867	halenepal-SahuTamang	west2415		bark	1204	BARK		phi:	pʰ iː
8717	24868	halenepal-SherpaTibetan	sher1255		bark	1204	BARK		kowašing	k o w a ʃ i ŋ
8718	24869	halenepal-SherpaTibetan	sher1255		bark	1204	BARK		kowašing	k o w a ʃ i ŋ
8719	24870	halenepal-Sunwar	sunw1242		bark	1204	BARK		kru◦sul	k r u + s u l
8720	24871	halenepal-Sunwar	sunw1242		bark	1204	BARK		kru◦sul	k r u + s u l
8721	24872	halenepal-Thakali	thak1245		bark	1204	BARK		phi	pʰ i
8722	24873	halenepal-Thakali	thak1245		bark	1204	BARK		phi	pʰ i
9046	25197	liusinitic-Guilin	guil1241		bark	1204	BARK		ɕy²¹ pi²²	ɕ y ²¹ + p i ²²
9047	25198	liusinitic-Haerbin	haer1234		bark	1204	BARK		ʂu⁵³ pʰi²⁴	ʂ u ⁵³ + pʰ i ²⁴
9048	25199	liusinitic-Jixi	jixi1238		bark	1204	BARK		ɕy³¹⁻⁵³ pʰɿ⁴⁴	ɕ y ³¹ + pʰ ɿ ⁴⁴
9049	25200	liusinitic-Loudi	loud1234		bark	1204	BARK		ʑy¹¹ bi¹³	ʑ y ¹¹ + b i ¹³
9050	25201	liusinitic-Nanjing	nanj1234		bark	1204	BARK		su⁴⁴⁻⁴² pʰi¹³	s u ⁴⁴ + pʰ i ¹³
9051	25202	liusinitic-Rongcheng	rong1271		bark	1204	BARK		ʃy³³⁴⁻³ pʰi³⁵	ʃ y ³³⁴ + pʰ i ³⁵
9052	25203	liusinitic-Taiyuan	taiy1243		bark	1204	BARK		su⁴⁵ pʰi²¹	s u ⁴⁵ + pʰ i ²¹
