	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8881	25032	johanssonsoundsymbolic-Lakota	lako1247		bark	1204	BARK		tʃhãha	tʃʰ ã h a
22919	39070	johanssonsoundsymbolic-Lakota	lako1247		belly	1251	BELLY		t̪hez̪i	t̪ʰ e z̪ i
27962	44113	johanssonsoundsymbolic-Lakota	lako1247		big	1202	BIG		t̪xãka	t̪ x ã k a
30347	46498	johanssonsoundsymbolic-Lakota	lako1247		bird	937	BIRD		z̪ĩt̪kala	z̪ ĩ t̪ k a l a
32696	48847	johanssonsoundsymbolic-Lakota	lako1247		bite	1403	BITE		jaxt̪akã	j a x t̪ a k ã
35310	51461	johanssonsoundsymbolic-Lakota	lako1247		black	163	BLACK		s̪apã	s̪ a p ã
38722	54873	johanssonsoundsymbolic-Lakota	lako1247		blood	946	BLOOD		we	w e
46952	63103	johanssonsoundsymbolic-Lakota	lako1247		bone	1394	BONE		hohu	h o h u
57037	73190	johanssonsoundsymbolic-Lakota	lako1247		breast	1402	BREAST		mama	m a m a
64506	80659	johanssonsoundsymbolic-Lakota	lako1247		burn	2102	BURN		ile	i l e
91643	107796	johanssonsoundsymbolic-Lakota	lako1247		cloud	1489	CLOUD		maxpija	m a x p i j a
95226	111379	johanssonsoundsymbolic-Lakota	lako1247		cold	1287	COLD		s̪ni	s̪ n i
98890	115043	johanssonsoundsymbolic-Lakota	lako1247		come	1446	COME		hi	h i
127111	143266	johanssonsoundsymbolic-Lakota	lako1247		die	1494	DIE		t̪ʼã	t̪ʼ ã
135663	151818	johanssonsoundsymbolic-Lakota	lako1247		dog	2009	DOG		ʃũka	ʃ ũ k a
142129	158284	johanssonsoundsymbolic-Lakota	lako1247		drink	1401	DRINK		jat̪kãŋ	j a t̪ k ã ŋ
145767	161922	johanssonsoundsymbolic-Lakota	lako1247		dry	1398	DRY		puz̪ã	p u z̪ ã
151206	167361	johanssonsoundsymbolic-Lakota	lako1247		ear	1247	EAR		nũɣe	n ũ ɣ e
154126	170281	johanssonsoundsymbolic-Lakota	lako1247		earthsoil	1228	EARTH (SOIL)		makxa	m a k x a
156729	172884	johanssonsoundsymbolic-Lakota	lako1247		eat	1336	EAT		jut̪ã	j u t̪ ã
159039	175197	johanssonsoundsymbolic-Lakota	lako1247		egg	744	EGG		wit̪ka	w i t̪ k a
169610	185768	johanssonsoundsymbolic-Lakota	lako1247		eye	1248	EYE		iʃt̪a	i ʃ t̪ a
182093	198253	johanssonsoundsymbolic-Lakota	lako1247		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		wigli	w i g l i
184933	201093	johanssonsoundsymbolic-Lakota	lako1247		feather	1201	FEATHER		wijakã	w i j a k ã
192888	225541	johanssonsoundsymbolic-Lakota	lako1247		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		t̪hixmũɣa	t̪ʰ i x m ũ ɣ a
196206	228859	johanssonsoundsymbolic-Lakota	lako1247		foot	1301	FOOT		s̪i	s̪ i
209303	241956	johanssonsoundsymbolic-Lakota	lako1247		full	1429	FULL		oʒula	o ʒ u l a
214638	247291	johanssonsoundsymbolic-Lakota	lako1247		give	1447	GIVE		kʼu	kʼ u
220766	253422	johanssonsoundsymbolic-Lakota	lako1247		good	1035	GOOD		waʃt̪e	w a ʃ t̪ e
228558	261214	johanssonsoundsymbolic-Lakota	lako1247		green	1425	GREEN		t̪xoz̪i	t̪ x o z̪ i
234569	267225	johanssonsoundsymbolic-Lakota	lako1247		hair	1040	HAIR		pxehĩ	p x e h ĩ
238409	271065	johanssonsoundsymbolic-Lakota	lako1247		hand	1277	HAND		nape	n a p e
243964	276621	johanssonsoundsymbolic-Lakota	lako1247		head	1256	HEAD		nat̪a	n a t̪ a
246905	279562	johanssonsoundsymbolic-Lakota	lako1247		hear	1408	HEAR		naxʼũ	n a xʼ ũ
248491	281148	johanssonsoundsymbolic-Lakota	lako1247		heart	1223	HEART		tʃhãt̪e	tʃʰ ã t̪ e
263370	296030	johanssonsoundsymbolic-Lakota	lako1247		hornanatomy	1393	HORN (ANATOMY)		he	h e
274715	307375	johanssonsoundsymbolic-Lakota	lako1247		i	1209	I		mije	m i j e
