	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
4008	20159	johanssonsoundsymbolic-Warapu	wara1302		back	1291	BACK		oreva	o r e v a
5129	21280	johanssonsoundsymbolic-Warapu	wara1302		bad	1292	BAD		taipe	t a i p e
13101	29252	johanssonsoundsymbolic-Warapu	wara1302		bealive	1422	BE ALIVE		tare	t a r e
23006	39157	johanssonsoundsymbolic-Warapu	wara1302		belly	1251	BELLY		riʔi	r i ʔ i
28053	44204	johanssonsoundsymbolic-Warapu	wara1302		big	1202	BIG		pako	p a k o
30425	46576	johanssonsoundsymbolic-Warapu	wara1302		bird	937	BIRD		ruʔu	r u ʔ u
32784	48935	johanssonsoundsymbolic-Warapu	wara1302		bite	1403	BITE		ii	iː
35399	51550	johanssonsoundsymbolic-Warapu	wara1302		black	163	BLACK		popoʔo	p o p o ʔ o
38812	54963	johanssonsoundsymbolic-Warapu	wara1302		blood	946	BLOOD		no	n o
41016	57167	johanssonsoundsymbolic-Warapu	wara1302		blowofwind	175	BLOW (OF WIND)		putu	p u t u
43184	59335	johanssonsoundsymbolic-Warapu	wara1302		blunt	379	BLUNT		ekoku	e k o k u
47032	63183	johanssonsoundsymbolic-Warapu	wara1302		bone	1394	BONE		reva	r e v a
59027	75180	johanssonsoundsymbolic-Warapu	wara1302		breathe	1407	BREATHE		o_konepara	o + k o n e p a r a
91721	107874	johanssonsoundsymbolic-Warapu	wara1302		cloud	1489	CLOUD		akoron	a k o r o n
98976	115129	johanssonsoundsymbolic-Warapu	wara1302		come	1446	COME		kae	k a e
121915	138070	johanssonsoundsymbolic-Warapu	wara1302		daynotnight	1225	DAY (NOT NIGHT)		roro	r o r o
127200	143355	johanssonsoundsymbolic-Warapu	wara1302		die	1494	DIE		rai	r a i
135748	151903	johanssonsoundsymbolic-Warapu	wara1302		dog	2009	DOG		aimana	a i m a n a
142216	158371	johanssonsoundsymbolic-Warapu	wara1302		drink	1401	DRINK		ton	t o n
145849	162004	johanssonsoundsymbolic-Warapu	wara1302		dry	1398	DRY		rovi	r o v i
148822	164977	johanssonsoundsymbolic-Warapu	wara1302		dust	2	DUST		mo	m o
151293	167448	johanssonsoundsymbolic-Warapu	wara1302		ear	1247	EAR		teve	t e v e
156818	172973	johanssonsoundsymbolic-Warapu	wara1302		eat	1336	EAT		a	a
159116	175274	johanssonsoundsymbolic-Warapu	wara1302		egg	744	EGG		ru	r u
169698	185856	johanssonsoundsymbolic-Warapu	wara1302		eye	1248	EYE		ine	i n e
173702	189861	johanssonsoundsymbolic-Warapu	wara1302		fall	1280	FALL		rei	r e i
175967	192126	johanssonsoundsymbolic-Warapu	wara1302		far	1406	FAR		rarapa	r a r a p a
185012	201172	johanssonsoundsymbolic-Warapu	wara1302		feather	1201	FEATHER		pe	p e
190040	222693	johanssonsoundsymbolic-Warapu	wara1302		flower	239	FLOWER		ti	t i
192958	225611	johanssonsoundsymbolic-Warapu	wara1302		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		pupu	p u p u
196293	228946	johanssonsoundsymbolic-Warapu	wara1302		foot	1301	FOOT		kanro	k a n r o
202624	235277	johanssonsoundsymbolic-Warapu	wara1302		four	1500	FOUR		riempin_ra_riempin	r i e m p i n + r a + r i e m p i n
214725	247378	johanssonsoundsymbolic-Warapu	wara1302		give	1447	GIVE		iʔi	i ʔ i
220855	253511	johanssonsoundsymbolic-Warapu	wara1302		good	1035	GOOD		neman	n e m a n
226285	258941	johanssonsoundsymbolic-Warapu	wara1302		grass	606	GRASS		pirimaka	p i r i m a k a
228632	261288	johanssonsoundsymbolic-Warapu	wara1302		green	1425	GREEN		aipetare	a i p e t a r e
234654	267310	johanssonsoundsymbolic-Warapu	wara1302		hair	1040	HAIR		eba_pete	e b a + p e t e
238498	271154	johanssonsoundsymbolic-Warapu	wara1302		hand	1277	HAND		eno	e n o
244052	276709	johanssonsoundsymbolic-Warapu	wara1302		head	1256	HEAD		tʃa	tʃ a
246983	279640	johanssonsoundsymbolic-Warapu	wara1302		hear	1408	HEAR		rivo	r i v o
248578	281235	johanssonsoundsymbolic-Warapu	wara1302		heart	1223	HEART		kuore	k u o r e
250741	283398	johanssonsoundsymbolic-Warapu	wara1302		heavy	1210	HEAVY		nai	n a i
254565	287224	johanssonsoundsymbolic-Warapu	wara1302		here	136	HERE		be	b e
258830	291490	johanssonsoundsymbolic-Warapu	wara1302		hit	1433	HIT		je	j e
274804	307464	johanssonsoundsymbolic-Warapu	wara1302		i	1209	I		nena	n e n a
278127	310787	johanssonsoundsymbolic-Warapu	wara1302		in	1460	IN		arl	a r l
287643	320303	johanssonsoundsymbolic-Warapu	wara1302		kill	1417	KILL		je	j e
299120	331780	johanssonsoundsymbolic-Warapu	wara1302		laugh	1355	LAUGH		awoto_korara	a w o t o + k o r a r a
302273	334933	johanssonsoundsymbolic-Warapu	wara1302		leaf	628	LEAF		peʔe	p e ʔ e
305375	338035	johanssonsoundsymbolic-Warapu	wara1302		left	244	LEFT		apata	a p a t a
317044	349704	johanssonsoundsymbolic-Warapu	wara1302		liver	1224	LIVER		totoʔom	t o t o ʔ o m
319939	352599	johanssonsoundsymbolic-Warapu	wara1302		long	1203	LONG		rlriva	r l r i v a
323578	356238	johanssonsoundsymbolic-Warapu	wara1302		louse	1392	LOUSE		miʔi	m i ʔ i
332377	365038	johanssonsoundsymbolic-Warapu	wara1302		many	1198	MANY		maumau	m a u m a u
351016	383680	johanssonsoundsymbolic-Warapu	wara1302		mountain	639	MOUNTAIN		to	t o
353534	386198	johanssonsoundsymbolic-Warapu	wara1302		mouth	674	MOUTH		ro	r o
358553	391217	johanssonsoundsymbolic-Warapu	wara1302		name	1405	NAME		awo	a w o
360433	393099	johanssonsoundsymbolic-Warapu	wara1302		narrow	1267	NARROW		tometome	t o m e t o m e
363093	395759	johanssonsoundsymbolic-Warapu	wara1302		near	1942	NEAR		kakuke	k a k u k e
364837	397504	johanssonsoundsymbolic-Warapu	wara1302		neck	1333	NECK		no	n o
368889	401556	johanssonsoundsymbolic-Warapu	wara1302		new	1231	NEW		tare	t a r e
371676	404343	johanssonsoundsymbolic-Warapu	wara1302		night	1233	NIGHT		roro	r o r o
377494	410161	johanssonsoundsymbolic-Warapu	wara1302		nose	1221	NOSE		uvo	u v o
379076	411743	johanssonsoundsymbolic-Warapu	wara1302		not	1240	NOT		beja	b e j a
389794	422461	johanssonsoundsymbolic-Warapu	wara1302		one	1493	ONE		moeke	m o e k e
406294	438961	johanssonsoundsymbolic-Warapu	wara1302		person	683	PERSON		blo	b l o
432576	465244	johanssonsoundsymbolic-Warapu	wara1302		red	156	RED		briri	b r i r i
438319	470987	johanssonsoundsymbolic-Warapu	wara1302		right	1019	RIGHT		awaka	a w a k a
440831	473499	johanssonsoundsymbolic-Warapu	wara1302		river	666	RIVER		raka	r a k a
444511	477180	johanssonsoundsymbolic-Warapu	wara1302		root	670	ROOT		kaʔa	k a ʔ a
446413	479082	johanssonsoundsymbolic-Warapu	wara1302		rope	1218	ROPE		pakuru	p a k u r u
456473	489142	johanssonsoundsymbolic-Warapu	wara1302		sand	671	SAND		ramata	r a m a t a
459442	492111	johanssonsoundsymbolic-Warapu	wara1302		say	1458	SAY		irai	i r a i
463255	495924	johanssonsoundsymbolic-Warapu	wara1302		sea	1474	SEA		nau	n a u
465193	497863	johanssonsoundsymbolic-Warapu	wara1302		see	1409	SEE		jara	j a r a
466738	499408	johanssonsoundsymbolic-Warapu	wara1302		seed	714	SEED		mi	m i
481650	514322	johanssonsoundsymbolic-Warapu	wara1302		short	1645	SHORT		kuken	k u k e n
490634	523306	johanssonsoundsymbolic-Warapu	wara1302		sit	1416	SIT		kei	k e i
499390	532062	johanssonsoundsymbolic-Warapu	wara1302		sleep	1585	SLEEP		vovo	v o v o
502973	535647	johanssonsoundsymbolic-Warapu	wara1302		small	1246	SMALL		mentan	m e n t a n
507288	539964	johanssonsoundsymbolic-Warapu	wara1302		smokeexhaust	778	SMOKE (EXHAUST)		ai_kumo	a i + k u m o
514184	546860	johanssonsoundsymbolic-Warapu	wara1302		some	1241	SOME		owu	o w u
524275	556951	johanssonsoundsymbolic-Warapu	wara1302		spit	1440	SPIT		awoto	a w o t o
530169	562845	johanssonsoundsymbolic-Warapu	wara1302		stand	1442	STAND		roi	r o i
532427	565103	johanssonsoundsymbolic-Warapu	wara1302		star	1430	STAR		kamoʔo	k a m o ʔ o
538975	571652	johanssonsoundsymbolic-Warapu	wara1302		stone	857	STONE		akairi	a k a i r i
541366	574043	johanssonsoundsymbolic-Warapu	wara1302		straight	1404	STRAIGHT		topan	t o p a n
548359	581036	johanssonsoundsymbolic-Warapu	wara1302		sun	1343	SUN		taire	t a i r e
555380	588057	johanssonsoundsymbolic-Warapu	wara1302		swim	1439	SWIM		ura	u r a
557841	590518	johanssonsoundsymbolic-Warapu	wara1302		tail	1220	TAIL		tu	t u
567228	599907	johanssonsoundsymbolic-Warapu	wara1302		that	78	THAT		bere	b e r e
569295	601974	johanssonsoundsymbolic-Warapu	wara1302		there	1937	THERE		bere	b e r e
570782	603461	johanssonsoundsymbolic-Warapu	wara1302		they	817	THEY		jei	j e i
573592	606271	johanssonsoundsymbolic-Warapu	wara1302		thin	2308	THIN		papara	p a p a r a
575018	607697	johanssonsoundsymbolic-Warapu	wara1302		think	2271	THINK		itoro	i t o r o
578315	610995	johanssonsoundsymbolic-Warapu	wara1302		this	1214	THIS		be	b e
580516	613199	johanssonsoundsymbolic-Warapu	wara1302		thou	1215	THOU		mema	m e m a
583290	615975	johanssonsoundsymbolic-Warapu	wara1302		three	492	THREE		riempin_ra_moike	r i e m p i n + r a + m o i k e
589311	621998	johanssonsoundsymbolic-Warapu	wara1302		tie	1917	TIE		tororoari	t o r o r o a r i
596409	629096	johanssonsoundsymbolic-Warapu	wara1302		tongue	1205	TONGUE		piarutu	p i a r u t u
598588	631275	johanssonsoundsymbolic-Warapu	wara1302		tooth	1380	TOOTH		e	e
602988	635675	johanssonsoundsymbolic-Warapu	wara1302		tree	906	TREE		ai	a i
611500	644187	johanssonsoundsymbolic-Warapu	wara1302		two	1498	TWO		rijempin	r i j e m p i n
621370	654058	johanssonsoundsymbolic-Warapu	wara1302		vomit	1278	VOMIT		kuau	k u a u
624991	677652	johanssonsoundsymbolic-Warapu	wara1302		where	1237	WHERE		ro	r o
627347	680008	johanssonsoundsymbolic-Warapu	wara1302		white	1335	WHITE		buso	b u s o
629811	682564	johanssonsoundsymbolic-Warapu	wara1302		who	1235	WHO		nape	n a p e
631557	684311	johanssonsoundsymbolic-Warapu	wara1302		wide	1243	WIDE		periperi	p e r i p e r i
635179	687933	johanssonsoundsymbolic-Warapu	wara1302		wind	960	WIND		puʔu	p u ʔ u
637299	690053	johanssonsoundsymbolic-Warapu	wara1302		wing	1257	WING		pe	p e
640195	692950	johanssonsoundsymbolic-Warapu	wara1302		woman	962	WOMAN		bia	b i a
651810	705650	johanssonsoundsymbolic-Warapu	wara1302		you	1213	YOU		mopu	m o p u
