	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8733	24884	hantganbangime-Songhai_Senni	humb1243		bark	1204	BARK		kóptò	k o p t o
8968	25119	johanssonsoundsymbolic-Zarma	zarm1239		bark	1204	BARK		turi_banda	t u r i + b a n d a
22687	38838	hantganbangime-Songhai_Senni	humb1243		belly	1251	BELLY		fúttó	f u tː o
23022	39173	johanssonsoundsymbolic-Zarma	zarm1239		belly	1251	BELLY		gunde	g u n d e
23319	39470	polyglottaafricana-KoyraChiini	koyr1240		belly	1251	BELLY		gún·gu	g u n g u
27792	43943	hantganbangime-Songhai_Senni	humb1243		big	1202	BIG		bè:rì	b eː r i
28069	44220	johanssonsoundsymbolic-Zarma	zarm1239		big	1202	BIG		beeri	b eː r i
28477	44628	polyglottaafricana-KoyraChiini	koyr1240		big	1202	BIG		ibḗr	i b eː r
30189	46340	hantganbangime-Songhai_Senni	humb1243		bird	937	BIRD		kírò	k i r o
30440	46591	johanssonsoundsymbolic-Zarma	zarm1239		bird	937	BIRD		curoize	c u r o i z e
30804	46955	polyglottaafricana-KoyraChiini	koyr1240		bird	937	BIRD		dṣírọu	ɖʐ i r o˞ u
32547	48698	hantganbangime-Songhai_Senni	humb1243		bite	1403	BITE		tókó-rê	t o k o + r e
32800	48951	johanssonsoundsymbolic-Zarma	zarm1239		bite	1403	BITE		nama	n a m a
35414	51565	johanssonsoundsymbolic-Zarma	zarm1239		black	163	BLACK		bi	b i
35763	51914	polyglottaafricana-KoyraChiini	koyr1240		black	163	BLACK		ibī́bi	i b iː b i
38562	54713	hantganbangime-Songhai_Senni	humb1243		blood	946	BLOOD		kúró	k u r o
38828	54979	johanssonsoundsymbolic-Zarma	zarm1239		blood	946	BLOOD		kuri	k u r i
39179	55330	polyglottaafricana-KoyraChiini	koyr1240		blood	946	BLOOD		kū́ri	k uː r i
46790	62941	hantganbangime-Songhai_Senni	humb1243		bone	1394	BONE		bìrò	b i r o
47048	63199	johanssonsoundsymbolic-Zarma	zarm1239		bone	1394	BONE		biri	b i r i
47399	63550	polyglottaafricana-KoyraChiini	koyr1240		bone	1394	BONE		bī́ri	b iː r i
56885	73038	hantganbangime-Songhai_Senni	humb1243		breast	1402	BREAST		fòfò	f o f o
57133	73286	johanssonsoundsymbolic-Zarma	zarm1239		breast	1402	BREAST		fafe	f a f e
57460	73613	polyglottaafricana-KoyraChiini	koyr1240		breast	1402	BREAST		fáfā	f a f aː
64601	80754	johanssonsoundsymbolic-Zarma	zarm1239		burn	2102	BURN		di	d i
91502	107655	hantganbangime-Songhai_Senni	humb1243		cloud	1489	CLOUD		búró	b u r o
91735	107888	johanssonsoundsymbolic-Zarma	zarm1239		cloud	1489	CLOUD		buru	b u r u
95048	111201	hantganbangime-Songhai_Senni	humb1243		cold	1287	COLD		hàrgò	h a r g o
