	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3890	20041	johanssonsoundsymbolic-Dime	dime1235		back	1291	BACK		gomp	g o m p
5003	21154	johanssonsoundsymbolic-Dime	dime1235		bad	1292	BAD		kʼamub	kʼ a m u b
12984	29135	johanssonsoundsymbolic-Dime	dime1235		bealive	1422	BE ALIVE		dahi	d a h i
15745	31896	johanssonsoundsymbolic-Dime	dime1235		beautiful	1427	BEAUTIFUL		liliŋub	l i l i ŋ u b
16313	32464	johanssonsoundsymbolic-Dime	dime1235		because	1157	BECAUSE		ʔangaʃka	ʔ a n g a ʃ k a
19233	35384	johanssonsoundsymbolic-Dime	dime1235		before	1882	BEFORE		bowdewuto	b o w d e w u t o
20471	36622	johanssonsoundsymbolic-Dime	dime1235		behind	1686	BEHIND		gompo	g o m p o
22877	39028	johanssonsoundsymbolic-Dime	dime1235		belly	1251	BELLY		tʼʃʼolaj	tʃʼ o l a j
26470	42621	johanssonsoundsymbolic-Dime	dime1235		between	689	BETWEEN		gido	g i d o
27918	44069	johanssonsoundsymbolic-Dime	dime1235		big	1202	BIG		gitʃtʃob	g i tʃː o b
30307	46458	johanssonsoundsymbolic-Dime	dime1235		bird	937	BIRD		ʔefti	ʔ e f t i
32656	48807	johanssonsoundsymbolic-Dime	dime1235		bite	1403	BITE		gaʔa	g a ʔ a
33801	49952	johanssonsoundsymbolic-Dime	dime1235		bitter	887	BITTER		ʔankʼumub	ʔ a n kʼ u m u b
35269	51420	johanssonsoundsymbolic-Dime	dime1235		black	163	BLACK		sʼanub	sʼ a n u b
38680	54831	johanssonsoundsymbolic-Dime	dime1235		blood	946	BLOOD		maχs	m a χ s
42073	58224	johanssonsoundsymbolic-Dime	dime1235		blue	837	BLUE		tʼʃʼililub	tʃʼ i l i l u b
43094	59245	johanssonsoundsymbolic-Dime	dime1235		blunt	379	BLUNT		pasinpastu	p a s i n p a s t u
44570	60721	johanssonsoundsymbolic-Dime	dime1235		body	1480	BODY		zeɾ	z e ɾ
46910	63061	johanssonsoundsymbolic-Dime	dime1235		bone	1394	BONE		kʼuus	kʼ uː s
51493	67644	johanssonsoundsymbolic-Dime	dime1235		boy	1366	BOY		nits	n i ts
52895	69046	johanssonsoundsymbolic-Dime	dime1235		brain	1583	BRAIN		mokʼɗu	m o kʼ ɗ u
