	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8942	25093	johanssonsoundsymbolic-Terei	tere1278		bark	1204	BARK		katua	k a t u a
22992	39143	johanssonsoundsymbolic-Terei	tere1278		belly	1251	BELLY		ere	e r e
28037	44188	johanssonsoundsymbolic-Terei	tere1278		big	1202	BIG		oke	o k e
30413	46564	johanssonsoundsymbolic-Terei	tere1278		bird	937	BIRD		perekupa	p e r e k u p a
32769	48920	johanssonsoundsymbolic-Terei	tere1278		bite	1403	BITE		kaku	k a k u
35384	51535	johanssonsoundsymbolic-Terei	tere1278		black	163	BLACK		muu	m uː
38797	54948	johanssonsoundsymbolic-Terei	tere1278		blood	946	BLOOD		inna	i nː a
47016	63167	johanssonsoundsymbolic-Terei	tere1278		bone	1394	BONE		kaana	k aː n a
57103	73256	johanssonsoundsymbolic-Terei	tere1278		breast	1402	BREAST		nutu	n u t u
64572	80725	johanssonsoundsymbolic-Terei	tere1278		burn	2102	BURN		konu	k o n u
95295	111448	johanssonsoundsymbolic-Terei	tere1278		cold	1287	COLD		kamarati	k a m a r a t i
98961	115114	johanssonsoundsymbolic-Terei	tere1278		come	1446	COME		u	u
127184	143339	johanssonsoundsymbolic-Terei	tere1278		die	1494	DIE		pua	p u a
135733	151888	johanssonsoundsymbolic-Terei	tere1278		dog	2009	DOG		maikuna	m a i k u n a
142201	158356	johanssonsoundsymbolic-Terei	tere1278		drink	1401	DRINK		roi	r o i
145835	161990	johanssonsoundsymbolic-Terei	tere1278		dry	1398	DRY		kuara	k u a r a
151277	167432	johanssonsoundsymbolic-Terei	tere1278		ear	1247	EAR		nume	n u m e
154196	170351	johanssonsoundsymbolic-Terei	tere1278		earthsoil	1228	EARTH (SOIL)		moo	m oː
156802	172957	johanssonsoundsymbolic-Terei	tere1278		eat	1336	EAT		tamu	t a m u
159103	175261	johanssonsoundsymbolic-Terei	tere1278		egg	744	EGG		uoro	u o r o
169682	185840	johanssonsoundsymbolic-Terei	tere1278		eye	1248	EYE		noine	n o i n e
182152	198312	johanssonsoundsymbolic-Terei	tere1278		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		titi	t i t i
184999	201159	johanssonsoundsymbolic-Terei	tere1278		feather	1201	FEATHER		paru	p a r u
196278	228931	johanssonsoundsymbolic-Terei	tere1278		foot	1301	FOOT		kaga	k a g a
209362	242015	johanssonsoundsymbolic-Terei	tere1278		full	1429	FULL		magu	m a g u
214710	247363	johanssonsoundsymbolic-Terei	tere1278		give	1447	GIVE		o	o
220839	253495	johanssonsoundsymbolic-Terei	tere1278		good	1035	GOOD		meragu	m e r a g u
228619	261275	johanssonsoundsymbolic-Terei	tere1278		green	1425	GREEN		mumureru	m u m u r e r u
234639	267295	johanssonsoundsymbolic-Terei	tere1278		hair	1040	HAIR		ii	iː
238482	271138	johanssonsoundsymbolic-Terei	tere1278		hand	1277	HAND		aku	a k u
244038	276695	johanssonsoundsymbolic-Terei	tere1278		head	1256	HEAD		pure	p u r e
246970	279627	johanssonsoundsymbolic-Terei	tere1278		hear	1408	HEAR		ruge	r u g e
248562	281219	johanssonsoundsymbolic-Terei	tere1278		heart	1223	HEART		morugumoi	m o r u g u m o i
274788	307448	johanssonsoundsymbolic-Terei	tere1278		i	1209	I		ne	n e
287628	320288	johanssonsoundsymbolic-Terei	tere1278		kill	1417	KILL		pua	p u a
290305	322965	johanssonsoundsymbolic-Terei	tere1278		knee	1371	KNEE		miikui	m iː k u i
302261	334921	johanssonsoundsymbolic-Terei	tere1278		leaf	628	LEAF		oto	o t o
317028	349688	johanssonsoundsymbolic-Terei	tere1278		liver	1224	LIVER		nunno	n u nː o
319923	352583	johanssonsoundsymbolic-Terei	tere1278		long	1203	LONG		iti	i t i
323566	356226	johanssonsoundsymbolic-Terei	tere1278		louse	1392	LOUSE		oti	o t i
330543	363204	johanssonsoundsymbolic-Terei	tere1278		man	1554	MAN		roi	r o i
332363	365024	johanssonsoundsymbolic-Terei	tere1278		many	1198	MANY		muguŋ	m u g u ŋ
344536	377197	johanssonsoundsymbolic-Terei	tere1278		moon	1313	MOON		eekio	eː k i o
351001	383665	johanssonsoundsymbolic-Terei	tere1278		mountain	639	MOUNTAIN		menu	m e n u
353519	386183	johanssonsoundsymbolic-Terei	tere1278		mouth	674	MOUTH		muŋ	m u ŋ
358537	391201	johanssonsoundsymbolic-Terei	tere1278		name	1405	NAME		miŋ	m i ŋ
364821	397488	johanssonsoundsymbolic-Terei	tere1278		neck	1333	NECK		ou	o u
