	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
431	16582	castrosui-Pandong	pand1262		at	1461	AT		ȵaːu⁶	ȵ aːu ¹
432	16583	castrosui-ShuigenCentralSandong	sand1270		at	1461	AT		ȵaːu⁶	ȵ aːu ¹
433	16584	castrosui-TangnianYangAn	anya1244		at	1461	AT		ȵaːu⁶	ȵ aːu ¹
434	16585	castrozhuang-DuAnGaoling	cent2009		at	1461	AT		jɯ⁴³³	j ɯ ⁴³³
435	16586	castrozhuang-LuzhaiLuzhai	liuq1235		at	1461	AT		jɯ⁴⁵	j ɯ ⁴⁵
436	16587	castrozhuang-ShanglinTanghong	east2363		at	1461	AT		jɯ³³	j ɯ ³³
687	16838	wold-Thai	thai1261		at	1461	AT		thîi	tʰ i i
695	16846	castrosui-Pandong	pand1262		atfirst	2915	AT FIRST		kuə⁵	k w ə ¹
696	16847	castrosui-ShuigenCentralSandong	sand1270		atfirst	2915	AT FIRST		kon⁵	k o n ¹
697	16848	castrosui-TangnianYangAn	anya1244		atfirst	2915	AT FIRST		qun⁵	q u n ¹
945	17096	wold-Thai	thai1261		attack	722	ATTACK		tii	t iː
1139	17290	castrozhuang-DuAnGaoling	cent2009		aubergine	1146	AUBERGINE		kɯ²³¹	k ɯ ²³¹
1140	17291	castrozhuang-LuzhaiLuzhai	liuq1235		aubergine	1146	AUBERGINE		lɐk²²+kɯ²³¹	l ɐ k ²² + k ɯ ²³¹
1141	17292	castrozhuang-ShanglinTanghong	east2363		aubergine	1146	AUBERGINE		kɯ²¹	k ɯ ²¹
1615	17766	wold-Thai	thai1261		aunt	1272	AUNT		náa	n aː
1616	17767	wold-Thai	thai1261		aunt	1272	AUNT		?aa	ʔ aː
1617	17768	wold-Thai	thai1261		aunt	1272	AUNT		pâa	p aː
1852	18003	wold-Thai	thai1261		autumn	1276	AUTUMN		nâabaymáayrûaŋ	n aː b a j m aː j r u a ŋ
1853	18004	wold-Thai	thai1261		autumn	1276	AUTUMN		sàat	s aː t
2025	18176	wold-Thai	thai1261		awl	278	AWL		màat	m aː t
2102	18253	castrosui-Pandong	pand1262		axe	677	AXE		kuən¹	k w ə n ¹
2103	18254	castrosui-ShuigenCentralSandong	sand1270		axe	677	AXE		kwaːn¹	k w aː n ¹
2104	18255	castrosui-TangnianYangAn	anya1244		axe	677	AXE		kwaːn¹	k w aː n ¹
2577	18728	wold-Thai	thai1261		axe	677	AXE		khwǎan	kʰ w a a n
2685	18836	wold-Thai	thai1261		axle	1769	AXLE		phlao	pʰ a o
3038	19189	wold-Thai	thai1261		baby	1289	BABY		thaarók	tʰ aː r o k
3039	19190	wold-Thai	thai1261		baby	1289	BABY		ŋaeae	ŋ a e a e
3664	19815	castrozhuang-DuAnGaoling	cent2009		back	1291	BACK		pɜi³¹+lɐŋ⁵³	p ɜi ³¹ + l ɐ ŋ ⁵³
3665	19816	castrozhuang-LuzhaiLuzhai	liuq1235		back	1291	BACK		paːi²²+lɐŋ⁵⁴ʔ	p aːi ²² + l ɐ ŋ ⁵⁴
3666	19817	castrozhuang-ShanglinTanghong	east2363		back	1291	BACK		pai³¹+laŋ⁴⁵³	p ai ³¹ + l a ŋ ⁴⁵³
