	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
431	16582	castrosui-Pandong	pand1262		at	1461	AT		ȵaːu⁶	ȵ aːu ¹
432	16583	castrosui-ShuigenCentralSandong	sand1270		at	1461	AT		ȵaːu⁶	ȵ aːu ¹
433	16584	castrosui-TangnianYangAn	anya1244		at	1461	AT		ȵaːu⁶	ȵ aːu ¹
434	16585	castrozhuang-DuAnGaoling	cent2009		at	1461	AT		jɯ⁴³³	j ɯ ⁴³³
435	16586	castrozhuang-LuzhaiLuzhai	liuq1235		at	1461	AT		jɯ⁴⁵	j ɯ ⁴⁵
436	16587	castrozhuang-ShanglinTanghong	east2363		at	1461	AT		jɯ³³	j ɯ ³³
687	16838	wold-Thai	thai1261		at	1461	AT		thîi	tʰ i i
3664	19815	castrozhuang-DuAnGaoling	cent2009		back	1291	BACK		pɜi³¹+lɐŋ⁵³	p ɜi ³¹ + l ɐ ŋ ⁵³
3665	19816	castrozhuang-LuzhaiLuzhai	liuq1235		back	1291	BACK		paːi²²+lɐŋ⁵⁴ʔ	p aːi ²² + l ɐ ŋ ⁵⁴
3666	19817	castrozhuang-ShanglinTanghong	east2363		back	1291	BACK		pai³¹+laŋ⁴⁵³	p ai ³¹ + l a ŋ ⁴⁵³
4315	20466	wold-Thai	thai1261		back	1291	BACK		lǎŋ	l a ŋ
4768	20919	castrosui-Pandong	pand1262		bad	1292	BAD		je⁶	j e ¹
4769	20920	castrosui-ShuigenCentralSandong	sand1270		bad	1292	BAD		pʰa⁵	pʰ a ¹
4770	20921	castrosui-TangnianYangAn	anya1244		bad	1292	BAD		ȶʰot⁷	ȶʰ o t ¹
4772	20923	castrozhuang-DuAnGaoling	cent2009		bad	1292	BAD		waːi³¹	w aːi ³¹
4773	20924	castrozhuang-LuzhaiLuzhai	liuq1235		bad	1292	BAD		waːi³¹ʔ	w aːi ³¹
4774	20925	castrozhuang-ShanglinTanghong	east2363		bad	1292	BAD		waːi³¹	w aːi ³¹
4775	20926	castrozhuang-ShanglinTanghong	east2363		bad	1292	BAD		+ɣɯəi⁴²ʔ¹³	ɣ w əi ⁴²³
5693	21844	wold-Thai	thai1261		bad	1292	BAD		leew	l eː w
5694	21845	wold-Thai	thai1261		bad	1292	BAD		ráay	r aː j
5695	21846	wold-Thai	thai1261		bad	1292	BAD		chûa	tɕ u a
8653	24804	castrosui-Pandong	pand1262		bark	1204	BARK		pi² mai⁴	p i ¹ + m ai ¹
8654	24805	castrosui-ShuigenCentralSandong	sand1270		bark	1204	BARK		pi² mai⁴	p i ¹ + m ai ¹
8655	24806	castrosui-TangnianYangAn	anya1244		bark	1204	BARK		pi² mai⁴	p i ¹ + m ai ¹
8657	24808	castrozhuang-DuAnGaoling	cent2009		bark	1204	BARK		cɕɐm⁴³³	tɕ ɐ m ⁴³³
8658	24809	castrozhuang-LuzhaiLuzhai	liuq1235		bark	1204	BARK		pjaːk⁴⁵+fɜi²¹⁴	p j aː k ⁴⁵ + f ɜi ²¹⁴
8659	24810	castrozhuang-ShanglinTanghong	east2363		bark	1204	BARK		naŋ⁴⁵³	n a ŋ ⁴⁵³
