	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
8875	25026	johanssonsoundsymbolic-Kayardild	kaya1319		bark	1204	BARK		t̪alunta	t̪ a l u n t a
22911	39062	johanssonsoundsymbolic-Kayardild	kaya1319		belly	1251	BELLY		paʈaka	p a ʈ a k a
27953	44104	johanssonsoundsymbolic-Kayardild	kaya1319		big	1202	BIG		cuŋara	c u ŋ a r a
30339	46490	johanssonsoundsymbolic-Kayardild	kaya1319		bird	937	BIRD		jaɻputa	j a ɻ p u t a
32688	48839	johanssonsoundsymbolic-Kayardild	kaya1319		bite	1403	BITE		paaca	p aː c a
35303	51454	johanssonsoundsymbolic-Kayardild	kaya1319		black	163	BLACK		ŋumu	ŋ u m u
38714	54865	johanssonsoundsymbolic-Kayardild	kaya1319		blood	946	BLOOD		kaɳtu	k a ɳ t u
46944	63095	johanssonsoundsymbolic-Kayardild	kaya1319		bone	1394	BONE		culta	c u l t a
57030	73183	johanssonsoundsymbolic-Kayardild	kaya1319		breast	1402	BREAST		munira	m u n i r a
64497	80650	johanssonsoundsymbolic-Kayardild	kaya1319		burn	2102	BURN		kiwica	k i w i c a
91636	107789	johanssonsoundsymbolic-Kayardild	kaya1319		cloud	1489	CLOUD		t̪untu	t̪ u n t u
95218	111371	johanssonsoundsymbolic-Kayardild	kaya1319		cold	1287	COLD		ŋurinta	ŋ u r i n t a
98881	115034	johanssonsoundsymbolic-Kayardild	kaya1319		come	1446	COME		talica	t a l i c a
127102	143257	johanssonsoundsymbolic-Kayardild	kaya1319		die	1494	DIE		pukawat̪a	p u k a w a t̪ a
135654	151809	johanssonsoundsymbolic-Kayardild	kaya1319		dog	2009	DOG		kuɻt̪urawarajarpa	k u ɻ t̪ u r a w a r a j a r p a
142121	158276	johanssonsoundsymbolic-Kayardild	kaya1319		drink	1401	DRINK		kuʈamaca	k u ʈ a m a c a
145759	161914	johanssonsoundsymbolic-Kayardild	kaya1319		dry	1398	DRY		tint̪ira	t i n t̪ i r a
151197	167352	johanssonsoundsymbolic-Kayardild	kaya1319		ear	1247	EAR		tijaca	t i j a c a
154118	170273	johanssonsoundsymbolic-Kayardild	kaya1319		earthsoil	1228	EARTH (SOIL)		tulka	t u l k a
156720	172875	johanssonsoundsymbolic-Kayardild	kaya1319		eat	1336	EAT		tijaca	t i j a c a
159031	175189	johanssonsoundsymbolic-Kayardild	kaya1319		egg	744	EGG		kuɻu	k u ɻ u
169601	185759	johanssonsoundsymbolic-Kayardild	kaya1319		eye	1248	EYE		mipuʎta	m i p u ʎ t a
182086	198246	johanssonsoundsymbolic-Kayardild	kaya1319		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		ŋuɲmura	ŋ u ɲ m u r a
184926	201086	johanssonsoundsymbolic-Kayardild	kaya1319		feather	1201	FEATHER		kupulta	k u p u l t a
192880	225533	johanssonsoundsymbolic-Kayardild	kaya1319		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		ŋiɻɳkuta	ŋ i ɻ ɳ k u t a
196199	228852	johanssonsoundsymbolic-Kayardild	kaya1319		foot	1301	FOOT		caa	c aː
209298	241951	johanssonsoundsymbolic-Kayardild	kaya1319		full	1429	FULL		pirpirpi	p i r p i r p i
214630	247283	johanssonsoundsymbolic-Kayardild	kaya1319		give	1447	GIVE		wuuca	w uː c a
220757	253413	johanssonsoundsymbolic-Kayardild	kaya1319		good	1035	GOOD		miraa	m i r aː
234561	267217	johanssonsoundsymbolic-Kayardild	kaya1319		hair	1040	HAIR		puʎa_culta	p u ʎ a + c u l t a
238400	271056	johanssonsoundsymbolic-Kayardild	kaya1319		hand	1277	HAND		maʎta	m a ʎ t a
243955	276612	johanssonsoundsymbolic-Kayardild	kaya1319		head	1256	HEAD		nalta	n a l t a
248483	281140	johanssonsoundsymbolic-Kayardild	kaya1319		heart	1223	HEART		puɻci	p u ɻ c i
263363	296023	johanssonsoundsymbolic-Kayardild	kaya1319		hornanatomy	1393	HORN (ANATOMY)		kaɻt̪ira	k a ɻ t̪ i r a
274707	307367	johanssonsoundsymbolic-Kayardild	kaya1319		i	1209	I		ŋata	ŋ a t a
287551	320211	johanssonsoundsymbolic-Kayardild	kaya1319		kill	1417	KILL		palat̪a	p a l a t̪ a
290229	322889	johanssonsoundsymbolic-Kayardild	kaya1319		knee	1371	KNEE		puŋkalta	p u ŋ k a l t a
302188	334848	johanssonsoundsymbolic-Kayardild	kaya1319		leaf	628	LEAF		palta	p a l t a
316952	349612	johanssonsoundsymbolic-Kayardild	kaya1319		liver	1224	LIVER		karmita	k a r m i t a
319849	352509	johanssonsoundsymbolic-Kayardild	kaya1319		long	1203	LONG		tiŋkara	t i ŋ k a r a
323494	356154	johanssonsoundsymbolic-Kayardild	kaya1319		louse	1392	LOUSE		miita	m iː t a
330462	363123	johanssonsoundsymbolic-Kayardild	kaya1319		man	1554	MAN		pit̪iinta	p i t̪ iː n t a
332285	364946	johanssonsoundsymbolic-Kayardild	kaya1319		many	1198	MANY		mut̪aa	m u t̪ aː
344454	377115	johanssonsoundsymbolic-Kayardild	kaya1319		moon	1313	MOON		waltara	w a l t a r a
353440	386104	johanssonsoundsymbolic-Kayardild	kaya1319		mouth	674	MOUTH		waɻaa	w a ɻ aː
358458	391122	johanssonsoundsymbolic-Kayardild	kaya1319		name	1405	NAME		nita	n i t a
368803	401470	johanssonsoundsymbolic-Kayardild	kaya1319		new	1231	NEW		taɻwuʎta	t a ɻ w u ʎ t a
371579	404246	johanssonsoundsymbolic-Kayardild	kaya1319		night	1233	NIGHT		nat̪aa	n a t̪ aː
377399	410066	johanssonsoundsymbolic-Kayardild	kaya1319		nose	1221	NOSE		kirka	k i r k a
378991	411658	johanssonsoundsymbolic-Kayardild	kaya1319		not	1240	NOT		namu	n a m u
389694	422361	johanssonsoundsymbolic-Kayardild	kaya1319		one	1493	ONE		waɻŋiit	w a ɻ ŋ iː t
406225	438892	johanssonsoundsymbolic-Kayardild	kaya1319		person	683	PERSON		taŋkaa	t a ŋ k aː
432487	465155	johanssonsoundsymbolic-Kayardild	kaya1319		red	156	RED		kantukantu	k a n t u k a n t u
444432	477101	johanssonsoundsymbolic-Kayardild	kaya1319		root	670	ROOT		caɻa_t̪uŋalta	c a ɻ a + t̪ u ŋ a l t a
448830	481499	johanssonsoundsymbolic-Kayardild	kaya1319		round	1395	ROUND		takalta	t a k a l t a
