	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3966	20117	johanssonsoundsymbolic-Purepecha	pure1242		back	1291	BACK		pɛʃu_kwa	p ɛ ʃ u + k w a
5085	21236	johanssonsoundsymbolic-Purepecha	pure1242		bad	1292	BAD		n̪o_s̪ɛs̪i	n̪ o + s̪ ɛ s̪ i
13061	29212	johanssonsoundsymbolic-Purepecha	pure1242		bealive	1422	BE ALIVE		irɛkan̪i	i r ɛ k a n̪ i
15799	31950	johanssonsoundsymbolic-Purepecha	pure1242		beautiful	1427	BEAUTIFUL		s̪ɛs̪i_s̪as̪ɨ	s̪ ɛ s̪ i + s̪ a s̪ ɨ
22963	39114	johanssonsoundsymbolic-Purepecha	pure1242		belly	1251	BELLY		s̪ɨtuɹi	s̪ ɨ t u ɹ i
24598	40749	johanssonsoundsymbolic-Purepecha	pure1242		beloworunder	1485	BELOW OR UNDER		kɛts̪ikwa	k ɛ ts̪ i k w a
28007	44158	johanssonsoundsymbolic-Purepecha	pure1242		big	1202	BIG		khɛri	kʰ ɛ r i
32740	48891	johanssonsoundsymbolic-Purepecha	pure1242		bite	1403	BITE		kats̪aɹin̪i	k a ts̪ a ɹ i n̪ i
33871	50022	johanssonsoundsymbolic-Purepecha	pure1242		bitter	887	BITTER		khamɛri	kʰ a m ɛ r i
35354	51505	johanssonsoundsymbolic-Purepecha	pure1242		black	163	BLACK		tuɹipiti	t u ɹ i p i t i
38767	54918	johanssonsoundsymbolic-Purepecha	pure1242		blood	946	BLOOD		iuɹiri	i u ɹ i r i
40976	57127	johanssonsoundsymbolic-Purepecha	pure1242		blowofwind	175	BLOW (OF WIND)		phun̪itan̪i	pʰ u n̪ i t a n̪ i
46990	63141	johanssonsoundsymbolic-Purepecha	pure1242		bone	1394	BONE		un̪i	u n̪ i
51572	67723	johanssonsoundsymbolic-Purepecha	pure1242		boy	1366	BOY		s̪apitʃu	s̪ a p i tʃ u
58992	75145	johanssonsoundsymbolic-Purepecha	pure1242		breathe	1407	BREATHE		xirɛs̪tan̪i	x i r ɛ s̪ t a n̪ i
73053	89206	johanssonsoundsymbolic-Purepecha	pure1242		carry	700	CARRY		pan̪i	p a n̪ i
87994	104147	johanssonsoundsymbolic-Purepecha	pure1242		clean	704	CLEAN		pimbin̪has̪ɨ	p i m b i n̪̥ a s̪ ɨ
95267	111420	johanssonsoundsymbolic-Purepecha	pure1242		cold	1287	COLD		ts̪hirapiti	ts̪ʰ i r a p i t i
98931	115084	johanssonsoundsymbolic-Purepecha	pure1242		come	1446	COME		xuɹan̪i	x u ɹ a n̪ i
104962	121115	johanssonsoundsymbolic-Purepecha	pure1242		correctright	1725	CORRECT (RIGHT)		xuɹimbiti	x u ɹ i m b i t i
106056	122209	johanssonsoundsymbolic-Purepecha	pure1242		cough	879	COUGH		xun̪i	x u n̪ i
112088	128241	johanssonsoundsymbolic-Purepecha	pure1242		crush	1520	CRUSH		putʃaran̪i	p u tʃ a r a n̪ i
113037	129190	johanssonsoundsymbolic-Purepecha	pure1242		cry	1839	CRY		uɛran̪i	u ɛ r a n̪ i
118748	134901	johanssonsoundsymbolic-Purepecha	pure1242		dark	706	DARK		kapin̪din̪i	k a p i n̪ d i n̪ i
121873	138028	johanssonsoundsymbolic-Purepecha	pure1242		daynotnight	1225	DAY (NOT NIGHT)		xuɹiakwa	x u ɹ i a k w a
124297	140452	johanssonsoundsymbolic-Purepecha	pure1242		deep	1593	DEEP		xauahin̪i	x a u a h i n̪ i
127155	143310	johanssonsoundsymbolic-Purepecha	pure1242		die	1494	DIE		uaɹin̪i	u a ɹ i n̪ i
131790	147945	johanssonsoundsymbolic-Purepecha	pure1242		dirty	1230	DIRTY		xaʃiti	x a ʃ i t i
134265	150420	johanssonsoundsymbolic-Purepecha	pure1242		do	813	DO		un̪i	u n̪ i
135704	151859	johanssonsoundsymbolic-Purepecha	pure1242		dog	2009	DOG		uitʃu	u i tʃ u
142173	158328	johanssonsoundsymbolic-Purepecha	pure1242		drink	1401	DRINK		its̪ɨman̪i	i ts̪ ɨ m a n̪ i
145808	161963	johanssonsoundsymbolic-Purepecha	pure1242		dry	1398	DRY		khaɹiri	kʰ a ɹ i r i
148785	164940	johanssonsoundsymbolic-Purepecha	pure1242		dust	2	DUST		thupuri	tʰ u p u r i
151249	167404	johanssonsoundsymbolic-Purepecha	pure1242		ear	1247	EAR		kwts̪ɨkwa	k w ts̪ ɨ k w a
156772	172927	johanssonsoundsymbolic-Purepecha	pure1242		eat	1336	EAT		aɹan̪i	a ɹ a n̪ i
160820	176978	johanssonsoundsymbolic-Purepecha	pure1242		eight	1705	EIGHT		iumu_tanimu	i u m u + t a n i m u
163763	179921	johanssonsoundsymbolic-Purepecha	pure1242		eleven	1706	ELEVEN		tembini_ma	t e m b i n i + m a
164951	181109	johanssonsoundsymbolic-Purepecha	pure1242		empty	1624	EMPTY		n̪ombɛ_xatari	n̪ o m b ɛ + x a t a r i
169652	185810	johanssonsoundsymbolic-Purepecha	pure1242		eye	1248	EYE		ɛs̪kwa	ɛ s̪ k w a
173657	189816	johanssonsoundsymbolic-Purepecha	pure1242		fall	1280	FALL		pits̪ixkwn̪i	p i ts̪ i x k w n̪ i
175926	192085	johanssonsoundsymbolic-Purepecha	pure1242		far	1406	FAR		iauan̪i	i a u a n̪ i
182127	198287	johanssonsoundsymbolic-Purepecha	pure1242		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		phukwkwa	pʰ u kʷː a
184973	201133	johanssonsoundsymbolic-Purepecha	pure1242		feather	1201	FEATHER		phuŋuari	pʰ u ŋ u a r i
190006	222659	johanssonsoundsymbolic-Purepecha	pure1242		flower	239	FLOWER		ts̪ɨts̪ɨki	ts̪ ɨ ts̪ ɨ k i
191322	223975	johanssonsoundsymbolic-Purepecha	pure1242		flyinsect	1504	FLY (INSECT)		karan̪i	k a r a n̪ i
192924	225577	johanssonsoundsymbolic-Purepecha	pure1242		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		tin̪di	t i n̪ d i
196250	228903	johanssonsoundsymbolic-Purepecha	pure1242		foot	1301	FOOT		xan̪ts̪iri	x a n̪ ts̪ i r i
202581	235234	johanssonsoundsymbolic-Purepecha	pure1242		four	1500	FOUR		thamu	tʰ a m u
209339	241992	johanssonsoundsymbolic-Purepecha	pure1242		full	1429	FULL		uin̪iri	u i n̪ i r i
214680	247333	johanssonsoundsymbolic-Purepecha	pure1242		give	1447	GIVE		in̪ts̪kwn̪i	i n̪ ts̪ k w n̪ i
217039	249692	johanssonsoundsymbolic-Purepecha	pure1242		go	695	GO		n̪iran̪i	n̪ i r a n̪ i
220811	253467	johanssonsoundsymbolic-Purepecha	pure1242		good	1035	GOOD		ambakiti	a m b a k i t i
231515	264171	johanssonsoundsymbolic-Purepecha	pure1242		grow	479	GROW		khɛn̪i	kʰ ɛ n̪ i
234610	267266	johanssonsoundsymbolic-Purepecha	pure1242		hair	1040	HAIR		xauiri	x a u i r i
236424	269080	johanssonsoundsymbolic-Purepecha	pure1242		half	816	HALF		tɛroxkan̪i	t ɛ r o x k a n̪ i
238454	271110	johanssonsoundsymbolic-Purepecha	pure1242		hand	1277	HAND		xaxki	x a x k i
240730	273386	johanssonsoundsymbolic-Purepecha	pure1242		hard	1884	HARD		tʃopɛri	tʃ o p ɛ r i
244008	276665	johanssonsoundsymbolic-Purepecha	pure1242		head	1256	HEAD		ɛxpu	ɛ x p u
246944	279601	johanssonsoundsymbolic-Purepecha	pure1242		hear	1408	HEAR		kwɹan̪din̪i	k w ɹ a n̪ d i n̪ i
248534	281191	johanssonsoundsymbolic-Purepecha	pure1242		heart	1223	HEART		min̪ts̪ita	m i n̪ ts̪ i t a
253912	286570	johanssonsoundsymbolic-Purepecha	pure1242		heorsheorit	262	HE OR SHE OR IT		ima	i m a
254527	287186	johanssonsoundsymbolic-Purepecha	pure1242		here	136	HERE		aʃu	a ʃ u
255787	288446	johanssonsoundsymbolic-Purepecha	pure1242		hide	2486	HIDE		xis̪kan̪i	x i s̪ k a n̪ i
256680	289339	johanssonsoundsymbolic-Purepecha	pure1242		high	1265	HIGH		iotati	i o t a t i
258786	291446	johanssonsoundsymbolic-Purepecha	pure1242		hit	1433	HIT		atan̪i	a t a n̪ i
263397	296057	johanssonsoundsymbolic-Purepecha	pure1242		hornanatomy	1393	HORN (ANATOMY)		s̪ɨuaŋua	s̪ ɨ u a ŋ u a
265252	297912	johanssonsoundsymbolic-Purepecha	pure1242		hot	1286	HOT		xoɹɛpiti	x o ɹ ɛ p i t i
267342	300002	johanssonsoundsymbolic-Purepecha	pure1242		house	1252	HOUSE		taa	t aː
268909	301569	johanssonsoundsymbolic-Purepecha	pure1242		how	1239	HOW		n̪an̪in̪a	n̪ a n̪ i n̪ a
274758	307418	johanssonsoundsymbolic-Purepecha	pure1242		i	1209	I		xi	x i
278721	311381	johanssonsoundsymbolic-Purepecha	pure1242		infrontof	1883	IN FRONT OF		ts̪ɛɹukwa	ts̪ ɛ ɹ u k w a
287600	320260	johanssonsoundsymbolic-Purepecha	pure1242		kill	1417	KILL		uan̪dikwn̪i	u a n̪ d i k w n̪ i
290278	322938	johanssonsoundsymbolic-Purepecha	pure1242		knee	1371	KNEE		xuɹin̪ts̪kwa	x u ɹ i n̪ ts̪ k w a
293361	326021	johanssonsoundsymbolic-Purepecha	pure1242		know	3626	KNOW		mitin̪i	m i t i n̪ i
299081	331741	johanssonsoundsymbolic-Purepecha	pure1242		laugh	1355	LAUGH		tɛrɛkwaɹin̪i	t ɛ r ɛ k w a ɹ i n̪ i
305337	337997	johanssonsoundsymbolic-Purepecha	pure1242		left	244	LEFT		uikiʃkan̪dan̪i	u i k i ʃ k a n̪ d a n̪ i
309555	342215	johanssonsoundsymbolic-Purepecha	pure1242		liedown	215	LIE DOWN		xats̪iran̪i	x a ts̪ i r a n̪ i
317003	349663	johanssonsoundsymbolic-Purepecha	pure1242		liver	1224	LIVER		tauas̪ɨ	t a u a s̪ ɨ
319897	352557	johanssonsoundsymbolic-Purepecha	pure1242		long	1203	LONG		ios̪ti	i o s̪ t i
323539	356199	johanssonsoundsymbolic-Purepecha	pure1242		louse	1392	LOUSE		ambus̪ɨ	a m b u s̪ ɨ
326392	359053	johanssonsoundsymbolic-Purepecha	pure1242		lung	688	LUNG		ʃaramita	ʃ a r a m i t a
330513	363174	johanssonsoundsymbolic-Purepecha	pure1242		man	1554	MAN		atʃaati	a tʃ aː t i
332335	364996	johanssonsoundsymbolic-Purepecha	pure1242		many	1198	MANY		kan̪ikwa	k a n̪ i k w a
339939	372600	johanssonsoundsymbolic-Purepecha	pure1242		milk	635	MILK		its̪ukwa	i ts̪ u k w a
344506	377167	johanssonsoundsymbolic-Purepecha	pure1242		moon	1313	MOON		n̪an̪a_kwkwl̪a	n̪ a n̪ a + kʷː l̪ a
350975	383639	johanssonsoundsymbolic-Purepecha	pure1242		mountain	639	MOUNTAIN		xuata	x u a t a
353490	386154	johanssonsoundsymbolic-Purepecha	pure1242		mouth	674	MOUTH		pɛn̪tʃumikwa	p ɛ n̪ tʃ u m i k w a
361506	394172	johanssonsoundsymbolic-Purepecha	pure1242		navel	1838	NAVEL		tupu	t u p u
363053	395719	johanssonsoundsymbolic-Purepecha	pure1242		near	1942	NEAR		uats̪otakwa	u a ts̪ o t a k w a
364793	397460	johanssonsoundsymbolic-Purepecha	pure1242		neck	1333	NECK		an̪han̪tʃakwa	a n̪̥ a n̪ tʃ a k w a
368850	401517	johanssonsoundsymbolic-Purepecha	pure1242		new	1231	NEW		ximban̪hi	x i m b a n̪̥ i
371631	404298	johanssonsoundsymbolic-Purepecha	pure1242		night	1233	NIGHT		tʃurikwa	tʃ u r i k w a
373305	405972	johanssonsoundsymbolic-Purepecha	pure1242		nine	1483	NINE		iumu_thamu	i u m u + tʰ a m u
377450	410117	johanssonsoundsymbolic-Purepecha	pure1242		nose	1221	NOSE		uɹi	u ɹ i
379786	412453	johanssonsoundsymbolic-Purepecha	pure1242		nothing	687	NOTHING		n̪o_ambɛ	n̪ o + a m b ɛ
380353	413020	johanssonsoundsymbolic-Purepecha	pure1242		now	1376	NOW		ias̪ɨ	i a s̪ ɨ
384229	416896	johanssonsoundsymbolic-Purepecha	pure1242		oldaged	2112	OLD (AGED)		thaɹɛpiti	tʰ a ɹ ɛ p i t i
385315	417982	johanssonsoundsymbolic-Purepecha	pure1242		olderbrotherofman	2414	OLDER BROTHER (OF MAN)		pipi_xɛmba	p i p i + x ɛ m b a
385509	418176	johanssonsoundsymbolic-Purepecha	pure1242		olderbrotherofwoman	2415	OLDER BROTHER (OF WOMAN)		pipi_xɛmba	p i p i + x ɛ m b a
386290	418957	johanssonsoundsymbolic-Purepecha	pure1242		oldersisterofman	2418	OLDER SISTER (OF MAN)		pirɛn̪tʃi	p i r ɛ n̪ tʃ i
386478	419145	johanssonsoundsymbolic-Purepecha	pure1242		oldersisterofwoman	2419	OLDER SISTER (OF WOMAN)		xiŋon̪ikwa	x i ŋ o n̪ i k w a
