	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
22963	39114	johanssonsoundsymbolic-Purepecha	pure1242		belly	1251	BELLY		s̪ɨtuɹi	s̪ ɨ t u ɹ i
28007	44158	johanssonsoundsymbolic-Purepecha	pure1242		big	1202	BIG		khɛri	kʰ ɛ r i
32740	48891	johanssonsoundsymbolic-Purepecha	pure1242		bite	1403	BITE		kats̪aɹin̪i	k a ts̪ a ɹ i n̪ i
35354	51505	johanssonsoundsymbolic-Purepecha	pure1242		black	163	BLACK		tuɹipiti	t u ɹ i p i t i
38767	54918	johanssonsoundsymbolic-Purepecha	pure1242		blood	946	BLOOD		iuɹiri	i u ɹ i r i
46990	63141	johanssonsoundsymbolic-Purepecha	pure1242		bone	1394	BONE		un̪i	u n̪ i
95267	111420	johanssonsoundsymbolic-Purepecha	pure1242		cold	1287	COLD		ts̪hirapiti	ts̪ʰ i r a p i t i
98931	115084	johanssonsoundsymbolic-Purepecha	pure1242		come	1446	COME		xuɹan̪i	x u ɹ a n̪ i
127155	143310	johanssonsoundsymbolic-Purepecha	pure1242		die	1494	DIE		uaɹin̪i	u a ɹ i n̪ i
135704	151859	johanssonsoundsymbolic-Purepecha	pure1242		dog	2009	DOG		uitʃu	u i tʃ u
142173	158328	johanssonsoundsymbolic-Purepecha	pure1242		drink	1401	DRINK		its̪ɨman̪i	i ts̪ ɨ m a n̪ i
145808	161963	johanssonsoundsymbolic-Purepecha	pure1242		dry	1398	DRY		khaɹiri	kʰ a ɹ i r i
151249	167404	johanssonsoundsymbolic-Purepecha	pure1242		ear	1247	EAR		kwts̪ɨkwa	k w ts̪ ɨ k w a
156772	172927	johanssonsoundsymbolic-Purepecha	pure1242		eat	1336	EAT		aɹan̪i	a ɹ a n̪ i
169652	185810	johanssonsoundsymbolic-Purepecha	pure1242		eye	1248	EYE		ɛs̪kwa	ɛ s̪ k w a
182127	198287	johanssonsoundsymbolic-Purepecha	pure1242		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		phukwkwa	pʰ u kʷː a
184973	201133	johanssonsoundsymbolic-Purepecha	pure1242		feather	1201	FEATHER		phuŋuari	pʰ u ŋ u a r i
192924	225577	johanssonsoundsymbolic-Purepecha	pure1242		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		tin̪di	t i n̪ d i
196250	228903	johanssonsoundsymbolic-Purepecha	pure1242		foot	1301	FOOT		xan̪ts̪iri	x a n̪ ts̪ i r i
209339	241992	johanssonsoundsymbolic-Purepecha	pure1242		full	1429	FULL		uin̪iri	u i n̪ i r i
