	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
2986	19137	transnewguineaorg-taulil	taul1251		baby	1289	BABY		'kʌndʌn_'buŋaⁿ	k ʌ n d ʌ n + b u ŋ ã
8217	24368	transnewguineaorg-taulil	taul1251		banana	868	BANANA		kɔmɔʔ	k ɔ m ɔ ʔ
9399	25550	transnewguineaorg-taulil	taul1251		bark	1204	BARK		pʌl_nʌwaⁱ	p ʌ l + n ʌ w ai
10234	26385	transnewguineaorg-taulil	taul1251		basket	1539	BASKET		řət̯	r̝ ə t
14183	30334	transnewguineaorg-taulil	taul1251		bean	832	BEAN		bin	b i n
23760	39911	transnewguineaorg-taulil	taul1251		belly	1251	BELLY		řʌk'bʌlɩn	r̝ ʌ k b ʌ l ɪ n
28967	45118	transnewguineaorg-taulil	taul1251		big	1202	BIG		sʌksʌkʌlʌ	s ʌ k s ʌ k ʌ l ʌ
28968	45119	transnewguineaorg-taulil	taul1251		big	1202	BIG		tʌmaⁱnʌ	t ʌ m ai n ʌ
31318	47469	transnewguineaorg-taulil	taul1251		bird	937	BIRD		sɩgʌʔ	s ɪ g ʌ ʔ
33422	49573	transnewguineaorg-taulil	taul1251		bite	1403	BITE		ikat	i k a t
33423	49574	transnewguineaorg-taulil	taul1251		bite	1403	BITE		iŋʌnɩʔ	i ŋ ʌ n ɪ ʔ
39678	55829	transnewguineaorg-taulil	taul1251		blood	946	BLOOD		dɛh	d ɛ h
47925	64076	transnewguineaorg-taulil	taul1251		bone	1394	BONE		'suhnʌ_'kunʌ	s u h n ʌ + k u n ʌ
52218	68369	transnewguineaorg-taulil	taul1251		boy	1366	BOY		fuʔ	f u ʔ
57975	74128	transnewguineaorg-taulil	taul1251		breast	1402	BREAST		susun	s u s u n
61572	77725	transnewguineaorg-taulil	taul1251		brother	1262	BROTHER		'tɛsnʌlɩk	t ɛ s n ʌ l ɪ k
84920	101073	transnewguineaorg-taulil	taul1251		chin	1510	CHIN		kʰɛᵐbɛsɛn	kʰ ɛ ⁿb ɛ s ɛ n
87267	103420	transnewguineaorg-taulil	taul1251		claw	72	CLAW		ul_fʌn	u l + f ʌ n
92401	108554	transnewguineaorg-taulil	taul1251		cloud	1489	CLOUD		'pʰɔkbařʌ	pʰ ɔ k b a r̝ ʌ
92402	108555	transnewguineaorg-taulil	taul1251		cloud	1489	CLOUD		pɔknʌbařʌ	p ɔ k n ʌ b a r̝ ʌ
99856	116009	transnewguineaorg-taulil	taul1251		come	1446	COME		ifʌn_gui_fuᵗ	i f ʌ n + g u i + f u t
99857	116010	transnewguineaorg-taulil	taul1251		come	1446	COME		'faⁱ	f ai
136652	152807	transnewguineaorg-taulil	taul1251		dog	2009	DOG		luf	l u f
152180	168335	transnewguineaorg-taulil	taul1251		ear	1247	EAR		ul-tʌŋʌn	u l + t ʌ ŋ ʌ n
154678	170833	transnewguineaorg-taulil	taul1251		earthsoil	1228	EARTH (SOIL)		hɛm	h ɛ m
157554	173711	transnewguineaorg-taulil	taul1251		eat	1336	EAT		nʌm	n ʌ m
157555	173712	transnewguineaorg-taulil	taul1251		eat	1336	EAT		ŋʌnɩʔ	ŋ ʌ n ɪ ʔ
159976	176134	transnewguineaorg-taulil	taul1251		egg	744	EGG		'kʰɔřɔl	kʰ ɔ r̝ ɔ l
162788	178946	transnewguineaorg-taulil	taul1251		elbow	981	ELBOW		'kʰʌlsuk_na'kun	kʰ ʌ l s u k + n a k u n
170600	186758	transnewguineaorg-taulil	taul1251		eye	1248	EYE		'kɔlmʌřɩn	k ɔ l m ʌ r̝ ɪ n
180534	196693	transnewguineaorg-taulil	taul1251		father	1217	FATHER		'tamʌn	t a m ʌ n
182631	198791	transnewguineaorg-taulil	taul1251		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		kɔn_fʌt_nʌ_bui	k ɔ n + f ʌ t + n ʌ + b u i
185430	201590	transnewguineaorg-taulil	taul1251		feather	1201	FEATHER		ⁿdɔᵘm	ⁿd ɔ w m
190898	223551	transnewguineaorg-taulil	taul1251		flyingfox	235	FLYING FOX		bɛᵏ	b ɛ k
196867	229520	transnewguineaorg-taulil	taul1251		foot	1301	FOOT		fʌn	f ʌ n
198788	231441	transnewguineaorg-taulil	taul1251		forehead	123	FOREHEAD		'pʰusmʌřɩn	pʰ u s m ʌ r̝ ɪ n
206637	239290	transnewguineaorg-taulil	taul1251		frog	503	FROG		řɔkřɔk	r̝ ɔ k r̝ ɔ k
213973	246626	transnewguineaorg-taulil	taul1251		girl	1646	GIRL		bəs	b ə s
215569	248222	transnewguineaorg-taulil	taul1251		give	1447	GIVE		'tʌⁿ'ᵐbɛⁱyaᵘ	t ʌ̃ ⁿb ɛi j au
215570	248223	transnewguineaorg-taulil	taul1251		give	1447	GIVE		taᵐbɛⁱwoʔ	t ã b ɛi w o ʔ
221744	254400	transnewguineaorg-taulil	taul1251		good	1035	GOOD		iřumʌřʌn	i r̝ u m ʌ r̝ ʌ n
229192	261848	transnewguineaorg-taulil	taul1251		green	1425	GREEN		mɔᵘk'mʌga	m ɔ w k m ʌ g a
235739	268395	transnewguineaorg-taulil	taul1251		hairbody	189	HAIR (BODY)		'dɔmɔn	d ɔ m ɔ n
239133	271789	transnewguineaorg-taulil	taul1251		hand	1277	HAND		ul-kun	u l + k u n
244986	277643	transnewguineaorg-taulil	taul1251		head	1256	HEAD		'ulun	u l u n
251305	283962	transnewguineaorg-taulil	taul1251		heavy	1210	HEAVY		iřʌřoᵘn	i r̝ ʌ r̝ o w n
263840	296500	transnewguineaorg-taulil	taul1251		hornanatomy	1393	HORN (ANATOMY)		lɔk	l ɔ k
268103	300763	transnewguineaorg-taulil	taul1251		house	1252	HOUSE		'wumaⁱ	w u m ai
291124	323784	transnewguineaorg-taulil	taul1251		knee	1371	KNEE		'suguřu_'fɔnɔ'fʌŋia	s u g u r̝ u + f ɔ n ɔ f ʌ ŋ i a
291125	323785	transnewguineaorg-taulil	taul1251		knee	1371	KNEE		'bɩŋɩn_fam	b ɪ ŋ ɪ n + f a m
292419	325079	transnewguineaorg-taulil	taul1251		knife	1352	KNIFE		'pʰopʰoᵏ	pʰ o pʰ o k
303100	335760	transnewguineaorg-taulil	taul1251		leaf	628	LEAF		'pʌkʌn_'nʌwaⁱ	p ʌ k ʌ n + n ʌ w ai
303101	335761	transnewguineaorg-taulil	taul1251		leaf	628	LEAF		pʌ'gʌnʌ	p ʌ g ʌ n ʌ
307036	339696	transnewguineaorg-taulil	taul1251		leg	1297	LEG		fʌn	f ʌ n
310076	342736	transnewguineaorg-taulil	taul1251		liedown	215	LIE DOWN		'ŋinɩf	ŋ i n ɪ f
310077	342737	transnewguineaorg-taulil	taul1251		liedown	215	LIE DOWN		iŋɩf	i ŋ ɪ f
317591	350251	transnewguineaorg-taulil	taul1251		liver	1224	LIVER		'pʰʌlkʰʌt̯	pʰ ʌ l kʰ ʌ t
320621	353281	transnewguineaorg-taulil	taul1251		long	1203	LONG		'pʌndʌloinʌ	p ʌ n d ʌ l o i n ʌ
320622	353282	transnewguineaorg-taulil	taul1251		long	1203	LONG		dɔloinʌ	d ɔ l o i n ʌ
324245	356905	transnewguineaorg-taulil	taul1251		louse	1392	LOUSE		huᵗ	h u t
331362	364023	transnewguineaorg-taulil	taul1251		man	1554	MAN		bʌᵏ	b ʌ k
331363	364024	transnewguineaorg-taulil	taul1251		man	1554	MAN		taⁱ	t ai
345401	378062	transnewguineaorg-taulil	taul1251		moon	1313	MOON		'kɛᵐbɛn	k ɛ ⁿb ɛ n
346319	378980	transnewguineaorg-taulil	taul1251		morning	1339	MORNING		'lʌpkʰɛ	l ʌ p kʰ ɛ
350086	382750	transnewguineaorg-taulil	taul1251		mother	1216	MOTHER		'nʌn	n ʌ n
351664	384328	transnewguineaorg-taulil	taul1251		mountain	639	MOUNTAIN		'pʰɔkna'yafəʔ	pʰ ɔ k n a j a f ə ʔ
354404	387068	transnewguineaorg-taulil	taul1251		mouth	674	MOUTH		'buluⁿ	b u l ũ
359225	391891	transnewguineaorg-taulil	taul1251		name	1405	NAME		'wɔᵘsɩn	w ɔ w s ɪ n
365684	398351	transnewguineaorg-taulil	taul1251		neck	1333	NECK		'sɔŋlan	s ɔ ŋ l a n
