	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
9399	25550	transnewguineaorg-taulil	taul1251		bark	1204	BARK		pʌl_nʌwaⁱ	p ʌ l + n ʌ w ai
23760	39911	transnewguineaorg-taulil	taul1251		belly	1251	BELLY		řʌk'bʌlɩn	r̝ ʌ k b ʌ l ɪ n
28967	45118	transnewguineaorg-taulil	taul1251		big	1202	BIG		sʌksʌkʌlʌ	s ʌ k s ʌ k ʌ l ʌ
28968	45119	transnewguineaorg-taulil	taul1251		big	1202	BIG		tʌmaⁱnʌ	t ʌ m ai n ʌ
31318	47469	transnewguineaorg-taulil	taul1251		bird	937	BIRD		sɩgʌʔ	s ɪ g ʌ ʔ
33422	49573	transnewguineaorg-taulil	taul1251		bite	1403	BITE		ikat	i k a t
33423	49574	transnewguineaorg-taulil	taul1251		bite	1403	BITE		iŋʌnɩʔ	i ŋ ʌ n ɪ ʔ
39678	55829	transnewguineaorg-taulil	taul1251		blood	946	BLOOD		dɛh	d ɛ h
47925	64076	transnewguineaorg-taulil	taul1251		bone	1394	BONE		'suhnʌ_'kunʌ	s u h n ʌ + k u n ʌ
57975	74128	transnewguineaorg-taulil	taul1251		breast	1402	BREAST		susun	s u s u n
87267	103420	transnewguineaorg-taulil	taul1251		claw	72	CLAW		ul_fʌn	u l + f ʌ n
92401	108554	transnewguineaorg-taulil	taul1251		cloud	1489	CLOUD		'pʰɔkbařʌ	pʰ ɔ k b a r̝ ʌ
92402	108555	transnewguineaorg-taulil	taul1251		cloud	1489	CLOUD		pɔknʌbařʌ	p ɔ k n ʌ b a r̝ ʌ
99856	116009	transnewguineaorg-taulil	taul1251		come	1446	COME		ifʌn_gui_fuᵗ	i f ʌ n + g u i + f u t
99857	116010	transnewguineaorg-taulil	taul1251		come	1446	COME		'faⁱ	f ai
136652	152807	transnewguineaorg-taulil	taul1251		dog	2009	DOG		luf	l u f
152180	168335	transnewguineaorg-taulil	taul1251		ear	1247	EAR		ul-tʌŋʌn	u l + t ʌ ŋ ʌ n
154678	170833	transnewguineaorg-taulil	taul1251		earthsoil	1228	EARTH (SOIL)		hɛm	h ɛ m
157554	173711	transnewguineaorg-taulil	taul1251		eat	1336	EAT		nʌm	n ʌ m
157555	173712	transnewguineaorg-taulil	taul1251		eat	1336	EAT		ŋʌnɩʔ	ŋ ʌ n ɪ ʔ
159976	176134	transnewguineaorg-taulil	taul1251		egg	744	EGG		'kʰɔřɔl	kʰ ɔ r̝ ɔ l
170600	186758	transnewguineaorg-taulil	taul1251		eye	1248	EYE		'kɔlmʌřɩn	k ɔ l m ʌ r̝ ɪ n
182631	198791	transnewguineaorg-taulil	taul1251		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		kɔn_fʌt_nʌ_bui	k ɔ n + f ʌ t + n ʌ + b u i
185430	201590	transnewguineaorg-taulil	taul1251		feather	1201	FEATHER		ⁿdɔᵘm	ⁿd ɔ w m
196867	229520	transnewguineaorg-taulil	taul1251		foot	1301	FOOT		fʌn	f ʌ n
215569	248222	transnewguineaorg-taulil	taul1251		give	1447	GIVE		'tʌⁿ'ᵐbɛⁱyaᵘ	t ʌ̃ ⁿb ɛi j au
215570	248223	transnewguineaorg-taulil	taul1251		give	1447	GIVE		taᵐbɛⁱwoʔ	t ã b ɛi w o ʔ
221744	254400	transnewguineaorg-taulil	taul1251		good	1035	GOOD		iřumʌřʌn	i r̝ u m ʌ r̝ ʌ n
229192	261848	transnewguineaorg-taulil	taul1251		green	1425	GREEN		mɔᵘk'mʌga	m ɔ w k m ʌ g a
239133	271789	transnewguineaorg-taulil	taul1251		hand	1277	HAND		ul-kun	u l + k u n
244986	277643	transnewguineaorg-taulil	taul1251		head	1256	HEAD		'ulun	u l u n
263840	296500	transnewguineaorg-taulil	taul1251		hornanatomy	1393	HORN (ANATOMY)		lɔk	l ɔ k
291124	323784	transnewguineaorg-taulil	taul1251		knee	1371	KNEE		'suguřu_'fɔnɔ'fʌŋia	s u g u r̝ u + f ɔ n ɔ f ʌ ŋ i a
291125	323785	transnewguineaorg-taulil	taul1251		knee	1371	KNEE		'bɩŋɩn_fam	b ɪ ŋ ɪ n + f a m
303100	335760	transnewguineaorg-taulil	taul1251		leaf	628	LEAF		'pʌkʌn_'nʌwaⁱ	p ʌ k ʌ n + n ʌ w ai
303101	335761	transnewguineaorg-taulil	taul1251		leaf	628	LEAF		pʌ'gʌnʌ	p ʌ g ʌ n ʌ
317591	350251	transnewguineaorg-taulil	taul1251		liver	1224	LIVER		'pʰʌlkʰʌt̯	pʰ ʌ l kʰ ʌ t
320621	353281	transnewguineaorg-taulil	taul1251		long	1203	LONG		'pʌndʌloinʌ	p ʌ n d ʌ l o i n ʌ
320622	353282	transnewguineaorg-taulil	taul1251		long	1203	LONG		dɔloinʌ	d ɔ l o i n ʌ
324245	356905	transnewguineaorg-taulil	taul1251		louse	1392	LOUSE		huᵗ	h u t
331362	364023	transnewguineaorg-taulil	taul1251		man	1554	MAN		bʌᵏ	b ʌ k
331363	364024	transnewguineaorg-taulil	taul1251		man	1554	MAN		taⁱ	t ai
345401	378062	transnewguineaorg-taulil	taul1251		moon	1313	MOON		'kɛᵐbɛn	k ɛ ⁿb ɛ n
351664	384328	transnewguineaorg-taulil	taul1251		mountain	639	MOUNTAIN		'pʰɔkna'yafəʔ	pʰ ɔ k n a j a f ə ʔ
354404	387068	transnewguineaorg-taulil	taul1251		mouth	674	MOUTH		'buluⁿ	b u l ũ
359225	391891	transnewguineaorg-taulil	taul1251		name	1405	NAME		'wɔᵘsɩn	w ɔ w s ɪ n
365684	398351	transnewguineaorg-taulil	taul1251		neck	1333	NECK		'sɔŋlan	s ɔ ŋ l a n
372520	405187	transnewguineaorg-taulil	taul1251		night	1233	NIGHT		'mʌřuh	m ʌ r̝ u h
378392	411059	transnewguineaorg-taulil	taul1251		nose	1221	NOSE		'bulsun	b u l s u n
390658	423325	transnewguineaorg-taulil	taul1251		one	1493	ONE		ikʌᵘ	i k ʌ w
390659	423326	transnewguineaorg-taulil	taul1251		one	1493	ONE		kaᵘkʌʔ	k au k ʌ ʔ
406832	439499	transnewguineaorg-taulil	taul1251		person	683	PERSON		'pam_nʌ'bʌk	p a m + n ʌ b ʌ k
426235	458903	transnewguineaorg-taulil	taul1251		rainingorrain	2108	RAINING OR RAIN		dʌf	d ʌ f
433237	465905	transnewguineaorg-taulil	taul1251		red	156	RED		ŋʌř_ŋʌř	ŋ ʌ r̝ + ŋ ʌ r̝
445289	477958	transnewguineaorg-taulil	taul1251		root	670	ROOT		'hɔkɔ_'nʌwaⁱ	h ɔ k ɔ + n ʌ w ai
457284	489953	transnewguineaorg-taulil	taul1251		sand	671	SAND		'pʰɔřfɛ	pʰ ɔ r̝ f ɛ
466067	498737	transnewguineaorg-taulil	taul1251		see	1409	SEE		ři	r̝ i
466068	498738	transnewguineaorg-taulil	taul1251		see	1409	SEE		tiʔ	t i ʔ
467247	499917	transnewguineaorg-taulil	taul1251		seed	714	SEED		kʰɔ'řɔl_nʌ'tumo	kʰ ɔ r̝ ɔ l + n ʌ t u m o
491282	523954	transnewguineaorg-taulil	taul1251		sit	1416	SIT		kɩs	k ɪ s
491283	523955	transnewguineaorg-taulil	taul1251		sit	1416	SIT		igis	i g i s
495633	528305	transnewguineaorg-taulil	taul1251		skin	763	SKIN		pʰʌlkⁿeⁱn	pʰ ʌ l kⁿ ei n
495634	528306	transnewguineaorg-taulil	taul1251		skin	763	SKIN		pʰʌlɩn	pʰ ʌ l ɪ n
503869	536543	transnewguineaorg-taulil	taul1251		small	1246	SMALL		fʌn'sʌnʌ	f ʌ n s ʌ n ʌ
503870	536544	transnewguineaorg-taulil	taul1251		small	1246	SMALL		fʌnat_nʌʔ	f ʌ n a t + n ʌ ʔ
508131	540807	transnewguineaorg-taulil	taul1251		smokeexhaust	778	SMOKE (EXHAUST)		sʌᵘ	s ʌ w
530813	563489	transnewguineaorg-taulil	taul1251		stand	1442	STAND		sʌřʌntuʔ	s ʌ r̝ ʌ n t u ʔ
530814	563490	transnewguineaorg-taulil	taul1251		stand	1442	STAND		iřu	i r̝ u
533146	565822	transnewguineaorg-taulil	taul1251		star	1430	STAR		naᵘl'muřɩʔ	n au l m u r̝ ɪ ʔ
539859	572536	transnewguineaorg-taulil	taul1251		stone	857	STONE		fʌᵗ	f ʌ t
549260	581937	transnewguineaorg-taulil	taul1251		sun	1343	SUN		wʌsuʔ	w ʌ s u ʔ
558583	591260	transnewguineaorg-taulil	taul1251		tail	1220	TAIL		'tɔᵘmnʌ	t ɔ w m n ʌ
597292	629979	transnewguineaorg-taulil	taul1251		tongue	1205	TONGUE		ul-kɛmɛn	u l + k ɛ m ɛ n
599469	632156	transnewguineaorg-taulil	taul1251		tooth	1380	TOOTH		lɩkɩn	l ɪ k ɪ n
599470	632157	transnewguineaorg-taulil	taul1251		tooth	1380	TOOTH		'lɩgim	l ɪ g i m
603874	636561	transnewguineaorg-taulil	taul1251		tree	906	TREE		waⁱ	w ai
612350	645037	transnewguineaorg-taulil	taul1251		two	1498	TWO		iⁿdʌᵘ	ĩ d ʌ w
612351	645038	transnewguineaorg-taulil	taul1251		two	1498	TWO		'daU	d a u
628198	680859	transnewguineaorg-taulil	taul1251		white	1335	WHITE		'kʰɔfɔ	kʰ ɔ f ɔ
641089	693844	transnewguineaorg-taulil	taul1251		woman	962	WOMAN		lʌᵘ	l ʌ w
