	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
5000	21151	johanssonsoundsymbolic-Dadibi	dadi1250		bad	1292	BAD		dwai	d w a i
15744	31895	johanssonsoundsymbolic-Dadibi	dadi1250		beautiful	1427	BEAUTIFUL		gese_jai_nai	g e s e + j a i + n a i
16310	32461	johanssonsoundsymbolic-Dadibi	dadi1250		because	1157	BECAUSE		nasi	n a s i
22874	39025	johanssonsoundsymbolic-Dadibi	dadi1250		belly	1251	BELLY		bau	b a u
24527	40678	johanssonsoundsymbolic-Dadibi	dadi1250		beloworunder	1485	BELOW OR UNDER		ajenu	a j e n u
25748	41899	johanssonsoundsymbolic-Dadibi	dadi1250		beside	1816	BESIDE		pagede	p a g e d e
27915	44066	johanssonsoundsymbolic-Dadibi	dadi1250		big	1202	BIG		genuai	g e n u a i
30304	46455	johanssonsoundsymbolic-Dadibi	dadi1250		bird	937	BIRD		ba	b a
33799	49950	johanssonsoundsymbolic-Dadibi	dadi1250		bitter	887	BITTER		habo	h a b o
35266	51417	johanssonsoundsymbolic-Dadibi	dadi1250		black	163	BLACK		sisi	s i s i
38677	54828	johanssonsoundsymbolic-Dadibi	dadi1250		blood	946	BLOOD		kanome	k a n o m e
42071	58222	johanssonsoundsymbolic-Dadibi	dadi1250		blue	837	BLUE		husugu	h u s u g u
43092	59243	johanssonsoundsymbolic-Dadibi	dadi1250		blunt	379	BLUNT		puna_pabo	p u n a + p a b o
44567	60718	johanssonsoundsymbolic-Dadibi	dadi1250		body	1480	BODY		tigi	t i g i
46907	63058	johanssonsoundsymbolic-Dadibi	dadi1250		bone	1394	BONE		dili	d i l i
52892	69043	johanssonsoundsymbolic-Dadibi	dadi1250		brain	1583	BRAIN		dudugani	d u d u g a n i
56993	73146	johanssonsoundsymbolic-Dadibi	dadi1250		breast	1402	BREAST		ame	a m e
64467	80620	johanssonsoundsymbolic-Dadibi	dadi1250		burn	2102	BURN		siago_dabo	s i a g o + d a b o
72963	89116	johanssonsoundsymbolic-Dadibi	dadi1250		carry	700	CARRY		tolobo	t o l o b o
91606	107759	johanssonsoundsymbolic-Dadibi	dadi1250		cloud	1489	CLOUD		po	p o
95183	111336	johanssonsoundsymbolic-Dadibi	dadi1250		cold	1287	COLD		susugo_wabo	s u s u g o + w a b o
98846	114999	johanssonsoundsymbolic-Dadibi	dadi1250		come	1446	COME		asobo	a s o b o
105978	122131	johanssonsoundsymbolic-Dadibi	dadi1250		cough	879	COUGH		susugo_wabo	s u s u g o + w a b o
112952	129105	johanssonsoundsymbolic-Dadibi	dadi1250		cry	1839	CRY		geda_wabo	g e d a + w a b o
118669	134822	johanssonsoundsymbolic-Dadibi	dadi1250		dark	706	DARK		husugu	h u s u g u
121791	137946	johanssonsoundsymbolic-Dadibi	dadi1250		daynotnight	1225	DAY (NOT NIGHT)		giligade	g i l i g a d e
127066	143221	johanssonsoundsymbolic-Dadibi	dadi1250		die	1494	DIE		isibo	i s i b o
131720	147875	johanssonsoundsymbolic-Dadibi	dadi1250		dirty	1230	DIRTY		tobai_jai	t o b a i + j a i
135617	151772	johanssonsoundsymbolic-Dadibi	dadi1250		dog	2009	DOG		jowi	j o w i
145728	161883	johanssonsoundsymbolic-Dadibi	dadi1250		dry	1398	DRY		owai	o w a i
148710	164865	johanssonsoundsymbolic-Dadibi	dadi1250		dust	2	DUST		hogomu	h o g o m u
151160	167315	johanssonsoundsymbolic-Dadibi	dadi1250		ear	1247	EAR		olo	o l o
154082	170237	johanssonsoundsymbolic-Dadibi	dadi1250		earthsoil	1228	EARTH (SOIL)		pusugu_bage	p u s u g u + b a g e
156684	172839	johanssonsoundsymbolic-Dadibi	dadi1250		eat	1336	EAT		tubo	t u b o
158996	175154	johanssonsoundsymbolic-Dadibi	dadi1250		egg	744	EGG		ge	g e
160754	176912	johanssonsoundsymbolic-Dadibi	dadi1250		eight	1705	EIGHT		anaga_olama_mebadu_sela	a n a g a + o l a m a + m e b a d u + s e l a
163705	179863	johanssonsoundsymbolic-Dadibi	dadi1250		eleven	1706	ELEVEN		nogo_si_me_sago_dedeli	n o g o + s i + m e + s a g o + d e d e l i
169564	185722	johanssonsoundsymbolic-Dadibi	dadi1250		eye	1248	EYE		gedu	g e d u
