	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
22874	39025	johanssonsoundsymbolic-Dadibi	dadi1250		belly	1251	BELLY		bau	b a u
27915	44066	johanssonsoundsymbolic-Dadibi	dadi1250		big	1202	BIG		genuai	g e n u a i
30304	46455	johanssonsoundsymbolic-Dadibi	dadi1250		bird	937	BIRD		ba	b a
35266	51417	johanssonsoundsymbolic-Dadibi	dadi1250		black	163	BLACK		sisi	s i s i
38677	54828	johanssonsoundsymbolic-Dadibi	dadi1250		blood	946	BLOOD		kanome	k a n o m e
46907	63058	johanssonsoundsymbolic-Dadibi	dadi1250		bone	1394	BONE		dili	d i l i
56993	73146	johanssonsoundsymbolic-Dadibi	dadi1250		breast	1402	BREAST		ame	a m e
64467	80620	johanssonsoundsymbolic-Dadibi	dadi1250		burn	2102	BURN		siago_dabo	s i a g o + d a b o
91606	107759	johanssonsoundsymbolic-Dadibi	dadi1250		cloud	1489	CLOUD		po	p o
95183	111336	johanssonsoundsymbolic-Dadibi	dadi1250		cold	1287	COLD		susugo_wabo	s u s u g o + w a b o
98846	114999	johanssonsoundsymbolic-Dadibi	dadi1250		come	1446	COME		asobo	a s o b o
127066	143221	johanssonsoundsymbolic-Dadibi	dadi1250		die	1494	DIE		isibo	i s i b o
135617	151772	johanssonsoundsymbolic-Dadibi	dadi1250		dog	2009	DOG		jowi	j o w i
145728	161883	johanssonsoundsymbolic-Dadibi	dadi1250		dry	1398	DRY		owai	o w a i
151160	167315	johanssonsoundsymbolic-Dadibi	dadi1250		ear	1247	EAR		olo	o l o
154082	170237	johanssonsoundsymbolic-Dadibi	dadi1250		earthsoil	1228	EARTH (SOIL)		pusugu_bage	p u s u g u + b a g e
156684	172839	johanssonsoundsymbolic-Dadibi	dadi1250		eat	1336	EAT		tubo	t u b o
158996	175154	johanssonsoundsymbolic-Dadibi	dadi1250		egg	744	EGG		ge	g e
169564	185722	johanssonsoundsymbolic-Dadibi	dadi1250		eye	1248	EYE		gedu	g e d u
182054	198214	johanssonsoundsymbolic-Dadibi	dadi1250		fatorganicsubstance	323	FAT (ORGANIC SUBSTANCE)		ili	i l i
192852	225505	johanssonsoundsymbolic-Dadibi	dadi1250		flymovethroughair	1441	FLY (MOVE THROUGH AIR)		boliai	b o l i a i
196164	228817	johanssonsoundsymbolic-Dadibi	dadi1250		foot	1301	FOOT		saga	s a g a
214593	247246	johanssonsoundsymbolic-Dadibi	dadi1250		give	1447	GIVE		mabo	m a b o
220720	253376	johanssonsoundsymbolic-Dadibi	dadi1250		good	1035	GOOD		dwagiai	d w a g i a i
228522	261178	johanssonsoundsymbolic-Dadibi	dadi1250		green	1425	GREEN		jabe_tigi_pwai	j a b e + t i g i + p w a i
234523	267179	johanssonsoundsymbolic-Dadibi	dadi1250		hair	1040	HAIR		nisi	n i s i
238363	271019	johanssonsoundsymbolic-Dadibi	dadi1250		hand	1277	HAND		nogo	n o g o
243919	276576	johanssonsoundsymbolic-Dadibi	dadi1250		head	1256	HEAD		tobolu	t o b o l u
246864	279521	johanssonsoundsymbolic-Dadibi	dadi1250		hear	1408	HEAR		odobo	o d o b o
248449	281106	johanssonsoundsymbolic-Dadibi	dadi1250		heart	1223	HEART		hobolu_du	h o b o l u + d u
274670	307330	johanssonsoundsymbolic-Dadibi	dadi1250		i	1209	I		ena	e n a
287516	320176	johanssonsoundsymbolic-Dadibi	dadi1250		kill	1417	KILL		elebo	e l e b o
290195	322855	johanssonsoundsymbolic-Dadibi	dadi1250		knee	1371	KNEE		kidu	k i d u
302154	334814	johanssonsoundsymbolic-Dadibi	dadi1250		leaf	628	LEAF		jabe	j a b e
316919	349579	johanssonsoundsymbolic-Dadibi	dadi1250		liver	1224	LIVER		homu	h o m u
319816	352476	johanssonsoundsymbolic-Dadibi	dadi1250		long	1203	LONG		bobobage	b o b o b a g e
330427	363088	johanssonsoundsymbolic-Dadibi	dadi1250		man	1554	MAN		bidi	b i d i
332249	364910	johanssonsoundsymbolic-Dadibi	dadi1250		many	1198	MANY		hauwa	h a u w a
344420	377081	johanssonsoundsymbolic-Dadibi	dadi1250		moon	1313	MOON		polua	p o l u a
350895	383559	johanssonsoundsymbolic-Dadibi	dadi1250		mountain	639	MOUNTAIN		buludu	b u l u d u
358422	391086	johanssonsoundsymbolic-Dadibi	dadi1250		name	1405	NAME		nogi	n o g i
364712	397379	johanssonsoundsymbolic-Dadibi	dadi1250		neck	1333	NECK		holo	h o l o
368770	401437	johanssonsoundsymbolic-Dadibi	dadi1250		new	1231	NEW		gesi	g e s i
371542	404209	johanssonsoundsymbolic-Dadibi	dadi1250		night	1233	NIGHT		hulide	h u l i d e
377361	410028	johanssonsoundsymbolic-Dadibi	dadi1250		nose	1221	NOSE		guni	g u n i
378961	411628	johanssonsoundsymbolic-Dadibi	dadi1250		not	1240	NOT		sabo	s a b o
389656	422323	johanssonsoundsymbolic-Dadibi	dadi1250		one	1493	ONE		deli	d e l i
406195	438862	johanssonsoundsymbolic-Dadibi	dadi1250		person	683	PERSON		we_wai_bidi_dabe	w e + w a i + b i d i + d a b e
432452	465120	johanssonsoundsymbolic-Dadibi	dadi1250		red	156	RED		mama	m a m a
444404	477073	johanssonsoundsymbolic-Dadibi	dadi1250		root	670	ROOT		ni_pedali	n i + p e d a l i
448803	481472	johanssonsoundsymbolic-Dadibi	dadi1250		round	1395	ROUND		bobogeleasi	b o b o g e l e a s i
456354	489023	johanssonsoundsymbolic-Dadibi	dadi1250		sand	671	SAND		kemi	k e m i
459318	491987	johanssonsoundsymbolic-Dadibi	dadi1250		say	1458	SAY		pusobo	p u s o b o
465064	497734	johanssonsoundsymbolic-Dadibi	dadi1250		see	1409	SEE		sub	s u b
490508	523180	johanssonsoundsymbolic-Dadibi	dadi1250		sit	1416	SIT		dulalubo	d u l a l u b o
494621	527293	johanssonsoundsymbolic-Dadibi	dadi1250		skin	763	SKIN		tigi_wali	t i g i + w a l i
499259	531931	johanssonsoundsymbolic-Dadibi	dadi1250		sleep	1585	SLEEP		pibo	p i b o
502840	535514	johanssonsoundsymbolic-Dadibi	dadi1250		small	1246	SMALL		dwasianu	d w a s i a n u
530044	562720	johanssonsoundsymbolic-Dadibi	dadi1250		stand	1442	STAND		dolalubo	d o l a l u b o
532301	564977	johanssonsoundsymbolic-Dadibi	dadi1250		star	1430	STAR		ho	h o
538841	571518	johanssonsoundsymbolic-Dadibi	dadi1250		stone	857	STONE		masigi	m a s i g i
548228	580905	johanssonsoundsymbolic-Dadibi	dadi1250		sun	1343	SUN		giliga	g i l i g a
567106	599785	johanssonsoundsymbolic-Dadibi	dadi1250		that	78	THAT		agai_nai	a g a i + n a i
578196	610875	johanssonsoundsymbolic-Dadibi	dadi1250		this	1214	THIS		agai_nai	a g a i + n a i
580384	613067	johanssonsoundsymbolic-Dadibi	dadi1250		thou	1215	THOU		nago	n a g o
596281	628968	johanssonsoundsymbolic-Dadibi	dadi1250		tongue	1205	TONGUE		hamina	h a m i n a
598458	631145	johanssonsoundsymbolic-Dadibi	dadi1250		tooth	1380	TOOTH		kele	k e l e
602862	635549	johanssonsoundsymbolic-Dadibi	dadi1250		tree	906	TREE		ni	n i
611364	644051	johanssonsoundsymbolic-Dadibi	dadi1250		two	1498	TWO		si	s i
627217	679878	johanssonsoundsymbolic-Dadibi	dadi1250		white	1335	WHITE		tedelai	t e d e l a i
629683	682436	johanssonsoundsymbolic-Dadibi	dadi1250		who	1235	WHO		degowe	d e g o w e
640065	692820	johanssonsoundsymbolic-Dadibi	dadi1250		woman	962	WOMAN		we	w e
