	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3907	20058	johanssonsoundsymbolic-HighlandOaxacaChontal	high1242		back	1291	BACK		laʃpulaʔ	l a ʃ p u l a ʔ
5023	21174	johanssonsoundsymbolic-HighlandOaxacaChontal	high1242		bad	1292	BAD		iʃkaj	i ʃ k a j
8862	25013	johanssonsoundsymbolic-HighlandOaxacaChontal	high1242		bark	1204	BARK		liʃmi_qʼuek	l i ʃ m i + qʼ u e k
13004	29155	johanssonsoundsymbolic-HighlandOaxacaChontal	high1242		bealive	1422	BE ALIVE		d̪ibaxmʔma	d̪ i b a x m ʔ m a
15758	31909	johanssonsoundsymbolic-HighlandOaxacaChontal	high1242		beautiful	1427	BEAUTIFUL		atʃulo	a tʃ u l o
19251	35402	johanssonsoundsymbolic-HighlandOaxacaChontal	high1242		before	1882	BEFORE		goɬt̪aʔ	g o ɬ t̪ a ʔ
22898	39049	johanssonsoundsymbolic-HighlandOaxacaChontal	high1242		belly	1251	BELLY		laguʔu	l a g u ʔ u
24544	40695	johanssonsoundsymbolic-HighlandOaxacaChontal	high1242		beloworunder	1485	BELOW OR UNDER		alʔogaj	a l ʔ o g a j
27939	44090	johanssonsoundsymbolic-HighlandOaxacaChontal	high1242		big	1202	BIG		agwegaʔ	a g w e g a ʔ
30325	46476	johanssonsoundsymbolic-HighlandOaxacaChontal	high1242		bird	937	BIRD		ɬaga	ɬ a g a
32674	48825	johanssonsoundsymbolic-HighlandOaxacaChontal	high1242		bite	1403	BITE		d̪igaʔma	d̪ i g a ʔ m a
33817	49968	johanssonsoundsymbolic-HighlandOaxacaChontal	high1242		bitter	887	BITTER		aggua	a gː u a
35290	51441	johanssonsoundsymbolic-HighlandOaxacaChontal	high1242		black	163	BLACK		umi	u m i
