	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3907	20058	johanssonsoundsymbolic-HighlandOaxacaChontal	high1242		back	1291	BACK		laʃpulaʔ	l a ʃ p u l a ʔ
5023	21174	johanssonsoundsymbolic-HighlandOaxacaChontal	high1242		bad	1292	BAD		iʃkaj	i ʃ k a j
8862	25013	johanssonsoundsymbolic-HighlandOaxacaChontal	high1242		bark	1204	BARK		liʃmi_qʼuek	l i ʃ m i + qʼ u e k
13004	29155	johanssonsoundsymbolic-HighlandOaxacaChontal	high1242		bealive	1422	BE ALIVE		d̪ibaxmʔma	d̪ i b a x m ʔ m a
22898	39049	johanssonsoundsymbolic-HighlandOaxacaChontal	high1242		belly	1251	BELLY		laguʔu	l a g u ʔ u
27939	44090	johanssonsoundsymbolic-HighlandOaxacaChontal	high1242		big	1202	BIG		agwegaʔ	a g w e g a ʔ
30325	46476	johanssonsoundsymbolic-HighlandOaxacaChontal	high1242		bird	937	BIRD		ɬaga	ɬ a g a
32674	48825	johanssonsoundsymbolic-HighlandOaxacaChontal	high1242		bite	1403	BITE		d̪igaʔma	d̪ i g a ʔ m a
35290	51441	johanssonsoundsymbolic-HighlandOaxacaChontal	high1242		black	163	BLACK		umi	u m i
38700	54851	johanssonsoundsymbolic-HighlandOaxacaChontal	high1242		blood	946	BLOOD		laxuatʼsʼ	l a x u a tsʼ
40919	57070	johanssonsoundsymbolic-HighlandOaxacaChontal	high1242		blowofwind	175	BLOW (OF WIND)		d̪ifusʔma	d̪ i f u s ʔ m a
46930	63081	johanssonsoundsymbolic-HighlandOaxacaChontal	high1242		bone	1394	BONE		legaɬ	l e g a ɬ
58940	75093	johanssonsoundsymbolic-HighlandOaxacaChontal	high1242		breathe	1407	BREATHE		d̪un̪ʃaʔma	d̪ u n̪ ʃ a ʔ m a
