	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
2515	18666	robinsonap-abui	abui1241		axe	677	AXE		faling	f a l i ŋ
2516	18667	robinsonap-adang	adan1251		axe	677	AXE		baliŋboʔoboi	b a l i ŋ b o ʔ o b o i
2517	18668	robinsonap-blagar	blag1240		axe	677	AXE		taa	t a a
2518	18669	robinsonap-kaera	kaer1234		axe	677	AXE		taaxi	t a a ħ i
2519	18670	robinsonap-kamang	kama1365		axe	677	AXE		paling	p a l i ŋ
2520	18671	robinsonap-klon	kelo1247		axe	677	AXE		bɛi	b ɛ i
2521	18672	robinsonap-nedebang	nede1245		axe	677	AXE		bamma	b a m m a
2522	18673	robinsonap-sawila	sawi1256		axe	677	AXE		poŋala	p o ŋ a l a
2523	18674	robinsonap-teiwa	teiw1235		axe	677	AXE		bafal	b a f a l
2524	18675	robinsonap-wersing	wers1238		axe	677	AXE		polong	p o l o ŋ
2525	18676	robinsonap-westernpantar	lamm1241		axe	677	AXE		baling	b a l i ŋ
4214	20365	robinsonap-abui	abui1241		back	1291	BACK		teui	t e u i
4215	20366	robinsonap-adang	adan1251		back	1291	BACK		ʔhaŋ mai	ʔ h a ŋ + m a i
4216	20367	robinsonap-blagar	blag1240		back	1291	BACK		təmota era	t ə m o t a + e r a
4217	20368	robinsonap-kaera	kaer1234		back	1291	BACK		tewaring	t e w a r i ŋ
4218	20369	robinsonap-kamang	kama1365		back	1291	BACK		imota	i m o t a
4219	20370	robinsonap-klon	kelo1247		back	1291	BACK		gɛhɑk	g ɛ h ɑ k
4220	20371	robinsonap-nedebang	nede1245		back	1291	BACK		nagua	n a g u a
4221	20372	robinsonap-sawila	sawi1256		back	1291	BACK		gatiiŋ	g a t i i ŋ
4222	20373	robinsonap-sawila	sawi1256		back	1291	BACK		gamuwi	g a m u w i
4223	20374	robinsonap-teiwa	teiw1235		back	1291	BACK		siif	s i i f
4224	20375	robinsonap-wersing	wers1238		back	1291	BACK		sap kor	s a p + k o r
4225	20376	robinsonap-westernpantar	lamm1241		back	1291	BACK		naing wiri	n a i ŋ + w i r i
5554	21705	robinsonap-abui	abui1241		bad	1292	BAD		beaka	b e a k a
5555	21706	robinsonap-adang	adan1251		bad	1292	BAD		ariʔiŋ	a r i ʔ i ŋ
5556	21707	robinsonap-adang	adan1251		bad	1292	BAD		saha	s a h a
5557	21708	robinsonap-blagar	blag1240		bad	1292	BAD		jasi	dʒ a s i
5558	21709	robinsonap-kaera	kaer1234		bad	1292	BAD		yaaso	j a a s o
5559	21710	robinsonap-kamang	kama1365		bad	1292	BAD		boko	b o k o
5560	21711	robinsonap-klon	kelo1247		bad	1292	BAD		mʊjɑh	m ʊ dʒ ɑ h
