	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3876	20027	johanssonsoundsymbolic-Berik	beri1254		back	1291	BACK		duruwer	d u r u w e r
4987	21138	johanssonsoundsymbolic-Berik	beri1254		bad	1292	BAD		kapka	k a p k a
8177	24328	transnewguineaorg-orya	orya1242		banana	868	BANANA		gwaha	g w a h a
8829	24980	johanssonsoundsymbolic-Berik	beri1254		bark	1204	BARK		ti_tifin	t i + t i f i n
10837	26988	transnewguineaorg-orya	orya1242		bat	1793	BAT		te_tek	t e + t e k
11171	27322	transnewguineaorg-orya	orya1242		bathe	138	BATHE		hosa_awan	h o s a + a w a n
12969	29120	johanssonsoundsymbolic-Berik	beri1254		bealive	1422	BE ALIVE		terjen	t e r j e n
15733	31884	johanssonsoundsymbolic-Berik	beri1254		beautiful	1427	BEAUTIFUL		wækena	w æ k e n a
20458	36609	johanssonsoundsymbolic-Berik	beri1254		behind	1686	BEHIND		durawer	d u r a w e r
22861	39012	johanssonsoundsymbolic-Berik	beri1254		belly	1251	BELLY		witifin	w i t i f i n
24516	40667	johanssonsoundsymbolic-Berik	beri1254		beloworunder	1485	BELOW OR UNDER		gwonap	g w o n a p
25740	41891	johanssonsoundsymbolic-Berik	beri1254		beside	1816	BESIDE		binisamer	b i n i s a m e r
26467	42618	johanssonsoundsymbolic-Berik	beri1254		between	689	BETWEEN		nenenap	n e n e n a p
27901	44052	johanssonsoundsymbolic-Berik	beri1254		big	1202	BIG		uŋgwandusa	u ŋ g w a n d u s a
28912	45063	transnewguineaorg-orya	orya1242		big	1202	BIG		mamna	m a m n a
28913	45064	transnewguineaorg-orya	orya1242		big	1202	BIG		yawala	j a w a l a
30292	46443	johanssonsoundsymbolic-Berik	beri1254		bird	937	BIRD		dʒu	dʒ u
31263	47414	transnewguineaorg-orya	orya1242		bird	937	BIRD		mawa	m a w a
31264	47415	transnewguineaorg-orya	orya1242		bird	937	BIRD		mawa	m a w a
32642	48793	johanssonsoundsymbolic-Berik	beri1254		bite	1403	BITE		dʒerbini	dʒ e r b i n i
33375	49526	transnewguineaorg-orya	orya1242		bite	1403	BITE		twinbi-n	t w i n b i + n
33787	49938	johanssonsoundsymbolic-Berik	beri1254		bitter	887	BITTER		sira	s i r a
35252	51403	johanssonsoundsymbolic-Berik	beri1254		black	163	BLACK		seseje	s e s e j e
38664	54815	johanssonsoundsymbolic-Berik	beri1254		blood	946	BLOOD		æwis	æ w i s
39625	55776	transnewguineaorg-orya	orya1242		blood	946	BLOOD		kara	k a r a
39626	55777	transnewguineaorg-orya	orya1242		blood	946	BLOOD		kal	k a l
40890	57041	johanssonsoundsymbolic-Berik	beri1254		blowofwind	175	BLOW (OF WIND)		bwanai_ne_gwebana	b w a n a i + n e + g w e b a n a
41448	57599	transnewguineaorg-orya	orya1242		blowofwind	175	BLOW (OF WIND)		hohop_gwen	h o h o p + g w e n
42058	58209	johanssonsoundsymbolic-Berik	beri1254		blue	837	BLUE		ibamibama	i b a m i b a m a
43085	59236	johanssonsoundsymbolic-Berik	beri1254		blunt	379	BLUNT		tumpul	t u m p u l
44555	60706	johanssonsoundsymbolic-Berik	beri1254		body	1480	BODY		tifini_tabter	t i f i n i + t a b t e r
45513	61664	transnewguineaorg-orya	orya1242		boilofliquid	792	BOIL (OF LIQUID)		eikwizim	e i k w i z i m
46893	63044	johanssonsoundsymbolic-Berik	beri1254		bone	1394	BONE		ælna	æ l n a
47864	64015	transnewguineaorg-orya	orya1242		bone	1394	BONE		dan	d a n
47865	64016	transnewguineaorg-orya	orya1242		bone	1394	BONE		dan	d a n
50633	66784	transnewguineaorg-orya	orya1242		bow	994	BOW		jana	j a n a
51478	67629	johanssonsoundsymbolic-Berik	beri1254		boy	1366	BOY		gitowai	g i t o w a i
52884	69035	johanssonsoundsymbolic-Berik	beri1254		brain	1583	BRAIN		dwak_sum	d w a k + s u m
54262	70414	transnewguineaorg-orya	orya1242		branch	1531	BRANCH		hli	h l i
54939	71092	transnewguineaorg-orya	orya1242		breadfruit	2371	BREADFRUIT		wanga	w a n g a
56980	73133	johanssonsoundsymbolic-Berik	beri1254		breast	1402	BREAST		mom	m o m
57916	74069	transnewguineaorg-orya	orya1242		breast	1402	BREAST		mom	m o m
58918	75071	johanssonsoundsymbolic-Berik	beri1254		breathe	1407	BREATHE		mafna	m a f n a
59459	75612	transnewguineaorg-orya	orya1242		breathe	1407	BREATHE		ensasa_gwen	e n s a s a + g w e n
64456	80609	johanssonsoundsymbolic-Berik	beri1254		burn	2102	BURN		gwaranna	g w a r a nː a
67536	83689	transnewguineaorg-orya	orya1242		butterfly	1791	BUTTERFLY		mawa_aukuk	m a w a + a u k u k
67770	83923	johanssonsoundsymbolic-Berik	beri1254		buttocks	834	BUTTOCKS		okoma	o k o m a
72119	88272	transnewguineaorg-orya	orya1242		canoe	1970	CANOE		bul	b u l
72951	89104	johanssonsoundsymbolic-Berik	beri1254		carry	700	CARRY		tiŋna	t i ŋ n a
