	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
3876	20027	johanssonsoundsymbolic-Berik	beri1254		back	1291	BACK		duruwer	d u r u w e r
4987	21138	johanssonsoundsymbolic-Berik	beri1254		bad	1292	BAD		kapka	k a p k a
8829	24980	johanssonsoundsymbolic-Berik	beri1254		bark	1204	BARK		ti_tifin	t i + t i f i n
12969	29120	johanssonsoundsymbolic-Berik	beri1254		bealive	1422	BE ALIVE		terjen	t e r j e n
22861	39012	johanssonsoundsymbolic-Berik	beri1254		belly	1251	BELLY		witifin	w i t i f i n
27901	44052	johanssonsoundsymbolic-Berik	beri1254		big	1202	BIG		uŋgwandusa	u ŋ g w a n d u s a
28912	45063	transnewguineaorg-orya	orya1242		big	1202	BIG		mamna	m a m n a
28913	45064	transnewguineaorg-orya	orya1242		big	1202	BIG		yawala	j a w a l a
30292	46443	johanssonsoundsymbolic-Berik	beri1254		bird	937	BIRD		dʒu	dʒ u
31263	47414	transnewguineaorg-orya	orya1242		bird	937	BIRD		mawa	m a w a
31264	47415	transnewguineaorg-orya	orya1242		bird	937	BIRD		mawa	m a w a
32642	48793	johanssonsoundsymbolic-Berik	beri1254		bite	1403	BITE		dʒerbini	dʒ e r b i n i
33375	49526	transnewguineaorg-orya	orya1242		bite	1403	BITE		twinbi-n	t w i n b i + n
35252	51403	johanssonsoundsymbolic-Berik	beri1254		black	163	BLACK		seseje	s e s e j e
38664	54815	johanssonsoundsymbolic-Berik	beri1254		blood	946	BLOOD		æwis	æ w i s
39625	55776	transnewguineaorg-orya	orya1242		blood	946	BLOOD		kara	k a r a
39626	55777	transnewguineaorg-orya	orya1242		blood	946	BLOOD		kal	k a l
40890	57041	johanssonsoundsymbolic-Berik	beri1254		blowofwind	175	BLOW (OF WIND)		bwanai_ne_gwebana	b w a n a i + n e + g w e b a n a
41448	57599	transnewguineaorg-orya	orya1242		blowofwind	175	BLOW (OF WIND)		hohop_gwen	h o h o p + g w e n
43085	59236	johanssonsoundsymbolic-Berik	beri1254		blunt	379	BLUNT		tumpul	t u m p u l
46893	63044	johanssonsoundsymbolic-Berik	beri1254		bone	1394	BONE		ælna	æ l n a
47864	64015	transnewguineaorg-orya	orya1242		bone	1394	BONE		dan	d a n
47865	64016	transnewguineaorg-orya	orya1242		bone	1394	BONE		dan	d a n
58918	75071	johanssonsoundsymbolic-Berik	beri1254		breathe	1407	BREATHE		mafna	m a f n a
59459	75612	transnewguineaorg-orya	orya1242		breathe	1407	BREATHE		ensasa_gwen	e n s a s a + g w e n
91594	107747	johanssonsoundsymbolic-Berik	beri1254		cloud	1489	CLOUD		anis	a n i s
92341	108494	transnewguineaorg-orya	orya1242		cloud	1489	CLOUD		but	b u t
92342	108495	transnewguineaorg-orya	orya1242		cloud	1489	CLOUD		ogom	o g o m
98833	114986	johanssonsoundsymbolic-Berik	beri1254		come	1446	COME		dʒila	dʒ i l a
99800	115953	transnewguineaorg-orya	orya1242		come	1446	COME		hatan	h a t a n
99801	115954	transnewguineaorg-orya	orya1242		come	1446	COME		hata-n	h a t a + n
104902	121055	johanssonsoundsymbolic-Berik	beri1254		correctright	1725	CORRECT (RIGHT)		bunar	b u n a r
107650	123803	transnewguineaorg-orya	orya1242		count	1420	COUNT		aïtbin	a i t b i n
121777	137932	johanssonsoundsymbolic-Berik	beri1254		daynotnight	1225	DAY (NOT NIGHT)		nu	n u
127053	143208	johanssonsoundsymbolic-Berik	beri1254		die	1494	DIE		tere	t e r e
127963	144118	transnewguineaorg-orya	orya1242		die	1494	DIE		tïn	t i n
130147	146302	transnewguineaorg-orya	orya1242		dig	1418	DIG		tɾiyun	t ɾ i j u n
131709	147864	johanssonsoundsymbolic-Berik	beri1254		dirty	1230	DIRTY		ortunaboro	o r t u n a b o r o
135603	151758	johanssonsoundsymbolic-Berik	beri1254		dog	2009	DOG		gwala	g w a l a
136594	152749	transnewguineaorg-orya	orya1242		dog	2009	DOG		ŋgware	ŋ g w a r e
136595	152750	transnewguineaorg-orya	orya1242		dog	2009	DOG		lwa-na	l w a + n a
142072	158227	johanssonsoundsymbolic-Berik	beri1254		drink	1401	DRINK		telbili	t e l b i l i
142708	158863	transnewguineaorg-orya	orya1242		drink	1401	DRINK		otdebin	o t d e b i n
145716	161871	johanssonsoundsymbolic-Berik	beri1254		dry	1398	DRY		setera	s e t e r a
148701	164856	johanssonsoundsymbolic-Berik	beri1254		dust	2	DUST		son	s o n
149187	165342	transnewguineaorg-orya	orya1242		dust	2	DUST		son	s o n
151146	167301	johanssonsoundsymbolic-Berik	beri1254		ear	1247	EAR		imwa	i m w a
152120	168275	transnewguineaorg-orya	orya1242		ear	1247	EAR		i-mwa	i + m w a
154069	170224	johanssonsoundsymbolic-Berik	beri1254		earthsoil	1228	EARTH (SOIL)		o	o
156670	172825	johanssonsoundsymbolic-Berik	beri1254		eat	1336	EAT		tumili	t u m i l i
157495	173652	transnewguineaorg-orya	orya1242		eat	1336	EAT		tembane	t e m b a n e
