	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
4013	20164	johanssonsoundsymbolic-Xicotepecdejuareztotonac	xico1235		back	1291	BACK		iʔʃaʔkɬtʃʔaan	i ʔ ʃ a ʔ k ɬ tʃ ʔ aː n
5134	21285	johanssonsoundsymbolic-Xicotepecdejuareztotonac	xico1235		bad	1292	BAD		tuuʔ_tsey	t uː ʔ + ts e y
13105	29256	johanssonsoundsymbolic-Xicotepecdejuareztotonac	xico1235		bealive	1422	BE ALIVE		huiiʔ	h u iː ʔ
15832	31983	johanssonsoundsymbolic-Xicotepecdejuareztotonac	xico1235		beautiful	1427	BEAUTIFUL		tseehuaniiʔt	ts eː h u a n iː ʔ t
16392	32543	johanssonsoundsymbolic-Xicotepecdejuareztotonac	xico1235		because	1157	BECAUSE		komo	k o m o
19335	35486	johanssonsoundsymbolic-Xicotepecdejuareztotonac	xico1235		before	1882	BEFORE		puuʔla	p uː ʔ l a
20582	36733	johanssonsoundsymbolic-Xicotepecdejuareztotonac	xico1235		behind	1686	BEHIND		qeen	q eː n
23012	39163	johanssonsoundsymbolic-Xicotepecdejuareztotonac	xico1235		belly	1251	BELLY		iʔʃpaan	i ʔ ʃ p aː n
24636	40787	johanssonsoundsymbolic-Xicotepecdejuareztotonac	xico1235		beloworunder	1485	BELOW OR UNDER		maqxu	m a q x u
26533	42684	johanssonsoundsymbolic-Xicotepecdejuareztotonac	xico1235		between	689	BETWEEN		lakɬpuʔnan	l a k ɬ p u ʔ n a n
28059	44210	johanssonsoundsymbolic-Xicotepecdejuareztotonac	xico1235		big	1202	BIG		qaʔtɬaʔ	q a ʔ t ɬ a ʔ
30431	46582	johanssonsoundsymbolic-Xicotepecdejuareztotonac	xico1235		bird	937	BIRD		spuun	s p uː n
32790	48941	johanssonsoundsymbolic-Xicotepecdejuareztotonac	xico1235		bite	1403	BITE		ʃka	ʃ k a
33907	50058	johanssonsoundsymbolic-Xicotepecdejuareztotonac	xico1235		bitter	887	BITTER		ʃuuʔniʔ	ʃ uː ʔ n i ʔ
