	ID	DOCULECT	GLOTTOCODE	ISO_CODE	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	IPA	TOKENS
4013	20164	johanssonsoundsymbolic-Xicotepecdejuareztotonac	xico1235		back	1291	BACK		iʔʃaʔkɬtʃʔaan	i ʔ ʃ a ʔ k ɬ tʃ ʔ aː n
5134	21285	johanssonsoundsymbolic-Xicotepecdejuareztotonac	xico1235		bad	1292	BAD		tuuʔ_tsey	t uː ʔ + ts e y
13105	29256	johanssonsoundsymbolic-Xicotepecdejuareztotonac	xico1235		bealive	1422	BE ALIVE		huiiʔ	h u iː ʔ
16392	32543	johanssonsoundsymbolic-Xicotepecdejuareztotonac	xico1235		because	1157	BECAUSE		komo	k o m o
23012	39163	johanssonsoundsymbolic-Xicotepecdejuareztotonac	xico1235		belly	1251	BELLY		iʔʃpaan	i ʔ ʃ p aː n
28059	44210	johanssonsoundsymbolic-Xicotepecdejuareztotonac	xico1235		big	1202	BIG		qaʔtɬaʔ	q a ʔ t ɬ a ʔ
30431	46582	johanssonsoundsymbolic-Xicotepecdejuareztotonac	xico1235		bird	937	BIRD		spuun	s p uː n
32790	48941	johanssonsoundsymbolic-Xicotepecdejuareztotonac	xico1235		bite	1403	BITE		ʃka	ʃ k a
35404	51555	johanssonsoundsymbolic-Xicotepecdejuareztotonac	xico1235		black	163	BLACK		tsiʔtseʔqe	ts i ʔ ts e ʔ q e
38818	54969	johanssonsoundsymbolic-Xicotepecdejuareztotonac	xico1235		blood	946	BLOOD		qaʔɬniʔ	q a ʔ ɬ n i ʔ
41021	57172	johanssonsoundsymbolic-Xicotepecdejuareztotonac	xico1235		blowofwind	175	BLOW (OF WIND)		maqneqe	m a q n e q e
47038	63189	johanssonsoundsymbolic-Xicotepecdejuareztotonac	xico1235		bone	1394	BONE		lukut	l u k u t
59031	75184	johanssonsoundsymbolic-Xicotepecdejuareztotonac	xico1235		breathe	1407	BREATHE		xaʃaanaʔn	x a ʃ aː n a ʔ n
91727	107880	johanssonsoundsymbolic-Xicotepecdejuareztotonac	xico1235		cloud	1489	CLOUD		poqɬnuʔ	p o q ɬ n u ʔ
